date,open,high,low,close,volume
2020-01-13,548.9,557.0,546.6,554.95,3442869
2020-01-14,554.95,563.75,554.95,562.5,2793249
2020-01-15,562.0,571.0,556.7,569.75,2564513
2020-01-16,569.25,569.8,564.05,567.45,2243200
2020-01-17,566.8,574.0,565.15,569.3,2646260
2020-01-20,569.0,574.0,564.35,567.2,1847978
2020-01-21,564.0,564.9,550.1,552.8,3101684
2020-01-22,553.5,556.5,549.0,553.6,1862669
2020-01-23,553.5,567.4,549.55,566.5,2113303
2020-01-24,566.1,572.0,564.1,567.75,2284717
2020-01-27,565.0,582.5,563.0,578.3,3654906
2020-01-28,581.25,589.75,568.5,572.5,3689004
2020-01-29,577.5,580.7,572.15,577.75,1934080
2020-01-30,578.0,587.55,563.85,567.85,2901951
2020-01-31,570.8,577.0,565.3,567.15,2352196
2020-02-01,566.0,581.2,528.95,545.2,4034237
2020-02-03,545.0,565.75,535.2,558.7,3818209
2020-02-04,562.0,578.8,558.8,576.9,2793702
2020-02-05,580.25,589.85,577.4,584.35,3320830
2020-02-06,585.0,589.15,576.05,580.15,2207104
2020-02-07,579.0,581.5,561.3,569.1,4083215
2020-02-10,566.8,567.0,526.05,528.4,9648880
2020-02-11,533.2,537.7,522.7,524.05,5404802
2020-02-12,526.65,534.3,523.9,531.0,3426829
2020-02-13,530.45,538.0,528.3,533.6,3392352
2020-02-14,535.25,536.95,520.65,523.0,3507540
2020-02-17,524.1,525.4,516.0,522.75,2652464
2020-02-18,520.5,524.9,514.1,523.2,2868873
2020-02-19,528.15,529.65,521.8,526.4,1952880
2020-02-20,525.9,533.0,523.0,524.85,2077458
2020-02-24,522.0,522.0,511.1,513.2,1911411
2020-02-25,515.55,519.5,506.1,508.95,2105613
2020-02-26,507.7,512.45,500.0,503.0,3058370
2020-02-27,504.0,504.0,487.55,493.5,6039260
2020-02-28,485.0,485.0,453.6,457.05,8613275
2020-03-02,453.55,472.45,444.35,458.3,9225488
2020-03-03,462.0,471.0,455.25,466.25,4582866
2020-03-04,466.05,477.0,457.5,474.65,5912943
2020-03-05,472.7,482.5,469.0,479.3,4081050
2020-03-06,458.85,473.75,456.5,471.0,4502562
2020-03-09,453.55,465.7,441.0,463.2,4540695
2020-03-11,462.85,469.65,449.7,451.6,5104926
2020-03-12,427.9,435.95,399.65,423.35,9408371
2020-03-13,400.5,449.75,345.65,428.85,6230433
2020-03-16,421.0,428.6,388.8,391.8,3156668
2020-03-17,392.0,408.0,369.95,373.4,4526918
2020-03-18,379.0,383.7,339.1,346.4,6596185
2020-03-19,331.75,331.8,302.0,314.2,10486203
2020-03-20,316.0,328.2,308.25,322.6,8819560
2020-03-23,299.0,303.9,280.6,293.4,6001458
2020-03-24,300.0,309.9,264.4,269.0,6695822
2020-03-25,263.4,288.35,245.4,277.85,9393738
2020-03-26,277.85,294.0,273.1,285.5,7557611
2020-03-27,297.0,305.0,280.8,294.5,9505256
2020-03-30,281.7,284.85,270.0,274.4,8942943
2020-03-31,283.85,287.2,277.8,284.95,6236769
2020-04-01,281.0,283.0,265.5,272.85,5980392
2020-04-03,274.0,290.0,271.35,280.7,6961905
2020-04-07,295.5,323.8,292.75,321.0,10795410
2020-04-08,315.0,350.4,312.8,326.4,8451196
2020-04-09,335.75,391.65,332.4,381.4,11027462
2020-04-13,380.0,380.0,355.0,362.85,7717757
2020-04-15,373.05,379.9,349.3,353.15,11300959
2020-04-16,343.1,360.45,343.0,356.7,6155773
2020-04-17,370.75,370.75,355.55,363.2,6178611
2020-04-20,367.0,367.45,354.0,355.85,4834224
2020-04-21,349.05,349.05,323.5,332.05,8003782
2020-04-22,327.0,345.75,320.6,340.2,9073718
2020-04-23,338.0,349.65,331.55,347.5,6738333
2020-04-24,342.0,344.75,332.0,334.3,5755029
2020-04-27,337.55,343.35,328.15,330.3,5770552
2020-04-28,334.45,338.0,328.5,335.95,4244522
2020-04-29,337.0,351.8,336.25,348.0,7748498
2020-04-30,355.65,368.0,355.0,366.65,7422880
2020-05-04,350.05,362.4,341.1,357.05,7125034
2020-05-05,363.75,381.8,361.45,368.15,13401811
2020-05-06,371.5,393.0,358.25,387.15,7015474
2020-05-07,387.5,403.45,385.1,400.65,12971502
2020-05-08,405.0,407.9,380.7,386.7,9445656
2020-05-11,388.5,402.0,384.35,390.1,7658641
2020-05-12,388.9,395.2,380.2,393.05,4686856
2020-05-13,415.0,418.9,404.25,413.05,7362761
2020-05-14,401.5,407.5,396.0,400.45,4766174
2020-05-15,402.75,403.95,373.2,381.3,14226558
2020-05-18,382.1,383.5,367.25,377.2,7717690
2020-05-19,384.0,391.0,371.2,382.9,5950063
2020-05-20,382.9,413.7,379.7,405.05,10608571
2020-05-21,400.15,412.2,397.8,408.3,6249310
2020-05-22,404.0,430.35,398.7,426.35,10016213
2020-05-26,427.0,435.2,421.65,429.15,5895379
2020-05-27,426.5,434.95,415.0,432.5,7591378
2020-05-28,429.5,444.0,423.85,440.4,7451065
2020-05-29,434.0,450.0,431.1,436.35,9539037
2020-06-01,441.85,470.5,441.5,461.1,9668052
2020-06-02,465.1,478.85,460.85,462.85,8521141
2020-06-03,470.0,492.6,466.5,485.1,9873439
2020-06-04,485.3,486.25,469.4,478.45,5829515
2020-06-05,479.0,489.45,475.4,484.2,6265849
2020-06-08,485.5,494.15,468.25,470.85,5955229
2020-06-09,473.8,482.8,463.3,478.75,7656758
2020-06-10,476.15,483.7,468.85,472.05,4849036
2020-06-11,472.0,480.0,469.5,474.55,4331785
2020-06-12,457.0,512.9,456.1,508.45,18369324
2020-06-15,505.15,520.95,498.7,508.15,17605886
2020-06-16,517.1,519.0,501.3,506.75,6712936
2020-06-17,504.9,504.9,492.5,497.6,9274056
2020-06-18,496.9,508.9,492.0,506.6,7114852
2020-06-19,506.6,506.6,496.4,500.05,9811021
2020-06-22,501.75,502.25,494.1,498.75,5149781
2020-06-23,500.0,519.9,497.6,516.4,9132472
2020-06-24,520.0,527.65,512.55,515.35,7569986
2020-06-25,509.9,516.35,503.35,507.25,5249631
2020-06-26,515.0,515.25,498.7,501.4,4079405
2020-06-29,494.1,510.95,493.05,507.45,4459962
2020-06-30,509.0,515.5,507.1,510.7,5487685
2020-07-01,513.75,521.4,494.25,498.95,8990865
2020-07-02,506.5,532.0,504.4,529.7,16513525
2020-07-03,531.4,535.5,524.2,530.5,7982336
2020-07-06,533.65,573.55,533.65,570.55,16728409
2020-07-07,565.0,568.0,551.65,560.0,9208254
2020-07-08,564.0,568.25,549.0,551.25,5173213
2020-07-09,554.0,564.3,548.05,560.3,4123903
2020-07-10,555.3,568.95,552.0,554.85,5752463
2020-07-13,560.0,560.5,549.2,555.85,3167393
2020-07-14,553.0,553.95,538.0,545.2,3097320
2020-07-15,550.0,559.7,542.75,550.15,5671830
2020-07-16,547.0,574.5,542.55,570.9,11752682
2020-07-17,571.95,591.25,565.5,588.8,9124229
2020-07-20,588.9,597.6,582.15,594.0,5771917
2020-07-21,592.85,597.5,585.5,588.3,3850519
2020-07-22,588.6,612.0,582.0,592.0,11559026
2020-07-23,590.95,609.0,584.5,603.35,7606029
2020-07-24,594.1,600.95,590.1,598.7,3531712
2020-07-27,598.15,600.0,588.0,594.4,3345207
2020-07-28,591.6,625.8,588.75,620.35,10289451
2020-07-29,620.0,624.9,601.0,604.85,5182955
2020-07-30,606.0,614.8,596.25,598.35,4958327
2020-07-31,599.9,610.85,592.15,606.45,3962668
2020-08-03,610.0,620.5,594.2,597.15,5002825
2020-08-04,597.15,609.6,597.15,602.6,4889759
2020-08-05,605.9,620.0,603.2,614.25,3834862
2020-08-06,618.0,618.0,605.55,609.65,3857563
2020-08-07,610.1,616.5,598.7,600.45,7679209
2020-08-10,605.0,640.8,605.0,628.9,12341776
2020-08-11,630.0,640.6,622.4,629.55,5128839
2020-08-12,628.0,648.6,624.35,634.95,8891691
2020-08-13,635.15,645.3,628.4,631.45,5773589
2020-08-14,634.0,637.85,607.55,614.45,3623116
2020-08-17,628.0,632.0,613.8,623.6,5687653
2020-08-18,625.0,632.75,618.6,622.65,3989513
2020-08-19,627.0,631.9,622.0,623.9,2762496
2020-08-20,620.0,623.0,610.0,612.05,3165828
2020-08-21,620.0,620.95,608.0,609.8,4191443
2020-08-24,613.0,615.7,601.0,601.95,3708069
2020-08-25,605.0,612.4,601.5,609.35,4248591
2020-08-26,613.0,625.5,610.5,613.35,5814797
2020-08-27,619.15,639.3,615.6,636.75,7637643
2020-08-28,642.25,647.0,629.35,631.4,7811624
2020-08-31,637.0,640.5,602.1,606.9,5012806
2020-09-01,610.0,621.55,605.0,607.55,5572232
2020-09-02,608.0,645.9,602.05,642.75,7887162
2020-09-03,640.5,656.0,632.0,644.65,9194835
2020-09-04,629.0,649.8,626.3,632.0,5889149
2020-09-07,632.3,633.85,605.3,610.45,9388041
2020-09-08,611.0,624.5,605.3,608.6,6826136
2020-09-09,606.8,617.0,597.4,613.9,6590533
2020-09-10,619.5,623.9,612.9,615.45,4699862
2020-09-11,614.9,621.9,612.1,614.25,2838777
2020-09-14,615.0,629.4,611.9,615.3,4921204
2020-09-15,619.25,624.0,611.95,613.45,3805649
2020-09-16,616.0,649.8,616.0,639.45,18993400
2020-09-17,631.0,643.5,627.65,636.8,6363970
2020-09-18,640.0,659.4,634.55,654.15,13518215
2020-09-21,657.0,666.6,615.45,622.45,9301969
2020-09-22,622.45,624.25,603.0,615.8,5369370
2020-09-23,622.05,623.35,603.25,612.6,4116751
2020-09-24,605.0,606.4,567.5,575.1,8991893
2020-09-25,583.9,595.45,576.6,592.3,5415792
2020-09-28,595.0,618.0,593.1,615.25,5494528
2020-09-29,615.25,626.5,603.1,613.2,5747565
2020-09-30,615.95,623.0,605.55,607.9,4990827
2020-10-01,614.7,621.9,608.15,610.15,3842331
2020-10-05,615.0,616.25,597.1,607.0,5977265
2020-10-06,611.6,633.0,609.0,627.4,9071955
2020-10-07,629.9,636.9,625.0,631.6,6086867
2020-10-08,634.15,640.95,627.6,634.15,4683786
2020-10-09,634.15,647.45,628.3,633.2,4972965
2020-10-12,637.9,639.7,630.0,634.4,3247642
2020-10-13,634.35,642.0,624.35,627.9,3769229
2020-10-14,623.4,627.8,616.3,623.85,2776984
2020-10-15,620.95,633.0,614.1,617.3,3795307
2020-10-16,617.5,623.95,602.05,606.65,4274914
2020-10-19,612.7,614.5,595.2,597.45,3646303
2020-10-20,597.4,609.0,590.3,602.25,4377774
2020-10-21,606.9,610.8,592.2,600.85,3684794
2020-10-22,599.8,606.95,594.1,604.35,3818892
2020-10-23,609.75,628.0,605.35,625.15,6421823
2020-10-26,624.95,625.85,594.6,597.15,4800537
2020-10-27,600.4,605.0,593.5,597.15,5712303
2020-10-28,599.0,613.0,594.2,604.15,6811118
2020-10-29,598.2,604.15,590.25,591.95,3680984
2020-10-30,592.55,601.75,586.8,594.0,4209087
2020-11-02,592.0,599.9,589.0,596.05,4085120
2020-11-03,599.3,605.45,594.0,595.8,3669816
2020-11-04,597.8,603.65,592.0,596.8,2475177
2020-11-05,603.3,607.4,599.25,602.1,3794240
2020-11-06,603.0,619.3,601.7,613.6,5908936
2020-11-09,621.0,622.0,610.2,616.35,3819808
2020-11-10,622.0,627.7,611.0,619.95,7876161
2020-11-11,625.0,644.55,622.15,633.2,7561527
2020-11-12,633.05,654.4,629.5,632.7,6913788
2020-11-13,633.95,638.95,628.05,629.85,4107823
2020-11-17,639.0,646.0,633.65,637.25,6173551
2020-11-18,637.2,709.95,637.0,705.75,32986476
2020-11-19,699.0,728.4,692.3,703.9,15336768
2020-11-20,710.0,718.55,697.4,715.6,6730897
