date,open,high,low,close,volume
2021-05-14,48.6,56.6,45.75,49.9,3052583
2021-05-17,50.0,51.7,47.05,47.6,1530364
2021-05-18,48.5,48.5,46.85,47.35,709477
2021-05-19,50.6,50.6,46.1,46.2,807266
2021-05-20,47.75,47.75,44.0,46.4,346507
2021-05-21,47.5,48.45,47.0,47.3,420629
2021-05-24,48.7,48.7,46.25,47.35,306743
2021-05-25,48.45,49.5,47.5,48.4,977246
2021-05-26,49.5,49.75,47.8,48.4,456303
2021-05-27,48.5,48.5,48.05,48.35,260163
2021-05-28,49.35,49.35,48.15,48.6,159689
2021-05-31,49.4,49.4,48.3,48.5,256994
2021-06-01,48.95,57.5,48.35,48.7,791542
2021-06-02,49.25,49.25,48.75,48.9,382200
2021-06-03,49.45,49.9,48.5,48.95,369849
2021-06-04,48.9,49.15,48.25,48.4,460122
2021-06-07,49.45,49.45,48.3,48.95,315559
2021-06-08,49.9,50.75,49.0,49.5,281548
2021-06-09,49.95,50.0,49.05,49.3,256823
2021-06-10,50.25,50.25,49.05,49.1,237140
2021-06-11,50.7,50.7,49.05,49.5,196813
2021-06-14,50.45,50.6,49.25,49.75,256912
2021-06-15,50.0,50.7,49.9,50.6,317320
2021-06-16,50.2,51.0,50.0,50.45,591407
2021-06-17,49.95,50.3,49.5,49.9,200216
2021-06-18,50.7,54.4,50.25,51.6,841393
2021-06-21,51.9,54.0,51.5,51.55,885266
2021-06-22,52.1,52.9,51.1,51.15,394202
2021-06-23,52.6,52.6,51.25,51.65,360673
2021-06-24,52.0,52.4,51.5,52.3,576753
2021-06-25,53.75,53.8,52.3,53.49,664585
2021-06-28,54.25,54.25,53.55,53.85,391313
2021-06-29,54.1,54.95,54.1,54.7,639014
2021-06-30,55.5,55.5,54.55,54.65,730963
2021-07-01,55.4,55.4,54.2,54.65,643303
2021-07-02,55.0,55.0,54.6,54.85,597416
2021-07-05,56.4,56.4,54.5,54.65,756428
2021-07-06,56.4,56.4,54.55,54.8,340690
2021-07-07,56.2,56.2,54.5,55.25,361723
2021-07-08,55.5,55.5,53.85,54.0,710734
2021-07-09,54.6,54.6,53.0,53.65,375057
2021-07-12,54.9,54.9,53.8,54.4,207991
2021-07-13,54.5,55.2,54.1,54.9,227790
2021-07-14,55.7,55.7,54.9,55.05,241650
2021-07-15,55.7,55.7,54.9,55.05,274009
2021-07-16,54.9,54.9,54.2,54.45,492572
2021-07-19,54.0,54.8,53.5,53.65,545986
2021-07-20,53.65,53.7,53.2,53.45,313604
2021-07-22,54.8,54.8,53.55,53.9,200808
2021-07-23,54.0,54.75,53.8,54.25,203732
2021-07-26,54.25,54.8,54.2,54.4,244617
2021-07-27,54.4,54.4,53.5,53.65,697149
2021-07-28,53.6,54.25,52.95,53.1,260232
2021-07-29,53.75,53.9,53.65,53.85,184945
2021-07-30,54.5,54.5,53.25,53.41,213823
2021-08-02,54.7,54.7,53.51,53.74,260214
2021-08-03,54.5,54.5,53.52,53.74,241638
2021-08-04,53.7,53.85,53.25,53.52,153314
2021-08-05,54.19,54.19,53.3,53.45,153793
2021-08-06,53.65,54.0,53.6,53.74,118860
2021-08-09,54.4,54.4,53.1,53.54,149863
2021-08-10,54.7,54.7,53.22,53.48,210507
2021-08-11,53.48,53.8,53.0,53.33,175922
2021-08-12,53.9,53.9,53.0,53.09,125133
2021-08-13,53.6,53.6,53.0,53.15,110838
2021-08-16,53.45,53.45,52.0,52.87,200604
2021-08-17,52.87,52.9,52.2,52.32,192738
2021-08-18,52.9,52.9,51.03,51.33,351258
2021-08-20,50.1,51.8,50.1,50.94,245178
2021-08-23,51.0,51.98,50.94,51.47,276032
2021-08-24,52.0,52.9,52.0,52.69,154491
2021-08-25,53.9,53.9,52.97,53.14,171324
2021-08-26,53.9,53.9,52.71,53.12,120505
2021-08-27,53.5,53.5,52.6,53.03,146686
2021-08-30,53.59,53.69,52.9,53.04,163922
2021-08-31,53.8,53.8,53.26,53.48,195480
2021-09-01,55.2,55.2,50.5,53.42,925987
2021-09-02,53.9,54.22,53.66,54.19,219609
2021-09-03,54.19,54.19,53.65,54.01,133186
2021-09-06,54.9,54.9,54.0,54.13,150016
2021-09-07,54.38,54.48,53.82,54.32,162559
