date,open,high,low,close,volume
2020-01-13,1350.0,1350.0,1302.55,1322.9,437733
2020-01-14,1325.0,1366.0,1316.0,1356.2,711124
2020-01-15,1356.2,1384.9,1335.0,1375.75,476258
2020-01-16,1378.5,1398.85,1345.75,1371.2,388340
2020-01-17,1370.0,1399.0,1360.0,1377.75,301791
2020-01-20,1381.1,1404.7,1373.0,1387.0,482408
2020-01-21,1395.0,1443.0,1392.0,1400.0,935374
2020-01-22,1407.95,1419.0,1378.05,1383.25,215886
2020-01-23,1388.9,1388.9,1363.0,1378.45,179761
2020-01-24,1380.0,1409.0,1360.0,1364.4,234666
2020-01-27,1369.4,1371.25,1325.0,1330.6,198997
2020-01-28,1334.7,1386.0,1334.65,1376.75,371874
2020-01-29,1389.15,1398.15,1370.0,1379.0,157626
2020-01-30,1381.0,1384.95,1231.4,1276.15,2579228
2020-01-31,1295.0,1298.0,1235.8,1246.45,918741
2020-02-01,1230.0,1259.95,1180.0,1201.75,451119
2020-02-03,1204.2,1228.0,1170.0,1181.65,452353
2020-02-04,1189.0,1265.0,1188.95,1259.75,483753
2020-02-05,1264.0,1319.7,1236.0,1310.05,529901
2020-02-06,1312.2,1320.0,1275.2,1286.75,239364
2020-02-07,1288.0,1288.0,1260.0,1263.65,193570
2020-02-10,1268.0,1269.65,1226.5,1234.5,153874
2020-02-11,1246.0,1246.0,1201.0,1208.5,256257
2020-02-12,1218.0,1262.0,1212.7,1237.7,426423
2020-02-13,1244.45,1268.4,1236.0,1260.75,248504
2020-02-14,1268.25,1280.0,1254.0,1272.95,227045
2020-02-17,1279.75,1279.75,1255.0,1267.1,130535
2020-02-18,1266.7,1305.0,1257.5,1297.05,403539
2020-02-19,1300.0,1349.0,1290.65,1336.15,492773
2020-02-20,1340.0,1372.45,1337.85,1357.55,370982
2020-02-24,1358.0,1398.6,1316.4,1328.4,468473
2020-02-25,1335.0,1369.8,1321.25,1332.3,277751
2020-02-26,1340.0,1375.0,1315.2,1358.3,202087
2020-02-27,1366.75,1379.8,1325.0,1347.7,408395
2020-02-28,1301.0,1334.0,1270.0,1277.75,352419
2020-03-02,1300.15,1325.0,1224.3,1253.5,196764
2020-03-03,1265.0,1333.0,1247.7,1318.3,438529
2020-03-04,1318.3,1347.0,1270.0,1316.05,345559
2020-03-05,1322.4,1328.6,1286.4,1300.7,221583
2020-03-06,1270.0,1313.4,1255.0,1301.85,212318
2020-03-09,1257.05,1285.0,1215.0,1223.15,417895
2020-03-11,1223.2,1270.0,1223.2,1238.0,238165
2020-03-12,1202.0,1203.0,1052.0,1171.35,632153
2020-03-13,1093.05,1170.0,960.0,1124.6,292286
2020-03-16,1080.0,1109.8,1027.1,1097.85,222919
2020-03-17,1097.85,1163.0,1048.0,1054.35,346326
2020-03-18,1075.0,1080.0,843.5,1043.35,360574
2020-03-19,972.0,985.95,920.0,939.85,473707
2020-03-20,939.85,1049.0,936.95,1039.95,299636
2020-03-23,835.55,967.2,835.55,871.35,195119
2020-03-24,898.0,939.85,850.75,864.15,371054
2020-03-25,846.0,1028.0,815.0,937.7,545956
2020-03-26,950.0,1007.0,871.0,933.3,566905
2020-03-27,948.05,1097.95,948.05,1035.8,924631
2020-03-30,1000.0,1046.35,980.0,1034.85,227736
2020-03-31,1075.0,1149.9,1048.85,1124.25,1369271
2020-04-01,1106.45,1109.0,1016.35,1022.85,190657
2020-04-03,1034.7,1034.7,981.85,986.9,223205
2020-04-07,1010.0,1041.1,992.6,1005.5,378443
2020-04-08,1018.0,1063.4,985.0,1012.65,574326
2020-04-09,1025.0,1029.0,991.05,998.7,550849
2020-04-13,1000.0,1052.3,985.75,1033.6,368823
2020-04-15,1020.5,1090.0,1015.0,1026.1,313816
2020-04-16,1026.1,1084.3,1016.25,1051.5,180080
2020-04-17,1080.0,1140.0,1065.1,1111.0,614914
2020-04-20,1123.0,1163.0,1091.0,1150.2,379096
2020-04-21,1085.0,1099.95,1001.0,1022.6,595692
2020-04-22,1009.0,1022.6,951.1,990.75,1256184
2020-04-23,1011.0,1073.0,1011.0,1058.6,737957
2020-04-24,1058.0,1086.8,1010.05,1073.45,663988
2020-04-27,1080.0,1124.5,1075.0,1107.3,335288
2020-04-28,1122.0,1134.65,1080.2,1095.75,371766
2020-04-29,1100.0,1108.0,1040.0,1044.8,302218
2020-04-30,1070.0,1125.0,1056.45,1067.6,729312
2020-05-04,1030.0,1093.0,1020.0,1085.15,339966
2020-05-05,1095.0,1125.0,1041.0,1061.7,423292
2020-05-06,1065.0,1091.0,1054.95,1085.75,163838
2020-05-07,1080.8,1120.0,1080.8,1108.75,226143
2020-05-08,1120.0,1147.95,1112.0,1121.05,249851
2020-05-11,1129.0,1133.95,1105.25,1116.15,230527
2020-05-12,1114.8,1125.4,1100.85,1110.55,113635
2020-05-13,1136.0,1140.0,1104.0,1107.6,148839
2020-05-14,1107.0,1125.0,1104.7,1111.5,146562
2020-05-15,1119.9,1172.0,1112.0,1156.7,427236
2020-05-18,1164.0,1164.95,1103.0,1115.2,193494
2020-05-19,1122.8,1135.0,1105.0,1120.2,160353
2020-05-20,1122.6,1150.0,1109.0,1119.85,279064
2020-05-21,1120.0,1139.05,1112.65,1130.05,101357
2020-05-22,1130.0,1147.2,1111.05,1130.7,145884
2020-05-26,1130.0,1210.0,1127.0,1200.9,386073
2020-05-27,1210.0,1291.0,1208.45,1283.85,439235
2020-05-28,1286.1,1294.0,1242.0,1265.05,236157
2020-05-29,1255.0,1344.0,1240.0,1328.05,566324
2020-06-01,1344.75,1368.65,1297.65,1301.65,583498
2020-06-02,1307.0,1342.0,1282.85,1299.15,545780
2020-06-03,1310.0,1333.0,1278.05,1287.8,485094
2020-06-04,1295.4,1298.5,1213.25,1220.3,304537
2020-06-05,1227.0,1244.0,1201.0,1210.35,203761
2020-06-08,1230.0,1234.0,1183.55,1199.8,275085
2020-06-09,1205.0,1221.0,1178.0,1193.35,414585
2020-06-10,1202.45,1212.3,1190.25,1203.0,235803
2020-06-11,1200.15,1222.0,1195.15,1200.55,271957
2020-06-12,1180.0,1238.45,1172.3,1214.7,465377
2020-06-15,1221.0,1274.4,1219.0,1266.4,479365
2020-06-16,1278.85,1285.0,1241.95,1253.85,270327
2020-06-17,1250.0,1286.0,1246.55,1261.0,209638
2020-06-18,1264.0,1276.25,1261.85,1267.2,83950
2020-06-19,1275.0,1282.95,1262.35,1274.0,189657
2020-06-22,1281.65,1281.65,1247.4,1252.05,118687
2020-06-23,1258.95,1261.15,1235.0,1237.55,178699
2020-06-24,1249.7,1260.0,1220.0,1225.45,126771
2020-06-25,1217.0,1234.25,1201.45,1229.0,127282
2020-06-26,1237.8,1251.4,1230.0,1239.75,348691
2020-06-29,1241.9,1269.95,1225.25,1258.05,197142
2020-06-30,1269.0,1292.4,1243.0,1283.9,387329
2020-07-01,1267.0,1285.0,1252.0,1276.65,191324
2020-07-02,1275.0,1300.0,1264.3,1277.95,210837
2020-07-03,1283.9,1306.0,1271.1,1286.4,370793
2020-07-06,1286.4,1309.95,1275.0,1279.3,258394
2020-07-07,1298.0,1304.0,1285.1,1299.5,207313
2020-07-08,1290.0,1335.0,1290.0,1297.3,343819
2020-07-09,1299.0,1313.55,1282.1,1302.65,303080
2020-07-10,1300.0,1339.8,1296.0,1324.6,471789
2020-07-13,1332.0,1334.9,1295.0,1318.95,121325
2020-07-14,1315.0,1329.0,1280.25,1291.35,143761
2020-07-15,1296.2,1306.2,1285.05,1288.6,60062
2020-07-16,1288.6,1317.0,1282.15,1309.6,87005
2020-07-17,1315.0,1357.0,1304.5,1345.1,174949
2020-07-20,1355.0,1457.0,1355.0,1440.85,611077
2020-07-21,1452.0,1525.0,1432.0,1500.2,796019
2020-07-22,1510.0,1530.0,1430.0,1505.0,411992
2020-07-23,1511.0,1524.7,1443.0,1455.4,246391
2020-07-24,1456.0,1513.8,1445.2,1504.6,432489
2020-07-27,1515.0,1641.0,1475.15,1561.35,1671596
2020-07-28,1588.0,1729.7,1579.65,1698.55,1353678
2020-07-29,1729.7,1792.0,1645.75,1663.9,2008867
2020-07-30,1680.0,1723.9,1625.0,1642.95,531595
2020-07-31,1653.05,1719.75,1603.0,1686.4,547347
2020-08-03,1697.6,1724.8,1637.15,1658.8,444685
2020-08-04,1661.0,1822.0,1650.0,1799.05,1279990
2020-08-05,1827.9,1838.95,1740.05,1749.45,836968
2020-08-06,1756.0,1774.8,1680.1,1689.7,533494
2020-08-07,1695.0,1716.4,1660.1,1671.6,417984
2020-08-10,1676.0,1735.0,1650.0,1694.1,359013
2020-08-11,1701.2,1749.95,1691.0,1713.0,373432
2020-08-12,1700.0,1738.45,1685.0,1712.35,285915
2020-08-13,1719.9,1729.75,1675.25,1685.15,219806
2020-08-14,1690.0,1705.0,1650.0,1657.8,275197
2020-08-17,1681.35,1681.35,1572.7,1591.2,529500
