date,open,high,low,close,volume
2020-01-13,513.45,520.4,508.4,509.65,1678732
2020-01-14,511.7,511.8,496.1,500.35,1660408
2020-01-15,501.0,514.15,493.05,510.95,2265439
2020-01-16,514.1,535.8,513.5,528.75,5532572
2020-01-17,537.9,537.9,518.2,524.05,4562374
2020-01-20,524.05,528.95,515.0,516.8,1324438
2020-01-21,515.0,527.35,510.0,524.35,1559439
2020-01-22,534.5,534.5,514.45,519.55,2172923
2020-01-23,519.55,524.35,515.0,518.3,898061
2020-01-24,520.6,533.5,519.25,527.05,2259819
2020-01-27,525.0,526.1,511.75,514.15,1149627
2020-01-28,514.95,518.0,506.0,511.95,1102932
2020-01-29,513.0,517.55,508.05,512.75,637947
2020-01-30,512.7,513.0,497.0,499.95,796091
2020-01-31,498.0,511.85,498.0,506.4,1672907
2020-02-01,501.6,511.0,424.2,437.1,5517016
2020-02-03,442.0,486.8,440.0,477.1,6500205
2020-02-04,474.85,492.4,470.0,483.55,3753994
2020-02-05,481.55,492.0,475.35,483.7,1791289
2020-02-06,488.0,488.0,472.0,480.55,1841348
2020-02-07,478.5,490.0,476.75,479.65,923649
2020-02-10,482.6,482.6,473.25,478.2,403602
2020-02-11,480.5,486.2,477.2,482.6,414473
2020-02-12,482.8,512.0,482.8,491.55,3564722
2020-02-13,494.6,496.65,483.75,491.6,1252153
2020-02-14,494.0,494.0,481.6,486.95,749983
2020-02-17,486.95,496.15,475.45,491.95,1075322
2020-02-18,491.55,505.75,486.3,502.15,1809725
2020-02-19,502.0,523.0,501.35,516.75,1547819
2020-02-20,542.0,597.05,542.0,565.0,26621595
2020-02-24,554.9,609.65,548.3,592.2,16452997
2020-02-25,592.2,602.0,578.6,590.25,6316124
2020-02-26,586.95,593.6,581.8,588.15,2156219
2020-02-27,590.0,607.6,586.15,597.65,3245996
2020-02-28,591.75,595.75,570.6,577.3,4532180
2020-03-02,589.0,596.7,570.35,573.95,2742411
2020-03-03,575.1,594.15,575.1,591.4,2342889
2020-03-04,581.95,611.9,581.45,590.95,5590702
2020-03-05,597.8,610.55,590.55,605.2,2950492
2020-03-06,559.75,559.75,477.0,520.8,14305858
2020-03-09,480.0,507.5,475.25,500.2,5239734
2020-03-11,499.95,518.75,495.0,501.7,3169499
2020-03-12,485.0,487.5,440.1,444.35,1635846
2020-03-13,399.95,457.6,355.5,429.9,2788845
2020-03-16,401.0,423.4,390.3,401.15,1353701
2020-03-17,398.0,415.5,372.55,376.05,1052586
2020-03-18,380.3,382.45,350.25,357.35,2851414
2020-03-19,339.0,398.85,318.65,378.1,2769455
2020-03-20,374.3,414.0,369.0,407.75,1588783
2020-03-23,367.0,382.65,276.35,288.55,1152843
2020-03-24,317.4,326.0,278.65,303.2,1822240
2020-03-25,300.25,377.45,292.95,351.95,1704880
2020-03-26,352.3,439.9,345.1,423.2,2433318
2020-03-27,439.2,475.9,392.35,408.45,2360493
2020-03-30,385.2,411.6,385.2,397.85,1065922
2020-03-31,407.95,413.65,379.65,384.6,1706240
2020-04-01,380.0,401.9,375.3,382.4,936704
2020-04-03,373.0,375.0,326.65,333.85,2323689
2020-04-07,335.0,367.2,328.1,360.2,2791277
2020-04-08,354.9,396.0,351.5,355.2,1541128
2020-04-09,370.0,390.7,347.4,352.2,1825836
2020-04-13,355.0,368.9,347.15,350.95,1434385
2020-04-15,353.0,412.95,353.0,395.9,4990393
2020-04-16,393.05,435.45,387.05,426.7,5300471
2020-04-17,438.0,449.0,413.65,420.6,1816629
2020-04-20,423.2,455.0,418.6,442.2,1928444
2020-04-21,434.0,434.0,407.55,421.1,1479123
2020-04-22,420.0,446.35,411.35,439.5,1222948
2020-04-23,440.0,454.15,420.0,423.85,1573809
2020-04-24,415.0,432.75,400.55,420.15,1930567
2020-04-27,433.0,457.85,432.8,451.95,2576292
2020-04-28,460.0,492.75,430.0,477.15,13467202
2020-04-29,480.0,480.0,462.7,473.0,2262910
2020-04-30,477.9,489.85,460.25,469.8,2081814
2020-05-04,452.2,466.35,444.0,462.7,2091702
2020-05-05,465.9,472.1,450.0,452.6,1956312
2020-05-06,453.25,465.55,441.85,459.1,1925929
2020-05-07,461.0,470.0,438.7,442.7,1861769
2020-05-08,450.4,460.15,443.35,450.95,2586205
2020-05-11,459.35,471.35,438.0,441.0,1987234
2020-05-12,441.0,453.55,441.0,446.9,1376291
2020-05-13,459.0,461.6,443.05,450.45,1758308
2020-05-14,452.1,457.0,443.5,448.65,645891
2020-05-15,450.0,454.0,447.0,449.1,479335
2020-05-18,450.0,450.85,407.15,417.75,1933057
2020-05-19,420.0,438.95,418.5,425.85,1749717
2020-05-20,424.4,439.0,411.65,434.95,966310
2020-05-21,438.0,447.1,429.3,440.05,1004745
2020-05-22,435.55,438.0,424.2,429.25,989345
2020-05-26,431.3,443.9,421.35,438.2,987573
2020-05-27,427.35,448.7,413.0,443.7,3414848
2020-05-28,443.75,470.7,431.0,466.1,2271001
2020-05-29,467.4,491.35,451.4,480.35,1521799
2020-06-01,479.05,498.15,475.0,479.45,1211046
2020-06-02,483.0,486.9,456.9,462.45,2789434
2020-06-03,464.0,479.7,450.0,451.7,4002712
2020-06-04,452.3,473.45,452.3,460.8,2965249
2020-06-05,466.2,475.0,461.45,473.35,1005279
2020-06-08,481.25,487.8,474.3,476.8,1400015
2020-06-09,479.0,485.85,464.15,466.3,796727
2020-06-10,469.8,485.2,466.0,482.95,1124587
2020-06-11,484.95,493.9,467.95,476.05,1988750
2020-06-12,461.5,498.0,461.5,488.9,1650423
2020-06-15,489.0,491.3,471.45,475.55,1118019
2020-06-16,482.0,492.0,468.65,485.9,1057720
2020-06-17,480.0,505.95,479.4,490.15,2243431
2020-06-18,489.95,501.0,487.4,491.1,1210365
2020-06-19,491.1,515.0,489.3,503.8,1349689
2020-06-22,504.0,506.05,491.5,495.3,886169
2020-06-23,496.0,506.0,488.25,495.95,813829
2020-06-24,496.2,517.85,496.2,506.65,1190286
2020-06-25,504.0,548.0,499.1,536.0,3492641
2020-06-26,530.0,533.0,511.15,515.55,1417517
2020-06-29,515.55,522.25,496.3,516.3,954941
2020-06-30,524.2,554.0,517.15,542.0,1413320
2020-07-01,537.9,545.0,519.0,536.7,2414676
2020-07-02,544.0,549.3,525.0,545.45,825630
2020-07-03,541.0,562.35,535.6,554.95,931730
2020-07-06,561.0,566.95,555.6,559.95,1124970
2020-07-07,561.0,573.8,554.3,559.3,2324044
2020-07-08,560.0,560.35,545.1,547.1,984162
2020-07-09,547.0,565.3,547.0,560.1,953804
2020-07-10,568.0,576.8,553.0,561.75,1258066
2020-07-13,559.0,565.8,550.5,560.5,684025
2020-07-14,555.0,559.7,545.75,553.9,542930
2020-07-15,556.8,557.75,531.3,534.75,1643351
2020-07-16,537.4,587.0,529.15,580.9,3756264
