date,open,high,low,close,volume
2020-01-13,1006.0,1014.0,1001.2,1005.05,334029
2020-01-14,1007.0,1024.0,1006.6,1014.3,598095
2020-01-15,1019.95,1110.65,1018.5,1101.0,4483234
2020-01-16,1102.0,1148.0,1094.0,1125.65,3794668
2020-01-17,1124.0,1172.95,1110.7,1136.95,2530053
2020-01-20,1141.0,1169.9,1131.15,1134.7,1483104
2020-01-21,1125.0,1161.0,1125.0,1146.3,1018999
2020-01-22,1160.0,1165.0,1131.35,1140.65,907437
2020-01-23,1143.0,1183.9,1136.15,1179.75,1923129
2020-01-24,1181.95,1198.0,1175.1,1181.55,1018094
2020-01-27,1180.95,1206.65,1178.0,1185.75,968841
2020-01-28,1179.0,1241.0,1179.0,1228.8,1751440
2020-01-29,1237.0,1245.0,1220.0,1226.45,1126829
2020-01-30,1227.0,1246.2,1208.15,1236.9,1068514
2020-01-31,1239.9,1242.35,1170.0,1173.55,1351299
2020-02-01,1174.7,1211.55,1143.95,1162.55,1442426
2020-02-03,1161.0,1178.9,1151.2,1165.05,551834
2020-02-04,1170.0,1209.9,1170.0,1199.85,889718
2020-02-05,1205.0,1214.25,1186.15,1191.65,438451
2020-02-06,1200.0,1213.9,1183.85,1190.9,565554
2020-02-07,1198.25,1214.9,1182.55,1198.5,925426
2020-02-10,1175.0,1212.0,1155.0,1195.45,1219428
2020-02-11,1203.5,1204.4,1168.75,1174.15,688930
2020-02-12,1189.0,1233.8,1175.1,1224.3,1448109
2020-02-13,1223.95,1234.4,1171.9,1191.1,2146732
2020-02-14,1185.0,1194.45,1157.0,1160.95,868857
2020-02-17,1167.0,1168.0,1130.0,1134.2,799669
2020-02-18,1134.0,1174.0,1117.35,1138.0,1526981
2020-02-19,1150.9,1164.4,1121.95,1137.75,801261
2020-02-20,1148.0,1153.0,1123.15,1127.6,731297
2020-02-24,1119.0,1132.85,1095.8,1101.5,636816
2020-02-25,1101.9,1109.9,1080.2,1099.55,771325
2020-02-26,1094.0,1107.0,1071.1,1075.35,636854
2020-02-27,1082.0,1088.8,1051.75,1062.05,570114
2020-02-28,1049.0,1049.0,995.0,1005.3,1230192
2020-03-02,1020.0,1032.6,993.0,1000.45,577674
2020-03-03,1010.0,1069.0,1010.0,1033.5,1896743
2020-03-04,1037.0,1049.45,984.0,1016.25,777129
2020-03-05,1027.6,1034.05,1010.0,1024.05,494916
2020-03-06,952.0,1007.7,952.0,999.0,468282
2020-03-09,980.0,985.0,946.0,963.1,440639
2020-03-11,958.2,992.45,958.2,975.5,615990
2020-03-12,948.0,951.2,901.25,910.25,919508
2020-03-13,840.0,971.85,780.55,939.1,815750
2020-03-16,905.0,909.95,854.1,869.85,637576
2020-03-17,880.0,887.85,850.0,878.0,315359
2020-03-18,881.3,891.6,696.3,746.3,1519541
2020-03-19,700.4,765.0,663.9,747.7,1466609
2020-03-20,757.0,818.15,730.0,792.85,691503
2020-03-23,715.0,791.6,692.0,699.55,407425
2020-03-24,730.0,753.2,682.8,711.25,690513
2020-03-25,700.2,778.65,693.95,743.7,780746
2020-03-26,765.0,872.7,758.7,861.25,1197918
2020-03-27,890.0,933.1,801.0,814.55,1037951
2020-03-30,800.0,810.0,778.05,792.15,403182
2020-03-31,820.0,829.8,782.35,818.45,537529
2020-04-01,819.95,833.7,801.1,814.9,275019
2020-04-03,819.0,844.45,801.15,824.5,696751
2020-04-07,845.0,885.5,832.65,859.5,677243
2020-04-08,862.6,941.75,859.5,890.6,1068870
2020-04-09,917.0,917.0,882.2,898.45,586149
2020-04-13,910.0,960.0,872.0,949.65,985520
2020-04-15,958.95,968.95,925.7,940.95,864920
2020-04-16,939.0,958.0,921.0,939.45,780373
2020-04-17,948.15,968.4,941.65,947.25,1364794
2020-04-20,952.0,986.85,945.8,959.85,882069
2020-04-21,950.0,959.0,940.55,949.55,675268
2020-04-22,942.0,943.55,901.55,932.6,687505
2020-04-23,937.6,950.0,908.05,912.4,660155
2020-04-24,912.0,936.95,890.0,913.05,718412
2020-04-27,927.0,939.8,916.05,925.5,274980
2020-04-28,928.0,965.5,924.0,959.35,678818
2020-04-29,967.7,990.0,940.25,946.2,1211246
2020-04-30,955.0,978.1,955.0,972.75,747780
2020-05-04,932.1,975.75,932.1,941.65,607293
2020-05-05,959.9,959.9,905.0,908.65,574404
2020-05-06,900.5,922.0,881.05,894.25,1458669
2020-05-07,894.25,907.65,863.3,872.65,817591
2020-05-08,880.5,894.0,855.6,859.45,708735
2020-05-11,865.0,905.0,862.8,900.1,1013673
2020-05-12,895.0,915.15,877.65,906.6,421098
2020-05-13,928.9,928.9,903.3,922.1,495953
2020-05-14,922.8,939.7,891.3,902.0,412466
2020-05-15,902.0,912.95,887.3,892.85,330883
2020-05-18,900.1,900.8,872.15,881.7,425606
2020-05-19,886.2,910.0,872.4,888.85,641697
2020-05-20,885.0,904.15,880.15,897.5,483243
2020-05-21,898.0,916.7,897.1,906.95,708809
2020-05-22,906.9,909.9,886.35,894.6,445497
2020-05-26,895.8,935.0,894.6,930.4,704497
2020-05-27,932.0,949.3,915.0,917.7,606882
2020-05-28,919.0,942.7,917.0,924.7,603782
2020-05-29,923.0,980.05,919.05,972.6,1058763
2020-06-01,982.0,1001.4,953.35,961.9,1041865
2020-06-02,967.0,979.85,942.5,966.4,1102110
2020-06-03,971.4,1024.4,969.2,1013.85,1827727
2020-06-04,1048.0,1058.0,1015.55,1024.65,2845144
2020-06-05,1038.25,1038.25,1002.0,1012.65,1165374
2020-06-08,1020.0,1042.0,985.1,988.55,1134082
2020-06-09,998.0,1013.0,992.0,996.85,1133170
2020-06-10,1010.0,1010.0,983.0,993.3,1076796
2020-06-11,995.0,1048.8,993.3,1036.3,2923939
2020-06-12,1004.95,1087.3,1001.0,1074.2,2261363
2020-06-15,1076.0,1097.4,1062.0,1069.8,1682066
2020-06-16,1075.0,1084.6,1034.8,1048.85,2181100
2020-06-17,1052.75,1068.7,1040.7,1045.4,720198
2020-06-18,1042.8,1090.45,1033.05,1082.65,1467632
2020-06-19,1082.65,1094.6,1061.0,1075.65,1159154
2020-06-22,1077.0,1089.45,1050.05,1053.55,1168185
2020-06-23,1058.7,1066.0,1041.8,1058.0,583350
2020-06-24,1067.0,1112.2,1047.95,1062.95,1605125
2020-06-25,1060.9,1073.9,1035.0,1069.6,874078
2020-06-26,1084.0,1092.2,1071.0,1077.15,410500
2020-06-29,1080.0,1087.0,1039.0,1043.65,696422
2020-06-30,1056.0,1074.0,1049.15,1052.1,656947
2020-07-01,1050.0,1058.9,1033.6,1050.05,631653
2020-07-02,1055.0,1062.95,1046.0,1047.8,542838
2020-07-03,1058.2,1079.75,1049.05,1071.25,796618
2020-07-06,1080.0,1088.15,1068.6,1073.55,460284
2020-07-07,1060.0,1079.1,1024.1,1028.55,1989742
2020-07-08,1028.55,1032.0,1001.0,1007.35,1576167
2020-07-09,1007.9,1022.45,996.0,1012.0,1965498
2020-07-10,1012.0,1019.0,963.3,969.95,1991447
2020-07-13,970.4,983.4,962.9,969.95,685399
2020-07-14,969.95,992.0,967.1,989.5,1431269
2020-07-15,1000.0,1003.25,976.35,980.4,894344
2020-07-16,987.0,987.0,959.0,982.15,722731
2020-07-17,981.0,1001.6,974.2,993.9,1132274
2020-07-20,998.4,1015.0,996.05,1006.65,705363
2020-07-21,1017.0,1017.0,985.5,1001.65,739511
2020-07-22,1000.9,1013.4,986.0,1003.25,510513
2020-07-23,1002.0,1036.9,999.0,1028.05,1565080
2020-07-24,1027.0,1035.3,1007.0,1027.9,573795
2020-07-27,1027.9,1032.5,999.8,1001.9,535939
2020-07-28,1001.9,1008.9,990.85,999.5,563628
2020-07-29,1000.7,1015.9,995.35,1005.85,731289
2020-07-30,1009.9,1014.25,985.1,987.1,402164
2020-07-31,989.2,992.6,970.05,974.45,731360
2020-08-03,970.0,983.75,969.0,972.3,319294
2020-08-04,970.15,977.4,962.0,969.55,667781
2020-08-05,975.0,991.9,971.5,987.25,725975
2020-08-06,991.65,991.95,969.5,984.35,576447
2020-08-07,985.0,987.55,959.0,969.0,775997
2020-08-10,964.0,970.0,946.0,967.9,692507
2020-08-11,980.0,992.1,967.55,971.25,1079422
2020-08-12,971.3,986.95,966.1,981.65,544636
2020-08-13,990.25,1004.8,981.0,983.95,1108782
2020-08-14,984.0,991.75,968.0,971.85,517352
2020-08-17,978.0,978.0,952.0,957.7,837705
2020-08-18,959.5,973.9,959.5,970.6,538412
2020-08-19,975.0,975.0,960.6,969.1,616229
2020-08-20,966.65,1018.9,965.1,1012.25,2416683
2020-08-21,1021.7,1056.0,1020.55,1043.1,2760772
2020-08-24,1049.0,1074.9,1045.05,1060.05,1624120
2020-08-25,1064.95,1072.95,1033.9,1038.6,854865
2020-08-26,1040.0,1042.1,1011.25,1015.1,863962
2020-08-27,1016.0,1020.0,990.0,992.8,931220
2020-08-28,999.5,1004.7,987.65,992.25,846032
2020-08-31,999.0,1009.0,950.0,952.0,1163989
2020-09-01,952.0,959.95,893.35,905.85,2674771
2020-09-02,919.0,929.9,906.4,913.55,1427130
2020-09-03,918.0,942.0,915.7,926.25,1070176
2020-09-04,918.0,927.8,900.0,912.4,716437
2020-09-07,914.95,923.65,896.6,904.15,613955
2020-09-08,905.15,911.5,888.0,890.6,738912
2020-09-09,884.95,900.0,876.15,894.25,775277
2020-09-10,900.0,909.45,885.0,896.4,682944
2020-09-11,898.9,909.8,895.1,906.1,867419
2020-09-14,911.0,949.0,911.0,929.75,1350393
2020-09-15,939.45,941.0,917.5,936.55,714646
2020-09-16,917.0,920.0,905.0,909.3,1016046
2020-09-17,911.6,918.0,904.05,911.7,430542
2020-09-18,916.0,928.75,911.9,919.15,1072290
2020-09-21,923.7,941.0,878.35,886.4,1848325
2020-09-22,888.0,889.0,830.35,851.3,3108378
2020-09-23,860.0,865.0,834.15,842.9,666476
2020-09-24,844.0,846.95,816.0,818.05,837156
2020-09-25,821.5,836.25,812.2,821.3,1051885
2020-09-28,827.0,854.8,825.0,849.7,908318
2020-09-29,856.0,865.5,825.2,836.0,826553
2020-09-30,840.0,845.75,823.4,830.05,571227
2020-10-01,851.25,874.7,839.1,864.05,1372140
2020-10-05,864.0,872.95,852.0,854.35,547684
2020-10-06,856.0,860.65,845.0,857.9,690343
