date,open,high,low,close,volume
2020-01-13,45.75,46.15,45.5,45.8,4738374
2020-01-14,45.8,47.4,45.8,47.1,12724238
2020-01-15,47.3,48.45,46.7,48.25,13185368
2020-01-16,48.3,48.75,46.95,47.45,13351415
2020-01-17,47.45,47.75,46.2,46.45,9703097
2020-01-20,46.75,46.85,45.95,46.15,5577326
2020-01-21,45.95,46.5,45.05,45.35,7764564
2020-01-22,45.75,45.75,44.9,45.4,7562511
2020-01-23,45.4,46.3,45.2,46.05,6912307
2020-01-24,46.15,47.0,45.7,46.5,7184760
2020-01-27,46.05,46.6,45.5,45.6,8558908
2020-01-28,45.7,45.9,44.65,44.9,5294884
2020-01-29,45.1,45.8,44.6,44.8,12372730
2020-01-30,44.9,44.95,43.5,43.9,9177011
2020-01-31,44.25,44.3,42.3,42.55,18252296
2020-02-01,42.5,43.7,41.5,42.0,9281980
2020-02-03,42.0,42.25,41.1,41.7,7189798
2020-02-04,42.0,42.7,41.6,42.5,6025975
2020-02-05,42.9,43.7,42.2,43.4,8617929
2020-02-06,44.5,45.2,43.9,44.45,13318419
2020-02-07,44.5,45.25,43.8,45.1,6735689
2020-02-10,44.95,45.1,43.1,43.25,10922663
2020-02-11,42.3,43.35,40.85,40.95,25752130
2020-02-12,41.35,41.6,39.15,40.25,17918613
2020-02-13,40.4,41.6,40.35,41.4,8686475
2020-02-14,41.4,41.65,40.5,40.8,5062366
2020-02-17,41.0,41.3,39.85,40.2,7279178
2020-02-18,38.95,39.2,38.1,39.0,8795325
2020-02-19,39.15,39.95,38.7,39.2,5503843
2020-02-20,39.35,39.6,38.25,38.8,10386184
2020-02-24,38.6,38.6,36.75,36.95,9327552
2020-02-25,37.2,37.45,36.5,36.65,5391014
2020-02-26,36.1,36.6,35.9,36.0,6195927
2020-02-27,36.0,36.15,34.4,34.7,8752825
2020-02-28,33.6,34.05,32.75,33.5,11589520
2020-03-02,34.2,34.6,32.3,32.65,8832483
2020-03-03,32.8,35.05,32.4,34.45,10392093
2020-03-04,34.4,35.25,33.3,34.95,11036836
2020-03-05,35.25,35.65,34.05,34.35,6379219
2020-03-06,33.3,33.4,32.4,33.0,7910467
2020-03-09,32.3,32.7,30.45,30.9,10041286
2020-03-11,31.05,31.6,30.05,30.25,10108705
2020-03-12,29.0,29.5,25.9,27.0,17921856
2020-03-13,24.4,30.9,24.4,30.6,15739957
2020-03-16,29.75,30.95,28.05,29.9,10929596
2020-03-17,30.1,31.75,29.15,30.25,13264734
2020-03-18,30.5,30.9,28.45,29.85,10912083
2020-03-19,28.7,31.85,28.2,30.5,14241017
2020-03-20,30.25,32.6,29.8,32.25,13529249
2020-03-23,30.7,30.7,27.5,28.05,6960229
2020-03-24,28.6,29.65,27.7,28.7,6384595
2020-03-25,28.5,29.55,28.25,28.85,5841487
2020-03-26,29.0,30.6,28.35,29.1,11077880
2020-03-27,29.25,30.5,27.4,27.95,11545942
2020-03-30,27.4,28.4,26.6,27.95,5434704
2020-03-31,28.5,29.45,28.25,29.1,5944007
2020-04-01,28.95,29.15,28.05,28.35,4545449
2020-04-03,28.8,28.8,27.5,28.15,6598198
2020-04-07,28.8,29.7,28.5,29.35,10201535
2020-04-08,29.05,31.4,28.55,29.6,11410350
2020-04-09,30.3,30.5,29.7,30.4,8573980
2020-04-13,30.4,31.15,29.55,30.3,9333279
2020-04-15,30.55,31.4,29.85,30.25,10938462
2020-04-16,30.2,31.35,29.6,31.05,5999344
2020-04-17,31.7,32.5,31.15,31.95,7136537
2020-04-20,33.0,34.5,32.5,34.1,18439911
2020-04-21,33.5,34.2,32.15,33.8,12590869
2020-04-22,32.65,34.05,32.1,33.6,8855497
2020-04-23,34.25,35.35,33.5,33.7,13126734
2020-04-24,33.75,34.9,30.55,31.5,63796191
2020-04-27,31.7,32.2,30.8,30.95,14163279
2020-04-28,31.15,31.45,30.25,30.5,7015726
2020-04-29,30.5,31.35,30.35,30.9,9896188
2020-04-30,31.5,32.2,31.2,31.8,14646461
2020-05-04,30.8,30.8,29.9,30.2,8643450
2020-05-05,30.5,30.65,29.05,29.15,9434617
2020-05-06,29.45,29.5,28.7,29.1,5678211
2020-05-07,28.9,29.45,28.6,28.85,4735781
2020-05-08,29.2,29.35,28.05,28.35,7310382
2020-05-11,28.5,28.9,27.85,27.95,6795110
2020-05-12,27.8,28.0,26.9,27.1,14291470
2020-05-13,28.6,29.3,27.55,28.25,19160376
2020-05-14,28.1,29.2,27.7,28.55,11296461
2020-05-15,28.65,29.3,28.2,28.95,9195058
2020-05-18,29.2,29.45,27.3,27.5,10993087
2020-05-19,28.05,28.5,27.65,27.95,7205944
2020-05-20,27.95,28.3,27.6,27.9,4959705
2020-05-21,27.9,28.35,27.75,28.0,7176852
2020-05-22,27.85,28.0,26.75,26.9,10716384
2020-05-26,27.25,27.8,27.25,27.65,6132089
2020-05-27,28.05,29.3,27.8,29.05,8999848
2020-05-28,29.1,29.75,29.0,29.35,9758479
2020-05-29,28.0,30.5,28.0,29.4,15131882
2020-06-01,29.55,30.9,29.55,29.95,12807112
2020-06-02,29.85,31.85,29.85,30.95,25286815
2020-06-03,31.5,31.6,30.85,31.0,13105856
2020-06-04,30.65,31.1,30.05,30.45,9227383
2020-06-05,30.6,33.15,30.6,32.8,30862503
2020-06-08,33.5,34.2,32.45,32.95,20974184
2020-06-09,33.25,33.45,32.25,32.5,17122177
2020-06-10,32.7,32.9,32.05,32.4,8496323
2020-06-11,32.4,32.8,31.05,31.2,10487118
2020-06-12,30.0,31.6,29.6,31.4,11639289
2020-06-15,30.95,31.35,30.0,30.1,12642766
2020-06-16,30.9,31.3,29.55,29.95,15168594
2020-06-17,29.8,30.45,29.3,29.45,12167468
2020-06-18,29.45,30.6,29.45,30.4,12075747
2020-06-19,30.7,31.35,30.35,30.65,46341420
2020-06-22,31.15,32.65,30.8,32.35,27573103
2020-06-23,32.85,34.0,32.45,33.65,32840732
2020-06-24,34.2,34.35,32.1,32.25,28173572
2020-06-25,31.5,34.75,31.5,34.1,38088647
2020-06-26,34.2,34.9,33.1,33.5,17135552
2020-06-29,33.6,33.65,31.35,31.9,21438668
2020-06-30,32.45,32.7,31.5,31.85,11485132
2020-07-01,31.85,32.1,31.25,31.6,7175025
2020-07-02,31.8,33.25,31.6,32.7,13047805
2020-07-03,33.2,33.35,32.25,32.45,9428500
2020-07-06,32.5,33.55,32.35,33.35,12193764
2020-07-07,33.5,33.75,32.6,33.5,16305327
2020-07-08,33.75,36.85,33.5,35.75,72653821
2020-07-09,36.2,37.5,36.0,36.65,35900645
2020-07-10,36.6,37.0,35.75,36.4,20313080
2020-07-13,36.95,37.15,35.3,35.7,16016795
2020-07-14,35.7,35.7,33.8,34.0,13995246
2020-07-15,34.4,35.0,33.45,33.65,11276413
2020-07-16,33.75,33.95,32.7,33.75,13490894
2020-07-17,34.0,35.2,34.0,34.45,20348863
2020-07-20,34.7,34.7,33.5,33.75,8308088
2020-07-21,33.8,34.45,33.4,33.8,12052597
2020-07-22,33.8,34.6,33.6,33.85,9987224
2020-07-23,33.85,34.35,33.75,33.95,7205135
2020-07-24,33.8,33.85,32.8,33.25,10436678
2020-07-27,33.3,33.55,32.4,33.25,10220466
2020-07-28,33.45,33.85,33.2,33.65,9655705
2020-07-29,33.75,34.1,33.1,33.25,14600230
2020-07-30,33.35,33.55,32.05,32.5,22293916
2020-07-31,32.5,32.9,32.1,32.75,8882568
2020-08-03,32.75,33.25,32.5,32.7,19295486
2020-08-04,32.75,33.2,32.7,32.95,5774338
2020-08-05,33.1,35.1,33.1,34.6,29457275
2020-08-06,34.9,35.2,34.45,34.85,16039462
2020-08-07,34.75,35.3,34.45,34.9,11144307
2020-08-10,35.0,35.2,34.65,34.8,8027547
2020-08-11,35.1,36.35,35.0,35.5,18575322
2020-08-12,35.35,35.35,34.55,34.85,7217566
2020-08-13,35.0,35.7,34.9,35.25,9247090
2020-08-14,35.35,36.2,34.7,35.15,22686295
2020-08-17,35.25,35.9,34.95,35.7,9968912
2020-08-18,35.8,36.8,35.6,36.2,19333676
2020-08-19,36.65,39.2,36.5,38.7,39504651
2020-08-20,38.55,40.05,38.0,39.2,18959566
2020-08-21,39.7,40.0,37.75,38.05,12297197
2020-08-24,38.35,38.5,37.55,37.7,7991626
2020-08-25,37.8,38.05,36.15,36.95,11192525
2020-08-26,37.0,37.75,36.75,37.5,12664584
2020-08-27,37.85,38.7,36.9,37.1,16538700
2020-08-28,37.35,38.1,37.25,37.55,8219037
2020-08-31,37.85,38.15,35.7,35.85,13897735
2020-09-01,35.75,37.45,35.7,37.2,9742160
2020-09-02,37.2,37.6,36.5,37.35,6901647
2020-09-03,37.5,38.05,37.05,37.45,6924211
2020-09-04,36.7,37.3,36.15,36.3,8623053
2020-09-07,36.45,36.9,35.1,36.2,11734157
2020-09-08,36.15,36.35,34.4,34.7,11569059
2020-09-09,34.1,34.3,32.8,33.8,20755879
2020-09-10,34.35,34.85,33.7,34.4,9045399
2020-09-11,34.6,34.95,34.2,34.8,5202748
2020-09-14,35.3,36.45,34.8,35.2,17398896
2020-09-15,35.3,35.4,34.15,34.3,11657906
2020-09-16,34.15,34.7,33.7,34.5,9957488
2020-09-17,34.5,34.6,33.65,34.45,12988094
2020-09-18,34.35,35.45,34.05,34.9,19142020
2020-09-21,35.1,35.2,32.85,33.05,14532540
2020-09-22,33.1,33.3,31.55,31.95,17525995
2020-09-23,32.15,32.45,31.4,31.8,19720269
2020-09-24,31.3,31.7,29.95,30.05,12663408
2020-09-25,30.5,31.95,30.15,31.8,12175008
2020-09-28,32.5,33.0,32.05,32.7,11997616
2020-09-29,32.9,33.15,31.95,32.9,13846330
2020-09-30,33.15,33.3,32.0,32.25,14429096
2020-10-01,32.55,33.3,31.95,32.15,12498033
2020-10-05,32.5,32.85,32.15,32.25,6469679
2020-10-06,32.6,32.6,31.65,31.8,6207236
2020-10-07,32.0,32.0,31.1,31.4,12304667
2020-10-08,31.55,31.75,30.5,30.9,42027871
2020-10-09,31.25,32.0,31.05,31.35,23011642
2020-10-12,31.45,31.95,30.5,30.55,11201437
2020-10-13,30.6,30.75,30.15,30.3,6886931
2020-10-14,30.1,30.3,29.1,29.8,21802474
2020-10-15,29.95,30.25,29.5,29.7,8221247
2020-10-16,29.9,30.85,29.55,30.6,8872911
2020-10-19,31.05,31.5,30.4,31.4,11741287
2020-10-20,31.1,31.25,30.7,31.05,5429411
2020-10-21,31.3,31.6,30.15,30.45,9371467
2020-10-22,30.5,30.6,29.9,30.25,9450082
