date,open,high,low,close,volume
2020-01-13,2564.65,2568.0,2478.0,2529.35,795516
2020-01-14,2509.0,2552.0,2505.6,2545.85,153823
2020-01-15,2540.0,2558.0,2493.45,2521.9,147296
2020-01-16,2536.8,2620.0,2470.0,2580.85,325358
2020-01-17,2555.0,2615.0,2555.0,2600.45,155575
2020-01-20,2605.0,2620.0,2569.15,2591.7,55731
2020-01-21,2600.0,2675.0,2525.05,2567.9,272694
2020-01-22,2569.8,2574.4,2504.7,2531.8,243217
2020-01-23,2538.8,2604.0,2530.35,2591.5,159299
2020-01-24,2603.95,2757.45,2597.6,2708.05,811434
2020-01-27,2708.0,2750.0,2671.1,2700.0,221109
2020-01-28,2701.0,2805.1,2701.0,2765.35,456036
2020-01-29,2780.0,2849.85,2780.0,2832.85,252841
2020-01-30,2845.0,2880.0,2785.0,2824.55,198937
2020-01-31,2842.15,2935.0,2825.05,2847.65,245742
2020-02-01,2840.0,2846.95,2641.0,2676.1,119190
2020-02-03,2676.1,2924.25,2675.6,2811.1,492976
2020-02-04,2799.8,2993.1,2799.8,2961.75,454397
2020-02-05,2978.3,3024.0,2935.0,2987.3,279347
2020-02-06,2980.0,3095.2,2960.0,3071.3,248941
2020-02-07,3090.4,3130.0,3040.0,3078.3,100880
2020-02-10,3097.5,3128.0,2980.0,3013.75,137020
2020-02-11,3032.55,3058.0,2961.05,2999.35,745408
2020-02-12,3013.95,3048.95,2933.0,2955.75,298776
2020-02-13,2938.0,2939.95,2829.65,2864.75,262928
2020-02-14,2864.75,2967.0,2820.0,2850.15,195067
2020-02-17,2836.0,2850.0,2772.0,2819.6,132540
2020-02-18,2815.95,2911.05,2751.1,2787.1,252278
2020-02-19,2832.0,2901.15,2808.8,2849.95,225705
2020-02-20,2855.05,2890.0,2825.0,2840.45,135848
2020-02-24,2839.55,2839.55,2694.55,2709.15,226097
2020-02-25,2761.0,2810.0,2631.05,2649.6,326428
2020-02-26,2648.95,2698.0,2550.0,2610.3,280229
2020-02-27,2591.0,2665.0,2555.0,2567.2,260503
2020-02-28,2495.0,2650.0,2323.3,2593.35,502208
2020-03-02,2648.0,2750.0,2628.0,2685.25,462205
2020-03-03,2715.2,2805.0,2714.5,2788.8,369971
2020-03-04,2780.0,2802.55,2640.0,2654.35,400834
2020-03-05,2625.3,2738.0,2558.15,2704.25,357343
2020-03-06,2599.0,2670.0,2550.0,2648.3,245608
2020-03-09,2575.0,2598.2,2520.0,2530.7,243496
2020-03-11,2505.0,2607.5,2465.5,2548.2,341397
2020-03-12,2478.0,2479.0,2350.0,2364.15,385192
2020-03-13,2132.0,2350.0,2131.55,2292.45,525548
2020-03-16,2231.0,2272.1,2172.65,2182.95,257214
2020-03-17,2181.0,2199.95,2069.2,2101.9,394723
2020-03-18,2101.35,2169.5,1970.0,1983.85,341971
2020-03-19,1831.0,2069.8,1740.0,1977.95,409973
2020-03-20,1950.5,2072.0,1856.65,1951.6,395592
2020-03-23,1800.0,1848.4,1581.1,1691.25,540755
2020-03-24,1676.0,1860.0,1674.35,1772.85,356952
2020-03-25,1750.0,1859.5,1700.0,1828.3,489231
2020-03-26,1929.0,2193.95,1855.5,2028.3,415481
2020-03-27,2149.0,2196.0,1980.0,2050.45,482477
2020-03-30,2000.1,2160.0,1900.0,2145.8,512193
2020-03-31,2162.0,2167.25,2017.95,2035.05,832574
2020-04-01,2048.0,2100.6,1981.35,2013.95,335312
2020-04-03,2028.0,2054.1,1931.0,2006.65,310860
2020-04-07,2050.0,2407.95,2050.0,2358.1,285527
2020-04-08,2310.0,2403.85,2202.0,2253.85,373732
2020-04-09,2290.0,2340.55,2205.0,2241.95,209573
2020-04-13,2222.0,2359.9,2140.5,2161.3,320698
2020-04-15,2215.0,2418.0,2186.0,2361.95,691806
2020-04-16,2370.3,2420.0,2326.0,2348.45,579119
2020-04-17,2410.0,2524.0,2410.0,2486.55,516656
2020-04-20,2495.0,2545.85,2369.0,2444.85,619686
2020-04-21,2400.05,2461.0,2363.0,2387.15,227001
2020-04-22,2370.0,2507.45,2370.0,2496.65,326276
2020-04-23,2510.1,2556.0,2410.0,2462.85,427987
2020-04-24,2420.0,2454.95,2303.0,2327.1,272699
2020-04-27,2360.25,2404.9,2302.15,2322.75,193767
2020-04-28,2370.0,2417.6,2289.3,2392.25,312743
2020-04-29,2420.75,2499.75,2405.45,2434.75,487683
2020-04-30,2472.45,2577.5,2419.0,2547.6,334287
