date,open,high,low,close,volume
2020-01-14,1465.79,1489.5,1460.7,1486.86,503779
2020-01-15,1482.8,1495.0,1471.89,1486.02,414679
2020-01-16,1485.1,1539.8,1484.81,1535.49,2032079
2020-01-17,1539.9,1560.0,1535.87,1543.95,963989
2020-01-20,1523.02,1547.94,1523.02,1541.73,687699
2020-01-21,1536.11,1550.16,1520.0,1528.08,632579
2020-01-22,1536.9,1558.5,1530.1,1554.87,556269
2020-01-23,1550.0,1562.5,1545.5,1554.89,428609
2020-01-24,1560.0,1585.0,1550.02,1575.55,506319
2020-01-27,1570.0,1584.5,1556.0,1566.61,313619
2020-01-28,1566.4,1571.0,1536.68,1541.67,531069
2020-01-29,1558.5,1590.0,1544.0,1586.68,642509
2020-01-30,1580.2,1581.09,1547.13,1552.08,472519
2020-01-31,1556.0,1563.73,1531.03,1535.95,596489
2020-02-01,1530.0,1566.18,1518.44,1552.48,421809
2020-02-03,1558.9,1650.0,1553.0,1630.1,2037519
2020-02-04,1640.0,1650.79,1612.71,1645.56,1164159
2020-02-05,1647.6,1648.19,1625.61,1638.49,575109
2020-02-06,1639.9,1654.95,1615.78,1628.5,740839
2020-02-07,1634.0,1638.5,1619.46,1632.78,414069
2020-02-10,1630.0,1637.31,1611.2,1617.22,612699
2020-02-11,1624.0,1630.01,1595.0,1599.72,733499
2020-02-12,1602.6,1647.26,1596.85,1629.77,1290109
2020-02-13,1632.8,1646.15,1627.74,1641.22,1512279
2020-02-14,1650.0,1678.24,1625.0,1635.65,1657079
2020-02-17,1641.3,1661.5,1637.3,1658.85,1397879
2020-02-18,1656.99,1656.99,1638.51,1640.39,900129
2020-02-19,1653.86,1683.15,1647.58,1678.51,949999
2020-02-20,1674.0,1674.0,1652.54,1653.95,657319
2020-02-24,1649.9,1657.68,1631.7,1633.73,665159
2020-02-25,1637.3,1654.09,1630.94,1638.05,909159
2020-02-26,1654.5,1654.5,1615.01,1624.02,1168389
2020-02-27,1630.0,1634.09,1605.75,1626.38,901989
2020-02-28,1604.2,1612.91,1568.0,1577.89,1406729
2020-03-02,1595.0,1631.5,1590.1,1611.0,1172319
2020-03-03,1613.03,1649.9,1613.03,1635.94,933719
2020-03-04,1639.7,1663.25,1602.0,1654.15,1117109
2020-03-05,1655.0,1683.52,1648.25,1657.63,850899
2020-03-06,1635.81,1656.56,1620.01,1642.93,862119
2020-03-09,1624.93,1635.0,1570.11,1603.14,1236839
2020-03-11,1600.52,1620.0,1577.28,1604.86,1237319
2020-03-12,1586.95,1588.28,1504.5,1556.56,2228659
2020-03-13,1534.1,1585.5,1405.0,1499.18,2616699
2020-03-16,1480.0,1493.11,1349.27,1439.72,2212279
2020-03-17,1450.0,1477.7,1425.0,1454.1,1769799
2020-03-18,1455.0,1473.8,1340.0,1353.68,2129419
2020-03-19,1300.05,1344.84,1257.71,1312.03,2147099
2020-03-20,1319.8,1443.31,1315.0,1414.55,2049249
2020-03-23,1275.04,1399.98,1275.01,1294.47,1959269
2020-03-24,1388.9,1388.9,1220.0,1347.84,2586859
2020-03-25,1280.0,1452.0,1280.0,1444.41,1987589
2020-03-26,1469.97,1510.0,1405.16,1491.97,2053439
2020-03-27,1540.0,1553.4,1480.0,1510.86,1752469
2020-03-30,1499.0,1589.0,1468.77,1565.87,2014699
2020-03-31,1584.9,1642.5,1570.13,1630.06,1839189
2020-04-01,1630.03,1645.6,1550.0,1565.46,1275119
2020-04-03,1593.97,1593.97,1500.5,1510.47,1907799
2020-04-07,1557.5,1720.0,1542.61,1703.87,2469009
2020-04-08,1665.0,1754.41,1655.55,1687.13,2484449
2020-04-09,1743.7,1754.4,1657.5,1683.97,2075099
2020-04-13,1684.5,1697.4,1633.02,1660.0,831319
2020-04-15,1665.71,1739.1,1665.71,1732.59,1555789
2020-04-16,1732.0,1800.17,1705.22,1789.53,2257399
