date,open,high,low,close,volume
2019-11-06,23.8,23.85,23.3,23.45,2445951
2019-11-07,23.45,23.6,23.3,23.55,1211550
2019-11-08,23.45,23.5,23.2,23.35,1965883
2019-11-11,23.35,23.55,23.25,23.35,1701234
2019-11-13,23.95,24.25,23.5,23.65,8380504
2019-11-14,23.7,23.85,23.4,23.55,1764666
2019-11-15,23.6,23.7,23.3,23.35,1640799
2019-11-18,23.35,23.5,23.25,23.35,1686755
2019-11-19,23.35,23.5,23.3,23.35,755277
2019-11-20,23.5,23.65,23.3,23.5,1814111
2019-11-21,23.65,23.75,23.3,23.4,1272204
2019-11-22,23.4,23.7,23.35,23.5,1226521
2019-11-25,23.5,23.7,23.5,23.65,1220609
2019-11-26,23.7,24.15,23.7,23.95,3133623
2019-11-27,23.95,24.0,23.85,23.85,656336
2019-11-28,23.85,24.0,23.7,23.75,2649890
2019-11-29,23.8,24.0,23.75,23.8,717710
2019-12-02,23.85,24.25,23.8,23.95,2169712
2019-12-03,24.05,24.1,23.75,23.85,1441378
2019-12-04,23.75,24.1,23.7,24.0,1283151
2019-12-05,24.0,24.05,23.85,23.85,660902
2019-12-06,23.9,24.1,23.8,23.95,1131608
2019-12-09,23.95,24.05,23.8,23.9,1373261
2019-12-10,23.85,23.95,23.6,23.75,1690616
2019-12-11,23.75,24.05,23.75,23.85,1622202
2019-12-12,23.9,23.95,23.75,23.8,1743234
2019-12-13,23.8,24.25,23.8,23.9,1897031
2019-12-16,23.9,24.0,23.8,23.85,5111211
2019-12-17,24.0,24.05,23.85,24.0,937698
2019-12-18,23.9,24.15,23.9,24.05,1280579
2019-12-19,24.0,24.1,24.0,24.05,651315
2019-12-20,24.05,24.4,24.0,24.25,1921067
2019-12-23,24.1,24.4,23.5,23.8,7751983
2019-12-24,23.9,24.1,23.9,24.0,909249
2019-12-26,24.1,24.2,24.0,24.05,1353317
2019-12-27,24.0,24.15,24.0,24.0,846970
2019-12-30,24.05,24.1,24.0,24.0,826234
2019-12-31,24.0,24.2,23.9,23.95,1374206
2020-01-01,23.9,24.1,23.9,24.0,362729
2020-01-02,24.0,24.1,24.0,24.0,945076
2020-01-03,24.0,24.1,24.0,24.05,1034706
2020-01-06,24.0,24.05,23.9,23.95,1170184
2020-01-07,23.95,24.1,23.95,23.95,719846
2020-01-08,23.7,23.95,23.65,23.85,1634661
2020-01-09,23.9,24.1,23.85,23.95,1624871
2020-01-10,24.05,24.3,24.05,24.25,1395260
2020-01-13,24.25,24.4,24.2,24.2,828140
2020-01-14,24.2,24.3,24.1,24.2,625103
2020-01-15,24.2,24.7,24.1,24.45,1439779
2020-01-16,24.65,24.8,24.5,24.6,1213473
2020-01-17,24.5,24.6,24.2,24.25,691602
2020-01-20,26.95,29.1,26.15,27.05,64792445
2020-01-21,26.8,26.8,25.65,25.85,10549907
2020-01-22,26.0,27.2,25.15,26.15,41607850
2020-01-23,26.55,29.0,24.85,27.2,189153144
2020-01-24,26.35,28.3,26.2,27.45,13774410
2020-01-27,27.25,28.2,26.85,27.75,4363464
2020-01-28,27.6,28.15,27.1,27.3,3135829
2020-01-29,27.5,27.75,26.0,26.15,6543973
2020-01-30,26.3,26.4,25.05,25.2,5968109
2020-01-31,25.2,25.55,24.1,24.5,16998025
2020-02-01,24.4,24.4,23.8,23.9,5766539
2020-02-03,23.85,24.2,23.65,24.0,2375863
2020-02-04,24.0,24.75,24.0,24.45,3891159
2020-02-05,24.6,24.9,24.4,24.55,2522784
2020-02-06,24.6,24.7,24.15,24.3,3913375
2020-02-07,24.4,24.65,24.05,24.55,7901351
2020-02-10,24.9,25.4,23.45,24.25,24731189
2020-02-11,24.3,24.4,23.7,23.95,14033951
2020-02-12,24.15,24.15,23.75,23.95,8487719
2020-02-13,24.05,24.1,23.6,23.7,9190744
2020-02-14,23.9,24.1,23.3,23.45,15002516
2020-02-17,22.9,22.9,21.75,22.0,13667692
2020-02-18,22.0,22.15,21.1,21.3,21892432
2020-02-19,21.65,21.95,21.25,21.45,7615088
2020-02-20,21.35,21.75,20.85,21.45,19183993
2020-02-24,21.5,21.8,21.2,21.55,9131616
2020-02-25,21.6,22.2,21.6,22.05,3888556
2020-02-26,22.0,22.05,21.55,21.65,3677111
2020-02-27,21.5,21.65,21.2,21.4,4645484
2020-02-28,21.0,21.2,20.4,20.6,6961303
2020-03-02,21.0,21.5,20.8,21.1,5275905
2020-03-03,21.1,23.4,21.1,22.85,11817070
2020-03-04,22.9,23.2,21.8,22.0,4034902
2020-03-05,22.25,22.3,21.7,22.0,3322572
2020-03-06,21.1,22.25,21.05,21.7,7880829
2020-03-09,21.5,21.65,19.95,20.1,24589283
2020-03-11,20.05,21.4,20.05,21.1,18637028
2020-03-12,20.05,20.9,18.65,19.8,25323937
2020-03-13,19.25,20.95,17.5,20.55,17653637
2020-03-16,19.95,20.4,19.05,19.15,22293440
2020-03-17,19.25,19.4,18.0,18.2,11257823
2020-03-18,18.5,21.8,15.1,19.35,42443380
2020-03-19,17.75,19.15,17.45,18.45,5391469
2020-03-20,18.7,21.75,18.45,21.25,31498151
2020-03-23,18.85,19.6,17.6,18.2,6860057
2020-03-24,18.9,19.3,18.45,19.05,7311182
2020-03-25,18.8,19.3,18.7,18.95,6447812
2020-03-26,19.25,19.35,18.05,18.2,17491664
2020-03-27,18.8,19.5,18.7,19.4,25280045
2020-03-30,19.1,19.95,18.7,19.65,11417482
2020-03-31,19.5,20.15,19.3,19.95,9074851
2020-04-01,19.9,20.15,19.3,19.45,13484602
2020-04-03,19.7,21.45,19.05,19.8,14065920
2020-04-07,20.55,21.55,20.0,21.2,10416934
2020-04-08,21.25,22.0,20.85,21.85,10682325
2020-04-09,22.0,22.45,21.6,21.7,2996117
2020-04-13,22.1,22.35,21.2,21.65,3364676
2020-04-15,22.0,23.55,21.7,22.2,11012665
2020-04-16,22.3,22.6,22.1,22.3,3314357
2020-04-17,22.7,22.75,22.3,22.6,5083783
2020-04-20,22.85,22.85,21.95,22.0,3571030
2020-04-21,21.7,21.8,21.1,21.25,4461733
2020-04-22,21.0,21.4,20.85,21.15,3526494
2020-04-23,21.3,21.45,20.7,20.8,7757118
2020-04-24,20.8,21.3,20.4,20.7,11682227
2020-04-27,21.2,21.3,20.65,20.7,3421211
2020-04-28,20.65,20.9,20.15,20.25,8654623
2020-04-29,20.4,21.45,20.4,21.1,12540852
2020-04-30,21.45,21.45,20.6,20.8,4724206
2020-05-04,20.7,20.7,20.15,20.25,3783036
2020-05-05,20.35,20.6,20.2,20.3,4973737
2020-05-06,20.5,20.5,20.2,20.35,3105367
2020-05-07,20.35,20.45,20.2,20.35,1356183
2020-05-08,20.45,20.5,19.9,19.95,3357621
2020-05-11,20.0,20.25,19.9,20.0,1578914
2020-05-12,19.95,19.95,19.4,19.45,4118342
2020-05-13,20.0,20.5,19.75,20.15,4689354
2020-05-14,20.1,20.45,19.85,20.0,3897244
2020-05-15,20.25,20.25,19.8,20.0,1818620
2020-05-18,20.2,20.3,19.55,19.75,3197310
2020-05-19,19.9,19.95,19.6,19.65,2659208
2020-05-20,19.6,19.9,19.55,19.7,2505472
2020-05-21,19.7,20.05,19.65,19.95,2105291
2020-05-22,19.85,20.05,19.7,19.75,1287557
2020-05-26,19.8,19.95,19.7,19.8,956860
2020-05-27,19.85,19.95,19.6,19.9,4245614
2020-05-28,20.0,20.1,19.9,20.0,1099119
2020-05-29,20.05,20.15,19.55,19.6,4833622
2020-06-01,19.75,20.1,19.75,19.85,5013464
2020-06-02,20.0,20.25,19.9,19.95,5137134
2020-06-03,20.1,20.35,19.9,20.0,7608291
2020-06-04,20.0,20.15,19.9,20.0,5871132
2020-06-05,20.1,20.25,20.0,20.15,8147224
2020-06-08,20.35,20.65,20.15,20.2,5088687
2020-06-09,20.3,20.3,19.95,19.95,3059516
2020-06-10,20.0,20.1,19.95,20.0,2076559
2020-06-11,20.1,20.2,19.9,19.95,2692420
2020-06-12,19.5,19.95,19.4,19.85,2929614
2020-06-15,19.9,19.95,19.7,19.75,1422729
2020-06-16,19.85,20.85,19.85,20.1,7151603
2020-06-17,20.1,20.25,19.8,19.9,2710603
2020-06-18,19.95,20.05,19.8,19.85,3146174
2020-06-19,19.95,20.45,19.8,19.9,7552921
2020-06-22,20.1,20.2,19.95,20.05,5072372
2020-06-23,20.15,20.7,20.0,20.5,11758002
2020-06-24,20.7,21.25,20.5,20.55,9822808
2020-06-25,20.6,20.8,20.0,20.3,29166241
2020-06-26,20.6,20.9,20.45,20.85,5634228
2020-06-29,20.45,20.7,20.15,20.2,5163330
2020-06-30,20.45,20.45,19.9,20.0,9233584
2020-07-01,20.0,20.25,19.95,20.05,2715112
2020-07-02,20.05,20.5,20.05,20.3,17939260
2020-07-03,20.45,20.75,20.35,20.7,6664116
2020-07-06,20.9,20.9,20.6,20.65,3145871
2020-07-07,20.65,20.75,20.3,20.35,31222158
2020-07-08,20.4,20.55,20.2,20.25,4657569
2020-07-09,20.5,20.7,20.35,20.5,4720798
2020-07-10,20.4,20.65,20.2,20.25,4838818
2020-07-13,20.35,20.5,20.2,20.3,2672625
2020-07-14,20.25,20.35,20.0,20.05,3833137
2020-07-15,20.1,20.3,19.95,20.0,4537864
2020-07-16,20.05,20.2,19.85,20.1,2713974
2020-07-17,20.3,20.3,20.0,20.1,5077371
2020-07-20,20.1,20.2,20.05,20.1,2520879
2020-07-21,20.35,20.5,20.15,20.2,4367128
2020-07-22,20.2,20.3,20.1,20.15,3193420
2020-07-23,20.3,20.3,20.05,20.1,3838823
2020-07-24,20.05,20.35,20.0,20.25,4965226
2020-07-27,20.2,20.3,20.2,20.25,2849879
2020-07-28,20.25,20.35,20.15,20.25,1906936
2020-07-29,20.2,20.5,20.2,20.4,3033680
2020-07-30,20.4,20.6,20.3,20.5,3509649
2020-07-31,20.55,20.6,20.25,20.3,4455919
2020-08-03,20.2,20.4,20.0,20.15,3876070
2020-08-04,20.2,20.3,20.1,20.2,3918046
2020-08-05,20.2,20.25,20.0,20.05,3503816
2020-08-06,20.1,20.2,20.05,20.1,1680365
2020-08-07,20.15,20.5,20.1,20.45,2964871
2020-08-10,20.6,20.7,20.35,20.4,2284470
2020-08-11,20.5,20.55,20.25,20.3,1793780
2020-08-12,20.3,20.4,20.2,20.3,1429196
2020-08-13,20.35,20.75,20.25,20.55,2284581
2020-08-14,20.65,21.45,20.45,20.65,10330030
2020-08-17,20.75,21.1,20.6,20.7,3355811
2020-08-18,20.9,20.95,20.75,20.8,1915863
2020-08-19,20.85,20.95,20.8,20.9,3272022
2020-08-20,20.85,23.8,20.7,23.55,32435827
2020-08-21,23.8,24.5,23.1,23.25,14963947
2020-08-24,23.35,23.35,22.6,22.75,6247202
2020-08-25,22.7,22.75,22.05,22.25,3679863
2020-08-26,22.3,22.8,22.05,22.2,6310796
2020-08-27,22.3,22.7,22.15,22.45,4464253
2020-08-28,22.7,23.45,22.45,22.7,8773744
2020-08-31,22.8,23.25,21.5,21.65,9726439
2020-09-01,22.2,22.2,21.0,21.8,4608809
2020-09-02,21.9,21.95,21.4,21.45,6737208
2020-09-03,21.55,21.85,21.5,21.55,4517864
2020-09-04,21.3,21.85,21.3,21.4,5368900
2020-09-07,21.5,21.7,21.3,21.35,1869499
2020-09-08,21.4,21.6,21.0,21.05,3612640
2020-09-09,21.0,21.05,20.65,20.7,2490569
2020-09-10,20.85,21.05,20.55,20.55,4903345
2020-09-11,20.7,20.75,20.4,20.55,3231780
2020-09-14,20.65,20.9,20.6,20.7,2651189
2020-09-15,20.7,20.85,20.65,20.75,1934610
2020-09-16,20.85,21.4,20.75,20.9,4331796
2020-09-17,20.75,20.9,20.5,20.65,2448812
2020-09-18,20.6,21.6,20.55,21.2,6390655
2020-09-21,21.35,21.35,20.35,20.45,2537817
2020-09-22,20.5,20.6,19.85,20.1,3907604
2020-09-23,20.15,20.4,20.0,20.1,1761260
2020-09-24,20.05,20.2,19.8,20.0,27108411
