date,open,high,low,close,volume
2019-11-06,169.5,171.9,167.65,169.85,469291
2019-11-07,169.9,169.9,166.3,167.0,338753
2019-11-08,166.6,168.0,164.65,165.55,334833
2019-11-11,165.0,165.0,161.8,164.4,648617
2019-11-13,163.75,164.35,160.25,160.7,482386
2019-11-14,160.0,162.25,157.55,159.8,655488
2019-11-15,160.45,161.8,156.95,160.3,677036
2019-11-18,160.4,161.35,158.75,159.4,295985
2019-11-19,158.75,162.0,157.85,161.25,460423
2019-11-20,162.05,169.55,157.05,158.45,2895076
2019-11-21,159.95,159.95,154.2,155.1,940039
2019-11-22,154.8,155.9,150.05,153.9,959672
2019-11-25,153.9,155.2,153.1,154.4,693058
2019-11-26,154.5,158.6,154.0,155.15,1304786
2019-11-27,155.5,156.7,153.8,155.7,501356
2019-11-28,156.0,156.45,153.6,156.05,529199
2019-11-29,155.95,156.0,153.05,154.05,507348
2019-12-02,154.05,155.4,151.2,154.25,646020
2019-12-03,154.2,154.6,151.4,152.25,435303
2019-12-04,152.25,155.0,151.1,154.65,332481
2019-12-05,153.6,160.0,153.6,159.25,1312024
2019-12-06,157.65,159.8,154.05,156.2,1045335
2019-12-09,156.2,159.95,155.4,158.1,450307
2019-12-10,158.15,158.7,153.1,153.75,333050
2019-12-11,154.5,155.8,151.85,153.85,566601
2019-12-12,153.1,156.85,153.1,155.5,346035
2019-12-13,155.85,157.25,153.25,154.5,495370
2019-12-16,154.9,154.9,152.05,152.35,522173
2019-12-17,153.4,153.8,149.65,151.75,670958
2019-12-18,151.85,152.55,150.55,151.6,391623
2019-12-19,151.55,153.45,150.75,152.2,414865
2019-12-20,153.0,153.7,150.55,151.25,1010118
2019-12-23,150.85,151.8,150.0,150.2,500250
2019-12-24,150.4,151.5,149.65,150.1,444045
2019-12-26,150.65,150.8,148.4,149.0,1120996
2019-12-27,149.75,151.8,149.2,150.95,947203
2019-12-30,151.7,152.8,150.65,151.95,327623
2019-12-31,151.85,153.5,151.6,153.05,474379
2020-01-01,153.3,153.45,151.75,152.2,244943
2020-01-02,152.5,153.75,151.15,153.05,272684
2020-01-03,155.15,158.2,154.2,155.95,1808825
2020-01-06,156.75,158.0,152.6,153.85,1412076
2020-01-07,154.2,155.5,153.6,154.45,436119
2020-01-08,153.5,155.8,152.6,154.9,711629
2020-01-09,155.6,157.8,153.75,156.4,820144
2020-01-10,156.9,159.8,155.75,157.9,574483
2020-01-13,157.9,158.9,157.1,158.15,320138
2020-01-14,158.4,159.2,156.9,157.8,420240
2020-01-15,157.85,158.9,157.1,158.3,462887
2020-01-16,158.35,158.85,154.65,155.2,592243
2020-01-17,155.0,159.35,154.6,156.8,828535
2020-01-20,155.25,155.25,148.6,149.55,3229728
2020-01-21,149.45,149.55,145.1,145.9,1489991
2020-01-22,145.9,146.4,137.1,137.65,5657202
2020-01-23,138.25,143.9,137.0,138.45,7090917
2020-01-24,140.0,143.4,139.5,142.15,2349806
2020-01-27,142.2,143.6,140.5,141.3,1601078
2020-01-28,141.85,141.85,137.75,138.05,2017082
2020-01-29,138.7,140.5,136.05,139.8,1871693
2020-01-30,140.0,140.25,137.0,138.1,2882185
2020-01-31,138.95,138.95,127.9,129.55,9597439
2020-02-01,129.5,129.5,122.7,124.15,3940300
2020-02-03,124.0,124.9,118.3,123.05,3244010
2020-02-04,124.65,130.0,123.8,129.0,1639521
2020-02-05,129.8,130.9,128.25,129.25,1593892
2020-02-06,130.0,135.75,130.0,135.1,3207637
2020-02-07,135.0,139.0,132.45,138.5,2522278
2020-02-10,137.0,138.2,132.1,133.95,4340574
2020-02-11,134.0,135.6,129.25,134.25,5989823
2020-02-12,134.9,137.25,134.1,136.05,2349075
2020-02-13,136.05,136.45,133.4,134.1,2074310
2020-02-14,134.4,134.95,130.0,130.25,3375258
2020-02-17,131.05,131.8,127.05,129.9,3755544
2020-02-18,130.0,133.35,126.85,131.75,4994789
2020-02-19,133.85,139.0,130.05,138.45,7499920
2020-02-20,128.15,128.15,124.6,125.15,8127086
2020-02-24,123.05,124.45,120.0,120.45,3202556
2020-02-25,120.45,121.75,117.45,117.7,2060409
2020-02-26,116.55,117.7,113.1,113.45,2291818
2020-02-27,113.0,113.2,108.5,112.35,3363540
2020-02-28,109.05,109.6,105.5,108.0,3458621
2020-03-02,110.9,111.2,101.0,101.7,2429016
2020-03-03,102.6,108.05,101.7,106.9,3670670
2020-03-04,106.0,111.45,104.3,110.45,5513162
2020-03-05,111.6,115.05,104.45,105.65,3377344
2020-03-06,102.35,104.7,101.0,102.0,1786440
2020-03-09,98.95,99.45,89.2,91.25,6367353
2020-03-11,91.25,92.75,84.15,84.9,7145839
2020-03-12,78.0,79.95,73.55,74.7,6831020
2020-03-13,70.0,85.45,63.5,81.2,6323407
2020-03-16,79.75,79.75,69.6,70.35,4716063
2020-03-17,70.0,73.9,68.3,71.55,5248185
2020-03-18,71.8,100.15,67.85,83.25,9608702
2020-03-19,74.95,82.0,68.0,76.5,8407277
2020-03-20,77.85,85.4,75.05,81.55,12845436
2020-03-23,73.4,76.75,71.35,73.35,2075504
2020-03-24,74.05,77.95,72.65,74.25,2507194
2020-03-25,74.0,77.4,73.3,76.45,1952848
2020-03-26,76.55,81.4,73.7,76.55,3530051
2020-03-27,77.4,79.5,75.0,77.6,2552602
2020-03-30,75.95,80.15,73.75,79.45,2249052
2020-03-31,79.8,85.95,78.95,82.65,2748988
2020-04-01,81.35,82.65,77.6,79.25,2153715
2020-04-03,82.25,85.6,80.25,84.25,2705007
2020-04-07,88.0,90.9,85.0,89.4,2897519
2020-04-08,89.2,94.4,85.35,89.2,2775505
2020-04-09,92.0,92.4,90.0,91.1,4573719
2020-04-13,92.0,92.0,86.6,89.3,4933377
2020-04-15,89.0,90.95,86.4,88.7,3474252
2020-04-16,87.8,90.85,87.5,90.15,3011290
2020-04-17,91.6,94.3,90.6,92.75,1388644
2020-04-20,93.45,93.45,89.6,90.55,1508682
2020-04-21,86.1,87.85,84.1,86.0,2087100
2020-04-22,82.1,86.9,74.25,86.0,6899409
2020-04-23,87.05,92.5,85.85,86.05,4881311
2020-04-24,86.0,88.6,83.5,83.85,2347087
2020-04-27,85.1,86.95,84.35,86.2,1348800
2020-04-28,85.8,89.0,84.15,88.35,2685550
2020-04-29,88.15,92.2,87.6,91.75,1679158
2020-04-30,94.35,100.5,92.0,98.8,3874232
2020-05-04,95.75,96.0,92.3,94.0,981849
2020-05-05,96.9,99.45,92.55,93.1,1784721
2020-05-06,95.8,96.0,92.05,92.55,1029240
2020-05-07,92.0,92.5,90.1,90.9,504437
2020-05-08,91.7,92.2,88.1,88.55,648634
2020-05-11,89.9,90.0,87.3,87.8,531832
2020-05-12,88.6,88.6,85.0,85.05,986569
2020-05-13,88.0,88.4,85.05,85.45,1430494
2020-05-14,85.4,85.9,83.5,84.0,844179
2020-05-15,84.7,87.0,84.7,85.9,2438359
2020-05-18,86.65,86.65,69.0,78.75,1845181
2020-05-19,81.4,84.8,81.35,83.2,2104517
2020-05-20,83.0,85.4,82.5,83.6,902858
2020-05-21,84.5,85.8,83.5,84.2,770670
2020-05-22,84.15,86.15,83.3,84.4,1460870
2020-05-26,85.8,85.9,82.65,83.1,1197452
2020-05-27,83.9,83.9,81.3,82.75,1222329
2020-05-28,82.7,84.85,82.05,83.6,762468
2020-05-29,84.25,86.25,82.9,84.75,2032044
2020-06-01,86.0,89.0,85.5,87.2,1391029
2020-06-02,87.8,88.4,86.8,87.25,1087762
2020-06-03,89.8,91.25,89.05,89.7,1930195
2020-06-04,89.5,89.9,88.65,89.45,751902
2020-06-05,90.0,91.7,90.0,91.25,944833
2020-06-08,96.8,97.45,94.2,94.95,2084467
2020-06-09,95.45,96.25,93.3,95.3,889069
2020-06-10,95.0,96.9,93.05,94.0,1823003
2020-06-11,93.6,98.75,93.05,93.95,3094635
2020-06-12,89.8,91.9,89.7,91.15,1526885
2020-06-15,90.5,97.8,90.45,97.25,4723418
2020-06-16,98.45,102.9,98.2,101.25,5988482
2020-06-17,101.5,102.0,96.2,96.9,2457385
2020-06-18,97.7,100.7,97.1,100.0,1516063
2020-06-19,100.95,107.4,99.55,105.25,8865446
2020-06-22,105.0,106.65,102.25,102.65,1847962
2020-06-23,102.65,104.35,101.2,101.7,1914945
2020-06-24,102.1,103.5,98.6,100.55,1557017
2020-06-25,99.7,100.5,83.2,90.9,6599056
2020-06-26,95.95,95.95,93.2,94.45,3068785
2020-06-29,96.4,97.8,93.5,95.65,2706602
2020-06-30,97.0,97.0,93.1,93.65,1685158
2020-07-01,93.7,95.0,92.7,94.8,1090661
2020-07-02,95.45,97.0,94.9,95.2,1179723
2020-07-03,95.4,97.65,94.95,97.3,1420286
2020-07-06,98.9,99.5,97.75,99.2,806495
2020-07-07,99.65,100.0,98.15,99.0,660564
2020-07-08,99.45,101.5,98.35,100.5,1258585
2020-07-09,100.7,102.0,100.1,101.55,898825
2020-07-10,101.0,101.0,98.5,99.8,486176
2020-07-13,99.8,100.6,97.1,97.6,829739
2020-07-14,98.05,98.25,95.0,95.15,689456
2020-07-15,97.2,97.9,95.2,95.7,949382
2020-07-16,97.0,97.0,93.1,93.25,1115899
2020-07-17,94.8,97.25,93.2,94.95,1494802
2020-07-20,95.85,97.25,95.1,95.85,972916
2020-07-21,96.9,97.95,95.5,95.7,1557090
2020-07-22,96.45,97.15,94.8,95.25,727647
2020-07-23,95.05,97.6,95.05,96.6,1068125
2020-07-24,96.0,100.4,96.0,99.65,1521864
2020-07-27,99.65,99.9,97.5,98.2,924132
2020-07-28,98.25,99.4,96.75,97.0,487811
2020-07-29,97.1,98.0,96.8,97.15,515932
2020-07-30,97.6,99.5,96.5,96.8,460297
2020-07-31,97.0,97.75,95.1,96.65,485812
2020-08-03,96.65,96.65,94.5,94.75,643361
2020-08-04,96.7,96.7,93.9,94.2,689430
2020-08-05,94.3,95.1,93.85,94.05,451372
2020-08-06,94.8,96.2,94.2,95.1,1054971
2020-08-07,95.2,95.95,94.65,94.85,416065
2020-08-10,95.15,97.0,95.15,95.4,505205
2020-08-11,95.5,96.35,95.2,95.5,436476
2020-08-12,95.5,95.9,94.55,94.8,536512
2020-08-13,95.25,96.2,94.6,95.0,647454
2020-08-14,95.05,95.6,93.8,94.1,585206
2020-08-17,95.0,95.9,94.25,95.75,504071
2020-08-18,96.7,98.5,96.0,96.25,2239267
2020-08-19,96.25,97.2,96.05,96.65,953178
2020-08-20,96.8,100.15,96.5,99.8,3338969
2020-08-21,101.2,102.9,99.2,99.75,3079826
2020-08-24,99.0,99.0,97.0,97.3,2187838
2020-08-25,97.95,98.75,97.1,97.4,1840557
2020-08-26,98.4,98.4,97.4,97.6,646515
2020-08-27,98.1,98.2,97.45,97.85,437744
2020-08-28,98.05,98.6,96.7,96.85,962955
2020-08-31,97.0,99.5,94.0,94.75,1897229
2020-09-01,95.3,96.0,92.75,94.05,1045766
2020-09-02,94.65,97.2,94.0,96.75,640159
2020-09-03,96.75,97.5,96.0,97.1,353405
2020-09-04,96.3,96.5,94.25,94.55,499488
2020-09-07,95.0,95.6,93.6,95.1,427659
2020-09-08,95.1,95.5,93.85,94.65,279709
2020-09-09,93.75,93.8,91.6,93.4,385013
2020-09-10,93.7,94.4,93.1,93.95,297868
2020-09-11,93.95,95.8,93.8,94.45,453865
2020-09-14,95.2,96.0,94.15,95.35,447461
2020-09-15,96.0,96.2,95.2,95.85,544512
2020-09-16,95.85,96.2,93.75,93.9,416137
2020-09-17,94.9,95.45,94.1,95.0,575580
2020-09-18,95.85,97.95,95.55,96.65,2421930
2020-09-21,95.95,96.1,91.05,92.0,456992
2020-09-22,91.5,92.8,87.1,88.15,562798
2020-09-23,88.95,91.0,87.55,88.05,397258
2020-09-24,87.5,87.5,83.5,84.65,644001
2020-09-25,85.1,88.0,85.0,87.45,479175
2020-09-28,87.9,90.6,87.0,88.85,466705
2020-09-29,89.9,90.8,87.8,88.5,534827
2020-09-30,88.5,90.2,87.5,89.3,280125
2020-10-01,87.65,89.1,87.0,88.7,451396
2020-10-05,88.5,89.0,86.1,86.5,1353860
2020-10-06,86.95,87.4,86.1,86.25,372301
2020-10-07,86.45,95.0,85.75,91.95,5779132
2020-10-08,91.45,91.45,88.4,88.75,750476
2020-10-09,89.8,90.85,88.8,89.4,589691
2020-10-12,90.3,90.9,87.15,87.7,336602
2020-10-13,88.0,88.4,86.6,86.9,260968
2020-10-14,86.8,87.0,84.15,84.35,1233062
2020-10-15,84.75,85.5,84.0,84.95,665786
2020-10-16,85.55,88.2,85.55,86.5,1199633
2020-10-19,86.95,89.6,86.8,89.15,927889
2020-10-20,88.1,89.6,88.1,88.5,463451
2020-10-21,88.5,89.4,87.5,87.85,526318
2020-10-22,87.7,92.7,87.65,91.65,4749732
2020-10-23,92.1,92.45,90.0,90.95,524365
2020-10-26,91.9,91.9,89.55,89.7,258315
2020-10-27,89.25,89.9,87.9,88.15,493065
2020-10-28,89.8,89.8,87.5,87.65,275976
2020-10-29,87.1,88.0,85.2,85.55,505965
2020-10-30,85.6,87.3,85.6,85.95,463637
2020-11-02,86.0,86.55,83.6,83.9,1015354
2020-11-03,84.45,84.95,83.5,84.05,474573
2020-11-04,84.85,84.85,84.1,84.45,186212
2020-11-05,85.0,85.95,84.8,85.65,492164
2020-11-06,86.05,86.9,86.0,86.35,358722
2020-11-09,87.45,88.0,86.0,86.9,606290
2020-11-10,88.05,89.35,88.0,88.75,1214733
2020-11-11,89.05,91.2,89.0,90.5,871045
2020-11-12,91.45,92.5,91.15,91.9,663809
2020-11-13,91.95,93.35,90.1,91.9,1431332
2020-11-17,93.9,94.15,92.7,93.05,637275
2020-11-18,93.05,93.65,92.1,93.25,556689
2020-11-19,93.0,93.5,91.5,92.0,738518
2020-11-20,92.0,92.45,91.0,91.25,356003
2020-11-23,91.8,95.35,91.05,93.55,1355708
2020-11-24,93.75,94.9,93.5,94.3,726825
2020-11-25,96.5,98.05,96.0,97.3,3040065
2020-11-26,97.9,97.95,96.6,97.0,671983
2020-11-27,97.5,98.25,95.2,96.15,1001954
2020-12-01,97.0,101.9,94.75,99.95,3162500
2020-12-02,100.0,103.0,99.55,102.0,2197697
2020-12-03,102.9,104.95,102.3,104.3,1402828
2020-12-04,104.9,107.35,104.35,107.1,3085185
2020-12-07,107.3,109.9,107.25,108.6,1590422
2020-12-08,109.3,109.5,105.2,106.9,1254356
2020-12-09,107.95,108.0,104.6,104.95,1148368
2020-12-10,106.0,106.0,104.1,104.85,970561
2020-12-11,107.0,115.7,106.1,109.65,8526885
2020-12-14,110.5,118.5,110.5,116.85,4215835
2020-12-15,115.1,116.5,113.05,114.75,2047206
2020-12-16,115.0,118.0,114.2,115.65,1423003
2020-12-17,117.5,119.1,112.05,114.15,2605115
2020-12-18,114.1,114.4,108.05,109.15,2440530
2020-12-21,108.0,108.0,100.0,101.75,1802501
2020-12-22,100.15,104.95,98.05,102.4,1718733
