date,open,high,low,close,volume
2020-01-13,68.05,73.6,68.0,72.25,58608
2020-01-14,71.95,74.5,68.7,70.85,20289
2020-01-15,72.05,76.0,69.6,73.95,49164
2020-01-16,75.9,75.9,70.0,71.25,20919
2020-01-17,71.7,75.3,71.65,72.6,26097
2020-01-20,74.0,74.05,68.05,69.45,17298
2020-01-21,72.7,72.7,68.4,68.9,5466
2020-01-22,70.8,71.0,68.05,68.8,8034
2020-01-23,69.05,69.7,67.3,68.55,4969
2020-01-24,68.5,69.85,66.2,68.15,13364
2020-01-27,66.0,68.05,66.0,66.9,8640
2020-01-28,66.2,70.0,66.15,66.65,4975
2020-01-29,66.8,67.9,65.4,66.4,9289
2020-01-30,66.65,67.25,63.95,64.25,8907
2020-01-31,64.55,65.8,62.55,62.95,3629
2020-02-01,64.9,67.0,60.25,61.0,17295
2020-02-03,60.4,61.0,57.05,57.75,19149
2020-02-04,59.85,60.9,57.9,59.6,11064
2020-02-05,63.0,63.0,60.4,62.05,9788
2020-02-06,62.5,64.0,62.25,62.5,4590
2020-02-07,64.0,64.6,62.25,63.15,4632
2020-02-10,63.15,64.4,61.0,62.0,6248
2020-02-11,62.0,63.7,56.8,58.2,35769
2020-02-12,59.4,59.45,55.2,56.75,28684
2020-02-13,56.5,57.5,55.5,56.25,5443
2020-02-14,57.75,57.75,55.2,56.4,10527
2020-02-17,56.7,57.95,55.2,56.55,10444
2020-02-18,56.4,57.0,52.65,54.25,19251
2020-02-19,55.15,58.8,53.7,57.35,8183
2020-02-20,59.4,60.4,55.5,58.4,24514
2020-02-24,58.0,59.0,55.7,57.85,9113
2020-02-25,57.4,57.4,55.5,55.65,6998
2020-02-26,56.15,57.6,55.0,55.35,13082
2020-02-27,55.4,56.6,53.6,55.1,13691
2020-02-28,54.0,57.4,51.6,56.15,48108
2020-03-02,54.55,57.4,54.55,55.8,7905
2020-03-03,56.25,57.9,51.6,52.7,56375
2020-03-04,52.7,53.7,47.4,49.75,120221
2020-03-05,49.5,50.05,45.7,47.05,54292
2020-03-06,42.85,47.0,40.8,45.2,28635
2020-03-09,44.8,45.15,43.05,44.0,20622
2020-03-11,45.45,46.0,40.05,41.9,50590
2020-03-12,41.0,41.95,37.5,39.15,43679
2020-03-13,35.1,46.95,31.6,45.7,50341
2020-03-16,45.0,45.0,37.95,40.0,53746
2020-03-17,40.0,40.25,36.55,38.05,56601
2020-03-18,37.35,39.9,32.5,33.15,64365
2020-03-19,33.4,33.55,29.0,31.25,87580
2020-03-20,30.6,35.8,30.15,33.65,80267
2020-03-23,27.1,32.05,26.95,27.15,39320
2020-03-24,27.5,29.85,27.0,29.8,24673
2020-03-25,27.7,32.45,27.7,31.1,17477
2020-03-26,33.5,33.85,29.95,30.95,16280
2020-03-27,33.45,34.0,27.9,28.3,43792
2020-03-30,28.0,30.9,25.5,27.2,49541
2020-03-31,28.95,28.95,26.55,28.25,23509
2020-04-01,26.85,28.8,26.8,27.95,19125
2020-04-03,29.7,30.6,26.95,28.75,31231
2020-04-07,28.9,31.6,28.9,31.6,19994
2020-04-08,31.6,34.75,30.05,34.65,25233
2020-04-09,37.0,38.1,35.55,38.1,16432
2020-04-13,40.0,40.0,37.6,38.15,24800
2020-04-15,38.5,40.05,37.0,39.75,35744
2020-04-16,39.95,41.7,39.95,41.0,22290
2020-04-17,42.75,43.05,39.8,40.65,17463
2020-04-20,42.25,42.25,38.65,39.65,18388
2020-04-21,38.1,39.85,37.7,37.7,16515
2020-04-22,36.15,38.5,36.1,37.6,9151
2020-04-23,39.25,39.45,37.0,38.05,13883
2020-04-24,39.75,39.75,37.6,38.7,5187
2020-04-27,38.7,40.6,37.0,39.85,23883
2020-04-28,40.95,41.5,38.65,40.7,23542
2020-04-29,41.85,41.85,38.7,40.45,22392
2020-04-30,41.0,41.0,38.75,38.95,16008
2020-05-04,37.8,39.0,37.05,37.25,11666
2020-05-05,37.0,38.6,37.0,37.55,4530
2020-05-06,37.55,38.45,36.5,36.9,6016
2020-05-07,36.45,37.85,35.7,36.4,5747
2020-05-08,37.7,37.7,34.6,35.65,13267
2020-05-11,34.15,35.95,33.9,33.9,16163
2020-05-12,32.55,33.65,32.25,32.55,14446
2020-05-13,33.5,34.15,32.5,33.65,10018
2020-05-14,34.0,35.2,33.1,33.95,5135
2020-05-15,35.0,35.0,33.0,33.5,5062
2020-05-18,34.05,34.05,32.0,32.15,21961
2020-05-19,32.15,33.4,30.6,32.55,6248
