date,open,high,low,close,volume
2020-01-13,693.95,697.35,674.3,682.9,45165
2020-01-14,683.0,691.05,680.4,684.05,20618
2020-01-15,685.05,712.0,685.0,708.4,162774
2020-01-16,712.0,715.0,691.85,700.05,70330
2020-01-17,712.5,712.5,700.5,703.35,46129
2020-01-20,707.9,712.0,691.0,702.25,91858
2020-01-21,695.15,727.0,695.05,714.1,199359
2020-01-22,716.0,736.0,716.0,726.15,256461
2020-01-23,733.6,740.0,718.45,738.75,88635
2020-01-24,738.75,738.75,723.05,729.75,77532
2020-01-27,722.5,729.75,703.2,721.65,128165
2020-01-28,725.0,732.7,710.0,722.5,46726
2020-01-29,728.6,737.0,694.15,700.9,63087
2020-01-30,695.25,707.45,680.6,689.15,42050
2020-01-31,694.95,716.0,689.0,700.95,239329
2020-02-01,701.0,721.95,691.0,708.8,51512
2020-02-03,703.0,715.5,690.65,708.6,34753
2020-02-04,709.0,725.45,708.35,716.95,86885
2020-02-05,724.9,724.9,700.1,714.2,159860
2020-02-06,704.0,709.0,700.0,705.5,74456
2020-02-07,713.75,713.75,696.05,709.7,16190
2020-02-10,710.0,714.45,698.55,701.1,182928
2020-02-11,707.95,708.0,685.1,699.9,56954
2020-02-12,708.7,708.7,688.2,700.1,115743
2020-02-13,690.1,707.95,690.1,701.15,75056
2020-02-14,700.95,702.65,696.6,701.25,68816
2020-02-17,694.15,704.85,694.15,701.1,193928
2020-02-18,700.0,713.6,695.85,706.6,68611
2020-02-19,705.15,722.0,696.55,718.6,38479
2020-02-20,714.95,721.55,710.0,717.15,41425
2020-02-24,719.0,734.0,711.1,721.45,82096
2020-02-25,719.0,724.9,704.35,713.5,55178
2020-02-26,702.0,723.6,702.0,717.6,45465
2020-02-27,708.15,725.55,696.15,713.1,76654
2020-02-28,706.1,706.1,671.0,696.4,89776
2020-03-02,700.0,720.0,686.0,698.75,84741
2020-03-03,699.0,713.8,692.4,708.0,47768
2020-03-04,707.95,713.75,688.0,704.7,46490
2020-03-05,705.1,711.25,693.95,706.35,44374
2020-03-06,694.0,707.8,686.25,698.6,39436
2020-03-09,696.9,708.9,685.0,687.15,87714
2020-03-11,685.95,699.95,680.0,686.35,53807
2020-03-12,671.0,676.0,630.05,647.6,110029
2020-03-13,581.15,662.85,518.1,653.45,93798
2020-03-16,635.25,635.25,587.5,602.7,481142
2020-03-17,591.0,601.95,581.0,595.0,127203
2020-03-18,599.9,599.9,565.5,571.75,36032
2020-03-19,557.0,557.0,507.65,527.35,132424
2020-03-20,527.35,555.0,487.9,510.85,46234
2020-03-23,480.0,504.55,420.05,469.3,67922
2020-03-24,503.95,563.0,463.0,502.25,89090
2020-03-25,502.25,524.95,476.05,515.45,18074
2020-03-26,520.0,568.9,520.0,547.5,70455
2020-03-27,548.1,575.0,520.0,540.3,22998
2020-03-30,540.0,555.0,505.0,549.35,44058
2020-03-31,549.5,565.0,541.0,550.95,26254
2020-04-01,550.95,558.75,532.2,542.6,38340
2020-04-03,554.95,554.95,498.0,514.1,117779
2020-04-07,520.05,539.85,499.15,508.95,72115
2020-04-08,511.95,519.2,505.0,511.1,33921
2020-04-09,513.05,529.45,503.95,513.85,107990
2020-04-13,514.0,514.0,490.0,510.1,49136
2020-04-15,521.8,525.0,500.3,505.05,59487
2020-04-16,507.0,507.3,492.65,495.5,54215
2020-04-17,510.0,522.0,490.0,491.95,61833
2020-04-20,504.0,508.95,485.0,487.95,77752
2020-04-21,485.0,488.8,471.0,473.9,82142
2020-04-22,484.5,486.95,471.0,484.8,38381
2020-04-23,488.8,492.85,475.1,480.65,83216
2020-04-24,483.0,485.0,467.65,468.3,54836
2020-04-27,472.0,475.15,465.2,468.95,51535
2020-04-28,474.0,478.0,464.2,473.55,417753
2020-04-29,477.95,478.0,468.1,473.5,73359
2020-04-30,479.35,494.0,470.0,474.5,322637
2020-05-04,470.0,475.95,460.0,463.75,66907
2020-05-05,470.0,479.35,462.0,467.55,106077
2020-05-06,481.7,515.0,472.35,504.6,774051
2020-05-07,508.0,533.0,507.0,529.65,278219
2020-05-08,535.0,551.0,518.0,526.65,146197
2020-05-11,531.2,543.55,515.0,528.55,191279
2020-05-12,522.1,530.0,517.0,521.9,127983
2020-05-13,542.0,544.8,528.0,537.85,84057
2020-05-14,533.95,541.7,515.0,524.75,70479
2020-05-15,524.7,528.0,510.0,521.1,87726
2020-05-18,524.6,531.9,513.2,515.55,134048
2020-05-19,519.0,521.45,515.15,518.65,77322
2020-05-20,520.0,526.25,516.0,520.05,250499
2020-05-21,525.2,530.0,516.0,521.85,423040
2020-05-22,519.7,529.8,516.35,524.75,55688
2020-05-26,528.9,530.0,520.9,524.55,37165
2020-05-27,526.35,529.9,521.2,526.1,582241
2020-05-28,525.25,550.7,525.05,535.55,263748
2020-05-29,535.0,540.35,524.15,525.55,101115
2020-06-01,530.0,559.0,528.55,551.4,98808
2020-06-02,551.0,574.8,545.0,560.05,105843
2020-06-03,561.3,568.45,560.0,560.25,60064
2020-06-04,560.6,574.0,560.0,570.05,200919
2020-06-05,571.9,573.5,560.5,572.05,91753
2020-06-08,575.0,585.0,573.7,581.45,74653
2020-06-09,575.55,584.7,573.0,581.9,37219
2020-06-10,582.0,589.75,581.0,588.3,47449
2020-06-11,593.65,593.65,585.45,590.1,189706
2020-06-12,573.0,587.2,572.35,585.2,28551
2020-06-15,583.0,598.15,582.05,591.95,60744
2020-06-16,599.0,599.7,576.1,579.5,57736
2020-06-17,572.05,596.0,572.05,593.45,24615
2020-06-18,593.45,595.0,580.0,584.7,26645
2020-06-19,585.1,614.85,572.25,601.6,184197
2020-06-22,604.0,619.0,600.1,616.1,96941
2020-06-23,608.05,619.0,605.0,616.2,46402
