date,open,high,low,close,volume
2020-01-13,62.75,63.35,62.6,63.2,13131132
2020-01-14,63.2,64.1,62.4,62.8,13837799
2020-01-15,62.85,63.7,61.9,63.4,13919689
2020-01-16,63.4,63.95,62.75,63.35,12146474
2020-01-17,62.9,63.9,61.3,63.25,18351080
2020-01-20,64.1,64.1,61.35,61.6,16226531
2020-01-21,61.55,62.3,61.25,61.45,13678963
2020-01-22,62.1,62.2,60.65,61.0,15241802
2020-01-23,61.05,62.35,61.0,61.8,14136138
2020-01-24,61.75,62.8,61.65,62.35,10845058
2020-01-27,61.95,62.25,61.1,61.35,11436816
2020-01-28,61.5,61.8,60.25,60.5,12294470
2020-01-29,61.1,61.5,60.8,60.95,11064733
2020-01-30,61.1,61.25,59.65,59.95,13591961
2020-01-31,60.35,61.2,59.8,60.45,15449355
2020-02-01,60.45,61.0,58.8,59.0,13749850
2020-02-03,58.8,59.15,57.1,57.35,18930405
2020-02-04,57.9,58.95,56.3,56.8,48174279
2020-02-05,56.25,57.3,56.1,56.9,23905101
2020-02-06,57.35,59.3,56.9,58.65,26534154
2020-02-07,58.8,59.4,58.15,58.8,14094876
2020-02-10,58.75,58.9,56.95,57.25,12866342
2020-02-11,57.75,58.0,56.75,56.95,10942526
2020-02-12,57.45,57.45,55.15,55.5,16371273
2020-02-13,55.9,56.2,55.0,55.4,12379436
2020-02-14,55.7,56.05,54.0,54.2,15654307
2020-02-17,54.1,54.35,51.65,51.95,18893364
2020-02-18,51.9,52.5,49.9,52.0,22621843
2020-02-19,52.5,53.1,51.7,52.7,13554123
2020-02-20,52.5,53.7,52.05,52.85,14961174
2020-02-24,51.85,51.85,50.1,50.35,20135592
2020-02-25,50.4,50.7,49.75,49.9,15899668
2020-02-26,49.45,50.1,49.0,49.15,18056503
2020-02-27,49.1,49.3,46.8,46.95,26564325
2020-02-28,45.25,46.35,44.3,45.05,28222955
2020-03-02,46.3,46.6,42.1,42.75,24375256
2020-03-03,42.75,45.0,42.75,44.5,30389904
2020-03-04,44.75,44.95,43.05,44.45,24911682
2020-03-05,44.5,45.95,42.7,45.0,29076191
2020-03-06,41.65,43.2,40.95,42.35,23178204
2020-03-09,41.15,41.5,39.35,39.75,23193524
2020-03-11,39.75,40.65,37.9,38.45,29800139
2020-03-12,35.35,36.3,33.1,33.75,45672411
2020-03-13,31.2,38.15,28.05,37.4,46283334
2020-03-16,36.0,36.4,34.55,35.8,26751298
2020-03-17,36.5,37.2,34.95,35.3,28305769
2020-03-18,36.0,39.25,33.9,36.75,41813232
2020-03-19,35.0,39.4,34.3,37.2,38506335
2020-03-20,37.5,39.0,36.7,38.05,34439688
2020-03-23,35.95,37.5,34.7,35.4,18562614
2020-03-24,37.0,37.5,35.4,36.3,26937850
2020-03-25,36.0,36.35,33.15,34.3,24608412
2020-03-26,34.55,35.8,33.2,33.4,29588273
2020-03-27,34.5,35.95,33.25,33.45,30682531
2020-03-30,33.4,33.9,32.35,32.9,16723656
2020-03-31,33.7,33.7,32.2,32.35,18298389
2020-04-01,32.5,32.5,30.25,30.45,26646151
2020-04-03,30.5,30.7,29.25,29.65,20697301
2020-04-07,30.5,30.5,29.65,30.05,21962474
2020-04-08,29.9,31.6,29.4,30.5,29666254
2020-04-09,30.7,31.9,30.6,31.4,23014346
2020-04-13,31.75,31.75,30.3,31.35,16584316
2020-04-15,31.55,32.6,30.6,31.1,22095563
2020-04-16,31.1,31.5,30.55,31.05,19994398
2020-04-17,32.25,32.75,31.0,31.8,28208948
2020-04-20,32.1,33.9,31.4,32.85,41211953
2020-04-21,32.3,32.35,30.95,31.1,21858220
2020-04-22,31.0,31.25,30.2,31.1,18793922
2020-04-23,31.5,31.75,31.0,31.2,19393369
2020-04-24,30.7,31.1,30.15,30.2,14351047
2020-04-27,30.4,30.9,30.3,30.75,11950763
2020-04-28,30.8,31.35,30.7,31.25,11780170
2020-04-29,31.3,32.5,31.1,32.3,18719199
2020-04-30,32.7,33.7,32.1,32.3,31467001
2020-05-04,30.9,31.1,29.9,30.15,21841848
2020-05-05,30.5,30.75,29.05,29.2,19121806
2020-05-06,29.2,29.6,28.5,29.35,18005225
2020-05-07,29.15,30.25,28.9,29.7,14841128
2020-05-08,29.85,30.2,29.05,29.2,14358405
2020-05-11,29.4,29.5,28.7,28.8,16325208
2020-05-12,28.5,29.2,27.9,28.7,21778060
2020-05-13,30.3,31.0,29.45,30.6,38941649
2020-05-14,30.15,30.55,29.1,29.3,22669990
2020-05-15,29.3,29.6,28.6,28.8,18837162
2020-05-18,28.9,28.95,26.75,27.35,28520480
2020-05-19,27.6,27.75,26.5,26.6,25290958
2020-05-20,26.6,26.9,26.3,26.6,17212634
2020-05-21,26.6,27.65,26.3,27.0,26590285
2020-05-22,26.7,27.65,26.4,26.65,27657300
2020-05-26,26.8,27.05,26.45,26.7,17287019
2020-05-27,26.7,27.65,26.55,27.5,27038152
2020-05-28,27.6,27.9,26.6,26.75,41841614
2020-05-29,26.65,27.35,26.35,26.75,35144094
2020-06-01,27.4,30.1,27.0,29.2,72825432
2020-06-02,29.3,29.7,28.6,29.25,40252959
2020-06-03,29.8,31.6,29.6,30.25,86256504
2020-06-04,29.95,32.6,29.7,31.0,127140495
2020-06-05,31.5,34.1,31.4,33.75,96121246
2020-06-08,35.5,35.5,32.25,32.6,103769333
2020-06-09,33.0,33.5,31.5,31.8,63890506
2020-06-10,32.0,34.1,31.65,33.85,83661053
2020-06-11,34.5,35.2,32.55,32.8,97140495
2020-06-12,31.0,33.2,30.9,33.05,51628669
2020-06-15,33.0,34.15,32.05,33.65,50674765
2020-06-16,34.5,34.85,31.9,33.15,62033451
2020-06-17,32.9,33.9,32.5,33.15,48130067
2020-06-18,33.1,34.2,32.9,33.9,41943348
