date,open,high,low,close,volume
2020-01-13,1033.0,1087.25,1023.0,1070.05,514090
2020-01-14,1078.25,1094.1,1025.0,1048.3,363992
2020-01-15,1047.4,1109.7,1041.85,1083.25,533931
2020-01-16,1090.95,1120.0,1086.05,1112.6,328565
2020-01-17,1115.0,1124.45,1092.1,1108.55,211634
2020-01-20,1114.6,1140.0,1112.0,1129.15,280318
2020-01-21,1133.6,1147.0,1067.1,1082.75,528861
2020-01-22,1129.5,1130.0,986.0,994.3,2027984
2020-01-23,1003.0,1020.3,993.3,1003.85,962524
2020-01-24,1011.0,1024.0,1004.0,1019.85,278553
2020-01-27,1017.9,1017.9,992.2,997.9,206113
2020-01-28,1001.9,1011.0,990.0,994.5,284758
2020-01-29,1004.0,1010.0,981.0,989.3,323100
2020-01-30,993.95,993.95,970.1,975.65,147813
2020-01-31,975.0,999.7,961.0,984.55,205571
2020-02-01,984.8,1006.95,956.0,964.25,180651
2020-02-03,959.0,993.0,950.0,986.8,176090
2020-02-04,993.0,1025.0,990.0,999.8,439600
2020-02-05,1007.8,1020.0,1003.1,1010.4,260430
2020-02-06,1013.95,1063.0,1011.95,1057.0,575947
2020-02-07,1062.0,1076.1,1051.55,1058.25,274183
2020-02-10,1064.95,1064.95,1033.05,1038.5,172105
2020-02-11,1041.0,1056.7,1036.0,1042.55,133928
2020-02-12,1053.1,1074.95,1044.0,1065.65,328707
2020-02-13,1070.0,1091.7,1069.0,1081.8,355215
2020-02-14,1087.0,1088.65,1065.0,1078.15,239879
2020-02-17,1083.8,1083.8,1042.65,1051.95,144033
2020-02-18,1050.0,1077.95,1030.6,1068.85,153599
2020-02-19,1072.95,1088.0,1070.3,1077.75,147996
2020-02-20,1077.5,1157.7,1071.05,1138.1,876803
2020-02-24,1132.0,1182.0,1068.0,1088.55,556919
2020-02-25,1095.95,1130.25,1071.0,1111.6,293474
2020-02-26,1118.0,1157.7,1113.05,1139.0,445457
2020-02-27,1136.0,1172.0,1110.0,1163.45,388225
2020-02-28,1120.0,1135.4,1047.0,1062.7,600707
2020-03-02,1090.0,1120.0,1036.0,1057.5,322474
2020-03-03,1077.0,1086.0,1020.0,1050.9,281317
2020-03-04,1051.25,1067.0,1000.0,1046.55,296187
2020-03-05,1059.0,1063.0,1036.4,1052.05,136221
2020-03-06,995.0,1063.9,986.45,1030.75,230695
2020-03-09,990.2,1016.0,982.0,1010.55,287344
2020-03-11,1002.0,1035.0,988.0,1005.05,177758
2020-03-12,966.0,990.0,850.1,875.25,435592
2020-03-13,806.0,1032.8,710.0,929.3,410486
2020-03-16,876.1,900.0,809.2,821.6,235769
2020-03-17,812.6,874.95,795.0,833.95,261674
2020-03-18,841.55,861.75,777.2,782.9,259182
2020-03-19,722.0,776.85,692.2,756.4,422670
2020-03-20,792.0,797.0,758.0,771.95,291910
2020-03-23,693.0,750.0,617.6,617.6,315640
2020-03-24,655.0,664.95,575.0,579.65,377691
2020-03-25,575.0,637.6,570.0,637.6,261703
2020-03-26,645.0,701.35,645.0,701.35,95426
2020-03-27,771.45,771.45,717.05,741.15,359141
2020-03-30,720.0,750.0,704.1,739.75,192651
2020-03-31,760.0,770.0,725.0,742.05,112314
2020-04-01,745.0,768.95,720.05,734.75,114396
2020-04-03,741.0,758.0,725.0,736.45,103016
2020-04-07,752.0,773.25,745.25,769.0,183401
2020-04-08,752.0,793.0,752.0,760.75,172593
2020-04-09,774.0,783.55,755.55,759.7,125545
2020-04-13,763.0,766.0,730.0,737.2,115347
2020-04-15,750.0,760.0,735.0,737.5,179031
2020-04-16,731.1,738.05,720.15,729.05,91525
2020-04-17,752.0,754.5,728.05,729.95,190213
2020-04-20,735.0,766.4,731.1,760.4,251413
2020-04-21,749.0,787.0,722.4,750.3,499815
2020-04-22,750.0,766.0,729.0,732.4,159270
2020-04-23,744.85,752.4,735.15,743.3,108983
2020-04-24,744.0,744.0,711.0,719.7,128005
2020-04-27,720.0,731.8,706.6,708.15,170494
2020-04-28,714.9,714.9,700.05,704.3,124043
2020-04-29,700.0,719.0,685.15,690.0,299590
2020-04-30,720.0,724.5,711.0,723.6,418977
2020-05-04,705.0,712.9,690.0,691.9,177805
2020-05-05,699.0,707.6,673.0,676.3,142777
2020-05-06,676.3,686.95,653.0,677.0,158661
2020-05-07,679.8,702.9,672.0,675.15,366742
2020-05-08,689.0,693.0,671.4,674.1,78417
2020-05-11,687.95,697.8,671.2,674.15,150204
2020-05-12,675.8,675.8,662.0,668.35,120429
2020-05-13,699.0,701.75,681.2,701.75,164232
2020-05-14,699.95,731.0,688.3,709.65,263194
2020-05-15,709.65,719.35,686.9,691.8,202399
2020-05-18,696.9,696.9,660.25,662.8,131873
2020-05-19,682.5,682.5,655.5,658.1,76307
2020-05-20,664.9,676.2,649.7,653.7,177879
2020-05-21,662.0,662.95,635.0,638.6,185650
2020-05-22,643.45,653.95,623.95,627.3,197875
2020-05-26,629.9,638.0,629.9,633.65,96382
2020-05-27,636.75,654.0,633.6,642.2,184474
2020-05-28,643.1,657.0,634.0,649.8,248102
2020-05-29,651.1,682.25,651.0,679.4,552940
2020-06-01,694.0,713.35,693.95,713.35,222131
2020-06-02,744.0,749.0,735.4,749.0,601623
2020-06-03,780.0,786.45,750.0,754.45,583383
2020-06-04,746.0,779.4,735.25,767.25,483719
2020-06-05,774.7,781.9,755.0,773.2,515976
2020-06-08,784.0,829.5,772.5,802.35,850557
2020-06-09,809.8,809.8,772.05,774.8,426837
2020-06-10,776.15,779.75,760.0,763.35,226929
2020-06-11,751.35,766.0,740.0,741.65,196750
2020-06-12,705.1,755.0,705.1,746.25,285909
2020-06-15,745.1,763.75,735.3,743.5,141907
2020-06-16,755.0,759.9,726.0,749.4,209988
2020-06-17,745.0,783.35,741.0,763.8,408766
2020-06-18,763.8,770.15,753.0,758.9,179189
2020-06-19,764.3,820.0,759.8,801.2,661832
2020-06-22,811.0,824.0,803.05,805.75,441931
2020-06-23,808.0,839.85,805.5,828.65,500249
2020-06-24,835.0,835.0,795.0,799.9,290328
2020-06-25,799.1,813.0,786.1,797.95,152111
2020-06-26,810.0,811.55,780.05,782.1,210930
2020-06-29,772.8,790.9,762.35,769.45,234833
2020-06-30,777.0,804.8,777.0,789.3,864733
2020-07-01,790.9,802.9,790.9,797.65,202629
2020-07-02,810.0,868.6,801.8,841.25,1747188
2020-07-03,849.8,861.0,842.45,845.0,661643
2020-07-06,845.0,853.65,840.0,844.3,219885
2020-07-07,844.0,846.95,832.0,836.05,250324
2020-07-08,845.0,885.0,835.55,848.35,1037555
2020-07-09,853.1,859.0,844.05,846.45,199069
2020-07-10,843.9,850.4,834.1,837.6,182861
2020-07-13,840.2,845.0,816.55,819.5,244361
2020-07-14,821.9,837.95,805.55,808.75,422966
2020-07-15,812.5,821.0,810.15,816.2,181151
2020-07-16,820.4,820.65,801.55,812.55,87365
2020-07-17,820.7,834.45,811.55,822.45,182216
2020-07-20,828.9,850.0,823.05,842.6,379313
2020-07-21,846.0,858.0,843.4,849.65,294315
2020-07-22,819.9,834.1,800.0,824.2,394352
2020-07-23,824.2,839.4,820.9,834.6,219239
2020-07-24,830.0,831.15,817.5,819.35,167776
2020-07-27,822.9,822.9,800.0,804.25,177106
2020-07-28,804.25,818.0,801.25,804.65,620059
2020-07-29,810.8,832.0,805.0,817.35,200370
2020-07-30,812.0,827.9,805.75,808.8,115112
2020-07-31,809.05,835.95,807.8,820.3,225544
2020-08-03,820.0,849.0,815.0,829.35,312589
2020-08-04,833.95,844.9,830.05,840.1,185238
2020-08-05,840.2,858.0,840.2,844.3,296075
2020-08-06,846.0,853.55,830.5,836.25,111630
2020-08-07,835.95,855.0,835.1,842.45,215544
2020-08-10,846.95,869.0,836.0,857.0,333763
2020-08-11,864.7,868.9,843.0,846.5,153459
2020-08-12,844.65,858.0,838.6,840.0,181739
2020-08-13,841.0,854.0,841.0,849.65,116650
2020-08-14,851.8,892.8,847.1,876.45,1180838
2020-08-17,882.85,910.0,880.1,899.8,975405
2020-08-18,903.5,916.0,890.2,894.9,386978
2020-08-19,899.5,918.0,898.0,906.95,279616
2020-08-20,900.0,910.5,891.1,899.45,195671
2020-08-21,905.4,909.9,894.5,896.95,149453
2020-08-24,903.9,907.5,885.0,887.0,181125
2020-08-25,893.2,895.0,864.3,869.55,195836
2020-08-26,873.6,929.9,868.05,919.15,909124
2020-08-27,925.0,939.0,910.0,913.3,574498
2020-08-28,919.6,922.6,895.55,900.25,219494
2020-08-31,907.0,913.0,844.0,892.85,367938
2020-09-01,892.85,896.55,865.4,882.4,152363
2020-09-02,884.95,895.4,880.0,881.55,161036
2020-09-03,882.0,892.0,866.15,870.7,148477
2020-09-04,865.0,885.0,855.05,865.65,87347
2020-09-07,866.4,878.0,846.0,849.2,175262
2020-09-08,854.0,858.35,840.0,842.2,113238
2020-09-09,837.0,837.5,820.0,830.15,141586
2020-09-10,837.5,855.9,834.5,841.15,111823
2020-09-11,841.15,855.0,841.15,847.15,71870
2020-09-14,859.9,904.0,855.0,888.35,401760
