date,open,high,low,close,volume
2019-11-04,54.95,54.95,52.7,53.05,77551
2019-11-05,53.05,53.4,51.0,51.6,63782
2019-11-06,53.7,53.7,48.6,49.2,68839
2019-11-07,51.65,51.65,47.8,48.95,56304
2019-11-08,49.8,50.3,45.6,47.25,142894
2019-11-11,47.45,51.35,45.0,47.7,297308
2019-11-13,48.5,49.85,45.1,45.6,159610
2019-11-14,45.6,46.15,42.4,43.05,332995
2019-11-15,43.9,44.35,39.9,41.05,214011
2019-11-18,41.05,41.05,38.3,39.45,539599
2019-11-19,40.0,41.65,38.05,39.05,401115
2019-11-20,39.05,39.05,37.0,37.25,320528
2019-11-21,38.4,39.1,35.75,39.05,1229087
2019-11-22,39.8,41.0,38.8,41.0,939480
2019-11-25,42.7,43.05,42.45,43.05,127768
2019-11-26,45.2,45.2,44.35,45.2,1498374
2019-11-27,47.45,47.45,47.45,47.45,90171
2019-11-28,49.8,49.8,49.8,49.8,71371
2019-11-29,52.25,52.25,48.3,52.25,3969047
2019-12-02,54.85,54.85,54.85,54.85,64596
2019-12-03,57.55,57.55,52.15,53.25,2428018
2019-12-04,52.6,53.35,50.8,52.65,409685
2019-12-05,52.5,54.0,50.55,50.95,193531
2019-12-06,50.1,50.95,48.45,48.9,395637
2019-12-09,49.3,51.3,48.0,50.2,475923
2019-12-10,50.35,51.8,49.7,50.75,461676
2019-12-11,52.3,52.3,49.9,50.15,87858
2019-12-12,50.15,52.65,50.15,52.65,276067
2019-12-13,55.25,55.25,52.6,55.25,590684
2019-12-16,56.8,58.0,55.5,56.0,327981
2019-12-17,54.85,54.85,53.2,53.25,205348
2019-12-18,53.1,54.4,51.1,53.25,200730
2019-12-19,54.1,54.25,52.0,52.65,84004
2019-12-20,54.5,54.5,52.15,53.6,71198
2019-12-23,52.4,54.05,52.0,52.6,118136
2019-12-24,52.7,53.45,51.6,52.0,92213
2019-12-26,53.0,53.1,52.0,52.1,134278
2019-12-27,52.1,52.95,50.15,52.05,123150
2019-12-30,52.2,54.65,52.2,53.65,153908
2019-12-31,54.0,54.65,53.1,53.85,52903
2020-01-01,53.95,54.1,52.8,53.15,43479
2020-01-02,53.95,55.8,52.7,55.15,646382
2020-01-03,56.0,57.9,55.35,57.9,781190
2020-01-06,58.95,59.0,55.05,55.05,376814
2020-01-07,55.9,57.4,54.05,55.6,112634
2020-01-08,54.1,56.9,53.8,56.05,133831
2020-01-09,56.55,57.7,55.9,56.1,115547
2020-01-10,54.5,57.9,54.5,56.7,132971
2020-01-13,57.0,59.5,56.05,59.35,209511
2020-01-14,61.2,62.3,60.75,62.3,170795
2020-01-15,65.2,65.4,63.1,65.4,526512
2020-01-16,67.8,68.65,62.15,68.25,469634
2020-01-17,70.8,70.8,67.5,68.6,209657
2020-01-20,69.05,70.4,65.5,67.7,164454
2020-01-21,67.5,68.0,65.25,65.45,263266
2020-01-22,67.0,67.0,62.2,64.0,133709
2020-01-23,65.9,67.2,63.1,67.05,213697
2020-01-24,66.5,66.95,64.05,64.6,188517
2020-01-27,65.0,65.45,61.75,62.15,118928
2020-01-28,62.15,62.15,59.05,60.1,180774
2020-01-29,60.2,62.6,60.1,61.15,78886
2020-01-30,61.05,61.8,59.15,59.9,65409
2020-01-31,59.0,61.65,57.15,58.0,425839
2020-02-01,59.7,59.7,55.1,55.25,137486
2020-02-03,53.35,57.8,53.35,55.4,91041
2020-02-04,55.0,58.15,54.5,56.85,291591
2020-02-05,58.7,59.65,56.7,59.65,396127
2020-02-06,61.1,61.1,57.55,59.2,175342
2020-02-07,59.25,60.3,58.25,59.2,100498
2020-02-10,60.65,60.65,56.0,56.8,96538
2020-02-11,56.0,58.5,56.0,56.2,44384
2020-02-12,56.9,57.4,54.85,55.05,76316
2020-02-13,55.0,55.5,54.2,54.95,101132
