date,open,high,low,close,volume
2019-12-20,102.75,103.43,101.7,102.94,3112073
2019-12-23,102.23,103.88,101.63,102.34,3235372
2019-12-24,102.23,103.43,102.0,103.01,2552436
2019-12-26,102.9,104.25,102.45,103.84,2210926
2019-12-27,104.06,107.06,103.99,106.16,6719592
2019-12-30,106.13,106.54,105.0,105.94,1954748
2019-12-31,105.41,108.53,105.15,107.33,4770817
2020-01-01,107.48,108.23,106.16,107.96,2890349
2020-01-02,107.96,109.43,107.63,109.09,3444722
2020-01-03,108.75,109.46,106.73,107.25,3914476
2020-01-06,106.5,107.59,103.39,104.18,3722916
2020-01-07,105.08,107.93,104.03,105.56,5335773
2020-01-08,104.33,105.38,102.53,103.95,3418026
2020-01-09,104.89,107.29,104.89,106.84,3309452
2020-01-10,107.25,108.49,106.09,106.69,4769208
2020-01-13,107.29,108.3,106.2,107.55,5338916
2020-01-14,108.0,108.26,106.24,106.69,4207445
2020-01-15,106.5,107.25,104.21,106.8,6015736
2020-01-16,106.84,107.63,104.51,105.79,4434098
2020-01-17,105.64,106.5,104.51,105.75,3268230
2020-01-20,105.6,105.6,102.53,102.9,4389937
2020-01-21,102.0,103.5,100.54,100.8,4125210
2020-01-22,101.55,102.15,97.28,101.7,9429809
2020-01-23,101.85,104.85,101.25,104.18,5985386
2020-01-24,104.25,106.88,103.58,106.09,5654260
2020-01-27,105.64,109.65,105.45,108.08,7087981
2020-01-28,108.15,109.65,106.05,108.71,6845188
2020-01-29,108.9,110.93,108.71,110.29,6727885
2020-01-30,110.7,111.6,109.24,111.0,6855936
2020-01-31,111.75,111.98,106.76,107.78,9384174
2020-02-01,107.63,108.34,104.06,104.59,3359277
2020-02-03,104.36,105.68,102.08,103.35,6234290
2020-02-04,103.73,107.1,103.73,106.69,5918053
2020-02-05,110.55,115.13,107.4,113.21,29261334
2020-02-06,114.34,115.09,112.58,114.53,13756842
2020-02-07,115.13,116.63,113.48,116.29,8511052
2020-02-10,117.0,117.38,113.7,115.39,15533206
2020-02-11,107.51,109.13,105.94,106.43,13928954
2020-02-12,106.09,107.06,103.91,106.43,11201810
2020-02-13,106.16,106.73,104.93,105.53,3975770
2020-02-14,105.75,107.89,104.25,104.74,5602588
2020-02-17,104.89,105.98,103.28,103.58,3362370
2020-02-18,103.28,103.28,100.58,102.71,4285136
2020-02-19,103.01,104.06,102.23,102.9,2678910
2020-02-20,102.68,106.05,102.19,104.96,4946008
2020-02-24,103.76,105.79,101.93,102.15,4457902
2020-02-25,102.38,102.75,99.98,100.39,3532992
2020-02-26,99.38,100.31,96.98,97.31,5176909
2020-02-27,97.31,97.76,94.09,94.73,5823580
2020-02-28,92.63,92.7,87.53,88.35,13012942
2020-03-02,90.71,93.45,87.08,88.31,10295101
2020-03-03,89.78,91.05,87.34,89.81,9949893
2020-03-04,90.49,90.49,86.33,88.01,8514580
2020-03-05,88.5,90.9,88.01,88.76,9690090
2020-03-06,86.63,87.98,84.75,86.48,8229369
2020-03-09,84.9,85.13,79.58,80.7,6346081
