date,open,high,low,close,volume
2018-06-04,154.0,155.38,148.97,152.88,145959
2018-06-05,152.0,152.47,146.11,149.89,542769
2018-06-06,150.4,153.9,147.6,148.47,341729
2018-06-07,148.6,150.8,147.48,148.75,277869
2018-06-08,148.74,149.55,147.02,147.68,47919
2018-06-11,147.58,149.49,142.2,148.4,319374
2018-06-12,147.9,152.43,147.0,151.93,69694
2018-06-13,151.98,151.98,148.1,148.76,563619
2018-06-14,149.11,155.0,148.5,152.04,159834
2018-06-15,152.0,156.0,148.02,152.87,87699
2018-06-18,154.2,154.2,147.41,148.43,50689
2018-06-19,148.95,151.77,147.31,148.16,120174
2018-06-20,148.8,148.98,144.2,145.48,147314
2018-06-21,146.6,147.4,144.8,145.29,408499
2018-06-22,145.0,146.2,144.21,145.54,206969
2018-06-25,145.5,146.78,144.8,145.72,158119
2018-06-26,145.69,145.69,141.0,142.41,19634
2018-06-27,140.21,142.63,131.24,133.34,250629
2018-06-28,134.13,134.13,126.46,128.06,186139
2018-06-29,128.8,136.63,127.67,133.98,93264
2018-07-02,133.98,133.98,129.54,130.56,48589
2018-07-03,130.56,132.0,128.41,129.79,135609
2018-07-04,129.79,130.02,128.07,128.49,32004
2018-07-05,129.03,132.0,122.01,122.89,137619
2018-07-06,123.83,125.48,122.2,124.18,106384
2018-07-09,124.18,133.94,121.95,132.62,278624
2018-07-10,135.8,135.8,131.6,133.98,86884
2018-07-11,133.03,136.8,131.01,136.04,145109
2018-07-12,137.97,138.48,132.01,133.09,100609
2018-07-13,134.0,135.59,131.11,131.42,57159
2018-07-16,131.48,131.48,123.1,123.87,59384
2018-07-17,123.2,129.71,119.1,127.5,88874
2018-07-18,127.12,128.98,121.62,123.41,103039
2018-07-19,124.49,125.99,122.03,124.04,114409
2018-07-20,123.38,124.4,117.63,118.61,187184
2018-07-23,119.92,124.58,118.1,119.56,368994
2018-07-24,120.11,123.54,119.28,121.5,849834
2018-07-25,123.8,130.64,123.12,128.59,401519
2018-07-26,126.2,129.8,125.2,126.9,142094
2018-07-27,128.0,132.33,127.77,130.32,194154
2018-07-30,132.0,136.8,128.5,131.18,381049
2018-07-31,129.4,131.79,128.83,130.16,67394
2018-08-01,130.41,131.22,127.26,130.14,48509
2018-08-02,130.14,131.8,127.0,130.68,69549
2018-08-03,131.15,134.0,129.65,133.08,144969
2018-08-06,135.0,139.8,133.52,135.04,81299
2018-08-07,136.96,136.96,133.0,134.81,53439
2018-08-08,134.81,136.01,133.12,134.02,81459
2018-08-09,134.11,136.0,132.6,132.82,44129
2018-08-10,132.75,132.76,129.0,130.53,35719
2018-08-13,129.22,129.22,124.1,124.94,77584
2018-08-14,126.54,127.96,124.0,125.85,25939
2018-08-16,125.59,129.89,124.33,125.04,91579
2018-08-17,125.75,126.72,123.3,124.93,94009
2018-08-20,124.41,126.27,121.84,122.74,76689
2018-08-21,122.8,126.76,121.92,124.04,80564
2018-08-23,125.06,125.84,121.42,122.06,84834
2018-08-24,122.99,124.78,120.88,123.1,932674
2018-08-27,124.0,126.16,121.43,122.12,49864
2018-08-28,122.8,123.8,122.0,122.41,184734
2018-08-29,122.79,123.3,117.81,119.41,469369
2018-08-30,120.57,122.6,117.08,119.2,138734
2018-08-31,119.2,124.61,119.2,123.49,206419
2018-09-03,125.4,131.0,121.6,128.01,259779
2018-09-04,129.48,129.48,124.54,125.61,37234
2018-09-05,124.75,125.92,121.93,124.91,74189
2018-09-06,124.91,131.0,122.07,123.09,70909
2018-09-07,122.98,129.32,122.0,126.32,117034
2018-09-10,125.61,127.8,124.0,124.72,458384
2018-09-11,124.6,125.51,124.01,124.15,57439
2018-09-12,124.01,128.0,123.63,127.7,71739
2018-09-14,127.6,135.0,127.6,132.55,181544
2018-09-17,132.38,143.8,129.45,139.01,1196084
2018-09-18,139.1,141.76,132.0,134.07,185804
2018-09-19,135.4,139.6,132.26,135.53,135564
2018-09-21,139.0,139.0,130.26,135.23,622224
2018-09-24,138.8,138.8,128.21,128.3,60589
2018-09-25,133.96,133.96,121.0,123.69,196484
2018-09-26,125.18,126.6,124.0,124.8,77839
2018-09-27,124.03,127.4,124.0,124.04,50489
2018-09-28,124.35,125.75,115.0,120.15,292984
2018-10-01,118.81,121.94,115.4,120.74,212614
2018-10-03,121.0,124.63,119.16,120.0,121209
2018-10-04,117.96,120.2,115.06,115.94,56419
2018-10-05,115.6,118.15,108.0,110.15,135029
2018-10-08,110.02,114.37,105.96,110.3,150954
2018-10-09,110.44,111.71,105.0,111.08,76669
2018-10-10,110.84,118.4,109.64,116.06,48444
2018-10-11,111.43,117.8,106.08,115.29,59279
2018-10-12,114.53,118.8,113.66,116.21,50569
2018-10-15,117.98,122.74,113.01,119.29,86014
2018-10-16,119.29,122.0,119.2,120.48,43699
2018-10-17,121.32,123.0,116.01,116.5,24754
2018-10-19,116.4,116.4,110.65,112.17,99914
2018-10-22,116.0,116.0,106.41,111.16,89189
2018-10-23,110.0,111.97,107.1,108.12,42124
2018-10-24,107.84,111.89,107.84,109.98,70359
2018-10-25,108.5,111.57,108.0,108.74,27174
2018-10-26,110.34,111.6,107.21,107.61,21329
2018-10-29,109.23,111.0,105.96,110.26,49739
2018-10-30,111.15,113.8,106.73,108.1,100489
2018-10-31,109.66,110.96,106.11,106.84,39149
2018-11-01,107.81,113.86,107.8,112.93,77509
2018-11-02,114.97,118.94,114.02,117.01,117174
2018-11-05,119.4,128.0,116.12,117.01,409164
2018-11-06,117.2,118.57,116.0,117.2,33284
2018-11-07,117.2,119.8,116.04,118.01,9129
2018-11-09,119.57,119.57,117.03,118.86,34464
2018-11-12,118.86,122.0,117.43,119.26,57989
2018-11-13,118.24,120.42,117.44,120.29,23434
2018-11-14,120.4,120.4,116.11,116.89,38939
2018-11-15,115.43,117.32,114.59,115.22,17314
2018-11-16,115.0,117.38,112.21,113.84,70974
2018-11-19,114.97,117.79,114.0,116.28,21824
2018-11-20,117.97,117.97,113.14,113.6,23049
2018-11-21,115.6,115.76,110.12,113.67,38549
2018-11-22,114.97,117.3,111.18,112.44,37974
2018-11-26,113.2,113.36,111.03,112.15,66824
2018-11-27,111.01,112.98,110.31,111.24,63154
2018-11-28,111.51,112.0,108.25,109.13,38769
2018-11-29,110.88,110.88,109.24,109.64,31744
2018-11-30,109.94,115.0,103.0,109.8,8777709
2018-12-03,112.94,113.4,110.26,111.67,294554
2018-12-04,112.01,113.0,108.91,109.25,225729
2018-12-05,108.78,108.78,103.79,105.2,378044
2018-12-06,102.8,107.59,102.8,105.78,98614
2018-12-07,105.4,107.4,103.9,105.64,591489
2018-12-10,105.59,105.59,102.15,103.01,82319
2018-12-11,102.3,104.97,101.21,102.75,522204
2018-12-12,103.21,109.76,103.21,108.11,292289
2018-12-13,108.1,109.6,107.26,108.24,38104
2018-12-14,109.39,109.4,105.91,106.53,55639
2018-12-17,107.01,109.8,106.71,108.68,76559
2018-12-18,108.68,109.07,105.43,106.08,35884
2018-12-19,107.3,107.4,105.2,105.57,83369
2018-12-20,105.65,106.46,104.05,104.64,184274
2018-12-21,105.19,105.19,103.35,103.49,45414
2018-12-24,103.26,105.0,102.51,103.06,35544
2018-12-26,103.96,103.96,101.76,102.63,76774
2018-12-27,103.79,104.59,102.4,102.47,150789
2018-12-28,103.59,103.59,100.93,101.88,104049
2018-12-31,101.9,108.8,101.9,107.52,246754
2019-01-01,106.16,107.52,105.6,106.17,26954
2019-01-02,106.16,106.98,104.65,105.45,28919
2019-01-03,104.8,106.29,104.6,105.72,19894
2019-01-04,105.8,105.8,104.2,104.85,14709
2019-01-07,104.85,106.39,103.6,104.38,58084
2019-01-08,104.8,105.2,102.99,103.63,101764
2019-01-09,103.99,104.0,103.0,103.31,50299
2019-01-10,103.21,104.01,103.1,103.2,53594
2019-01-11,103.21,103.7,102.8,102.98,37659
2019-01-14,103.05,104.49,102.8,103.17,78859
2019-01-15,103.0,105.7,102.24,103.46,55509
2019-01-16,103.0,104.0,102.9,102.99,46599
