date,open,high,low,close,volume
2019-11-06,24.05,24.05,23.8,23.85,4713743
2019-11-07,23.95,24.35,23.85,23.95,4291872
2019-11-08,23.85,24.45,23.8,23.85,6360245
2019-11-11,24.0,24.2,23.9,23.95,2364465
2019-11-13,24.05,24.25,23.75,23.8,3925251
2019-11-14,25.55,25.65,23.95,24.05,15324886
2019-11-15,24.25,24.7,24.1,24.55,11003819
2019-11-18,24.65,24.65,24.2,24.45,5752728
2019-11-19,24.45,24.75,24.15,24.2,5759265
2019-11-20,24.3,24.35,24.1,24.15,2403818
2019-11-21,24.15,24.4,23.9,23.95,5332834
2019-11-22,24.0,24.1,23.85,23.95,2201521
2019-11-25,24.0,24.35,23.9,24.2,3315363
2019-11-26,24.2,25.2,24.15,24.65,10856955
2019-11-27,24.6,24.8,24.2,24.5,3438597
2019-11-28,24.35,24.7,24.0,24.15,3430891
2019-11-29,24.25,24.3,23.9,23.95,3346423
2019-12-02,24.0,24.0,23.8,23.85,1990475
2019-12-03,23.85,23.95,23.6,23.65,1835886
2019-12-04,23.7,23.85,23.55,23.7,1837310
2019-12-05,23.7,24.45,23.65,23.9,3147676
2019-12-06,23.9,24.0,23.6,23.65,2765158
2019-12-09,23.65,23.85,23.5,23.6,1587917
2019-12-10,23.65,23.8,23.1,23.1,2264055
2019-12-11,23.15,23.7,23.1,23.45,2213719
2019-12-12,23.5,23.6,23.25,23.35,1564686
2019-12-13,23.4,23.65,23.3,23.4,1308438
2019-12-16,23.6,23.65,23.25,23.25,993923
2019-12-17,23.35,23.4,23.2,23.25,3363010
2019-12-18,23.25,23.4,23.15,23.2,971864
2019-12-19,23.2,23.3,23.1,23.15,892491
2019-12-20,23.15,23.25,22.8,22.85,2545756
2019-12-23,22.9,23.65,22.8,22.95,3002955
2019-12-24,23.0,23.1,22.85,22.95,1400239
2019-12-26,23.0,23.1,22.7,22.9,3031375
2019-12-27,23.0,23.15,22.75,22.8,2020206
2019-12-30,23.0,23.0,22.75,22.85,1545788
2019-12-31,22.85,23.25,22.8,22.95,2183586
2020-01-01,23.05,23.3,22.95,23.0,3128543
2020-01-02,23.05,23.9,22.9,23.75,7744461
2020-01-03,23.6,25.3,23.6,25.05,17976269
2020-01-06,24.65,24.8,23.65,23.85,7947042
2020-01-07,24.15,25.05,24.0,24.55,8533366
2020-01-08,24.0,25.6,24.0,25.2,11722066
2020-01-09,25.4,26.1,25.25,25.7,11073581
2020-01-10,25.7,25.9,25.0,25.15,4860518
2020-01-13,25.2,26.0,25.15,25.4,5131600
