date,open,high,low,close,volume
2020-01-13,50.0,50.4,49.05,50.0,25345459
2020-01-14,50.45,51.65,50.1,50.75,33639648
2020-01-15,50.4,51.65,49.65,51.45,27277045
2020-01-16,51.5,51.75,50.65,50.85,23182881
2020-01-17,50.5,51.9,50.5,50.95,18835022
2020-01-20,51.15,51.45,49.95,50.75,18760402
2020-01-21,50.4,51.2,49.65,49.8,24173709
2020-01-22,50.0,50.3,49.2,49.8,18551852
2020-01-23,49.55,50.8,49.4,50.4,13721598
2020-01-24,50.45,51.5,50.1,51.05,16176998
2020-01-27,50.7,50.7,48.35,48.75,23848030
2020-01-28,48.7,49.1,46.65,47.05,31387261
2020-01-29,47.6,48.45,47.45,47.65,17955370
2020-01-30,47.7,47.75,46.6,47.35,20209701
2020-01-31,47.6,47.95,46.2,46.5,17954383
2020-02-01,46.0,47.15,44.0,44.5,18597802
2020-02-03,43.7,45.25,43.25,44.75,29698362
2020-02-04,45.3,46.75,44.9,46.5,22700326
2020-02-05,46.75,49.2,46.3,48.75,30106870
2020-02-06,49.1,49.75,48.3,48.9,23115534
2020-02-07,48.55,49.3,48.2,48.65,18226191
2020-02-10,48.4,48.4,45.7,46.0,27010689
2020-02-11,46.6,47.35,45.35,45.7,21550256
2020-02-12,46.1,46.7,45.1,45.85,15980861
2020-02-13,45.8,46.3,45.1,45.3,15054008
2020-02-14,45.2,45.8,43.65,43.9,17516625
2020-02-17,42.0,44.0,41.85,42.8,32718648
2020-02-18,42.5,42.6,40.7,41.95,23914632
2020-02-19,42.5,43.0,41.15,41.65,28855122
2020-02-20,41.25,42.65,40.95,42.15,23850054
2020-02-24,41.45,41.45,39.05,39.25,22757603
2020-02-25,39.4,40.15,38.9,39.25,22137095
2020-02-26,38.4,39.2,38.25,38.55,18975185
2020-02-27,38.6,38.6,37.0,37.9,22730562
2020-02-28,35.2,36.7,34.9,35.55,33171784
2020-03-02,36.65,37.2,34.15,34.9,30887100
2020-03-03,35.45,36.5,35.1,36.0,25225572
2020-03-04,36.15,36.4,34.05,34.85,37654957
2020-03-05,35.3,35.65,34.05,34.2,36583370
2020-03-06,32.8,33.5,31.9,33.0,22839018
2020-03-09,32.0,32.1,29.05,29.8,33096753
2020-03-11,29.2,30.4,28.5,28.75,36530555
2020-03-12,27.0,27.35,24.5,24.7,46930409
2020-03-13,22.8,30.45,21.4,29.55,65615251
2020-03-16,27.05,28.6,25.15,27.25,34356130
2020-03-17,27.6,30.7,27.05,28.3,45328524
2020-03-18,28.65,29.1,25.35,26.8,46502223
2020-03-19,25.05,26.55,24.8,25.2,41258156
2020-03-20,25.5,27.0,25.3,26.7,37286437
2020-03-23,24.7,25.3,22.75,22.95,12938800
2020-03-24,24.7,24.7,21.65,21.8,36471258
2020-03-25,21.2,22.35,21.15,21.9,28771090
2020-03-26,22.5,23.05,21.55,21.8,33055060
2020-03-27,22.35,22.8,21.0,21.1,30567766
2020-03-30,21.0,21.0,20.15,20.4,17780974
2020-03-31,21.1,24.3,20.8,23.05,51867339
2020-04-01,23.05,23.05,21.8,22.2,18438953
2020-04-03,22.25,22.6,21.5,21.65,15162888
2020-04-07,23.35,24.85,22.4,24.45,33936109
2020-04-08,24.0,27.55,23.7,25.35,53476363
2020-04-09,26.25,26.95,25.7,26.35,26855644
2020-04-13,26.15,26.75,25.1,26.3,24780282
2020-04-15,26.85,27.15,25.8,26.15,25214418
2020-04-16,25.9,27.05,25.55,26.85,19014842
2020-04-17,27.8,28.65,26.35,28.3,33557532
2020-04-20,29.0,29.0,27.8,27.95,18761443
2020-04-21,27.25,27.25,25.95,26.45,19026191
2020-04-22,26.35,26.5,25.4,26.35,19429716
2020-04-23,26.45,27.25,26.3,26.6,14851116
2020-04-24,26.0,27.35,25.8,26.9,15594342
2020-04-27,27.35,27.35,26.3,26.55,12314451
2020-04-28,26.8,27.6,26.3,27.4,11729167
2020-04-29,27.4,30.8,27.1,30.2,47374952
2020-04-30,30.6,32.25,30.6,31.85,35723601
2020-05-04,29.55,29.7,28.4,28.85,19496308
2020-05-05,29.6,29.7,28.2,28.4,19206562
2020-05-06,28.4,28.6,27.35,28.35,13068094
2020-05-07,28.0,28.95,27.9,28.4,10084843
2020-05-08,29.05,29.25,28.25,28.4,9909906
2020-05-11,28.55,28.95,28.25,28.4,9173149
2020-05-12,28.0,28.0,27.25,27.65,12003351
2020-05-13,29.45,29.45,28.3,28.75,18998641
2020-05-14,28.1,28.6,27.8,28.15,9714775
2020-05-15,28.25,30.2,27.35,29.35,46611542
2020-05-18,29.5,29.6,27.15,27.45,23059521
2020-05-19,27.8,28.25,26.75,27.0,30155259
2020-05-20,26.9,27.9,26.55,27.6,18263255
2020-05-21,27.6,28.55,27.45,28.1,27487243
2020-05-22,27.75,28.2,27.05,27.3,17373672
2020-05-26,27.5,28.6,27.5,28.3,27073395
2020-05-27,28.9,29.95,28.75,29.65,44969584
2020-05-28,29.95,30.8,29.7,30.2,28675466
2020-05-29,28.9,30.45,28.9,30.15,29732816
2020-06-01,30.7,31.65,30.3,30.5,29781118
2020-06-02,30.8,31.4,30.05,31.1,27935712
2020-06-03,31.5,32.0,30.75,30.95,21653448
2020-06-04,31.0,31.55,30.1,31.1,27576912
2020-06-05,31.5,33.8,31.3,33.4,59694645
2020-06-08,34.35,35.1,32.3,32.7,48035123
2020-06-09,33.1,34.0,31.85,32.15,32610889
2020-06-10,32.0,32.15,31.2,31.6,22450053
2020-06-11,31.6,32.05,29.8,30.0,25534263
2020-06-12,28.35,30.5,28.35,30.35,22376269
2020-06-15,29.95,30.25,28.95,29.3,19196161
2020-06-16,30.5,31.15,28.8,29.5,48607349
2020-06-17,29.3,29.8,28.65,28.75,21699932
2020-06-18,28.85,29.85,28.7,29.65,25099481
2020-06-19,30.0,30.55,30.0,30.15,22925898
2020-06-22,30.15,31.45,30.1,31.2,27149586
2020-06-23,31.45,33.05,31.35,32.5,43339729
2020-06-24,33.25,33.45,30.4,30.85,49844402
2020-06-25,30.8,31.65,30.5,30.85,32779460
2020-06-26,31.55,31.6,30.3,30.5,24735595
