date,open,high,low,close,volume
2023-09-07,1628.0,1650.15,1573.2,1597.0,31753
2023-09-08,1570.2,1620.0,1541.95,1564.95,14536
2023-09-11,1565.0,1579.0,1542.25,1570.2,29590
2023-09-12,1579.2,1580.0,1440.05,1482.6,28100
2023-09-13,1488.0,1516.3,1441.1,1485.05,18143
2023-09-14,1495.0,1610.65,1495.0,1566.45,52934
2023-09-15,1588.0,1660.0,1550.05,1616.6,46606
2023-09-18,1620.0,1658.0,1575.0,1601.9,44463
2023-09-20,1580.0,1626.4,1565.0,1585.05,14274
2023-09-21,1575.0,1595.0,1542.05,1546.2,11247
2023-09-22,1540.0,1564.55,1507.0,1525.0,13980
2023-09-25,1531.0,1539.85,1481.4,1491.15,16971
2023-09-26,1490.45,1491.9,1441.1,1448.35,25051
2023-09-27,1448.35,1487.55,1429.6,1482.55,26508
2023-09-28,1490.0,1534.65,1477.1,1507.35,15853
2023-09-29,1515.7,1532.35,1499.0,1510.55,13123
2023-10-03,1491.0,1540.3,1491.0,1520.1,13031
2023-10-04,1529.9,1539.7,1466.15,1481.6,14029
2023-10-05,1499.05,1534.0,1475.1,1496.05,16760
2023-10-06,1514.7,1526.5,1484.5,1514.45,9792
2023-10-09,1461.05,1579.35,1461.05,1542.6,43496
2023-10-10,1569.65,1625.0,1561.2,1587.95,52141
2023-10-11,1595.0,1715.95,1579.05,1699.1,216131
2023-10-12,1724.0,1769.7,1665.1,1692.85,129414
2023-10-13,1691.95,1724.4,1668.9,1679.9,35354
2023-10-16,1694.0,1704.85,1650.0,1656.8,19890
2023-10-17,1679.5,1700.0,1630.0,1639.25,26304
2023-10-18,1644.0,1676.95,1622.2,1645.9,18525
2023-10-19,1630.0,1675.0,1626.05,1650.0,19656
2023-10-20,1640.0,1674.35,1607.45,1613.85,22979
2023-10-23,1635.0,1664.3,1499.0,1508.45,63319
2023-10-25,1515.0,1549.0,1460.0,1500.0,40481
2023-10-26,1500.0,1520.0,1459.15,1506.15,27127
2023-10-27,1517.75,1564.95,1517.75,1529.0,22452
2023-10-30,1525.0,1542.45,1505.0,1522.4,10782
2023-10-31,1529.0,1570.9,1520.0,1520.0,14800
2023-11-01,1539.85,1547.45,1490.1,1501.05,10512
2023-11-02,1524.8,1531.0,1467.05,1482.45,24880
2023-11-03,1497.85,1520.0,1476.0,1511.0,38542
2023-11-06,1524.9,1633.7,1524.4,1614.35,59622
2023-11-07,1611.2,1630.5,1433.6,1496.95,94178
2023-11-08,1469.0,1496.8,1444.35,1471.6,62061
2023-11-09,1441.0,1510.05,1441.0,1499.9,46354
2023-11-10,1495.0,1509.75,1470.1,1473.4,17336
2023-11-12,1473.4,1499.7,1473.4,1490.0,4189
2023-11-13,1496.9,1499.8,1458.0,1465.8,16672
2023-11-15,1482.0,1600.9,1474.35,1580.25,76380
2023-11-16,1592.0,1597.45,1545.0,1557.0,30649
2023-11-17,1560.0,1566.0,1515.8,1522.5,22560
2023-11-20,1522.5,1556.75,1503.0,1533.0,25890
2023-11-21,1531.95,1611.0,1526.35,1597.0,56793
2023-11-22,1600.0,1607.45,1530.0,1553.4,29598
2023-11-23,1570.0,1600.0,1543.35,1593.75,24091
2023-11-24,1590.0,1624.9,1551.85,1563.05,28421
2023-11-28,1552.0,1580.45,1516.0,1525.5,24601
2023-11-29,1531.0,1610.0,1512.1,1582.25,81281
2023-11-30,1590.95,1594.9,1535.5,1548.05,30442
2023-12-01,1560.0,1570.0,1528.0,1540.0,33318
2023-12-04,1548.0,1589.0,1548.0,1581.5,45910
2023-12-05,1570.0,1643.0,1564.55,1626.2,85571
2023-12-06,1632.0,1638.0,1570.0,1633.5,33375
2023-12-07,1640.0,1886.2,1598.0,1872.6,559686
2023-12-08,1900.0,1940.55,1872.0,1920.9,185633
2023-12-11,1946.0,2265.0,1945.0,2229.0,557545
2023-12-12,2250.0,2260.0,2126.1,2195.85,193513
2023-12-13,2225.0,2287.95,2061.35,2271.95,103124
2023-12-14,2302.0,2338.0,2210.0,2225.6,85334
2023-12-15,2239.95,2344.8,2194.05,2313.6,86918
2023-12-18,2350.0,2544.95,2272.0,2544.95,326566
2023-12-19,2690.0,2799.4,2545.0,2634.9,551348
2023-12-20,2685.0,2698.8,2460.0,2495.4,134488
2023-12-21,2466.0,2627.75,2458.0,2580.3,105722
2023-12-22,2647.0,2647.0,2561.0,2583.6,65321
2023-12-26,2601.1,2623.8,2561.2,2594.3,76785
2023-12-27,2601.0,2730.0,2580.05,2704.75,88909
2023-12-28,2728.0,2942.6,2728.0,2887.0,192361
2023-12-29,2918.8,2969.8,2890.1,2905.25,105843
2024-01-01,2929.0,2950.0,2739.0,2749.1,107137
2024-01-02,2780.0,2787.25,2631.25,2706.45,72987
2024-01-03,2727.9,2799.0,2707.0,2785.7,41767
2024-01-04,2800.0,2823.4,2720.0,2741.6,44080
2024-01-05,2764.9,2779.0,2711.05,2732.3,27419
2024-01-08,2778.95,2778.95,2662.0,2675.3,38141
2024-01-09,2690.05,2729.0,2675.55,2704.0,29863
2024-01-10,2700.0,2831.95,2680.0,2775.45,42368
2024-01-11,2800.0,2815.0,2701.0,2714.6,42500
2024-01-12,2727.0,2750.0,2720.95,2743.1,11934
2024-01-15,2764.0,2783.05,2714.05,2728.45,20545
2024-01-16,2749.0,2845.0,2713.25,2782.3,81156
2024-01-17,2775.0,2834.9,2710.0,2753.6,39513
2024-01-18,2750.0,2789.0,2605.0,2704.1,46721
2024-01-19,2754.1,2808.0,2717.0,2794.45,45588
