date,open,high,low,close,volume
2020-01-14,666.48,667.5,662.53,666.75,2826
2020-01-15,667.5,685.0,658.05,673.7,9516
2020-01-16,680.0,692.5,670.05,688.83,7406
2020-01-17,677.53,698.5,677.5,692.0,3550
2020-01-20,695.0,707.0,684.78,698.05,5152
2020-01-21,703.5,710.0,688.03,705.63,10136
2020-01-22,710.5,749.5,697.5,743.53,25174
2020-01-23,749.98,749.98,722.0,736.78,7908
2020-01-24,740.5,742.5,728.5,739.98,66872
2020-01-27,744.98,744.98,728.0,734.85,6038
2020-01-28,737.5,744.63,715.05,736.4,10072
2020-01-29,729.0,749.5,726.0,744.35,3994
2020-01-30,745.5,747.5,722.8,737.6,7154
2020-01-31,737.3,740.0,726.0,737.68,1626
2020-02-01,730.0,742.15,717.8,739.3,5602
2020-02-03,728.18,748.38,726.8,738.13,4156
2020-02-04,736.1,787.5,732.48,771.9,15884
2020-02-05,774.5,785.0,762.05,774.05,9750
2020-02-06,769.3,799.5,764.0,782.68,26620
2020-02-07,782.68,817.2,782.68,806.08,24366
2020-02-10,815.0,815.0,779.5,788.25,29516
2020-02-11,824.98,889.98,805.68,821.38,191026
2020-02-12,827.95,835.0,815.0,830.85,34846
2020-02-13,844.3,860.0,817.5,823.03,30392
2020-02-14,829.4,845.0,813.3,829.25,17556
2020-02-17,828.5,845.0,806.13,819.6,22970
2020-02-18,818.25,830.0,807.0,824.68,23862
2020-02-19,828.93,860.5,825.85,832.15,29684
2020-02-20,843.5,844.5,821.63,835.75,12624
2020-02-24,835.75,844.5,824.98,834.2,8098
2020-02-25,837.5,842.5,823.5,830.05,47256
2020-02-26,825.3,835.35,815.03,827.08,33796
2020-02-27,833.98,833.98,801.23,822.05,13780
2020-02-28,814.88,830.0,771.8,813.63,20772
2020-03-02,803.0,846.88,803.0,822.7,15520
2020-03-03,833.73,846.95,800.6,820.75,15864
2020-03-04,833.0,833.0,802.9,815.43,19816
2020-03-05,802.5,822.0,802.5,814.95,14570
2020-03-06,778.03,814.5,778.03,789.25,8552
2020-03-09,775.0,784.38,750.2,774.83,29504
2020-03-11,774.83,776.6,741.88,774.9,23604
2020-03-12,735.0,781.68,735.0,767.0,32168
2020-03-13,676.05,799.93,631.05,789.23,43646
2020-03-16,782.5,782.5,715.05,766.15,33522
2020-03-17,755.58,756.8,702.65,723.5,24164
2020-03-18,705.03,747.48,690.0,703.48,31784
2020-03-19,655.4,738.0,590.43,726.88,41304
2020-03-20,744.93,745.0,667.13,688.08,33698
2020-03-23,625.0,674.93,587.5,625.13,15730
2020-03-24,612.5,675.0,585.0,598.15,8082
2020-03-25,625.0,625.0,575.93,589.58,2050
2020-03-26,611.23,651.98,585.0,590.83,8142
2020-03-27,614.5,708.98,614.45,661.58,27464
2020-03-30,697.05,697.05,602.9,613.7,3730
2020-03-31,640.0,699.0,622.5,642.95,8348
2020-04-01,659.93,664.98,628.0,649.1,6162
2020-04-03,659.18,671.98,616.48,620.05,17876
2020-04-07,647.0,647.0,608.1,624.98,31422
2020-04-08,624.0,629.28,617.5,624.95,21826
2020-04-09,625.63,641.98,594.98,626.1,22272
2020-04-13,610.08,641.6,608.0,611.23,5858
2020-04-15,622.5,643.5,610.5,624.1,14058
2020-04-16,608.15,630.0,608.1,624.0,11168
2020-04-17,640.28,640.28,622.5,625.0,22210
2020-04-20,625.5,625.5,619.25,623.6,6082
2020-04-21,610.53,624.5,610.53,615.85,76744
2020-04-22,603.58,645.0,603.55,628.63,7004
2020-04-23,661.5,662.0,635.78,652.4,23256
2020-04-24,651.0,651.0,625.0,638.48,4640
2020-04-27,646.0,662.0,633.98,646.08,30418
2020-04-28,660.0,694.53,636.93,682.78,14918
2020-04-29,680.78,715.95,670.75,701.28,11032
2020-04-30,699.5,799.5,662.53,733.5,30722
2020-05-04,734.0,734.0,691.5,710.73,14212
2020-05-05,708.03,838.65,665.9,687.28,23628
2020-05-06,699.98,701.98,669.98,682.63,15612
2020-05-07,681.13,694.15,665.53,683.25,7276
2020-05-08,694.0,707.78,680.0,688.25,4054
2020-05-11,710.0,710.0,682.5,690.83,2480
2020-05-12,682.95,703.5,682.03,684.2,7204
2020-05-13,704.38,705.0,682.55,685.0,7412
2020-05-14,675.0,695.45,675.0,685.98,2356
2020-05-15,675.5,694.6,675.5,685.3,3084
2020-05-18,685.3,689.0,671.4,676.93,7876
2020-05-19,676.6,684.85,668.53,682.5,24690
2020-05-20,689.93,699.85,671.53,687.48,15002
2020-05-21,699.0,700.0,680.03,689.5,2174
2020-05-22,693.48,719.78,688.53,694.13,5462
2020-05-26,694.13,711.98,675.05,683.6,5242
2020-05-27,694.43,694.43,670.95,681.03,9670
2020-05-28,682.5,700.0,682.5,693.6,3240
2020-05-29,690.48,710.0,690.0,701.75,3404
2020-06-01,695.3,718.88,683.2,703.05,43036
2020-06-02,719.0,719.0,702.5,704.9,14484
2020-06-03,709.5,712.5,695.0,705.1,24478
2020-06-04,715.0,715.0,685.08,687.55,6426
2020-06-05,687.5,704.43,682.43,700.88,7820
2020-06-08,700.5,701.93,699.58,700.1,11428
2020-06-09,692.5,714.0,692.5,700.53,7896
2020-06-10,700.0,709.23,690.03,698.8,7184
2020-06-11,698.5,709.0,688.0,695.75,7186
2020-06-12,675.5,699.9,675.05,695.65,9096
2020-06-15,699.5,709.0,690.55,701.88,4174
2020-06-16,705.03,708.5,700.0,705.38,1598
2020-06-17,705.0,744.0,694.03,730.68,8034
