date,open,high,low,close,volume
2020-01-14,210.51,212.0,208.81,209.76,1587
2020-01-15,210.51,210.51,205.74,206.54,2990
2020-01-16,208.13,208.52,203.66,204.74,9936
2020-01-17,205.72,209.31,203.56,204.51,26218
2020-01-20,206.14,206.54,203.76,205.21,11778
2020-01-21,201.57,206.52,199.75,205.2,22583
2020-01-22,203.79,214.48,202.69,211.39,22460
2020-01-23,212.45,212.68,205.68,209.32,7305
2020-01-24,208.33,209.11,201.27,203.75,5300
2020-01-27,203.16,211.08,203.16,210.31,21994
2020-01-28,210.28,211.1,201.79,202.83,8451
2020-01-29,202.83,202.83,199.48,200.88,4131
2020-01-30,200.59,200.59,195.39,196.38,7979
2020-01-31,196.71,199.9,195.61,195.73,6606
2020-02-01,194.82,199.25,190.85,193.39,9772
2020-02-03,195.26,196.1,186.68,188.65,10292
2020-02-04,187.67,197.58,187.48,196.71,18205
2020-02-05,191.15,202.57,191.15,194.12,5227
2020-02-06,196.58,196.59,190.85,192.21,4087
2020-02-07,195.4,195.4,186.88,188.18,5927
2020-02-10,189.66,189.78,185.88,189.43,4783
2020-02-11,186.68,188.71,185.68,186.37,4697
2020-02-12,188.67,189.66,181.12,182.95,6605
2020-02-13,184.67,185.68,180.72,182.69,4684
2020-02-14,180.72,183.9,178.74,179.76,4044
2020-02-17,179.23,179.23,174.76,174.79,6304
2020-02-18,172.34,179.96,172.34,178.33,5122
2020-02-19,178.34,178.73,173.09,174.18,3534
2020-02-20,171.78,180.72,171.78,176.18,4442
2020-02-24,178.73,185.7,173.17,174.65,19430
2020-02-25,174.65,180.71,169.34,175.2,16293
2020-02-26,173.17,173.37,168.76,169.37,6591
2020-02-27,166.85,175.56,166.02,172.58,9633
2020-02-28,169.8,174.56,166.9,170.51,24596
2020-03-02,170.51,172.65,159.07,161.67,10062
2020-03-03,161.06,164.59,159.55,162.23,3059
2020-03-04,160.66,168.61,158.08,162.49,3470
2020-03-05,159.66,162.06,156.89,160.59,6387
2020-03-06,158.87,158.87,151.01,153.29,8399
2020-03-09,155.7,158.82,140.13,144.32,15276
2020-03-11,152.82,152.82,142.88,144.57,9978
2020-03-12,144.97,144.97,116.41,119.07,46874
2020-03-13,118.96,142.88,95.32,142.87,55213
2020-03-16,140.8,155.72,120.17,130.0,28148
2020-03-17,123.84,154.9,123.84,139.57,32201
2020-03-18,144.59,149.62,111.66,112.25,50291
2020-03-19,107.24,114.19,95.92,108.66,69891
2020-03-20,111.2,130.39,103.27,130.35,37968
2020-03-23,126.11,126.11,104.66,106.62,13711
2020-03-24,114.31,116.97,105.29,106.37,14474
2020-03-25,105.25,124.12,102.57,120.0,27145
2020-03-26,120.0,120.0,114.0,114.0,3085
2020-03-27,114.0,119.7,108.3,110.45,9085
2020-03-30,111.0,114.4,107.8,113.78,8965
2020-03-31,111.4,118.0,110.0,111.86,8145
2020-04-01,111.9,117.45,106.27,117.45,4300
2020-04-03,123.2,123.32,112.3,123.32,3875
2020-04-07,126.0,128.78,118.0,127.34,7685
2020-04-08,122.0,131.0,122.0,124.24,2005
2020-04-09,129.96,130.45,122.03,130.45,9590
2020-04-13,124.4,134.45,124.0,132.16,6040
2020-04-15,139.06,150.0,133.0,146.12,9360
2020-04-16,154.0,157.6,146.01,150.27,16875
2020-04-17,157.6,161.05,150.0,155.33,9560
2020-04-20,155.6,178.8,152.21,158.93,13575
2020-04-21,152.41,153.99,131.18,143.8,13040
2020-04-22,147.4,147.4,140.28,143.47,2075
2020-04-23,143.6,151.0,142.01,149.98,4320
2020-04-24,157.99,157.99,142.73,145.99,4660
2020-04-27,145.98,149.26,141.41,142.57,4860
2020-04-28,146.39,146.4,136.09,139.95,13345
2020-04-29,138.0,146.0,131.4,141.93,33440
2020-04-30,139.29,144.0,138.4,141.64,5930
2020-05-04,140.0,140.0,134.22,136.47,5100
2020-05-05,136.69,139.45,135.8,136.91,2225
2020-05-06,137.0,137.74,135.03,136.81,7880
2020-05-07,135.41,136.6,128.79,130.66,4595
2020-05-08,130.0,134.88,130.0,131.26,1630
2020-05-11,135.88,135.88,129.6,132.5,3165
2020-05-12,132.0,132.0,126.73,131.22,1815
2020-05-13,138.29,138.29,130.0,132.24,8780
2020-05-14,132.42,133.88,129.0,130.39,2695
2020-05-15,129.0,130.0,125.23,126.36,6420
2020-05-18,126.08,127.87,120.42,120.99,4195
2020-05-19,125.08,127.0,119.8,120.09,2830
2020-05-20,119.08,123.28,114.91,116.98,6735
2020-05-21,120.2,123.29,117.63,122.61,1725
2020-05-22,126.95,126.95,117.72,119.77,3895
2020-05-26,116.12,123.8,116.08,121.2,2100
2020-05-27,123.8,123.8,118.34,120.9,3485
2020-05-28,118.1,123.88,118.1,123.55,5685
2020-05-29,124.4,127.0,119.65,120.9,15890
2020-06-01,121.4,127.0,119.74,120.24,20595
2020-06-02,122.0,124.0,119.81,122.84,14365
2020-06-03,123.21,128.0,123.21,126.21,14910
2020-06-04,126.4,140.98,126.0,129.98,16650
2020-06-05,129.98,149.8,125.03,144.65,36125
2020-06-08,149.4,156.2,143.01,145.53,16755
