date,open,high,low,close,volume
2020-09-21,109.1,118.82,106.42,108.7,82021
2020-09-22,108.7,109.0,95.46,99.53,14587
2020-09-23,102.16,103.54,95.21,99.08,5007
2020-09-24,102.16,102.16,96.7,99.38,6096
2020-09-25,103.15,105.13,97.3,103.84,31614
2020-09-28,103.64,106.07,100.42,102.85,13613
2020-09-29,102.9,103.44,100.67,101.16,17952
2020-09-30,101.46,103.1,99.97,102.85,27339
2020-10-01,103.15,103.64,100.17,100.37,11337
2020-10-05,101.16,103.15,100.27,101.01,18207
2020-10-06,100.17,107.61,96.5,105.53,26857
2020-10-07,102.7,106.12,102.65,103.64,30952
2020-10-08,102.65,103.79,102.16,103.1,13743
2020-10-09,101.76,103.1,99.92,101.36,12753
2020-10-12,102.65,102.65,100.17,100.87,13479
2020-10-13,102.35,102.35,100.17,100.77,19397
2020-10-14,98.73,102.4,96.8,98.19,6659
2020-10-15,96.35,102.16,96.3,98.63,8180
2020-10-16,99.18,100.92,98.24,100.17,14351
2020-10-19,100.17,100.67,97.79,98.68,17114
2020-10-20,98.93,100.97,97.39,98.78,13290
2020-10-21,98.19,100.22,98.19,99.18,15667
2020-10-22,97.39,100.37,97.39,99.82,12239
2020-10-23,100.17,108.8,97.59,101.21,8796
2020-10-26,101.56,102.55,91.44,100.02,20508
2020-10-27,101.56,102.65,99.82,101.31,18853
2020-10-28,101.16,103.49,100.52,101.61,14246
2020-10-29,100.67,101.81,99.28,100.27,14707
2020-10-30,99.78,104.14,98.19,98.54,28207
2020-11-02,98.58,100.22,98.58,99.43,15239
2020-11-03,99.18,100.07,97.25,97.25,12391
2020-11-04,98.19,98.88,98.19,98.19,12807
2020-11-05,99.68,103.89,99.43,101.06,19516
2020-11-06,100.22,101.41,96.3,98.83,17756
2020-11-09,98.83,100.52,97.64,100.17,7218
2020-11-10,101.16,101.96,98.19,99.68,21687
2020-11-11,101.16,101.16,98.19,101.11,13449
2020-11-12,103.05,103.05,98.24,99.38,3552
2020-11-13,101.66,102.4,99.18,100.12,14232
2020-11-14,103.05,104.14,99.18,100.87,11027
2020-11-17,100.17,102.85,99.28,100.72,14413
2020-11-18,102.16,102.65,99.48,100.92,16375
2020-11-19,99.18,120.95,98.68,106.07,35247
2020-11-20,110.09,113.46,107.11,107.61,19796
2020-11-23,109.59,109.59,104.63,108.45,21438
2020-11-24,104.19,109.0,104.14,104.63,15593
2020-11-25,103.64,107.11,102.16,103.94,48283
2020-11-26,103.89,107.06,102.85,103.59,11983
2020-11-27,104.14,106.32,103.64,104.83,11678
2020-12-01,105.63,110.09,103.64,108.06,16858
2020-12-02,108.85,108.85,105.23,106.97,15604
2020-12-03,108.11,111.18,106.22,109.84,21627
2020-12-04,111.08,111.08,106.92,109.0,12425
2020-12-07,116.93,129.93,110.04,122.88,46017
2020-12-08,122.98,122.98,114.65,117.03,20195
2020-12-09,117.53,129.88,107.11,125.17,31785
2020-12-10,124.97,130.92,117.13,124.27,17774
2020-12-11,128.79,128.93,114.65,124.87,18503
2020-12-14,128.74,149.81,124.97,149.81,322830
2020-12-15,155.71,179.71,153.83,169.65,468013
2020-12-16,170.59,176.44,160.87,168.85,125449
2020-12-17,168.61,171.09,163.65,164.69,25163
2020-12-18,168.31,175.1,160.77,168.46,57757
2020-12-21,164.14,172.47,163.75,164.34,24207
2020-12-22,170.49,170.49,158.69,165.83,48154
2020-12-23,164.14,170.54,164.14,166.32,17740
2020-12-24,166.57,170.59,164.64,168.61,14618
2020-12-28,170.09,171.48,163.7,168.66,300392
2020-12-29,169.6,171.58,165.04,165.58,14527
2020-12-30,166.62,170.49,164.74,169.25,14988
2020-12-31,173.47,186.16,169.1,178.67,85791
2021-01-01,181.5,187.45,176.79,181.85,22075
2021-01-04,186.36,189.48,178.52,185.07,40423
2021-01-05,181.55,194.39,178.57,192.11,30831
2021-01-06,194.39,202.33,194.34,199.3,45642
2021-01-07,204.61,205.2,194.74,199.0,29732
2021-01-08,199.0,205.05,198.36,202.38,33159
2021-01-11,206.29,206.29,196.33,198.66,25516
2021-01-12,193.75,202.23,191.42,198.16,39037
2021-01-13,201.24,202.33,190.43,194.1,31706
2021-01-14,192.95,197.81,188.54,195.09,37515
2021-01-15,195.63,196.28,182.14,186.56,20517
2021-01-18,194.39,194.39,176.54,181.65,24252
2021-01-19,187.9,188.34,177.83,180.85,31790
2021-01-20,180.66,184.57,180.66,181.45,7752
2021-01-21,184.03,188.44,181.8,184.62,22745
2021-01-22,184.13,186.16,178.62,179.96,13203
2021-01-25,180.85,184.43,169.94,173.07,6396
2021-01-27,175.3,176.54,169.35,174.51,4357
2021-01-28,174.21,175.55,169.85,171.78,3008
2021-01-29,173.81,177.48,170.69,171.88,3017
2021-02-01,175.99,189.04,171.88,188.94,110864
2021-02-02,193.1,194.74,184.92,187.95,35138
2021-02-03,192.41,192.41,185.02,186.9,15426
2021-02-04,186.9,192.41,186.41,189.38,12009
2021-02-05,195.04,197.47,187.0,190.87,21815
2021-02-08,198.36,204.36,198.31,200.24,126287
2021-02-09,199.35,209.02,198.86,207.63,99310
2021-02-10,207.98,207.98,201.38,204.21,11942
2021-02-11,202.33,215.32,202.33,212.64,53008
2021-02-12,214.23,215.22,208.58,209.82,10081
2021-02-15,215.12,224.15,210.76,222.26,26015
2021-02-16,224.94,237.04,222.11,235.7,24371
2021-02-17,235.06,237.93,231.09,232.87,19006
2021-02-18,237.73,238.33,229.01,230.3,15888
2021-02-19,225.14,234.81,221.82,232.28,12252
2021-02-22,237.04,237.04,219.39,224.0,11934
2021-02-23,224.0,231.78,223.16,224.05,4673
2021-02-24,231.39,237.83,223.8,230.84,3431
2021-02-25,233.07,236.79,226.23,227.02,12373
2021-02-26,232.78,232.78,221.27,225.83,14611
2021-03-01,232.97,232.97,227.12,230.15,6576
2021-03-02,236.0,236.0,227.62,229.06,5086
2021-03-03,233.07,259.55,229.8,252.07,41477
2021-03-04,256.68,260.84,248.0,259.7,22158
2021-03-05,262.83,266.7,250.13,253.26,21535
2021-03-08,257.77,258.76,251.92,253.55,14367
2021-03-09,255.88,284.65,252.91,270.71,93801
2021-03-10,282.56,282.56,264.81,267.09,17779
2021-03-12,275.57,275.57,260.94,269.62,17777
2021-03-15,277.41,277.41,264.91,268.33,13059
2021-03-16,271.65,271.65,265.8,266.4,3139
2021-03-17,263.67,268.78,257.42,259.41,7484
2021-03-18,267.79,267.79,241.5,245.47,71477
2021-03-19,246.46,251.87,238.03,248.84,8858
2021-03-22,252.41,257.87,249.29,256.98,4505
2021-03-23,264.31,265.95,254.15,259.55,4956
2021-03-24,267.64,267.64,253.16,258.12,8054
2021-03-25,257.92,261.79,251.22,254.15,8042
2021-03-26,254.15,260.79,244.97,257.57,8377
2021-03-30,262.53,263.82,255.88,258.86,5468
2021-03-31,255.49,261.69,254.5,260.79,2920
2021-04-01,270.76,275.67,255.34,268.03,8046
2021-04-05,268.08,268.08,263.12,267.64,10075
2021-04-06,282.56,297.54,267.79,292.63,43841
2021-04-07,297.44,312.42,293.62,295.71,56817
2021-04-08,301.51,305.47,298.63,303.84,16981
2021-04-09,305.47,312.22,305.47,308.9,10602
2021-04-12,308.45,316.19,296.5,299.03,18806
2021-04-13,310.93,312.37,295.8,298.63,5810
2021-04-15,302.5,322.34,302.5,317.23,38174
2021-04-16,317.23,327.29,317.23,321.44,38597
2021-04-19,320.25,320.25,307.31,310.58,35966
2021-04-20,315.39,319.31,309.39,311.08,27380
2021-04-22,314.3,316.33,307.56,308.65,17975
2021-04-23,307.66,316.24,305.52,308.35,63643
2021-04-26,311.43,313.36,309.89,310.68,37979
2021-04-27,317.23,320.35,307.56,311.87,59174
2021-04-28,316.29,319.16,307.51,314.0,321008
2021-04-29,322.29,355.06,317.38,347.38,160150
2021-04-30,351.1,364.29,348.62,355.76,94053
2021-05-03,352.09,394.19,337.96,382.49,209816
2021-05-04,400.64,401.53,376.88,378.27,92544
2021-05-05,381.84,396.72,377.93,385.61,146054
2021-05-06,392.7,392.7,373.12,376.54,85835
2021-05-07,377.88,385.66,372.22,376.44,21290
2021-05-10,390.77,396.57,379.36,380.6,57237
2021-05-11,383.83,386.6,377.08,378.22,43480
2021-05-12,385.56,396.42,374.45,392.55,36408
2021-05-14,398.7,441.15,396.72,431.83,192873
2021-05-17,444.28,444.28,421.52,426.72,54172
2021-05-18,430.44,444.03,428.41,437.24,47148
2021-05-19,436.39,479.04,431.48,467.48,104371
2021-05-20,475.02,487.12,443.33,455.68,102672
2021-05-21,463.96,464.86,437.38,454.99,48293
2021-05-24,461.58,466.1,456.23,463.27,30706
2021-05-25,480.82,480.82,463.17,471.3,48471
2021-05-26,485.98,505.77,478.44,495.26,305393
2021-05-27,507.8,523.12,500.36,503.88,96127
2021-05-28,509.19,513.6,490.94,497.44,57295
2021-05-31,500.86,501.35,478.05,482.76,42343
2021-06-01,479.04,490.94,451.52,466.44,70668
2021-06-02,467.14,475.07,457.07,466.89,39480
2021-06-03,473.88,473.88,454.84,467.14,27939
2021-06-04,467.14,473.83,456.23,466.05,29867
2021-06-07,466.15,473.93,455.88,465.8,45103
2021-06-08,465.8,470.86,458.21,461.09,18686
2021-06-09,471.01,471.01,452.36,456.58,34966
2021-06-10,461.24,461.24,441.45,456.13,32603
2021-06-11,460.2,460.99,453.25,458.46,20580
2021-06-14,463.17,484.1,453.25,457.67,25577
2021-06-15,458.21,465.01,451.27,454.59,20214
2021-06-16,461.39,461.39,442.34,446.31,28511
2021-06-17,446.31,446.31,436.39,437.28,18832
2021-06-18,436.89,446.31,413.63,443.48,51059
2021-06-21,443.48,453.65,436.44,445.42,41302
2021-06-22,448.29,448.29,431.58,436.14,22304
2021-06-23,432.42,443.29,428.46,433.22,15848
2021-06-24,426.77,444.52,426.77,436.94,19792
2021-06-25,444.28,451.27,424.59,446.71,61421
2021-06-28,454.24,458.11,437.88,440.71,17644
2021-06-29,450.28,475.92,441.4,465.3,247946
2021-06-30,470.11,496.89,452.26,455.73,341088
2021-07-01,464.16,495.9,452.96,480.68,197198
2021-07-02,487.42,497.78,476.16,486.73,60746
2021-07-05,495.7,495.7,481.02,485.93,44894
2021-07-06,487.32,487.32,468.18,471.8,51768
2021-07-07,480.03,491.14,469.12,472.49,121770
2021-07-08,468.28,479.58,466.15,469.42,23896
2021-07-09,468.13,475.52,463.12,465.75,29791
2021-07-12,473.93,474.73,456.33,458.86,93041
2021-07-13,474.58,474.58,459.8,462.97,21931
2021-07-14,474.53,478.05,466.94,472.49,51566
2021-07-15,479.04,489.95,468.18,484.49,64745
2021-07-16,490.84,544.2,484.15,533.74,513823
2021-07-19,538.55,541.62,502.84,516.38,242456
2021-07-20,517.72,537.56,498.08,514.05,126876
2021-07-22,524.36,532.6,508.79,527.69,78276
2021-07-23,541.18,541.18,520.79,532.99,90504
2021-07-26,535.57,560.37,534.63,556.9,169063
2021-07-27,557.44,570.53,555.41,557.19,69730
2021-07-28,556.55,564.68,540.58,556.55,71044
2021-07-29,556.4,556.5,509.44,544.65,253713
2021-07-30,533.49,544.0,526.1,532.1,70431
2021-08-02,540.53,560.37,538.35,544.99,86446
2021-08-03,550.45,552.43,530.51,537.21,64402
2021-08-04,537.56,559.13,537.56,551.44,130782
2021-08-05,558.38,558.38,540.68,548.02,83559
2021-08-06,556.15,556.15,545.49,548.56,28977
2021-08-09,556.4,591.56,553.82,563.49,83753
2021-08-10,571.97,571.97,541.03,547.77,65309
2021-08-11,548.47,552.48,512.02,532.55,68606
2021-08-12,535.57,553.42,529.82,542.42,62109
2021-08-13,542.51,560.22,525.65,527.89,87810
2021-08-16,535.57,550.45,522.23,525.55,123461
2021-08-17,530.51,534.88,504.53,511.47,69287
2021-08-18,515.74,534.18,512.41,524.41,36435
2021-08-20,520.7,529.32,507.01,511.17,22537
2021-08-23,477.06,524.51,477.06,520.15,88124
2021-08-24,511.32,529.77,511.32,520.55,30806
2021-08-25,525.65,528.63,517.32,521.14,36690
2021-08-26,523.47,523.47,511.87,513.06,16297
2021-08-27,515.74,519.7,501.01,504.83,23589
2021-08-30,508.3,512.36,499.97,502.64,18942
2021-08-31,503.83,543.51,503.83,528.63,44999
2021-09-01,531.6,531.6,515.74,520.0,11986
2021-09-02,510.78,530.56,510.78,514.65,14760
2021-09-03,525.55,525.55,513.06,516.83,8682
2021-09-06,524.56,529.97,520.7,522.93,25453
2021-09-07,528.63,531.6,518.22,524.02,17414
2021-09-08,527.89,533.59,520.74,522.48,21540
2021-09-09,517.92,528.18,515.84,525.51,15497
2021-09-13,526.15,542.51,521.54,529.97,41610
2021-09-14,530.66,545.49,519.7,532.65,788015
2021-09-15,540.53,560.37,532.1,548.27,322898
2021-09-16,535.57,567.76,535.57,550.8,110580
2021-09-17,560.37,560.37,531.7,537.16,102595
2021-09-20,533.49,560.12,527.89,552.18,122225
2021-09-21,561.85,595.08,561.85,584.67,285125
2021-09-22,594.09,644.67,589.13,640.06,365149
2021-09-23,662.52,673.13,632.27,636.54,195448
2021-09-24,644.67,649.58,625.97,641.69,241793
2021-09-27,646.65,647.65,628.6,633.51,185522
2021-09-28,639.41,642.44,620.67,628.21,42859
2021-09-29,631.08,639.61,624.83,636.69,22450
2021-09-30,639.61,659.25,634.75,648.69,54755
2021-10-01,649.58,694.16,645.81,690.89,199521
2021-10-04,699.22,699.22,679.63,682.56,56738
2021-10-05,684.04,690.29,678.89,682.26,40996
2021-10-06,686.33,722.87,681.86,687.57,151054
2021-10-07,704.18,767.65,699.62,740.87,167918
2021-10-08,753.77,787.44,745.78,761.21,276800
2021-10-11,768.65,798.4,763.29,788.23,148546
2021-10-12,792.45,793.39,769.69,787.19,36448
2021-10-13,790.46,803.16,775.04,784.17,50025
2021-10-14,791.95,801.37,773.6,774.65,25228
2021-10-18,783.52,783.52,728.97,766.76,57721
2021-10-19,766.76,797.41,763.93,776.58,51574
2021-10-20,790.46,790.46,726.99,755.45,54334
2021-10-21,761.7,773.55,744.84,753.52,17339
2021-10-22,759.72,768.4,745.09,750.0,13620
2021-10-25,753.37,763.14,719.06,737.4,25214
2021-10-26,747.82,805.29,743.85,788.68,52784
2021-10-27,802.27,822.7,793.44,803.56,105280
2021-10-28,822.2,822.2,764.68,783.22,71149
2021-10-29,783.32,783.52,736.21,750.74,50205
2021-11-01,757.74,772.61,735.92,766.66,17696
2021-11-02,759.72,884.39,759.72,859.54,224700
2021-11-03,884.69,884.69,813.92,841.79,56596
2021-11-04,922.37,922.37,858.65,889.6,61851
2021-11-08,896.59,922.37,870.8,903.78,79995
2021-11-09,916.77,919.3,893.41,899.07,27689
2021-11-10,911.46,911.46,868.82,877.35,27476
2021-11-11,872.78,890.64,860.93,865.3,24676
2021-11-12,877.74,907.5,874.52,880.12,25387
2021-11-15,888.55,897.53,860.88,894.11,34703
2021-11-16,893.71,908.94,877.74,899.17,34663
2021-11-17,893.51,908.49,892.82,903.83,20954
2021-11-18,908.34,908.34,874.22,880.67,31334
2021-11-22,885.68,886.02,821.76,836.78,67564
2021-11-23,843.03,857.61,818.28,849.13,17728
2021-11-24,871.79,874.32,833.11,845.16,29347
2021-11-25,844.02,846.9,820.27,838.67,26039
2021-11-26,826.27,841.1,823.74,832.52,26059
2021-11-29,820.17,830.98,724.36,794.53,46089
2021-11-30,783.62,825.82,783.52,788.53,22525
2021-12-01,780.35,806.33,780.35,796.46,10828
2021-12-02,822.2,822.2,784.37,798.25,21824
2021-12-03,808.32,842.93,797.75,809.95,25672
2021-12-06,818.04,818.04,784.12,798.85,15314
2021-12-07,818.14,818.53,790.91,805.24,12209
2021-12-08,799.89,818.14,796.27,805.54,19132
2021-12-09,813.28,813.28,788.48,796.91,22763
2021-12-10,808.12,808.32,788.48,791.01,7792
2021-12-13,785.6,808.37,781.54,785.16,21897
2021-12-14,775.59,802.37,750.74,796.71,52558
2021-12-15,805.34,807.28,777.57,784.56,25156
2021-12-16,796.42,800.83,759.47,784.86,32186
2021-12-17,802.37,802.37,754.91,763.59,45868
2021-12-20,763.59,768.2,719.06,742.61,71413
2021-12-21,760.71,761.4,738.89,748.96,36455
2021-12-22,753.77,898.72,753.77,898.72,218922
2021-12-23,924.36,1046.35,913.75,999.14,701568
2021-12-24,1016.55,1104.87,990.81,1023.14,522759
2021-12-27,1017.59,1067.13,994.83,1044.51,127699
2021-12-28,1057.26,1063.21,1034.0,1052.25,71291
2021-12-29,1046.35,1076.55,1039.41,1045.21,33645
2021-12-30,1071.04,1074.47,1043.87,1045.7,28441
2021-12-31,1071.14,1086.02,1038.91,1041.09,29172
2022-01-03,1063.21,1063.21,1043.37,1054.48,29269
2022-01-04,1066.14,1081.06,1053.34,1063.16,43319
2022-01-05,1063.21,1081.06,1046.35,1065.54,31826
2022-01-06,1041.39,1071.14,991.8,1046.2,27376
2022-01-07,1070.9,1234.79,1058.75,1157.68,275451
2022-01-10,1160.36,1165.37,1115.78,1127.33,73919
2022-01-11,1127.33,1158.57,1112.4,1137.05,34325
2022-01-12,1148.5,1148.5,1121.82,1139.13,24454
2022-01-13,1160.41,1171.02,1126.68,1137.0,15062
2022-01-14,1159.41,1159.41,1133.43,1142.16,14480
2022-01-17,1150.44,1260.38,1150.44,1230.63,91853
2022-01-18,1259.59,1259.59,1197.7,1221.45,36475
2022-01-19,1228.25,1287.36,1227.85,1260.48,59817
2022-01-20,1272.58,1333.97,1272.58,1308.68,71358
2022-01-21,1333.97,1356.63,1241.73,1271.49,57664
2022-01-24,1271.49,1271.49,1180.24,1202.41,66261
2022-01-25,1180.24,1299.16,1165.41,1268.12,39118
2022-01-27,1284.38,1357.63,1254.53,1275.31,150591
2022-01-28,1338.83,1338.83,1235.78,1247.93,43055
2022-01-31,1279.42,1279.42,1202.95,1216.39,35276
2022-02-01,1219.91,1260.63,1197.1,1235.04,34867
2022-02-02,1257.6,1274.46,1231.77,1263.55,17690
2022-02-03,1263.55,1289.34,1258.74,1278.88,20319
2022-02-04,1313.24,1313.24,1243.27,1253.59,26349
2022-02-07,1259.64,1264.59,1181.68,1239.25,64463
2022-02-08,1229.83,1240.89,1200.08,1220.56,19741
2022-02-09,1211.98,1223.93,1197.25,1202.31,12095
2022-02-10,1232.71,1273.47,1219.91,1248.78,30137
2022-02-11,1236.77,1248.03,1210.99,1232.31,11550
2022-02-14,1191.15,1219.32,1150.54,1158.12,32134
2022-02-15,1150.49,1184.21,1121.78,1165.81,55200
2022-02-16,1190.16,1199.09,1165.61,1173.94,14866
2022-02-17,1200.08,1200.08,1147.46,1153.91,9956
2022-02-18,1146.52,1160.41,1120.73,1125.54,11798
2022-02-21,1096.98,1124.7,1090.98,1120.19,36659
2022-02-22,1100.9,1110.22,1080.52,1089.24,20967
2022-02-23,1083.05,1120.73,1068.17,1080.32,15221
2022-02-24,1061.23,1061.23,995.62,1023.09,40821
2022-02-25,1023.09,1130.45,1023.09,1082.1,61287
2022-02-28,1053.29,1087.01,1032.46,1082.35,33571
2022-03-02,1076.6,1098.27,1052.05,1073.52,20064
2022-03-03,1086.02,1098.91,1071.14,1085.67,14233
2022-03-04,1085.67,1086.32,1028.94,1043.47,24991
2022-03-07,1041.39,1041.99,1011.64,1018.43,13931
2022-03-08,1001.77,1055.62,1001.72,1030.28,14234
2022-03-09,1055.28,1090.98,1051.31,1089.1,19243
2022-03-10,1129.66,1134.52,1072.73,1090.24,13590
2022-03-11,1090.24,1106.2,1067.08,1079.43,11765
2022-03-14,1079.03,1084.33,1061.18,1071.94,16060
2022-03-15,1080.96,1080.96,1046.35,1056.51,10103
2022-03-16,1076.1,1076.1,1041.49,1047.99,11988
2022-03-17,1080.07,1140.57,1051.46,1116.37,39899
2022-03-21,1139.33,1156.44,1092.77,1105.56,32009
2022-03-22,1119.74,1124.65,1105.86,1107.69,10891
2022-03-23,1101.15,1121.53,1100.9,1108.63,23109
2022-03-24,1109.33,1165.27,1109.33,1151.68,121381
2022-03-25,1155.45,1174.09,1115.78,1156.93,346331
2022-03-28,1188.18,1207.47,1114.68,1127.63,210656
2022-03-29,1141.56,1185.2,1121.23,1181.13,127190
2022-03-30,1199.38,1263.11,1189.17,1252.1,99020
2022-03-31,1259.59,1275.45,1183.37,1241.54,260183
2022-04-01,1231.82,1273.87,1231.82,1264.79,56234
2022-04-04,1280.41,1283.79,1234.79,1266.97,135619
2022-04-05,1288.35,1288.35,1255.62,1264.79,45108
2022-04-06,1250.66,1299.26,1250.66,1274.56,83441
2022-04-07,1281.41,1299.26,1257.6,1260.73,47837
2022-04-08,1279.42,1298.27,1258.99,1291.17,65990
2022-04-11,1299.26,1338.33,1293.31,1319.09,51909
2022-04-12,1343.89,1343.89,1305.21,1316.12,52375
2022-04-13,1341.51,1413.32,1311.36,1391.59,110970
2022-04-18,1413.17,1431.17,1373.64,1413.86,74232
2022-04-19,1425.12,1441.09,1295.84,1333.18,80450
2022-04-20,1324.05,1389.86,1324.05,1385.45,65466
2022-04-21,1388.52,1407.22,1382.97,1400.62,39163
2022-04-22,1400.67,1447.83,1394.47,1440.54,136017
2022-04-25,1441.09,1441.09,1398.44,1400.97,68221
2022-04-26,1404.39,1462.91,1404.39,1445.85,71809
2022-04-27,1438.11,1438.11,1418.27,1433.94,20732
2022-04-28,1445.3,1445.3,1401.76,1417.23,114900
2022-04-29,1425.22,1432.16,1393.53,1399.58,66890
2022-05-02,1378.6,1395.46,1321.08,1354.45,75994
2022-05-04,1348.85,1394.37,1244.86,1297.87,96355
2022-05-05,1294.4,1358.62,1294.4,1308.53,37764
2022-05-06,1264.55,1299.95,1240.74,1274.91,60451
2022-05-09,1239.75,1269.5,1239.75,1254.92,41693
2022-05-10,1254.63,1304.22,1249.92,1266.58,56506
2022-05-11,1265.54,1282.35,1187.68,1232.66,66301
2022-05-12,1186.19,1209.95,1158.32,1163.18,47335
2022-05-13,1217.93,1217.93,1165.37,1193.88,82450
2022-05-16,1247.39,1298.27,1225.42,1265.24,69499
2022-05-17,1279.42,1281.41,1247.78,1261.27,46501
2022-05-18,1284.08,1284.08,1214.96,1241.29,48383
2022-05-19,1191.15,1238.76,1154.01,1225.96,48594
2022-05-20,1249.67,1263.55,1229.58,1240.2,22181
2022-05-23,1250.91,1270.25,1224.87,1254.23,31746
2022-05-24,1253.64,1253.64,1228.84,1232.21,12741
2022-05-25,1232.21,1240.89,1094.05,1139.83,38577
2022-05-26,1117.76,1163.38,1040.4,1143.99,70708
2022-05-27,1145.53,1194.72,1121.73,1151.63,18262
2022-05-30,1155.45,1195.61,1150.49,1189.47,23178
2022-05-31,1180.24,1200.08,1166.36,1173.1,16530
2022-06-01,1179.5,1213.96,1150.49,1185.35,282650
2022-06-02,1175.28,1248.68,1171.32,1238.61,67490
2022-06-03,1244.71,1284.38,1234.79,1255.07,64482
2022-06-06,1255.07,1262.12,1221.9,1249.32,11741
2022-06-07,1232.01,1258.84,1226.71,1240.15,17998
2022-06-08,1253.88,1253.88,1227.35,1238.71,12161
2022-06-09,1247.68,1284.38,1229.88,1271.59,18988
2022-06-10,1259.59,1259.59,1232.81,1239.65,13273
2022-06-13,1200.13,1223.88,1160.41,1168.34,62159
2022-06-14,1143.15,1163.08,1141.81,1147.61,21723
2022-06-15,1178.26,1188.18,1155.94,1170.42,12858
2022-06-16,1185.2,1190.06,1120.98,1126.54,23452
2022-06-17,1110.82,1125.69,1059.74,1072.93,57014
2022-06-20,1072.93,1102.09,1014.12,1032.91,30399
2022-06-21,1032.96,1090.58,1032.96,1071.79,20368
2022-06-22,1081.06,1090.98,1062.22,1072.43,14483
2022-06-23,1088.0,1088.2,1036.43,1073.62,25962
2022-06-24,1100.9,1114.34,1067.67,1100.75,15701
2022-06-27,1110.82,1127.23,1103.38,1110.42,20502
