date,open,high,low,close,volume
2020-01-13,1512.0,1518.2,1489.55,1501.8,336600
2020-01-14,1503.0,1517.0,1500.55,1511.0,301320
2020-01-15,1507.8,1522.0,1500.05,1508.25,464602
2020-01-16,1510.0,1546.8,1510.0,1535.45,703432
2020-01-17,1537.0,1597.7,1537.0,1588.0,1040955
2020-01-20,1594.9,1609.0,1580.55,1591.75,456685
2020-01-21,1591.7,1611.0,1575.1,1583.1,581928
2020-01-22,1588.0,1595.0,1565.5,1577.65,234346
2020-01-23,1578.35,1594.8,1569.15,1582.7,352940
2020-01-24,1583.0,1627.9,1583.0,1624.95,675803
2020-01-27,1629.0,1639.0,1550.55,1557.1,981767
2020-01-28,1558.6,1575.45,1501.05,1506.8,683385
2020-01-29,1513.0,1539.4,1490.3,1528.2,627013
2020-01-30,1530.0,1534.4,1503.5,1509.8,355752
2020-01-31,1515.0,1524.3,1482.3,1500.25,334263
2020-02-01,1490.1,1510.0,1399.2,1416.3,342809
2020-02-03,1419.65,1459.6,1415.5,1437.25,440274
2020-02-04,1446.6,1489.8,1446.45,1477.4,292288
2020-02-05,1487.0,1508.65,1480.0,1497.65,273458
2020-02-06,1502.0,1521.0,1493.75,1511.15,269039
2020-02-07,1510.0,1515.0,1485.55,1507.1,206234
2020-02-10,1506.0,1506.0,1470.55,1475.95,233901
2020-02-11,1482.5,1522.0,1460.1,1494.75,1401399
2020-02-12,1490.0,1490.0,1409.25,1423.7,1666879
2020-02-13,1430.0,1450.0,1411.85,1420.3,720405
2020-02-14,1427.4,1436.95,1393.0,1397.9,521198
2020-02-17,1406.55,1406.55,1374.3,1382.75,542961
2020-02-18,1379.65,1398.9,1362.1,1394.1,280577
2020-02-19,1402.5,1425.0,1399.9,1421.9,301671
2020-02-20,1415.45,1430.25,1408.75,1412.7,269766
2020-02-24,1405.0,1419.25,1368.15,1373.8,288865
2020-02-25,1382.0,1404.95,1365.0,1382.75,492866
2020-02-26,1376.15,1397.65,1340.0,1346.4,554695
2020-02-27,1348.0,1363.0,1318.7,1352.4,680060
2020-02-28,1334.9,1344.95,1286.45,1303.75,815803
2020-03-02,1320.0,1355.7,1297.0,1310.65,417758
2020-03-03,1319.15,1362.75,1301.15,1356.45,556071
2020-03-04,1369.0,1369.0,1310.65,1333.85,486589
2020-03-05,1336.1,1353.0,1320.0,1335.4,461450
2020-03-06,1301.0,1342.75,1290.55,1339.0,381404
2020-03-09,1314.8,1319.95,1268.2,1286.6,576565
2020-03-11,1275.0,1295.05,1260.5,1285.6,800870
2020-03-12,1255.0,1258.0,1150.05,1180.25,782047
2020-03-13,1082.2,1290.0,1003.25,1213.65,578139
2020-03-16,1165.0,1184.05,1139.45,1148.25,677424
2020-03-17,1153.0,1207.8,1125.05,1135.95,466454
2020-03-18,1144.0,1168.4,1084.35,1117.95,596371
2020-03-19,1086.0,1156.8,1041.4,1113.2,379853
2020-03-20,1120.55,1178.8,1085.0,1169.55,468536
2020-03-23,1085.0,1157.45,947.9,996.05,313855
2020-03-24,991.0,1069.9,991.0,1018.8,320208
2020-03-25,1018.8,1066.65,1010.15,1049.25,376688
2020-03-26,1070.0,1139.0,1069.9,1090.6,330508
2020-03-27,1148.0,1166.8,1031.35,1044.15,334071
2020-03-30,1038.45,1093.55,1020.65,1080.95,357389
2020-03-31,1095.0,1143.0,1088.9,1113.4,855428
2020-04-01,1115.0,1124.8,1065.1,1085.2,283429
2020-04-03,1096.3,1096.3,1044.0,1051.25,280441
2020-04-07,1092.0,1121.7,1070.6,1113.3,236238
2020-04-08,1110.95,1175.0,1093.0,1105.75,364654
2020-04-09,1116.0,1180.0,1115.0,1154.5,494729
2020-04-13,1170.0,1205.0,1125.0,1183.25,664626
2020-04-15,1185.0,1253.45,1185.0,1193.25,756827
