date,open,high,low,close,volume
2022-11-21,123.2,123.2,116.55,122.0,33331
2023-01-09,138.9,141.9,136.95,138.5,39035
2023-01-10,140.0,145.0,135.1,141.6,135013
2023-01-11,140.0,144.8,140.0,142.65,63704
2023-01-12,143.25,145.45,142.0,143.5,35914
2023-01-13,145.9,149.9,143.0,146.9,106842
2023-01-16,152.0,154.2,150.65,153.25,240197
2023-01-17,153.0,153.0,145.6,146.2,92838
2023-01-18,147.75,153.5,144.05,146.75,142100
2023-01-19,145.0,149.95,141.7,143.25,69290
2023-01-20,146.9,148.4,143.0,143.5,83617
2023-01-23,147.0,147.0,136.35,136.55,102004
2023-01-24,139.0,143.35,136.6,143.35,171870
2023-01-25,144.8,148.4,137.65,141.4,85298
2023-01-27,142.8,142.8,134.35,134.55,182586
2023-01-30,131.65,141.25,131.65,141.25,105937
2023-01-31,146.5,148.3,141.6,148.3,71636
2023-04-21,144.55,146.9,142.0,142.6,44407
2023-04-24,144.8,149.7,141.85,147.2,65303
2023-04-25,147.4,147.45,145.0,146.25,43195
2023-04-26,146.05,147.7,142.0,143.2,31141
2023-04-27,146.0,148.8,142.35,146.15,63299
2023-04-28,153.0,153.0,145.95,146.4,85659
2023-05-02,146.6,150.8,143.25,145.65,46700
2023-05-03,145.95,147.15,141.3,144.25,80452
2023-05-04,145.05,146.65,140.5,142.9,34780
2023-05-05,142.8,144.0,141.0,142.5,23279
2023-05-08,145.3,145.3,139.2,141.7,57959
2023-05-09,140.1,143.75,138.0,139.45,41205
2023-05-10,139.55,146.4,139.55,146.4,108095
2023-05-11,147.4,153.7,147.4,153.7,77153
2023-05-12,158.5,161.35,154.05,160.7,296461
2023-05-15,162.0,168.7,160.8,168.6,323744
2023-05-16,168.7,173.9,160.25,164.2,163289
2023-05-17,165.2,168.65,160.0,162.8,58001
2023-05-18,166.0,166.75,157.25,159.8,45616
2023-05-19,161.8,166.0,157.9,162.2,139569
2023-05-22,166.95,166.95,158.05,159.2,110939
2023-05-23,159.2,167.15,158.8,166.9,195649
2023-05-24,167.5,175.2,165.0,175.2,407017
2023-05-25,183.95,183.95,183.95,183.95,148078
2023-05-26,193.1,193.1,185.0,193.1,1322449
2023-05-29,199.0,199.0,185.25,187.2,518646
2023-05-30,189.1,189.1,180.4,182.45,209201
2023-05-31,184.4,191.55,180.35,191.55,171160
2023-06-01,199.4,201.1,195.7,201.1,323928
2023-06-02,211.15,211.15,209.1,211.15,238491
2023-06-05,217.0,219.4,201.55,209.85,754915
2023-06-06,208.0,220.3,202.6,218.85,387179
2023-06-07,223.6,229.75,222.5,229.75,227536
2023-06-08,241.2,241.2,229.7,235.9,970150
2023-06-09,235.5,235.5,224.5,228.2,354637
2023-06-12,235.55,237.85,225.7,229.35,163587
2023-06-13,228.7,231.9,221.1,224.05,121638
2023-06-14,228.9,228.9,213.1,218.85,163505
2023-06-15,220.0,220.0,207.9,207.9,178048
2023-06-16,200.0,218.25,197.55,218.25,195322
2023-06-19,223.8,229.15,207.35,209.45,539489
2023-06-20,206.5,209.45,202.2,203.1,161933
2023-06-21,207.0,213.8,206.2,213.8,255532
2023-06-22,215.0,224.45,210.85,224.45,337824
2023-06-23,227.0,229.8,216.15,216.25,240437
2023-06-26,217.7,217.7,210.95,212.85,69847
2023-06-27,214.8,222.0,213.2,216.8,86649
2023-06-28,217.85,221.6,212.2,215.25,116020
2023-06-30,218.65,223.7,213.0,216.95,172605
2023-07-03,224.0,225.0,216.2,220.9,109383
2023-07-04,222.6,223.9,214.5,216.0,108342
2023-07-05,215.0,226.35,214.3,226.35,319299
2023-07-06,227.0,235.95,221.8,229.0,338421
2023-07-07,232.0,232.0,222.55,227.0,135446
2023-07-10,229.9,230.95,221.8,225.0,102288
2023-07-11,225.9,227.0,222.2,226.0,75050
2023-07-12,225.9,226.75,220.0,222.7,88238
2023-07-13,224.6,231.95,221.1,231.95,543129
2023-07-14,233.0,243.35,233.0,243.35,345675
2023-07-17,250.4,255.5,241.3,241.3,607650
2023-07-18,246.0,247.45,236.25,238.0,314031
2023-07-19,238.85,244.5,226.0,226.0,362856
2023-07-20,222.0,235.55,221.3,228.4,404044
2023-07-21,228.0,230.8,224.3,227.0,131125
2023-07-24,228.35,228.35,215.0,216.0,282016
2023-07-25,217.0,226.05,217.0,226.05,101651
2023-07-26,237.35,237.35,222.0,222.0,369946
2023-07-27,225.0,235.25,220.8,234.35,355809
2023-07-28,235.85,245.15,233.5,245.15,426719
