date,open,high,low,close,volume
2020-01-13,1102.0,1111.4,1090.0,1096.9,12201
2020-01-14,1096.0,1101.1,1082.95,1096.5,50716
2020-01-15,1100.6,1123.95,1097.0,1119.75,5563
2020-01-16,1111.6,1125.0,1093.5,1120.5,5685
2020-01-17,1125.0,1140.0,1110.55,1134.9,5865
2020-01-20,1134.9,1159.75,1118.05,1145.2,10531
2020-01-21,1127.2,1165.0,1125.0,1160.85,6681
2020-01-22,1173.0,1179.95,1155.0,1161.65,4375
2020-01-23,1184.0,1184.0,1148.3,1151.0,2620
2020-01-24,1151.35,1190.65,1151.35,1179.95,67932
2020-01-27,1183.5,1206.75,1180.0,1197.8,16601
2020-01-28,1202.5,1238.2,1190.7,1223.4,21091
2020-01-29,1244.95,1280.0,1217.55,1272.85,107292
2020-01-30,1279.9,1300.0,1278.0,1294.45,330440
2020-01-31,1297.0,1317.05,1260.0,1267.2,44230
2020-02-01,1248.05,1349.0,1248.05,1275.3,41404
2020-02-03,1270.0,1314.35,1245.15,1280.75,76824
2020-02-04,1292.0,1299.0,1255.0,1278.5,6383
2020-02-05,1272.2,1301.95,1252.5,1265.9,6721
2020-02-06,1280.0,1285.0,1246.0,1278.45,10189
2020-02-07,1275.6,1285.85,1266.05,1280.55,40385
2020-02-10,1287.0,1295.0,1260.05,1271.45,14900
2020-02-11,1270.05,1295.0,1222.25,1237.35,9922
2020-02-12,1242.2,1264.0,1187.0,1211.4,35994
2020-02-13,1225.0,1244.05,1175.0,1185.85,14782
2020-02-14,1180.0,1190.8,1163.5,1179.75,22287
2020-02-17,1171.0,1178.8,1160.0,1165.0,104873
2020-02-18,1153.35,1200.0,1135.0,1175.15,681540
2020-02-19,1199.0,1264.0,1199.0,1248.2,62188
2020-02-20,1268.8,1279.0,1205.55,1226.95,15444
2020-02-24,1245.0,1250.0,1188.0,1205.1,17678
2020-02-25,1205.1,1259.0,1185.0,1186.45,4564
2020-02-26,1194.0,1229.0,1180.0,1204.8,5144
2020-02-27,1220.0,1220.0,1170.0,1179.95,266701
2020-02-28,1166.6,1199.95,1133.05,1158.0,12929
2020-03-02,1160.0,1215.0,1140.0,1147.7,6630
2020-03-03,1147.7,1169.95,1130.55,1139.55,514553
2020-03-04,1155.0,1155.0,1125.0,1130.25,75918
2020-03-05,1135.9,1179.0,1125.3,1139.0,12808
2020-03-06,1130.0,1150.0,1112.55,1132.5,5137
2020-03-09,1125.0,1138.1,1083.0,1112.9,82190
2020-03-11,1090.0,1125.0,1090.0,1119.0,13746
2020-03-12,1050.05,1079.95,1025.0,1037.05,57667
2020-03-13,1005.0,1100.0,950.0,1071.7,15650
2020-03-16,1064.95,1065.0,960.0,1039.7,69230
2020-03-17,1025.0,1038.0,995.0,1020.25,15874
2020-03-18,1010.05,1024.8,975.0,1005.6,32883
2020-03-19,966.0,999.0,948.8,969.75,24255
2020-03-20,973.0,982.95,922.35,966.3,36960
2020-03-23,930.0,930.0,773.05,876.05,28849
2020-03-24,876.05,959.95,876.05,908.4,23796
2020-03-25,875.05,944.45,875.05,919.75,39598
2020-03-26,904.0,944.0,901.0,903.8,5010
2020-03-27,903.8,932.35,850.0,911.65,37923
2020-03-30,911.65,929.9,856.85,900.15,5720
2020-03-31,890.95,932.45,880.0,914.2,2210
2020-04-01,914.2,920.0,888.0,908.25,7031
2020-04-03,910.1,921.1,880.0,888.45,6280
2020-04-07,928.0,931.95,895.45,920.4,36081
2020-04-08,928.75,928.75,896.0,899.8,17762
2020-04-09,900.05,919.55,900.0,915.1,3252
2020-04-13,925.5,925.55,902.5,908.0,2039
2020-04-15,900.0,921.8,891.0,898.75,6924
2020-04-16,912.0,912.0,875.0,877.0,17369
2020-04-17,890.8,900.85,887.9,894.75,57087
2020-04-20,895.0,930.0,886.0,892.3,23594
2020-04-21,892.3,907.15,850.0,851.2,42661
2020-04-22,870.0,892.0,852.65,886.45,4127
2020-04-23,886.0,899.7,865.05,868.8,6459
2020-04-24,868.8,878.9,849.0,850.8,8012
2020-04-27,855.0,884.95,855.0,862.6,3530
2020-04-28,875.0,875.0,850.0,860.15,16360
2020-04-29,872.0,880.0,860.05,866.9,4872
2020-04-30,871.0,898.95,860.0,885.5,12400
2020-05-04,870.0,880.1,855.0,875.65,16253
2020-05-05,893.65,893.65,869.05,877.95,12869
2020-05-06,894.95,894.95,862.1,881.05,42364
2020-05-07,865.25,879.6,851.75,861.95,9440
2020-05-08,869.3,879.85,855.0,859.75,2344
2020-05-11,859.75,877.7,859.75,875.4,3014
2020-05-12,865.05,868.0,851.05,856.45,4017
2020-05-13,887.95,925.0,870.0,887.95,8628
2020-05-14,898.0,913.9,860.15,884.2,33945
2020-05-15,888.6,893.95,871.0,884.65,1185
2020-05-18,894.95,920.0,855.0,867.15,20931
2020-05-19,880.0,885.0,863.5,869.1,23994
2020-05-20,873.4,886.95,863.05,868.45,22443
2020-05-21,872.75,900.0,872.65,890.9,7645
2020-05-22,889.95,890.0,876.0,889.15,2425
2020-05-26,893.55,901.9,875.0,876.65,17796
2020-05-27,881.05,887.85,870.0,875.0,9721
2020-05-28,870.4,884.95,870.15,875.4,33887
2020-05-29,879.8,896.05,879.75,892.3,2286
2020-06-01,896.8,924.3,896.0,901.4,4553
2020-06-02,905.0,916.0,889.0,902.9,12643
2020-06-03,907.4,915.0,890.0,900.75,13799
2020-06-04,910.0,918.0,885.05,900.35,65969
2020-06-05,914.0,947.95,905.05,924.65,24703
2020-06-08,939.0,955.0,920.0,930.9,7292
2020-06-09,947.0,950.0,935.0,935.7,48887
2020-06-10,940.4,1019.4,937.0,973.8,168817
2020-06-11,978.7,1000.0,963.25,971.0,10694
2020-06-12,933.0,970.55,933.0,960.2,14902
2020-06-15,965.0,980.95,940.0,946.3,5658
2020-06-16,969.8,969.8,945.35,953.6,10282
2020-06-17,939.0,964.75,939.0,958.75,5594
2020-06-18,958.75,976.75,954.9,966.25,10800
2020-06-19,967.05,967.05,955.0,958.3,5864
2020-06-22,958.3,965.0,947.55,950.8,4888
2020-06-23,950.8,958.45,936.95,940.35,11225
2020-06-24,945.0,975.0,933.85,945.3,11166
2020-06-25,960.0,1125.0,909.95,1012.9,193977
2020-06-26,1019.0,1068.0,1003.3,1040.05,42586
2020-06-29,1038.9,1060.0,992.05,1046.05,35199
2020-06-30,1074.5,1080.0,969.0,1020.2,104948
2020-07-01,987.7,1010.0,975.0,997.1,37207
2020-07-02,1009.0,1009.0,984.0,990.95,10253
2020-07-03,995.9,1020.15,995.0,1003.85,20119
2020-07-06,1004.0,1011.15,978.0,988.85,14539
2020-07-07,988.85,1010.0,975.0,985.75,12176
2020-07-08,990.65,1015.0,978.0,982.2,14466
2020-07-09,982.5,999.2,982.5,993.15,4574
2020-07-10,986.2,1010.0,986.2,1003.6,14203
2020-07-13,1005.0,1014.85,992.1,996.65,47461
2020-07-14,999.0,1003.0,972.25,999.0,11543
2020-07-15,1003.9,1006.75,991.25,998.0,14680
2020-07-16,998.1,1003.0,991.35,1000.0,5819
2020-07-17,1004.2,1035.85,1002.25,1029.15,28568
2020-07-20,1034.3,1110.0,1020.05,1030.55,44054
2020-07-21,1032.05,1058.0,1022.75,1029.95,8227
2020-07-22,1032.95,1046.2,1020.05,1026.35,8723
2020-07-23,1031.5,1040.0,1010.0,1029.55,9243
2020-07-24,1028.0,1029.0,1015.0,1017.35,2736
2020-07-27,1028.0,1028.0,983.85,1009.05,8164
2020-07-28,1000.05,1020.0,994.5,1005.05,15584
2020-07-29,1010.1,1010.1,992.35,1002.85,15877
2020-07-30,997.95,1010.0,997.05,1006.1,12163
2020-07-31,1000.0,1034.25,986.1,1016.0,43856
2020-08-03,996.0,1015.0,976.0,983.6,116732
2020-08-04,992.0,1002.0,975.0,977.1,14398
2020-08-05,997.9,997.9,940.0,957.15,66925
2020-08-06,953.05,963.0,942.0,949.5,14737
2020-08-07,949.5,978.0,944.4,966.55,42559
2020-08-10,994.95,1045.55,984.05,1002.9,62621
2020-08-11,1002.9,1028.05,1001.35,1010.15,15090
2020-08-12,1015.0,1015.0,990.0,998.8,9381
2020-08-13,1008.0,1025.0,1008.0,1018.9,20902
2020-08-14,1027.0,1035.9,1024.0,1030.7,17819
2020-08-17,1044.0,1044.0,1018.0,1023.4,14580
2020-08-18,1023.4,1028.55,1011.05,1016.9,4975
2020-08-19,1050.0,1078.6,1042.0,1053.55,22424
2020-08-20,1055.0,1065.5,1045.0,1048.75,10196
2020-08-21,1058.8,1124.0,1043.0,1091.2,35717
2020-08-24,1091.3,1160.0,1063.95,1100.8,74532
2020-08-25,1107.0,1150.0,1101.35,1142.35,27655
2020-08-26,1133.9,1159.0,1130.0,1139.25,13109
2020-08-27,1144.0,1189.0,1143.95,1162.0,150497
2020-08-28,1178.0,1189.95,1142.0,1149.95,43121
2020-08-31,1158.0,1158.0,1105.0,1122.7,16125
2020-09-01,1122.7,1139.0,1094.0,1100.0,373009
2020-09-02,1108.8,1123.15,1079.9,1083.95,18347
2020-09-03,1097.95,1097.95,1066.05,1080.9,15169
2020-09-04,1060.0,1088.05,1060.0,1075.05,86444
2020-09-07,1080.0,1080.45,1039.4,1043.05,50478
2020-09-08,1048.25,1065.1,966.3,994.25,93057
2020-09-09,994.0,1024.85,982.85,1005.1,7812
2020-09-10,1005.1,1028.35,985.0,1003.25,6176
2020-09-11,1005.0,1018.0,991.35,1008.55,5815
2020-09-14,1013.6,1122.6,1010.05,1081.7,52171
2020-09-15,1082.0,1116.15,1061.0,1071.35,13356
2020-09-16,1070.0,1099.0,1060.0,1073.95,10662
2020-09-17,1052.25,1079.0,1036.0,1059.9,13813
2020-09-18,1058.65,1105.45,1050.0,1088.6,51469
2020-09-21,1079.0,1089.4,1058.0,1066.65,16378
2020-09-22,1050.0,1072.75,1024.0,1047.05,5666
2020-09-23,1047.05,1064.0,1031.85,1036.35,41563
2020-09-24,1035.0,1041.4,1011.05,1026.4,5693
2020-09-25,1031.55,1045.0,1002.55,1025.4,23420
2020-09-28,1030.0,1107.4,1025.0,1046.25,5558
2020-09-29,1051.35,1058.35,1035.95,1049.55,18355
2020-09-30,1050.0,1055.4,1033.0,1034.6,6245
2020-10-01,1039.65,1085.0,1029.5,1068.1,36531
2020-10-05,1115.0,1150.0,1073.45,1082.15,80258
2020-10-06,1094.7,1094.7,1068.05,1080.65,12753
2020-10-07,1080.0,1100.0,1069.9,1075.25,19187
2020-10-08,1075.0,1080.0,1060.0,1069.65,17239
2020-10-09,1130.0,1160.0,1080.2,1090.5,300500
2020-10-12,1079.8,1097.95,1067.3,1081.4,13332
2020-10-13,1081.0,1099.0,1050.0,1061.2,117838
2020-10-14,1059.95,1064.75,1040.8,1052.25,14862
2020-10-15,1052.3,1055.05,1027.0,1030.2,8558
2020-10-16,1021.05,1077.0,1021.05,1037.0,315961
2020-10-19,1042.2,1052.6,1015.25,1018.65,21369
2020-10-20,1018.65,1030.2,1017.0,1018.4,130803
2020-10-21,1020.0,1026.55,1011.65,1020.3,7051
2020-10-22,1027.75,1044.45,1014.0,1025.3,84841
2020-10-23,1030.45,1057.55,1026.0,1028.0,32731
2020-10-26,1026.0,1062.7,1022.0,1029.55,10768
2020-10-27,1028.65,1034.6,1020.1,1025.25,2708
2020-10-28,1028.65,1028.95,1020.0,1021.8,229762
2020-10-29,1019.95,1035.0,1005.0,1023.7,6104
2020-10-30,1024.6,1027.45,1005.65,1009.85,10126
2020-11-02,1002.0,1043.15,1002.0,1018.8,20512
2020-11-03,1023.9,1030.0,1010.0,1012.0,5193
2020-11-04,1009.1,1049.95,1002.05,1034.1,7456
2020-11-05,1049.0,1065.5,1027.0,1043.5,5293
2020-11-06,1038.8,1058.2,1013.35,1033.35,75994
2020-11-09,1034.95,1035.0,1017.0,1028.05,6528
2020-11-10,1022.45,1030.0,1015.05,1019.5,5621
2020-11-11,1020.0,1049.0,1020.0,1028.8,5631
2020-11-12,1026.15,1037.2,995.4,999.95,40350
2020-11-13,1005.25,1020.5,978.0,987.95,52705
2020-11-17,1008.4,1015.0,978.0,980.7,32945
2020-11-18,988.55,1004.0,985.35,988.85,12500
2020-11-19,995.0,995.4,980.5,984.85,10348
2020-11-20,989.8,999.1,983.3,988.2,11745
2020-11-23,988.2,1009.0,988.2,1002.5,18869
2020-11-24,1007.0,1048.0,996.0,1032.7,1081960
2020-11-25,1052.0,1067.0,1035.05,1043.6,47551
2020-11-26,1050.0,1067.8,1035.0,1038.8,14874
2020-11-27,1038.8,1054.35,1038.1,1043.15,10818
2020-12-01,1058.7,1058.7,1032.2,1039.5,12781
2020-12-02,1035.0,1044.6,1031.0,1036.35,10890
2020-12-03,1035.05,1079.0,1027.1,1054.65,46971
2020-12-04,1070.0,1070.0,1037.15,1061.45,31247
2020-12-07,1080.0,1080.0,1045.3,1067.85,20351
2020-12-08,1067.85,1078.0,1051.0,1063.85,13528
2020-12-09,1075.95,1076.0,1044.5,1048.9,11084
2020-12-10,1054.0,1054.0,1030.0,1031.55,13440
2020-12-11,1035.0,1047.5,1030.0,1034.5,9383
2020-12-14,1060.0,1105.0,1055.5,1088.55,95622
2020-12-15,1100.0,1109.0,1073.0,1086.85,32719
2020-12-16,1086.0,1095.0,1082.0,1085.4,10131
2020-12-17,1087.95,1114.0,1078.0,1090.35,38845
2020-12-18,1095.85,1114.0,1052.55,1061.4,25607
2020-12-21,1062.4,1103.95,1040.0,1042.1,46246
2020-12-22,1036.0,1072.05,1032.0,1038.95,18724
2020-12-23,1044.0,1065.0,1041.35,1060.2,10066
2020-12-24,1063.05,1086.0,1059.9,1072.5,16551
2020-12-28,1077.9,1086.0,1063.1,1080.55,17176
2020-12-29,1081.0,1095.0,1078.85,1090.05,22893
2020-12-30,1092.0,1093.0,1080.0,1088.8,17976
2020-12-31,1083.0,1097.75,1072.1,1093.95,28723
2021-01-01,1094.4,1097.5,1084.7,1093.1,23763
2021-01-04,1095.0,1100.0,1090.0,1098.15,21262
2021-01-05,1098.0,1133.4,1089.5,1118.0,29912
2021-01-06,1119.0,1129.6,1110.45,1124.85,36399
2021-01-07,1130.5,1132.65,1111.25,1124.8,126418
2021-01-08,1135.0,1143.95,1107.0,1128.7,35600
2021-01-11,1134.35,1137.95,1120.0,1129.3,27068
2021-01-12,1148.0,1243.95,1126.35,1182.9,110387
2021-01-13,1188.7,1229.0,1155.05,1179.35,64736
2021-01-14,1185.05,1193.0,1164.5,1181.2,15269
2021-01-15,1187.0,1187.0,1165.5,1178.7,113457
2021-01-18,1184.5,1186.1,1155.1,1170.85,17116
2021-01-19,1175.0,1199.0,1170.0,1182.15,11181
2021-01-20,1185.7,1190.0,1167.8,1187.25,9672
2021-01-21,1193.2,1193.2,1175.6,1185.15,10669
2021-01-22,1185.6,1191.0,1155.65,1175.45,7336
2021-01-25,1168.0,1183.85,1148.5,1176.95,15129
2021-01-27,1190.0,1193.1,1150.7,1184.65,21494
2021-01-28,1184.0,1188.0,1165.0,1183.0,6241
2021-01-29,1177.75,1195.0,1172.05,1187.05,10023
2021-02-01,1196.95,1201.2,1122.95,1189.05,37768
2021-02-02,1187.85,1220.0,1175.15,1210.9,37166
2021-02-03,1210.9,1225.0,1200.2,1221.5,14503
2021-02-04,1225.0,1235.0,1207.05,1220.0,17479
2021-02-05,1230.0,1258.0,1209.0,1229.0,29564
2021-02-08,1251.95,1270.0,1243.05,1249.5,18992
2021-02-09,1252.25,1256.95,1220.1,1250.0,16055
2021-02-10,1256.6,1256.6,1222.55,1240.4,15299
2021-02-11,1230.15,1250.9,1230.0,1244.6,30995
2021-02-12,1249.9,1264.65,1237.0,1240.25,8380
2021-02-15,1240.0,1254.0,1233.4,1248.25,12357
2021-02-16,1254.5,1410.3,1241.15,1294.0,242357
2021-02-17,1284.5,1288.95,1245.65,1272.0,26446
2021-02-18,1280.0,1309.8,1262.0,1265.0,39350
2021-02-19,1273.0,1306.0,1263.65,1278.05,17181
2021-02-22,1277.0,1292.9,1271.15,1278.7,13904
2021-02-23,1275.0,1349.0,1275.0,1299.4,105856
2021-02-24,1293.85,1305.0,1284.85,1299.0,25397
2021-02-25,1323.0,1325.0,1298.05,1321.0,15682
2021-02-26,1319.7,1320.0,1295.0,1302.55,9431
2021-03-01,1325.0,1349.0,1306.55,1340.65,16004
2021-03-02,1374.0,1374.0,1323.0,1338.3,12235
2021-03-03,1339.0,1354.0,1323.35,1350.25,11880
2021-03-04,1353.95,1404.0,1340.2,1398.2,30762
2021-03-05,1400.0,1419.1,1365.0,1377.2,13135
2021-03-08,1400.0,1412.0,1385.0,1402.6,10844
2021-03-09,1408.95,1421.45,1350.0,1389.3,28798
2021-03-10,1417.0,1417.0,1369.0,1375.35,46666
2021-03-12,1400.0,1400.0,1335.4,1347.9,22149
2021-03-15,1350.05,1355.2,1295.7,1324.25,19523
2021-03-16,1320.75,1330.9,1315.0,1322.4,13920
2021-03-17,1325.0,1325.0,1291.9,1304.45,18345
2021-03-18,1296.0,1306.0,1253.75,1279.6,22495
2021-03-19,1257.0,1348.0,1243.25,1291.6,21808
2021-03-22,1320.0,1321.05,1279.65,1290.5,4872
2021-03-23,1283.55,1308.0,1260.0,1300.0,13214
2021-03-24,1290.0,1304.0,1260.0,1288.45,6676
2021-03-25,1268.5,1300.0,1253.9,1286.3,6318
2021-03-26,1290.05,1319.0,1280.0,1294.6,8430
2021-03-30,1298.0,1307.25,1283.6,1300.05,6142
2021-03-31,1317.6,1359.9,1263.0,1263.0,8021
2021-04-01,1285.0,1324.0,1251.35,1275.35,10604
2021-04-05,1284.0,1292.5,1239.95,1247.7,11706
2021-04-06,1253.65,1285.65,1242.45,1249.55,27008
2021-04-07,1255.8,1280.0,1255.75,1273.3,7090
2021-04-08,1270.0,1331.0,1265.4,1313.65,10970
2021-04-09,1349.0,1358.0,1275.7,1312.0,16733
2021-04-12,1345.0,1345.0,1250.0,1258.8,10892
2021-04-13,1262.35,1384.95,1255.1,1277.05,100807
2021-04-15,1293.0,1328.0,1250.3,1311.85,19315
2021-04-16,1311.85,1311.85,1295.0,1298.85,3758
2021-04-19,1287.0,1287.0,1247.2,1265.25,5527
2021-04-20,1279.0,1284.4,1243.05,1248.5,11202
2021-04-22,1248.0,1295.0,1227.65,1278.95,30204
2021-04-23,1277.7,1284.85,1251.3,1254.55,4700
2021-04-26,1256.0,1265.0,1225.1,1231.15,16385
2021-04-27,1237.35,1247.4,1212.0,1218.45,14092
2021-04-28,1224.9,1334.1,1221.05,1295.25,53418
2021-04-29,1305.0,1324.9,1244.95,1258.4,17109
2021-04-30,1252.0,1257.0,1218.0,1222.05,13624
2021-05-03,1224.0,1243.3,1200.0,1222.8,16704
2021-05-04,1220.0,1235.0,1207.0,1218.4,8481
2021-05-05,1224.5,1257.15,1217.7,1228.1,15729
2021-05-06,1228.8,1259.65,1220.0,1236.0,18356
2021-05-07,1232.05,1267.55,1230.0,1238.45,8809
2021-05-10,1240.95,1260.0,1230.05,1240.4,99267
2021-05-11,1231.15,1253.05,1219.4,1224.65,11365
2021-05-12,1210.05,1238.95,1210.05,1217.7,8367
2021-05-14,1237.7,1247.95,1203.0,1209.45,17930
2021-05-17,1215.5,1227.75,1210.5,1218.0,21679
2021-05-18,1211.6,1253.95,1211.6,1240.8,29142
2021-05-19,1245.0,1265.0,1226.05,1258.6,16149
2021-05-20,1258.6,1279.65,1241.0,1254.6,17757
2021-05-21,1260.55,1279.75,1250.0,1276.5,25633
2021-05-24,1290.5,1334.0,1271.3,1312.7,53754
2021-05-25,1335.0,1349.0,1321.5,1334.15,17441
2021-05-26,1330.15,1349.0,1319.9,1326.95,7749
2021-05-27,1340.0,1350.0,1319.0,1337.45,16375
2021-05-28,1420.0,1445.55,1365.0,1411.0,337926
2021-05-31,1415.0,1599.0,1411.75,1554.4,1298747
2021-06-01,1565.0,1645.0,1453.35,1494.8,673154
2021-06-02,1500.0,1625.0,1496.0,1598.0,307184
2021-06-03,1612.0,1640.0,1555.05,1578.2,158565
