date,open,high,low,close,volume
2020-01-14,704.24,712.49,704.24,708.3,705349
2020-01-15,704.0,716.1,704.0,714.33,666314
2020-01-16,712.4,719.36,712.01,714.98,521904
2020-01-17,715.78,731.0,714.2,724.54,974629
2020-01-20,727.0,728.97,720.4,723.23,420229
2020-01-21,723.0,729.4,720.42,721.92,470244
2020-01-22,725.8,727.72,720.18,722.08,456594
2020-01-23,722.2,732.6,721.48,727.36,822139
2020-01-24,725.04,745.35,725.04,732.07,1464914
2020-01-27,730.0,742.51,729.17,734.72,764239
2020-01-28,737.94,757.0,736.66,752.97,1537684
2020-01-29,756.19,760.77,750.2,753.26,1419639
2020-01-30,753.9,764.8,748.35,760.45,768169
2020-01-31,763.2,772.2,754.4,756.81,1572659
2020-02-01,755.2,761.5,734.1,737.63,727164
2020-02-03,737.63,762.81,737.63,757.88,1189274
2020-02-04,769.99,780.0,728.26,748.18,5338864
2020-02-05,760.0,799.55,755.0,797.41,5149254
2020-02-06,798.0,811.0,795.41,801.72,3154719
2020-02-07,799.82,824.8,796.93,821.98,2106414
2020-02-10,824.4,834.7,818.0,826.86,2542209
2020-02-11,830.6,839.01,821.2,831.75,1318974
2020-02-12,832.8,836.73,827.82,832.71,801774
2020-02-13,832.0,834.0,824.04,829.83,962809
2020-02-14,830.0,846.0,829.83,838.59,1395294
2020-02-17,840.2,843.4,828.2,830.43,849259
2020-02-18,831.44,834.96,824.49,832.76,1226354
2020-02-19,833.0,836.0,828.76,832.43,732709
2020-02-20,834.0,852.0,831.0,833.36,1589729
2020-02-24,827.11,832.0,810.01,812.42,953069
2020-02-25,813.9,827.63,806.59,823.95,1236164
2020-02-26,821.6,833.1,819.83,825.02,1044724
2020-02-27,824.96,834.29,818.2,828.74,834234
2020-02-28,815.2,819.79,769.21,778.76,2509524
2020-03-02,800.0,803.8,777.09,781.48,1396939
2020-03-03,788.8,801.18,775.0,799.39,1145929
2020-03-04,794.42,803.19,777.98,791.35,1282719
2020-03-05,795.6,801.86,782.61,786.18,1059879
2020-03-06,770.0,783.54,748.03,777.47,2443514
2020-03-09,768.0,769.19,737.61,745.34,1594699
2020-03-11,733.02,750.94,728.0,743.64,1474184
2020-03-12,719.6,725.94,665.52,674.31,2608899
2020-03-13,613.0,718.23,580.07,711.5,1558774
2020-03-16,699.61,699.61,625.02,629.59,1534364
2020-03-17,631.0,671.0,620.65,648.89,1303129
2020-03-18,652.05,667.76,587.51,592.22,1522784
2020-03-19,550.2,615.5,537.31,587.32,2401669
2020-03-20,586.0,659.98,572.4,643.37,1649394
2020-03-23,580.2,609.8,521.01,537.31,1127994
2020-03-24,588.98,591.0,527.03,543.7,1273844
2020-03-25,543.7,567.0,493.53,555.59,1184619
2020-03-26,553.34,576.0,532.0,554.3,1674269
2020-03-27,565.0,573.84,536.41,545.4,1505444
2020-03-30,530.0,566.8,510.0,559.5,1766089
2020-03-31,578.0,579.4,549.02,556.66,1090134
2020-04-01,560.13,563.57,524.0,530.99,1235254
2020-04-03,527.0,553.52,512.42,533.67,2056549
2020-04-07,549.6,585.39,540.4,577.14,1958059
2020-04-08,574.0,624.59,562.46,599.35,2556284
2020-04-09,609.6,655.6,606.18,647.55,2212319
2020-04-13,650.0,685.0,636.0,676.83,2133279
2020-04-15,688.78,695.98,650.4,667.44,1997549
2020-04-16,664.8,689.8,651.4,682.82,1910339
2020-04-17,700.0,701.96,668.03,681.42,1612789
2020-04-20,682.0,686.78,660.67,668.11,951944
2020-04-21,656.0,665.37,647.13,661.33,1044944
2020-04-22,660.0,692.97,657.07,688.56,1245329
2020-04-23,694.16,739.23,692.0,728.59,2578204
2020-04-24,720.4,732.16,694.0,697.61,1369534
2020-04-27,711.4,728.56,704.4,717.92,1480984
2020-04-28,729.0,752.0,719.8,736.98,3191839
2020-04-29,736.4,747.8,723.02,733.12,1284484
2020-04-30,737.35,754.4,737.35,743.75,1036959
2020-05-04,730.0,738.34,716.16,728.11,1148794
2020-05-05,731.6,745.8,725.12,729.98,1349129
2020-05-06,740.2,745.55,726.93,731.01,1094359
2020-05-07,730.01,737.8,708.62,718.69,2080784
2020-05-08,732.0,732.0,716.41,719.02,564799
2020-05-11,726.52,731.0,711.1,715.37,902504
2020-05-12,713.38,717.66,694.2,707.47,1335199
2020-05-13,728.0,743.98,718.67,721.16,1428244
2020-05-14,717.4,734.0,711.04,730.32,949994
2020-05-15,733.2,737.7,711.65,719.21,989119
2020-05-18,718.0,718.0,679.4,684.64,794369
2020-05-19,690.02,700.0,661.2,665.07,1338179
2020-05-20,667.0,681.84,665.11,675.99,963024
2020-05-21,677.0,691.19,669.1,674.09,816744
2020-05-22,672.0,686.0,664.8,675.99,797124
2020-05-26,680.0,696.24,673.6,690.49,750119
2020-05-27,692.0,692.0,680.21,685.24,501524
2020-05-28,685.04,692.0,674.0,681.88,670379
2020-05-29,679.0,708.8,675.0,697.43,1385524
2020-06-01,704.0,746.86,702.36,741.43,1569054
2020-06-02,741.54,751.76,730.0,735.96,736739
2020-06-03,740.0,747.76,721.13,730.25,1005329
2020-06-04,730.25,768.9,724.46,759.61,2949974
2020-06-05,758.0,758.0,727.4,730.06,3561849
2020-06-08,736.0,751.0,722.2,739.43,2357339
2020-06-09,738.4,744.75,726.03,730.95,1480339
2020-06-10,734.0,743.24,726.2,728.31,1066169
2020-06-11,729.8,747.39,718.4,725.14,2103869
2020-06-12,710.0,738.88,705.84,736.6,1162944
2020-06-15,739.82,744.9,720.01,723.04,1018164
