date,open,high,low,close,volume
2020-01-13,854.0,899.9,852.3,891.05,4036332
2020-01-14,892.0,920.0,892.0,907.9,2044123
2020-01-15,909.0,962.8,907.0,948.05,1557991
2020-01-16,960.0,969.5,951.1,958.75,936150
2020-01-17,963.0,964.0,940.25,947.15,407274
2020-01-20,950.0,957.25,930.2,936.75,266941
2020-01-21,935.0,964.0,925.0,954.7,474265
2020-01-22,956.5,979.0,954.5,960.85,898739
2020-01-23,963.0,978.0,961.0,968.3,284158
2020-01-24,968.9,973.0,958.1,963.25,220015
2020-01-27,960.0,968.0,929.1,942.75,213047
2020-01-28,942.75,956.9,927.55,947.2,321398
2020-01-29,950.0,961.9,925.0,932.6,305850
2020-01-30,938.0,962.0,935.0,957.55,695800
2020-01-31,957.95,966.5,941.8,949.2,318313
2020-02-01,944.0,959.05,941.05,949.75,157445
2020-02-03,950.0,979.9,926.4,957.1,565209
2020-02-04,961.9,1037.3,960.0,1030.35,2222832
2020-02-05,1031.3,1058.0,1014.3,1027.5,796454
2020-02-06,1030.0,1048.0,1013.35,1035.45,521590
2020-02-07,1036.0,1057.0,1021.0,1030.5,636650
2020-02-10,1036.9,1070.8,1021.1,1058.5,576348
2020-02-11,1064.0,1088.0,1059.3,1082.4,638604
2020-02-12,1086.0,1098.4,1054.5,1060.9,531180
2020-02-13,1067.8,1096.55,1058.5,1089.1,487395
2020-02-14,1088.0,1096.45,1025.1,1035.0,451945
2020-02-17,1041.0,1043.35,975.95,987.55,866201
2020-02-18,980.0,992.0,934.8,970.05,912440
2020-02-19,980.1,1014.0,978.05,1005.7,627745
2020-02-20,1005.7,1021.0,986.0,996.4,633182
2020-02-24,991.5,1013.0,971.45,1004.85,585972
2020-02-25,1012.8,1012.8,985.1,989.25,256244
2020-02-26,993.0,993.0,952.1,961.6,277812
2020-02-27,955.0,955.0,915.0,930.4,559388
2020-02-28,910.0,919.05,855.1,882.75,629146
2020-03-02,887.0,965.0,887.0,941.25,865946
2020-03-03,962.25,1071.25,940.45,1037.85,1462319
2020-03-04,1042.0,1057.0,947.0,983.95,1291087
2020-03-05,994.5,1025.0,972.55,989.25,666066
2020-03-06,945.0,999.0,925.25,985.75,478233
2020-03-09,945.0,969.85,903.5,932.4,452272
2020-03-11,924.0,988.95,915.3,972.55,849768
2020-03-12,935.0,935.0,868.0,878.25,564875
2020-03-13,800.0,889.2,702.6,846.9,622543
2020-03-16,801.0,824.8,761.0,770.7,434866
2020-03-17,770.55,784.95,706.1,723.05,384382
2020-03-18,754.0,754.0,670.0,677.55,393149
2020-03-19,650.0,650.0,567.2,575.85,993667
2020-03-20,585.0,633.4,572.5,598.6,861237
2020-03-23,540.0,569.0,539.0,544.4,266156
2020-03-24,569.0,581.0,530.0,550.2,287848
2020-03-25,550.0,592.0,499.95,586.0,398547
2020-03-26,595.0,640.0,595.0,620.55,330218
2020-03-27,640.0,674.0,622.8,639.1,490352
2020-03-30,607.35,621.3,595.0,603.15,322832
2020-03-31,615.05,639.0,610.15,629.1,298967
2020-04-01,636.0,653.1,601.0,607.2,269956
2020-04-03,617.0,617.0,590.05,593.6,214168
2020-04-07,621.0,652.95,603.0,638.75,361001
2020-04-08,636.0,658.0,625.7,637.55,312310
2020-04-09,659.0,712.0,650.05,699.6,594041
2020-04-13,702.0,705.0,660.0,673.7,311547
2020-04-15,686.0,743.9,682.8,734.0,911879
2020-04-16,730.0,730.0,701.0,713.9,435709
2020-04-17,748.0,748.0,696.55,713.2,416692
2020-04-20,727.65,738.0,715.0,729.4,381161
2020-04-21,735.0,759.4,717.5,725.1,974282
2020-04-22,730.0,734.0,709.0,719.65,346761
2020-04-23,720.0,737.65,720.0,724.05,309756
2020-04-24,735.0,771.2,721.0,751.25,781786
2020-04-27,760.0,860.0,755.1,829.15,3146899
2020-04-28,831.0,854.65,810.55,815.5,620909
2020-04-29,825.0,842.0,795.25,814.2,789421
2020-04-30,834.0,838.0,798.0,802.85,505620
2020-05-04,780.0,788.55,762.2,768.1,309675
2020-05-05,779.0,795.2,765.05,771.05,290754
2020-05-06,779.0,779.0,755.0,765.25,281315
2020-05-07,760.0,797.9,760.0,789.55,470393
2020-05-08,800.0,818.8,752.2,771.5,775128
2020-05-11,780.0,793.0,770.05,776.75,212322
2020-05-12,778.0,805.0,762.65,785.15,254500
2020-05-13,815.0,815.0,772.0,783.65,542549
2020-05-14,780.0,782.9,759.0,771.95,236706
2020-05-15,779.8,788.4,746.0,777.85,557092
2020-05-18,780.0,784.65,759.0,763.2,215961
2020-05-19,775.0,784.2,767.1,772.85,272414
2020-05-20,775.9,791.0,763.9,787.5,251512
2020-05-21,793.0,794.75,769.35,771.55,285548
2020-05-22,766.0,786.5,766.0,775.0,283314
2020-05-26,782.3,782.3,756.1,759.7,271938
2020-05-27,760.05,765.3,740.1,751.0,356030
2020-05-28,755.0,763.4,748.65,755.8,283412
2020-05-29,750.5,774.7,750.5,764.9,320034
2020-06-01,775.0,794.9,767.35,778.9,418754
2020-06-02,782.0,854.8,780.0,819.6,2047233
2020-06-03,827.95,844.95,810.0,817.0,957875
2020-06-04,821.0,837.9,811.0,823.05,720571
2020-06-05,834.5,845.0,826.05,837.8,706471
2020-06-08,844.7,845.35,826.1,829.1,400621
2020-06-09,832.0,863.45,827.0,837.85,1336384
2020-06-10,844.0,890.0,830.0,884.0,1146853
2020-06-11,906.0,943.0,878.05,889.55,3510038
2020-06-12,847.0,895.15,847.0,888.9,542228
2020-06-15,888.95,906.0,875.0,886.75,560583
2020-06-16,902.0,903.9,855.0,875.55,449993
2020-06-17,869.95,886.9,862.95,867.0,253580
2020-06-18,868.0,883.0,867.5,874.8,293341
2020-06-19,876.9,892.3,869.15,874.9,361337
2020-06-22,877.95,887.9,872.8,877.95,237176
2020-06-23,877.95,901.9,877.0,881.65,636717
2020-06-24,884.0,892.0,868.6,873.05,250930
2020-06-25,870.0,881.65,863.0,868.65,218018
2020-06-26,874.0,917.0,872.1,901.0,1378037
2020-06-29,887.1,910.0,879.75,898.35,563292
2020-06-30,905.0,920.9,893.0,897.3,1001089
2020-07-01,904.0,910.0,897.0,902.2,305834
2020-07-02,903.35,926.0,903.35,911.05,827176
2020-07-03,918.7,920.45,908.0,910.2,263763
2020-07-06,918.8,927.0,909.0,917.05,445276
2020-07-07,918.0,931.95,917.1,919.35,447141
2020-07-08,924.0,934.65,920.0,923.65,363907
2020-07-09,927.9,934.0,922.0,926.45,283613
2020-07-10,929.9,941.15,922.2,928.5,462591
2020-07-13,923.7,924.0,900.0,902.8,367328
2020-07-14,902.0,905.9,876.0,891.7,279934
2020-07-15,896.0,927.2,892.6,898.25,633814
2020-07-16,907.7,932.0,903.5,914.25,589937
2020-07-17,922.0,923.0,885.0,917.0,297699
2020-07-20,921.6,926.25,911.05,921.8,245501
2020-07-21,928.0,952.35,918.0,921.3,1511183
2020-07-22,931.0,940.0,908.0,914.85,417979
2020-07-23,917.7,923.8,910.1,913.55,216839
2020-07-24,909.9,913.9,901.0,907.7,219181
2020-07-27,910.0,914.7,892.05,902.8,271083
2020-07-28,905.95,928.8,903.95,922.9,479034
2020-07-29,929.0,977.95,928.5,947.05,2276497
2020-07-30,949.7,972.6,948.0,962.4,555251
2020-07-31,967.2,969.25,936.0,940.0,346200
2020-08-03,940.0,962.0,932.55,957.7,580206
2020-08-04,962.0,969.95,933.0,937.1,417940
2020-08-05,941.8,977.0,941.8,970.1,707032
2020-08-06,972.0,1005.0,956.0,989.0,1466954
2020-08-07,987.85,1003.0,978.0,990.0,495039
2020-08-10,992.0,1027.6,982.0,1019.95,713244
2020-08-11,1025.05,1036.0,1004.0,1011.65,434284
2020-08-12,1008.0,1023.8,992.0,1014.35,332120
2020-08-13,1019.45,1039.0,1015.65,1019.85,488055
2020-08-14,1018.0,1027.8,1006.0,1020.65,402127
2020-08-17,1025.0,1043.0,1008.7,1030.75,459304
2020-08-18,1032.0,1077.0,1029.95,1070.35,799551
2020-08-19,1070.35,1070.35,1050.55,1055.0,300015
2020-08-20,1050.5,1086.0,1049.0,1067.35,536442
2020-08-21,1070.8,1072.7,1055.0,1060.65,290871
2020-08-24,1064.7,1089.0,1060.65,1071.85,428269
2020-08-25,1074.0,1109.85,1071.15,1093.1,540704
2020-08-26,1093.1,1118.05,1088.45,1100.35,320144
2020-08-27,1104.05,1208.6,1104.05,1153.75,1802901
2020-08-28,1160.0,1169.95,1130.7,1139.05,385131
2020-08-31,1147.0,1147.85,1056.4,1074.8,487884
2020-09-01,1074.8,1108.95,1060.45,1097.3,185307
2020-09-02,1097.95,1143.0,1095.3,1135.55,298928
2020-09-03,1140.4,1185.65,1126.3,1173.0,527826
2020-09-04,1137.0,1167.0,1133.0,1150.55,297451
2020-09-07,1160.0,1192.0,1160.0,1187.0,656689
2020-09-08,1185.0,1226.9,1172.65,1219.0,771204
2020-09-09,1209.0,1239.0,1173.0,1221.6,495610
2020-09-10,1229.0,1274.8,1222.8,1261.85,581067
2020-09-11,1273.7,1300.0,1261.0,1289.95,896645
2020-09-14,1305.2,1331.0,1272.25,1302.1,1180501
2020-09-15,1327.6,1328.15,1272.35,1286.05,631163
2020-09-16,1290.0,1298.65,1266.0,1268.65,352723
2020-09-17,1270.0,1291.3,1257.0,1283.65,377617
2020-09-18,1286.0,1305.4,1250.5,1273.4,895399
2020-09-21,1271.95,1314.9,1267.05,1284.25,508172
2020-09-22,1284.25,1292.25,1215.0,1234.35,492430
2020-09-23,1247.95,1261.0,1186.0,1204.45,454866
2020-09-24,1199.65,1200.0,1161.35,1188.0,338908
2020-09-25,1193.95,1280.0,1193.95,1266.45,783157
2020-09-28,1284.8,1309.75,1283.6,1302.0,396288
2020-09-29,1310.0,1325.25,1272.25,1281.05,282482
2020-09-30,1284.0,1295.0,1263.3,1287.0,224016
2020-10-01,1295.0,1296.95,1270.15,1276.3,304028
2020-10-05,1290.0,1375.0,1287.3,1346.75,1338504
2020-10-06,1359.9,1403.0,1346.0,1392.75,776760
2020-10-07,1395.0,1395.0,1366.1,1381.1,305441
2020-10-08,1395.2,1437.85,1392.0,1401.45,915118
2020-10-09,1402.0,1407.95,1372.0,1394.05,265438
2020-10-12,1405.0,1498.3,1397.0,1475.55,1013815
2020-10-13,1487.9,1494.45,1432.5,1458.2,768972
2020-10-14,1458.0,1506.7,1435.0,1459.15,824015
2020-10-15,1490.0,1534.95,1440.05,1464.15,2226205
2020-10-16,1480.0,1518.7,1439.0,1508.85,993505
2020-10-19,1505.0,1518.25,1457.15,1490.1,693237
2020-10-20,1485.0,1521.0,1480.0,1510.55,557308
2020-10-21,1520.0,1550.0,1511.0,1543.75,475636
2020-10-22,1550.0,1635.0,1543.1,1604.2,796644
2020-10-23,1620.0,1710.0,1608.0,1651.6,1654905
2020-10-26,1665.0,1706.0,1645.9,1687.35,901021
2020-10-27,1708.0,1708.0,1646.8,1658.4,584979
2020-10-28,1658.0,1658.0,1572.3,1584.5,581378
2020-10-29,1571.8,1571.8,1501.25,1508.8,432513
2020-10-30,1512.0,1572.5,1508.0,1534.1,942949
2020-11-02,1526.85,1536.95,1490.0,1496.3,306379
2020-11-03,1490.0,1539.8,1465.45,1529.8,452979
2020-11-04,1535.8,1579.0,1517.95,1535.25,416409
2020-11-05,1554.95,1585.0,1542.0,1565.7,427882
2020-11-06,1569.95,1594.1,1536.6,1553.0,402941
2020-11-09,1560.95,1574.25,1520.0,1524.1,411503
2020-11-10,1538.95,1539.45,1455.0,1464.6,418783
2020-11-11,1470.0,1512.4,1466.0,1498.45,379582
2020-11-12,1499.0,1523.0,1477.0,1487.9,353416
2020-11-13,1491.0,1509.0,1480.0,1486.55,387501
2020-11-17,1522.0,1537.65,1509.0,1515.95,439636
2020-11-18,1521.0,1552.55,1512.0,1547.3,284038
2020-11-19,1546.9,1562.5,1516.0,1529.15,248570
2020-11-20,1530.5,1553.35,1528.25,1534.25,231406
2020-11-23,1547.45,1605.0,1532.65,1560.85,810609
2020-11-24,1571.0,1582.0,1552.2,1562.6,297484
