date,open,high,low,close,volume
2019-12-30,177.2,184.35,176.3,183.7,40948394
2019-12-31,184.0,187.9,181.55,185.15,52869996
2020-01-01,185.15,186.7,183.6,184.45,25968357
2020-01-02,185.0,194.7,184.6,193.75,57289863
2020-01-03,192.9,195.65,189.25,191.1,47572728
2020-01-06,191.0,191.0,185.05,185.65,28621212
2020-01-07,187.0,189.4,182.3,184.7,34995035
2020-01-08,180.2,184.2,180.2,182.55,21862695
2020-01-09,184.85,192.75,184.25,192.0,40803142
2020-01-10,192.0,199.0,190.0,196.35,60252338
2020-01-13,194.75,197.75,191.4,196.25,40535961
2020-01-14,195.7,198.25,193.6,195.85,29867542
2020-01-15,195.0,201.7,194.0,200.35,38485962
2020-01-16,199.5,200.6,196.9,197.55,28118140
2020-01-17,197.25,199.45,195.7,197.3,18204088
2020-01-20,198.0,201.45,194.3,195.0,28976013
2020-01-21,195.5,196.4,190.2,191.4,20859400
2020-01-22,191.95,192.5,184.25,185.6,32952072
2020-01-23,186.75,190.4,183.8,188.4,33032086
2020-01-24,188.0,191.0,185.0,186.5,21791825
2020-01-27,185.7,186.9,180.85,182.2,30132428
2020-01-28,183.9,184.3,174.9,176.1,38283588
2020-01-29,178.8,188.9,178.55,188.05,61585660
2020-01-30,190.95,192.55,184.25,186.2,70900581
2020-01-31,186.3,188.35,175.95,176.6,75621897
2020-02-01,175.4,178.8,163.7,165.6,42515114
2020-02-03,163.5,168.3,159.55,163.85,66616190
2020-02-04,166.55,168.6,161.2,165.7,49034642
2020-02-05,167.4,184.95,166.6,183.75,92982265
2020-02-06,182.0,183.4,175.75,178.85,61821140
2020-02-07,177.4,178.15,173.0,173.6,45195760
2020-02-10,173.2,173.2,168.0,168.9,33279372
2020-02-11,171.85,175.15,168.4,169.75,42868276
2020-02-12,173.0,173.3,169.0,170.95,34621395
2020-02-13,171.35,172.35,168.1,169.5,25049848
2020-02-14,172.0,176.2,168.3,169.1,56676430
2020-02-17,170.4,171.35,166.35,169.1,32893274
2020-02-18,168.0,168.0,158.6,161.6,52744122
2020-02-19,162.85,164.6,153.05,158.05,78914233
2020-02-20,157.95,162.3,156.0,158.5,54328194
