date,open,high,low,close,volume
2019-11-06,80.35,81.7,79.2,80.35,4973920
2019-11-07,80.2,80.5,77.15,79.0,5408742
2019-11-08,78.9,82.0,77.1,77.6,6145716
2019-11-11,77.6,80.35,77.3,79.65,3911003
2019-11-13,79.65,81.7,78.0,78.45,4343044
2019-11-14,78.3,78.3,75.75,76.65,3497833
2019-11-15,78.5,80.75,77.65,78.25,7830361
2019-11-18,78.7,79.8,78.25,78.55,5135338
2019-11-19,79.0,79.2,76.95,77.45,2574357
2019-11-20,77.45,78.7,76.3,76.9,4691198
2019-11-21,77.25,78.25,74.55,75.35,4103928
2019-11-22,75.75,75.9,73.65,74.45,3076068
2019-11-25,74.1,76.4,73.2,76.05,4598792
2019-11-26,76.5,76.6,73.65,74.0,3655159
2019-11-27,74.45,76.5,74.0,74.2,5034574
2019-11-28,73.6,74.0,72.05,73.3,4213575
2019-11-29,72.75,74.25,71.0,71.35,4030491
2019-12-02,71.35,71.9,69.7,69.95,3037695
2019-12-03,70.3,70.4,66.25,66.65,4759561
2019-12-04,67.0,70.75,66.65,70.25,9849215
2019-12-05,70.95,71.45,68.5,69.3,5504466
2019-12-06,69.25,70.5,67.35,67.9,4760790
2019-12-09,67.5,69.45,66.0,66.45,5276434
2019-12-10,66.85,67.4,64.5,65.45,5815099
2019-12-11,65.8,66.4,63.8,65.75,4240522
2019-12-12,66.9,71.55,65.75,70.5,13035896
2019-12-13,72.25,74.8,71.5,72.85,12529513
2019-12-16,73.0,74.05,71.8,72.75,4006648
2019-12-17,73.2,75.8,72.75,75.5,5794306
2019-12-18,75.9,76.85,71.65,72.85,9046293
2019-12-19,72.9,74.95,72.45,74.65,6374897
2019-12-20,75.05,75.35,72.0,72.6,11038821
2019-12-23,72.9,74.05,71.6,73.5,5806029
2019-12-24,73.5,74.3,73.25,73.6,4417286
2019-12-26,73.85,74.15,72.3,72.8,4291525
2019-12-27,73.2,73.5,72.15,72.65,3120086
2019-12-30,73.05,77.1,72.6,76.75,8474039
2019-12-31,76.95,77.6,74.8,77.0,11480305
2020-01-01,77.35,77.45,75.5,75.8,3501656
2020-01-02,76.45,80.15,75.85,79.75,8177517
2020-01-03,79.55,80.3,77.05,78.1,5934025
2020-01-06,77.65,78.15,75.0,75.3,4605668
2020-01-07,75.75,77.8,74.1,76.0,5837072
2020-01-08,74.9,75.8,73.9,74.85,3709025
2020-01-09,75.9,79.7,75.65,79.45,7627454
2020-01-10,79.75,81.8,78.4,81.05,8854675
2020-01-13,81.25,81.65,79.4,81.05,5766499
2020-01-14,81.0,81.9,80.4,81.0,3692587
2020-01-15,80.9,84.2,80.15,83.5,7468013
2020-01-16,83.4,84.2,82.1,82.8,4216367
2020-01-17,83.0,83.8,82.15,82.65,3585855
2020-01-20,82.7,83.75,80.05,80.95,5835701
2020-01-21,80.9,81.3,78.25,78.6,4060190
2020-01-22,79.5,79.5,76.2,77.55,4994625
2020-01-23,77.7,80.3,77.3,79.05,5141244
2020-01-24,79.35,80.45,78.55,78.85,3907448
2020-01-27,78.4,78.4,75.3,75.55,6189035
2020-01-28,76.1,76.5,73.5,74.15,5768455
