date,open,high,low,close,volume
2020-01-14,49.65,50.6,49.58,49.86,156608217
2020-01-15,49.19,50.36,48.92,50.21,121179478
2020-01-16,50.2,50.41,49.21,49.44,104383688
2020-01-17,49.33,49.89,49.19,49.53,56824599
2020-01-20,49.7,49.98,48.92,49.07,72918778
2020-01-21,48.78,48.78,47.35,47.62,113158028
2020-01-22,47.87,47.99,47.32,47.51,76621708
2020-01-23,47.59,48.19,47.32,48.03,72000198
2020-01-24,48.03,48.51,47.65,48.34,74811298
2020-01-27,47.78,47.78,46.01,46.25,129631188
2020-01-28,46.0,46.2,44.2,44.63,180152827
2020-01-29,45.28,45.97,44.96,45.22,110818338
2020-01-30,45.19,45.45,44.14,44.86,146520157
2020-01-31,45.3,45.43,43.65,43.87,107387268
2020-02-01,43.15,44.0,42.01,42.38,129152118
2020-02-03,41.8,43.9,41.66,43.61,162371257
2020-02-04,44.2,45.34,43.35,45.19,133362628
2020-02-05,45.23,47.97,44.8,47.51,160567647
2020-02-06,47.8,48.73,47.16,47.76,166660737
2020-02-07,47.57,47.97,46.89,47.1,116499088
2020-02-10,46.03,46.33,44.0,44.38,267960476
2020-02-11,44.84,45.77,44.27,44.41,168243707
2020-02-12,45.0,45.45,44.26,44.8,117858578
2020-02-13,44.88,45.17,43.94,44.13,99652208
2020-02-14,44.1,44.56,43.34,43.46,94848168
2020-02-17,43.55,44.09,43.3,43.69,97247648
2020-02-18,43.4,43.52,42.13,43.14,115024228
2020-02-19,43.65,43.85,42.82,43.32,84651088
2020-02-20,42.9,44.77,42.8,44.36,129802368
2020-02-24,43.49,43.49,41.34,41.55,175231417
2020-02-25,41.9,42.56,41.44,42.13,145581757
2020-02-26,41.13,41.94,41.13,41.63,142707057
2020-02-27,41.49,41.59,40.71,41.28,102263788
2020-02-28,39.87,39.9,37.5,38.18,245328326
2020-03-02,39.37,39.4,35.8,36.41,202207716
2020-03-03,37.35,39.1,37.01,38.76,186489327
2020-03-04,38.81,38.99,36.51,37.72,229371476
2020-03-05,38.4,38.78,37.43,37.58,146284677
2020-03-06,35.7,35.83,34.67,35.15,148481877
2020-03-09,33.75,33.77,31.98,32.23,204238256
2020-03-11,32.4,32.61,29.61,29.98,286937085
2020-03-12,27.5,29.18,26.72,28.75,437677623
2020-03-13,27.0,33.21,25.54,32.67,338423094
2020-03-16,30.4,31.77,28.71,28.96,236064516
2020-03-17,30.0,30.77,28.05,28.28,206546026
2020-03-18,29.0,29.32,27.57,28.09,187726747
2020-03-19,26.9,28.45,26.05,27.19,187232567
2020-03-20,27.97,30.5,27.42,29.78,173078817
2020-03-23,26.8,27.8,25.36,27.12,121006838
2020-03-24,27.71,28.57,25.86,27.19,129288768
2020-03-25,26.71,29.5,26.71,28.68,94428338
2020-03-26,29.0,29.55,28.01,28.45,114938368
2020-03-27,29.1,29.53,27.42,27.73,111841388
2020-03-30,26.7,27.08,25.09,25.41,158537607
2020-03-31,26.23,27.25,25.97,26.96,157874107
2020-04-01,26.6,26.8,25.81,26.64,119650308
2020-04-03,26.77,26.89,25.1,25.38,125280298
2020-04-07,26.61,27.77,26.12,27.62,159568727
2020-04-08,27.1,29.29,26.67,27.48,204351556
2020-04-09,28.05,28.96,27.77,28.49,138557877
2020-04-13,28.5,29.2,27.39,28.26,155105977
2020-04-15,28.74,29.57,28.19,28.52,209919426
2020-04-16,27.6,29.19,27.6,28.89,172488057
2020-04-17,29.75,29.97,28.55,29.34,174928837
2020-04-20,29.48,29.5,28.51,28.64,119613548
2020-04-21,28.01,28.1,26.33,26.6,169254167
2020-04-22,26.61,26.99,25.92,26.84,147898567
2020-04-23,27.0,27.9,26.9,27.03,154681217
2020-04-24,26.63,27.39,26.45,26.76,123838458
2020-04-27,27.4,27.69,27.05,27.17,124108118
2020-04-28,27.39,27.54,26.96,27.36,85481338
2020-04-29,27.3,28.62,27.13,28.27,198766957
2020-04-30,29.0,30.45,28.87,29.83,236360816
2020-05-04,28.5,28.62,27.01,27.36,128921578
2020-05-05,27.9,28.24,27.1,27.27,121823548
2020-05-06,27.41,28.05,27.21,27.78,95077308
2020-05-07,27.55,28.29,27.47,27.59,89584108
2020-05-08,28.28,28.4,27.2,27.29,98782128
2020-05-11,27.56,28.3,27.5,27.62,109074078
2020-05-12,27.33,27.68,26.45,27.4,150403337
2020-05-13,28.75,28.8,27.35,27.66,147237477
2020-05-14,27.2,27.52,26.73,26.86,107969588
2020-05-15,27.0,27.68,26.88,27.35,149914577
2020-05-18,27.41,27.62,26.25,26.66,116160798
2020-05-19,27.2,28.04,26.75,27.2,168971727
2020-05-20,27.2,28.4,27.01,28.32,144236567
2020-05-21,28.39,28.63,27.85,28.37,130358808
2020-05-22,27.9,28.03,27.33,27.45,106569108
2020-05-26,27.75,28.44,27.7,28.05,121087398
2020-05-27,28.22,29.04,27.91,28.8,140075617
2020-05-28,29.19,29.86,28.94,29.55,166024617
2020-05-29,29.21,29.69,28.79,29.52,131280268
2020-06-01,30.2,31.78,30.2,31.52,243846326
2020-06-02,31.8,32.35,31.46,31.94,165632667
2020-06-03,32.55,32.63,31.51,31.74,103871358
2020-06-04,31.69,32.26,31.46,32.0,112513308
2020-06-05,32.58,34.37,32.51,33.9,309184945
2020-06-08,34.77,35.08,32.74,33.36,164818087
2020-06-09,33.6,34.4,32.89,33.22,149268617
2020-06-10,33.11,33.15,32.2,32.4,172188927
2020-06-11,32.2,32.35,31.1,31.32,139069847
2020-06-12,30.0,32.05,30.0,31.76,175580097
2020-06-15,31.38,31.5,30.26,30.62,185829267
2020-06-16,31.51,32.26,30.13,30.9,234420266
2020-06-17,30.72,31.48,30.51,30.82,114474108
2020-06-18,30.82,31.92,30.71,31.81,113692778
2020-06-19,32.1,32.59,31.73,32.06,151346927
2020-06-22,31.98,32.8,31.84,32.57,110313848
2020-06-23,32.77,33.35,32.62,33.2,125511538
2020-06-24,33.66,33.82,32.48,32.61,207829556
2020-06-25,32.2,32.74,32.1,32.31,113457278
2020-06-26,32.58,33.0,32.26,32.39,97063348
2020-06-29,32.3,32.6,31.21,32.09,119611978
2020-06-30,32.31,33.77,32.31,32.67,365236464
2020-07-01,32.9,32.96,32.03,32.37,104895328
2020-07-02,32.71,33.75,32.46,33.49,119719278
2020-07-03,33.7,33.7,32.74,32.99,106127298
2020-07-06,33.32,34.17,33.03,33.89,141442077
2020-07-07,33.88,33.89,32.81,33.03,108395208
2020-07-08,33.28,34.64,33.2,33.42,215611676
2020-07-09,33.7,34.85,33.65,34.45,244038056
2020-07-10,34.2,34.43,33.52,33.87,125269088
2020-07-13,34.33,34.7,33.85,34.21,121150018
2020-07-14,33.9,33.9,33.26,33.67,83070888
2020-07-15,34.07,34.65,33.8,33.93,96876628
2020-07-16,33.8,34.65,33.16,34.17,105861058
2020-07-17,34.6,35.68,34.52,35.1,244169746
2020-07-20,35.11,35.47,34.66,35.24,95328168
2020-07-21,35.6,36.06,34.95,35.92,113682748
2020-07-22,36.05,36.29,34.66,35.01,178442367
2020-07-23,35.01,35.64,34.77,35.19,96252768
2020-07-24,34.7,34.98,34.26,34.61,89189398
2020-07-27,35.1,35.39,34.43,35.29,118356278
2020-07-28,35.36,36.0,35.28,35.85,106403268
2020-07-29,35.9,37.85,35.62,37.38,301161305
2020-07-30,37.7,37.78,36.41,36.66,103990748
2020-07-31,36.56,37.04,36.04,36.63,90249548
2020-08-03,36.48,37.69,36.21,37.35,111375708
2020-08-04,37.45,37.8,36.77,37.23,111844298
2020-08-05,37.31,39.79,37.31,39.58,305597595
2020-08-06,38.98,40.28,38.55,40.05,221233576
2020-08-07,39.59,40.67,39.31,40.41,151763427
2020-08-10,40.58,41.16,39.96,41.02,120183048
2020-08-11,41.31,42.76,41.25,41.65,258851916
2020-08-12,41.37,41.74,40.76,41.45,115746918
2020-08-13,41.82,42.17,40.89,41.31,124222028
2020-08-14,41.0,43.1,40.91,41.85,477423712
2020-08-17,41.8,42.92,41.43,42.51,181459527
2020-08-18,42.17,43.68,41.97,43.45,173422607
2020-08-19,43.45,43.56,42.89,43.17,118437308
2020-08-20,42.5,43.83,42.31,43.26,158466087
2020-08-21,43.58,44.2,42.66,42.89,134823267
2020-08-24,43.36,43.78,42.81,42.95,90938888
2020-08-25,43.2,43.27,42.15,42.4,105544838
2020-08-26,42.5,42.78,42.22,42.5,79571638
2020-08-27,42.55,43.02,42.3,42.69,95497158
2020-08-28,42.97,43.8,42.31,42.42,152120167
2020-08-31,42.65,43.02,41.0,41.3,157461387
2020-09-01,41.39,43.27,41.2,42.87,140728477
2020-09-02,43.01,44.17,42.71,43.87,117393408
2020-09-03,44.25,44.37,43.59,43.81,102142888
2020-09-04,42.81,43.4,41.9,42.13,105306738
2020-09-07,42.37,42.84,41.85,42.25,96284058
2020-09-08,42.58,42.58,40.26,40.51,116373698
2020-09-09,39.88,42.02,38.65,41.74,319998745
2020-09-10,42.4,42.59,40.11,40.8,229207826
2020-09-11,40.88,41.27,40.25,40.75,136871267
2020-09-14,41.0,41.41,40.22,40.47,123311208
2020-09-15,40.7,41.06,40.36,40.53,91327488
2020-09-16,40.65,41.0,40.27,40.46,99874118
2020-09-17,40.2,40.75,39.32,39.87,148080217
2020-09-18,40.21,40.57,39.34,39.55,168422437
2020-09-21,39.6,39.92,37.1,37.34,141387607
2020-09-22,37.4,37.85,35.82,37.42,220130266
2020-09-23,37.7,37.8,35.65,36.13,169845997
2020-09-24,35.68,35.73,34.28,34.39,124958398
2020-09-25,34.8,35.56,34.42,35.21,122425758
2020-09-28,36.0,36.5,35.57,36.1,122704778
2020-09-29,36.5,37.18,36.17,37.01,178917187
2020-09-30,37.11,37.15,35.8,35.98,129637838
2020-10-01,36.43,37.03,36.32,36.5,95551228
2020-10-05,37.01,38.55,36.95,38.23,195906347
2020-10-06,38.68,38.73,37.31,37.74,142863757
2020-10-07,37.6,37.93,37.0,37.11,96941238
2020-10-08,37.45,38.3,37.17,37.37,141111687
2020-10-09,37.61,38.7,36.71,36.95,220065876
2020-10-12,37.35,37.72,36.25,37.11,157568607
2020-10-13,37.2,37.63,36.67,36.84,119025638
2020-10-14,37.04,37.73,36.96,37.56,148921877
2020-10-15,38.1,38.86,37.15,37.39,316510225
2020-10-16,37.71,39.59,37.52,39.39,288555265
2020-10-19,39.76,40.0,39.18,39.55,147299937
2020-10-20,39.2,39.74,38.96,39.24,109496818
2020-10-21,39.63,40.8,39.44,40.41,263519576
2020-10-22,40.19,41.36,40.01,40.97,208884216
2020-10-23,41.3,42.6,41.22,42.35,285888495
2020-10-26,42.34,42.34,40.42,40.84,166087797
2020-10-27,40.87,41.69,40.34,41.1,160621707
2020-10-28,41.15,41.82,40.05,40.23,169657547
2020-10-29,39.95,40.5,39.53,40.14,138604097
2020-10-30,40.27,41.29,39.52,41.06,180210507
2020-11-02,41.0,41.25,39.87,40.29,131431088
2020-11-03,40.75,41.22,40.45,40.69,122580338
2020-11-04,40.89,41.51,40.14,40.39,136143657
2020-11-05,41.2,42.83,40.92,42.55,265177556
2020-11-06,42.45,43.29,42.27,42.65,173981927
2020-11-09,43.3,43.99,42.74,43.83,158308617
2020-11-10,44.0,45.33,43.56,44.19,262002396
2020-11-11,44.19,47.74,43.96,47.4,368618324
2020-11-12,47.2,47.99,46.63,47.32,234936846
2020-11-13,47.09,48.84,46.5,48.66,234181866
2020-11-14,49.66,49.95,48.7,49.22,78373998
2020-11-17,50.6,53.1,50.17,52.27,642845980
2020-11-18,51.8,52.38,51.07,51.72,174815127
2020-11-19,51.19,53.57,51.0,52.36,201379976
2020-11-20,52.6,54.17,52.1,53.29,266859996
2020-11-23,53.8,54.6,53.64,54.31,170254247
2020-11-24,54.8,55.05,54.14,54.83,130291258
2020-11-25,55.1,55.87,53.95,54.13,176809887
2020-11-26,54.6,57.11,54.13,56.84,225701846
2020-11-27,57.0,58.24,56.31,57.74,462912473
2020-12-01,59.2,59.2,57.7,58.58,147391087
2020-12-02,58.57,60.76,58.41,60.44,249970846
2020-12-03,60.9,62.48,60.8,62.09,247756516
