date,open,high,low,close,volume
2020-01-13,779.9,788.7,775.05,785.85,1393509
2020-01-14,785.85,797.8,783.7,796.25,1628535
2020-01-15,796.15,803.65,788.5,795.15,1759644
2020-01-16,793.0,795.7,781.1,782.85,1110008
2020-01-17,783.5,786.75,775.5,778.45,989312
2020-01-20,778.5,785.45,774.55,778.2,1620105
2020-01-21,777.25,783.4,775.0,778.9,976954
2020-01-22,780.0,790.45,776.2,778.75,1192201
2020-01-23,777.25,780.45,766.9,768.95,2018777
2020-01-24,765.1,788.75,763.3,787.3,2364265
2020-01-27,786.0,796.25,779.65,791.5,1175606
2020-01-28,792.5,795.75,784.6,794.25,1506685
2020-01-29,796.9,807.2,793.55,804.15,2565136
2020-01-30,805.6,807.95,784.0,791.35,2493688
2020-01-31,796.85,802.5,783.0,796.6,3081521
2020-02-01,796.95,812.0,765.7,807.55,6476968
2020-02-03,808.0,818.7,790.5,793.15,3383074
2020-02-04,794.3,813.0,794.3,811.1,1779834
2020-02-05,810.0,816.0,807.0,814.05,1613898
2020-02-06,812.7,825.95,810.05,817.7,1553656
2020-02-07,817.7,825.45,814.25,824.45,1397438
2020-02-10,827.0,827.1,811.5,813.65,1098971
2020-02-11,813.0,821.85,811.05,819.95,1143705
2020-02-12,820.0,826.45,816.8,821.5,1394424
2020-02-13,822.8,830.0,814.35,828.0,1737974
2020-02-14,827.0,838.0,825.05,834.15,2143044
2020-02-17,835.95,837.0,827.45,833.25,793328
2020-02-18,825.35,840.0,825.35,838.8,1507814
2020-02-19,839.0,844.85,836.05,840.9,881874
2020-02-20,840.15,845.9,826.95,829.6,1066232
2020-02-24,828.95,843.9,815.75,820.1,2917544
2020-02-25,822.0,826.8,809.05,822.1,2479975
2020-02-26,820.0,825.5,808.2,811.45,2212784
2020-02-27,807.0,819.7,800.2,809.15,1907768
2020-02-28,789.8,808.0,732.05,744.4,5959364
2020-03-02,742.0,754.45,734.4,744.55,3784522
2020-03-03,750.0,757.65,742.1,752.3,2168900
2020-03-04,754.0,774.85,748.0,771.3,2685540
2020-03-05,769.95,784.0,752.35,756.1,2126955
2020-03-06,746.1,749.75,731.4,740.4,2004893
2020-03-09,715.0,730.0,696.55,704.8,3429034
2020-03-11,681.0,713.9,666.0,708.55,4626235
2020-03-12,676.0,690.0,637.1,649.85,3796969
2020-03-13,603.25,670.0,525.9,655.95,4553639
2020-03-16,634.8,634.8,591.0,603.4,6499358
2020-03-17,600.0,617.95,583.3,595.45,3333751
2020-03-18,600.0,611.25,570.65,579.65,3548532
2020-03-19,549.65,577.65,523.0,530.0,4932164
2020-03-20,525.1,595.45,525.1,576.35,6316078
2020-03-23,540.0,542.0,471.4,487.2,2912769
2020-03-24,487.0,533.95,487.0,503.5,4082147
2020-03-25,509.0,542.85,507.05,526.7,3664272
2020-03-26,539.35,564.9,513.0,515.2,5979874
2020-03-27,525.0,538.8,498.0,504.1,4672189
2020-03-30,494.0,532.35,485.65,526.8,4138338
2020-03-31,537.0,575.25,527.85,565.5,3652957
2020-04-01,560.0,560.3,510.0,511.2,4114437
2020-04-03,513.75,533.15,510.1,520.9,5826215
2020-04-07,536.5,557.65,535.75,549.85,3532484
2020-04-08,539.95,569.8,537.0,558.9,4113059
2020-04-09,570.0,582.7,537.55,545.25,5917546
2020-04-13,551.0,551.0,521.75,526.85,3822647
2020-04-15,528.0,548.6,528.0,538.65,6316300
2020-04-16,527.0,530.0,508.35,517.65,7001494
2020-04-17,529.1,532.0,500.0,509.85,10839905
2020-04-20,517.95,531.9,512.0,524.85,4549099
2020-04-21,511.0,520.0,505.9,512.95,2950307
2020-04-22,512.0,521.9,507.05,518.3,2268503
2020-04-23,519.0,527.85,509.3,523.7,6096448
2020-04-24,522.0,532.6,502.1,503.45,4817932
2020-04-27,511.7,519.0,506.5,511.7,4032708
2020-04-28,518.0,528.5,515.55,520.4,4972775
2020-04-29,525.95,536.9,522.1,528.7,6362006
2020-04-30,541.0,552.9,532.35,546.25,8932244
2020-05-04,515.0,519.75,498.0,502.45,14814583
2020-05-05,506.0,514.0,498.2,499.95,5717728
2020-05-06,503.75,509.1,490.0,506.85,3781586
2020-05-07,508.0,525.85,506.35,516.35,6799899
2020-05-08,526.9,538.6,519.2,536.2,6016245
2020-05-11,541.5,543.8,527.2,530.2,4272574
2020-05-12,525.0,539.5,525.0,533.25,5692069
2020-05-13,542.0,549.75,531.4,544.75,3296409
2020-05-14,532.4,535.0,513.95,515.7,6148509
2020-05-15,520.0,520.0,507.4,510.55,3628560
2020-05-18,511.5,515.0,501.5,504.05,3283983
2020-05-19,510.0,519.7,503.3,512.6,3041594
2020-05-20,515.0,524.8,510.7,519.2,2772990
2020-05-21,519.95,521.5,510.05,520.05,2540109
2020-05-22,517.1,531.0,515.1,529.65,4254552
2020-05-26,533.0,540.75,518.85,520.45,2719798
2020-05-27,521.65,526.0,512.05,523.75,2265985
2020-05-28,528.0,531.85,517.15,529.7,3387687
2020-05-29,529.9,535.65,524.45,530.45,4081553
2020-06-01,538.5,554.8,537.05,543.55,4914055
2020-06-02,543.6,548.35,538.0,547.5,3879118
2020-06-03,554.0,565.5,550.0,553.25,4942025
2020-06-04,557.0,585.0,555.65,582.1,10915377
2020-06-05,588.0,593.55,575.0,579.85,6207097
2020-06-08,585.8,599.45,580.1,590.0,4791171
2020-06-09,594.0,605.35,585.0,586.2,5665593
2020-06-10,591.5,596.9,582.5,590.5,3439145
2020-06-11,591.0,591.0,564.75,571.85,3378491
2020-06-12,550.0,561.9,550.0,554.7,3603893
2020-06-15,557.0,560.5,543.4,548.8,3944764
2020-06-16,556.95,556.95,531.15,533.3,4262601
2020-06-17,531.0,545.0,528.4,535.55,6139354
2020-06-18,535.05,540.0,531.0,535.9,2658699
2020-06-19,538.5,542.95,531.9,538.85,5570402
2020-06-22,541.9,553.25,538.3,548.5,4352631
2020-06-23,548.0,560.1,544.55,558.8,4438916
2020-06-24,558.8,566.0,554.4,560.95,3500487
