date,open,high,low,close,volume
2020-01-14,9.52,9.9,9.52,9.84,39159
2020-01-15,9.68,10.33,9.56,10.24,90949
2020-01-16,9.93,10.56,9.93,10.51,83799
2020-01-17,10.56,10.98,10.4,10.57,82489
2020-01-20,10.21,10.8,10.21,10.37,44699
2020-01-21,10.4,10.7,10.4,10.51,34669
2020-01-22,10.71,11.03,10.71,10.76,179329
2020-01-23,10.76,10.76,10.75,10.76,14619
2020-01-24,10.42,11.0,10.35,10.75,41109
2020-01-27,10.4,10.8,10.4,10.61,17949
2020-01-28,10.61,11.14,10.61,11.13,221399
2020-01-29,10.61,11.59,10.61,11.01,52399
2020-01-30,10.86,11.56,10.86,11.54,118089
2020-01-31,12.09,12.09,11.01,11.34,27709
2020-02-01,11.34,11.85,11.1,11.26,61779
2020-02-03,10.71,11.67,10.71,10.93,28999
2020-02-04,10.75,11.28,10.7,11.05,19049
2020-02-05,11.0,11.18,10.9,11.18,18299
2020-02-06,11.29,11.65,11.29,11.61,45269
2020-02-07,11.82,11.82,11.1,11.43,47689
2020-02-10,11.52,12.0,11.4,11.93,90009
2020-02-11,12.48,12.48,12.01,12.41,43979
2020-02-12,12.11,12.88,12.11,12.63,93919
2020-02-13,12.8,12.95,12.23,12.4,66229
2020-02-14,13.0,13.0,12.28,12.5,98659
2020-02-17,12.4,12.78,12.4,12.5,39579
2020-02-18,12.25,12.53,12.25,12.5,93049
2020-02-19,12.31,12.58,12.31,12.43,73039
2020-02-20,12.21,12.99,12.21,12.9,127129
2020-02-24,13.5,13.5,12.4,12.48,27629
2020-02-25,12.77,13.05,12.46,12.98,287199
2020-02-26,13.2,13.2,12.58,12.6,56849
2020-02-27,12.52,12.65,12.29,12.41,66509
2020-02-28,12.15,12.5,12.03,12.23,37859
2020-03-02,12.2,12.4,12.2,12.21,36889
2020-03-03,12.4,12.59,12.13,12.22,22149
2020-03-04,12.11,12.2,12.0,12.06,26329
2020-03-05,12.06,12.06,11.61,11.87,31299
2020-03-06,11.87,12.0,11.28,11.61,37789
2020-03-09,11.11,11.55,11.03,11.05,108739
2020-03-11,11.02,11.02,10.5,10.53,300169
2020-03-12,10.6,10.6,10.0,10.0,196259
2020-03-13,9.51,10.25,9.5,9.59,92629
2020-03-16,9.6,9.61,9.14,9.38,44479
2020-03-17,8.96,9.5,8.96,9.2,49449
2020-03-18,8.78,9.3,8.75,8.75,62279
2020-03-19,8.31,9.17,8.31,8.53,15319
2020-03-20,8.94,8.95,8.94,8.95,64669
2020-03-23,9.4,9.4,8.51,8.54,102809
2020-03-24,8.96,8.96,8.54,8.95,33439
2020-03-25,9.06,9.39,9.06,9.32,55359
2020-03-26,9.45,9.79,9.3,9.41,51919
2020-03-27,9.3,9.88,9.3,9.79,32629
2020-03-30,10.17,10.19,9.9,9.99,148579
2020-03-31,9.5,9.9,9.5,9.5,66809
2020-04-01,9.26,9.44,9.03,9.03,84549
2020-04-03,8.6,8.6,8.58,8.58,14089
2020-04-07,8.15,8.15,8.15,8.15,21969
2020-04-08,7.75,8.49,7.75,7.75,121459
2020-04-09,7.4,8.28,7.2,8.02,271759
2020-04-13,7.8,8.55,7.8,8.32,22709
2020-04-15,8.5,8.65,7.86,8.18,18939
2020-04-16,8.95,8.95,7.51,8.44,10579
2020-04-17,8.95,9.28,8.05,9.17,66819
2020-04-20,9.87,9.87,9.18,9.61,28299
2020-04-21,8.71,9.89,8.71,9.6,6809
2020-04-22,9.8,9.8,9.01,9.5,5459
2020-04-23,9.6,10.0,9.15,9.56,19959
2020-04-24,9.73,9.96,9.23,9.59,18959
2020-04-27,9.95,9.95,9.36,9.62,7379
2020-04-28,9.95,9.95,9.62,9.75,2379
2020-04-29,9.88,9.88,9.55,9.67,16439
2020-04-30,10.1,10.1,9.57,9.71,18149
2020-05-04,9.2,9.8,8.81,9.48,14649
2020-05-05,8.95,9.9,8.95,9.51,20489
2020-05-06,9.74,9.78,9.26,9.57,255999
2020-05-07,9.54,9.75,9.53,9.53,1589
2020-05-08,9.53,9.8,9.5,9.56,8609
2020-05-11,9.5,10.17,9.4,9.98,58349
2020-05-12,10.4,10.4,9.53,9.75,72309
2020-05-13,9.3,9.94,9.3,9.66,36079
2020-05-14,9.7,9.9,9.53,9.58,15479
2020-05-15,9.98,9.98,9.1,9.56,17929
2020-05-18,9.84,9.84,9.32,9.4,26429
2020-05-19,9.75,9.88,9.11,9.63,11469
2020-05-20,10.0,10.0,9.28,9.73,16079
2020-05-21,9.9,9.9,9.55,9.78,10899
2020-05-22,9.95,10.06,9.52,9.63,16769
2020-05-26,9.88,9.98,9.44,9.6,4579
2020-05-27,9.91,10.2,9.36,9.98,49709
2020-05-28,10.91,10.97,10.81,10.97,121729
2020-05-29,11.65,11.65,10.6,10.64,202519
2020-06-01,11.1,11.1,9.93,10.44,122129
2020-06-02,11.27,11.27,10.22,10.41,66559
2020-06-03,10.45,11.4,10.23,11.19,122629
2020-06-04,11.6,11.6,10.8,11.19,36389
2020-06-05,11.5,11.99,10.98,11.47,153349
2020-06-08,11.6,12.5,11.2,11.67,157209
2020-06-09,11.71,12.0,11.32,11.36,70359
2020-06-10,11.56,11.7,11.09,11.58,63509
2020-06-11,11.8,11.8,10.77,11.37,66899
2020-06-12,10.55,11.65,10.55,11.43,22339
2020-06-15,12.3,12.3,11.0,11.4,34879
2020-06-16,11.26,11.94,11.06,11.78,26079
2020-06-17,11.75,12.49,10.5,11.45,92319
2020-06-18,11.13,12.0,10.93,11.8,71639
2020-06-19,11.81,12.5,11.16,12.21,57789
2020-06-22,12.5,13.75,11.86,13.45,291429
2020-06-23,13.41,13.9,12.76,13.03,175379
2020-06-24,13.39,13.39,12.71,13.05,83119
2020-06-25,12.92,13.3,11.8,12.6,287539
2020-06-26,13.3,13.48,12.15,13.34,74739
2020-06-29,13.2,13.7,13.05,13.56,159559
2020-06-30,13.45,14.0,13.07,13.62,56109
2020-07-01,14.99,14.99,13.24,13.5,57569
2020-07-02,13.9,14.28,13.43,13.67,92839
2020-07-03,13.6,14.1,13.55,13.66,40079
2020-07-06,13.76,16.39,13.12,15.92,1234699
2020-07-07,15.92,15.92,14.3,14.69,595319
2020-07-08,14.33,14.8,14.3,14.34,125279
2020-07-09,14.55,14.55,13.82,14.2,78569
2020-07-10,14.44,14.6,13.53,14.05,52099
2020-07-13,14.05,14.25,13.65,13.85,55969
2020-07-14,14.05,14.05,13.23,13.5,44779
2020-07-15,13.51,14.0,13.3,13.52,82799
2020-07-16,13.51,13.95,13.38,13.43,30069
2020-07-17,13.9,14.55,13.32,13.7,110829
2020-07-20,13.3,14.36,13.3,14.01,46889
2020-07-21,14.03,15.9,14.01,14.68,559819
2020-07-22,15.09,15.09,14.11,14.44,89249
2020-07-23,14.86,15.19,14.3,14.62,130199
2020-07-24,14.0,15.0,14.0,14.9,81759
2020-07-27,14.65,14.65,13.2,13.96,101119
2020-07-28,14.16,14.19,13.51,13.77,29389
2020-07-29,13.73,14.8,13.56,14.62,79549
2020-07-30,14.66,15.01,14.31,14.52,288879
2020-07-31,14.96,14.96,14.31,14.54,237319
2020-08-03,14.45,15.07,13.8,14.68,14509
2020-08-04,14.34,14.84,14.31,14.56,72429
2020-08-05,14.35,14.96,14.31,14.63,20399
2020-08-06,14.85,15.8,14.41,15.33,190589
2020-08-07,14.92,17.48,14.91,16.25,277769
2020-08-10,16.69,19.49,16.23,19.07,857339
2020-08-11,19.04,20.05,18.22,19.3,554769
2020-08-12,19.5,19.5,17.64,18.59,196959
2020-08-13,18.59,19.0,17.82,18.38,143839
2020-08-14,18.03,19.16,18.03,18.07,172389
2020-08-17,18.69,18.69,17.03,18.03,75199
2020-08-18,18.0,18.0,17.04,17.95,115319
2020-08-19,17.89,18.65,17.71,18.42,64529
2020-08-20,19.9,21.7,19.8,20.1,1531949
2020-08-21,20.5,21.69,19.64,19.96,598519
2020-08-24,20.13,20.98,18.71,19.18,315659
2020-08-25,19.7,19.7,18.66,18.88,99019
2020-08-26,19.0,19.38,18.66,18.81,111359
2020-08-27,19.0,19.01,17.33,17.93,151989
2020-08-28,17.93,18.85,17.7,18.32,193289
2020-08-31,18.35,20.34,18.2,18.87,955179
2020-09-01,19.1,19.8,18.4,18.75,192669
2020-09-02,18.78,22.5,18.77,21.87,2494219
2020-09-03,21.99,23.35,21.51,22.04,1476459
2020-09-04,21.5,23.94,20.5,23.19,1049519
2020-09-07,23.19,25.0,22.7,24.38,1243799
2020-09-08,24.2,25.0,23.79,24.04,375209
2020-09-09,23.5,24.99,23.5,24.12,277829
2020-09-10,24.4,28.7,24.14,27.59,1683589
2020-09-11,28.4,31.8,27.85,30.51,2610619
2020-09-14,30.89,31.91,27.7,29.72,1186759
2020-09-15,28.49,28.49,24.35,25.23,2714309
2020-09-16,25.69,28.2,25.3,27.18,1551879
2020-09-17,27.28,28.27,26.31,26.69,656309
2020-09-18,27.08,27.26,25.5,25.79,517889
2020-09-21,26.0,26.7,23.36,24.01,479039
2020-09-22,24.3,24.96,20.26,21.13,1008229
2020-09-23,21.99,24.16,21.73,23.71,808889
2020-09-24,23.45,23.5,22.52,23.04,378319
2020-09-25,23.7,24.8,23.43,24.6,457889
2020-09-28,25.99,29.51,25.12,29.51,1957519
2020-09-29,30.34,35.41,30.32,33.54,7886399
2020-09-30,33.9,34.89,30.5,30.99,2129819
2020-10-01,31.4,33.6,31.3,32.01,1293559
2020-10-05,32.4,32.5,29.0,30.18,1072409
2020-10-06,30.62,31.86,30.41,30.69,453469
2020-10-07,30.3,30.68,29.19,29.39,425919
2020-10-08,30.2,30.3,28.01,28.48,531569
2020-10-09,28.53,29.03,26.6,27.51,393239
2020-10-12,27.61,30.26,27.61,29.77,588279
2020-10-13,30.5,30.99,28.04,28.51,678539
2020-10-14,28.77,29.7,27.34,28.65,359929
2020-10-15,29.05,29.3,25.96,26.64,385039
2020-10-16,26.64,27.57,26.32,27.33,325099
2020-10-19,27.6,28.5,26.24,27.09,220759
2020-10-20,27.09,27.7,26.62,26.8,134419
2020-10-21,26.91,26.91,26.01,26.44,230249
2020-10-22,26.11,26.78,25.04,25.77,303739
2020-10-23,25.77,27.54,25.5,26.73,382509
2020-10-26,27.26,27.5,25.62,26.4,164189
2020-10-27,26.7,26.7,25.6,26.08,140189
2020-10-28,25.52,26.2,25.52,25.88,97659
2020-10-29,25.2,26.99,25.2,25.72,186739
2020-10-30,26.26,26.39,25.39,25.56,114339
2020-11-02,26.14,26.14,23.99,24.57,252929
2020-11-03,25.25,25.38,23.64,24.1,195719
2020-11-04,23.88,24.98,23.88,23.98,173379
2020-11-05,24.25,25.19,23.9,24.81,198699
2020-11-06,25.0,27.29,24.43,27.25,610319
2020-11-09,28.0,29.45,27.3,28.71,777799
2020-11-10,28.99,30.2,27.1,27.37,358209
2020-11-11,27.42,28.86,26.71,27.3,153289
2020-11-12,27.51,28.0,27.2,27.38,100959
2020-11-13,28.47,28.47,27.0,27.44,77909
2020-11-14,28.4,28.4,26.84,27.63,51269
2020-11-17,27.63,28.1,26.7,27.24,118149
2020-11-18,27.24,27.48,26.36,26.7,149559
