date,open,high,low,close,volume
2020-01-13,1155.0,1162.45,1148.5,1158.95,1135936
2020-01-14,1162.0,1168.65,1157.15,1167.1,1324743
2020-01-15,1173.5,1191.5,1170.6,1184.85,2665214
2020-01-16,1184.85,1195.5,1174.1,1192.9,1644541
2020-01-17,1194.8,1196.85,1184.0,1188.75,1034774
2020-01-20,1190.0,1195.0,1179.1,1187.85,1139858
2020-01-21,1183.45,1183.9,1161.0,1176.2,925998
2020-01-22,1181.8,1185.95,1172.0,1177.65,902471
2020-01-23,1176.0,1206.65,1175.0,1204.1,2101116
2020-01-24,1208.9,1230.0,1206.05,1227.85,2841654
2020-01-27,1228.0,1240.35,1208.85,1213.8,2332864
2020-01-28,1215.0,1223.5,1188.3,1195.0,1703068
2020-01-29,1198.5,1207.9,1181.6,1186.2,1380266
2020-01-30,1191.0,1191.5,1176.2,1179.25,1859283
2020-01-31,1185.5,1194.8,1180.0,1187.75,1809101
2020-02-01,1186.85,1218.0,1165.6,1173.25,1557085
2020-02-03,1170.0,1192.3,1162.55,1186.4,3595537
2020-02-04,1195.0,1287.8,1185.0,1275.8,7875930
2020-02-05,1284.75,1297.7,1255.0,1279.85,5459816
2020-02-06,1284.95,1294.2,1252.05,1259.3,2463971
2020-02-07,1264.05,1279.5,1258.4,1275.0,2277867
2020-02-10,1270.9,1275.0,1253.35,1257.2,1021943
2020-02-11,1263.0,1278.9,1258.55,1270.7,1351413
2020-02-12,1276.95,1288.95,1265.85,1269.0,1195516
2020-02-13,1270.0,1308.0,1270.0,1298.1,4458645
2020-02-14,1306.95,1310.7,1290.0,1293.45,1416212
2020-02-17,1293.05,1321.6,1288.35,1316.05,2347399
2020-02-18,1314.0,1318.9,1301.25,1311.0,1761012
2020-02-19,1317.0,1332.9,1312.05,1329.6,1445826
2020-02-20,1330.0,1341.05,1320.0,1322.85,1513648
2020-02-24,1310.0,1317.8,1273.85,1279.9,1341317
2020-02-25,1285.0,1286.75,1256.8,1260.1,1358874
2020-02-26,1256.0,1267.0,1245.1,1255.1,1506693
2020-02-27,1250.0,1286.0,1250.0,1277.9,5569014
2020-02-28,1255.0,1270.7,1235.65,1254.5,2728105
2020-03-02,1275.0,1294.0,1228.0,1244.15,2773593
2020-03-03,1248.2,1272.0,1225.0,1247.0,2660100
2020-03-04,1251.95,1265.65,1217.3,1250.95,3007393
2020-03-05,1253.5,1265.15,1242.2,1259.15,1555538
2020-03-06,1229.0,1246.95,1219.7,1242.6,1678642
2020-03-09,1225.0,1241.85,1175.0,1203.45,2285790
2020-03-11,1197.95,1213.35,1177.55,1187.65,2314388
2020-03-12,1150.0,1153.95,1064.65,1076.75,3609158
2020-03-13,1055.6,1134.7,946.05,1084.35,4337351
2020-03-16,1049.95,1049.95,983.0,1011.35,3443945
2020-03-17,1005.0,1038.0,977.8,1001.0,2985174
2020-03-18,1028.0,1028.0,921.0,930.75,5508581
2020-03-19,879.95,924.4,839.75,903.5,4838553
2020-03-20,906.1,934.0,866.0,904.9,4407659
2020-03-23,839.65,841.05,771.25,800.95,4960949
2020-03-24,805.25,857.85,720.9,816.1,5404961
2020-03-25,799.0,897.7,784.8,880.8,3564864
2020-03-26,895.0,947.8,872.3,928.3,3635282
2020-03-27,960.0,965.0,896.0,937.05,2999839
2020-03-30,861.0,959.0,861.0,943.65,2901443
2020-03-31,967.0,971.7,923.75,933.7,3811980
2020-04-01,929.7,950.0,902.0,936.05,2935941
2020-04-03,930.0,930.05,855.95,862.8,4951957
