date,open,high,low,close,volume
2020-01-14,950.0,954.0,940.65,942.65,99086
2020-01-15,942.55,951.15,935.13,949.1,218450
2020-01-16,953.0,983.98,951.5,962.2,1110982
2020-01-17,968.2,1014.0,964.35,1003.18,2238044
2020-01-20,1003.18,1036.83,992.78,1013.85,1779728
2020-01-21,1012.5,1028.43,996.0,1010.08,1040806
2020-01-22,1015.0,1022.48,996.05,1000.48,832380
2020-01-23,1001.98,1017.78,1000.5,1010.25,352494
2020-01-24,1014.5,1031.0,1012.5,1018.48,539668
2020-01-27,1018.48,1027.98,1002.75,1013.58,487088
2020-01-28,1000.0,1000.0,950.3,958.2,3587828
2020-01-29,953.5,978.15,953.5,968.75,713352
2020-01-30,974.0,977.98,961.25,968.15,1627536
2020-01-31,974.5,976.08,960.5,965.55,335526
2020-02-01,968.48,978.0,941.08,953.73,277352
2020-02-03,953.45,958.8,943.9,953.05,212296
2020-02-04,958.05,968.25,956.0,964.38,339238
2020-02-05,970.18,1013.45,964.4,1000.63,986082
2020-02-06,990.0,1014.4,988.45,1000.7,1376464
2020-02-07,1000.5,1020.0,997.8,1010.4,455200
2020-02-10,1012.0,1014.3,993.5,1004.6,245928
2020-02-11,1007.03,1027.48,1002.03,1006.88,710024
2020-02-12,1007.5,1011.75,1000.0,1005.2,410712
2020-02-13,1001.5,1044.95,990.0,1040.1,1178252
2020-02-14,1046.58,1060.0,1032.0,1056.25,1273910
2020-02-17,1057.5,1077.5,1051.13,1071.68,760822
2020-02-18,1071.5,1079.0,1056.7,1065.95,336606
2020-02-19,1070.95,1143.63,1067.55,1121.08,1619504
2020-02-20,1120.0,1129.5,1115.03,1119.48,532286
2020-02-24,1119.48,1119.7,1081.4,1085.48,351922
2020-02-25,1086.0,1114.93,1082.5,1104.48,492354
2020-02-26,1109.85,1142.0,1100.8,1125.55,942724
2020-02-27,1128.4,1132.5,1070.0,1084.48,967108
2020-02-28,1081.5,1109.2,1061.6,1075.15,1160880
2020-03-02,1081.0,1091.6,1055.13,1063.63,568042
2020-03-03,1063.63,1078.43,1045.25,1072.88,789004
2020-03-04,1077.88,1102.2,1067.88,1091.58,1279670
2020-03-05,1086.58,1122.5,1084.0,1106.98,1202126
2020-03-06,1097.5,1113.88,1080.03,1098.05,1002972
2020-03-09,1098.05,1098.75,1010.05,1049.83,923776
2020-03-11,1049.83,1080.68,1025.5,1069.45,864766
2020-03-12,1047.5,1060.0,978.4,993.95,666950
2020-03-13,905.0,1070.43,895.0,989.25,1318992
2020-03-16,974.85,1012.0,934.18,980.08,1358506
2020-03-17,977.5,1013.28,965.78,993.0,787846
2020-03-18,989.5,999.95,901.53,907.63,1059744
2020-03-19,890.0,916.2,791.63,886.05,767458
2020-03-20,907.5,968.23,893.0,946.95,1167152
2020-03-23,853.5,916.85,853.5,898.08,612410
2020-03-24,915.48,960.0,867.3,909.18,635676
2020-03-25,888.55,911.88,855.75,889.63,668898
2020-03-26,884.98,924.8,880.6,907.68,577148
