date,open,high,low,close,volume
2020-01-13,551.0,557.9,541.0,545.45,79458
2020-01-14,547.1,565.0,542.2,561.15,152033
2020-01-15,561.15,586.5,555.0,583.95,568486
2020-01-16,584.9,600.0,584.0,591.5,323010
2020-01-17,595.8,599.95,565.65,591.4,179399
2020-01-20,595.0,611.95,594.45,600.3,460984
2020-01-21,599.25,603.4,588.35,594.3,217977
2020-01-22,603.95,605.0,582.2,586.2,71955
2020-01-23,590.05,594.25,582.3,589.5,82621
2020-01-24,591.8,596.0,576.1,583.3,128325
2020-01-27,577.0,584.25,570.0,572.75,71115
2020-01-28,573.05,597.8,568.0,587.95,283284
2020-01-29,591.4,600.0,578.0,582.25,134349
2020-01-30,586.2,594.95,578.85,582.0,88967
2020-01-31,586.0,595.0,580.0,590.8,108209
2020-02-01,589.4,594.55,564.0,574.65,85438
2020-02-03,580.1,596.75,579.85,594.05,336150
2020-02-04,596.15,607.0,595.0,600.75,223685
2020-02-05,601.75,602.8,585.0,592.6,181054
2020-02-06,596.0,599.0,590.1,593.1,160852
2020-02-07,620.0,678.4,620.0,662.55,2595009
2020-02-10,665.0,701.65,642.15,695.75,1105421
2020-02-11,700.5,714.6,669.9,676.95,967825
2020-02-12,675.85,725.0,673.5,705.3,1234720
2020-02-13,708.0,742.0,702.0,734.4,875161
2020-02-14,736.6,764.0,712.6,758.3,1068329
2020-02-17,753.0,782.75,736.05,749.8,848055
2020-02-18,751.0,764.6,715.8,727.4,538830
2020-02-19,731.85,779.0,731.85,775.15,656923
2020-02-20,775.9,794.0,765.0,776.05,1076588
2020-02-24,775.9,802.95,767.1,795.95,543365
2020-02-25,792.0,804.7,760.0,764.1,464607
2020-02-26,755.0,762.0,735.0,738.0,580129
2020-02-27,733.1,748.7,728.0,734.1,283297
2020-02-28,714.9,760.0,680.0,737.2,741077
2020-03-02,750.5,778.0,723.15,731.8,370025
2020-03-03,734.95,754.0,720.0,725.95,338626
2020-03-04,735.0,736.7,673.9,683.65,752869
2020-03-05,694.95,706.7,680.0,684.85,323635
2020-03-06,660.0,699.8,649.0,693.8,416766
2020-03-09,675.0,680.0,621.25,660.35,588634
2020-03-11,664.45,698.0,645.15,659.45,349780
2020-03-12,620.0,635.0,567.0,597.15,936391
2020-03-13,530.5,650.0,530.5,600.45,876985
2020-03-16,570.0,588.0,530.0,572.0,669096
2020-03-17,566.0,580.0,525.0,536.85,560362
2020-03-18,540.0,552.05,457.0,489.0,863441
2020-03-19,451.0,483.4,422.1,470.9,1001487
2020-03-20,470.9,524.4,448.25,505.25,565163
2020-03-23,442.0,479.8,404.2,404.2,585178
