date,open,high,low,close,volume
2020-01-13,471.0,471.65,464.1,468.55,1067092
2020-01-14,468.1,474.45,465.7,471.7,911176
2020-01-15,470.95,489.95,468.2,484.2,1222665
2020-01-16,488.0,493.4,484.55,488.35,1423802
2020-01-17,490.0,499.5,481.85,485.1,2613095
2020-01-20,485.5,486.9,468.65,470.25,1227450
2020-01-21,467.85,470.35,458.75,461.4,1139830
2020-01-22,462.5,468.5,455.45,464.55,1201196
2020-01-23,464.1,469.5,459.5,464.4,1172659
2020-01-24,464.4,473.8,462.7,468.9,1446483
2020-01-27,468.9,476.85,462.85,465.1,1354540
2020-01-28,465.5,474.9,452.4,461.75,1440700
2020-01-29,464.0,471.5,461.8,469.85,989238
2020-01-30,468.25,475.8,463.6,469.5,1629705
2020-01-31,471.0,473.35,465.0,467.05,843524
2020-02-01,466.0,473.5,460.25,463.95,1128442
2020-02-03,457.0,473.8,454.6,471.3,1694927
2020-02-04,472.0,480.85,450.0,455.25,2614003
2020-02-05,456.15,483.0,456.15,463.05,4906286
2020-02-06,464.0,481.0,463.0,473.85,2689597
2020-02-07,476.2,479.95,464.75,466.2,1261340
2020-02-10,466.2,467.8,454.5,456.2,862786
2020-02-11,458.9,461.65,449.4,451.0,1022942
2020-02-12,454.8,455.2,444.4,448.05,899763
2020-02-13,450.85,451.5,441.6,444.8,895235
2020-02-14,444.8,447.55,437.1,439.2,814225
2020-02-17,436.0,440.5,428.15,430.45,1104464
2020-02-18,429.0,443.0,424.0,438.4,1737719
2020-02-19,442.95,446.7,434.55,440.7,1353692
2020-02-20,440.5,447.9,437.3,446.45,1211994
2020-02-24,446.4,448.45,436.25,438.6,1050427
2020-02-25,422.0,441.9,409.45,436.4,8613028
2020-02-26,424.8,437.8,423.55,435.3,1585956
2020-02-27,428.0,444.0,422.95,439.6,2638164
2020-02-28,421.0,441.0,418.85,435.7,2258696
2020-03-02,435.55,446.7,412.55,419.35,2266674
2020-03-03,422.0,430.0,408.5,422.15,1973306
2020-03-04,424.0,428.0,400.6,409.85,2691474
2020-03-05,413.7,417.65,406.2,413.95,1096006
2020-03-06,404.7,416.5,396.25,414.1,1049346
2020-03-09,402.15,407.75,388.35,399.7,1370754
2020-03-11,397.25,409.4,391.75,403.8,1745488
2020-03-12,387.95,395.95,366.0,388.2,1669093
2020-03-13,351.0,408.65,349.4,403.1,1617982
2020-03-16,383.5,396.3,376.55,380.65,601756
2020-03-17,380.0,400.8,372.45,385.15,1202231
2020-03-18,387.55,391.4,352.65,363.35,1727263
2020-03-19,341.0,386.55,341.0,363.2,1936414
2020-03-20,365.1,383.5,354.0,379.8,1987347
2020-03-23,345.0,370.0,306.0,331.35,1619513
2020-03-24,310.5,354.75,310.5,339.4,2368750
2020-03-25,330.0,347.85,325.15,332.5,2560659
2020-03-26,332.0,342.0,312.6,322.35,4672157
2020-03-27,328.0,333.0,298.0,303.95,3061148
2020-03-30,295.0,300.75,287.0,292.8,1633641
2020-03-31,297.0,302.9,287.05,297.55,1026802
2020-04-01,297.35,297.4,275.0,279.15,2763951
2020-04-03,275.05,277.95,251.5,252.95,3325587
2020-04-07,254.0,278.2,240.1,264.4,7046208
2020-04-08,261.1,288.0,261.0,285.9,6025235
2020-04-09,288.0,313.2,287.1,305.8,5331004
2020-04-13,307.0,307.0,287.1,289.8,2420220
2020-04-15,290.0,298.9,273.6,276.3,5152327
2020-04-16,267.1,280.0,265.2,276.2,6728570
2020-04-17,290.0,303.8,283.2,300.95,9091683
2020-04-20,321.95,321.95,303.05,307.55,7127739
2020-04-21,303.1,314.0,293.3,311.05,3939566
2020-04-22,308.0,311.45,296.2,302.55,6813699
2020-04-23,303.0,306.9,297.75,298.85,2771147
2020-04-24,298.0,302.0,289.05,297.0,4163580
2020-04-27,298.4,305.4,295.25,299.3,2658365
2020-04-28,301.0,304.75,291.35,296.3,3994864
2020-04-29,300.9,311.0,292.1,307.9,4271122
2020-04-30,313.5,334.1,311.2,328.35,8220150
2020-05-04,307.0,312.8,304.1,310.45,2608630
2020-05-05,315.0,321.9,306.0,308.35,2536054
2020-05-06,303.0,330.0,301.55,323.4,5164142
2020-05-07,321.0,328.9,316.3,320.75,3475640
2020-05-08,324.0,326.7,310.1,313.45,2425590
2020-05-11,319.3,341.4,315.0,333.8,6946548
2020-05-12,329.0,344.5,321.5,338.15,4095397
2020-05-13,348.9,360.0,342.05,344.9,4259118
2020-05-14,335.0,351.5,334.95,342.35,3315251
2020-05-15,343.55,346.0,333.6,336.1,2133151
2020-05-18,341.0,341.0,302.5,305.8,4232380
2020-05-19,311.0,313.9,301.05,303.35,3170929
2020-05-20,304.0,310.9,300.55,309.0,2697730
2020-05-21,312.05,326.95,312.05,315.8,5528411
2020-05-22,312.0,319.0,308.0,314.15,2202580
2020-05-26,316.95,324.8,310.3,322.5,3176296
2020-05-27,322.0,325.0,308.25,323.05,4252554
2020-05-28,325.0,337.4,323.05,333.1,4800722
2020-05-29,330.0,344.0,322.35,335.9,8202847
