date,open,high,low,close,volume
2020-01-14,593.2,594.9,579.2,583.55,2911251
2020-01-15,584.0,589.5,573.8,585.8,3418583
2020-01-16,587.1,591.8,582.1,588.1,1705148
2020-01-17,589.95,597.35,585.9,589.25,1813336
2020-01-20,590.0,590.85,580.55,584.6,2425644
2020-01-21,582.8,582.8,572.2,577.7,4789129
2020-01-22,582.85,582.85,553.4,562.95,7453081
2020-01-23,560.0,564.55,540.3,542.2,4531065
2020-01-24,541.0,564.5,541.0,543.3,8129236
2020-01-27,545.4,550.1,535.0,537.25,4283501
2020-01-28,538.25,548.0,533.2,536.95,4040018
2020-01-29,543.9,545.9,537.05,542.15,2181340
2020-01-30,541.95,551.35,539.1,544.15,3513648
2020-01-31,547.45,549.0,525.0,526.55,4338882
2020-02-01,528.0,533.95,498.7,503.65,2747499
2020-02-03,506.75,517.5,505.0,513.3,3009833
2020-02-04,516.95,525.95,515.0,522.6,2252932
2020-02-05,525.1,542.3,521.55,537.45,3104517
2020-02-06,537.05,545.2,533.6,536.85,2050754
2020-02-07,539.0,555.45,538.3,543.1,5701360
2020-02-10,570.3,579.6,555.7,574.1,15351335
2020-02-11,574.4,584.8,569.9,576.65,5096825
2020-02-12,578.45,583.0,570.45,573.9,3276504
2020-02-13,572.0,582.9,562.9,578.75,2902062
2020-02-14,579.6,601.4,578.1,591.65,6213075
2020-02-17,593.0,599.8,591.15,595.0,2417842
2020-02-18,592.0,592.0,574.0,585.2,2972123
2020-02-19,589.9,593.85,581.3,585.2,2843153
2020-02-20,586.0,596.25,580.7,584.35,1802964
2020-02-24,586.95,590.75,570.1,573.25,1975121
2020-02-25,573.3,577.65,562.1,566.35,2912428
2020-02-26,565.8,569.8,556.0,563.0,2885072
2020-02-27,561.55,561.55,548.85,550.85,1667580
2020-02-28,543.0,546.6,514.0,519.7,2974271
2020-03-02,527.0,541.6,509.6,514.35,1906022
2020-03-03,519.9,526.65,512.55,521.55,2499744
2020-03-04,525.0,533.6,498.1,511.6,4036653
2020-03-05,518.9,529.0,513.0,516.05,2793540
2020-03-06,499.0,516.85,491.35,513.6,3566319
2020-03-09,504.65,519.9,494.65,513.0,4466919
2020-03-11,498.55,523.45,497.6,516.95,5658847
2020-03-12,504.55,520.4,434.8,443.6,8121924
