date,open,high,low,close,volume
2019-11-06,68.55,71.15,67.55,68.7,226082900
2019-11-07,68.0,69.3,66.0,66.45,189859140
2019-11-08,65.9,72.3,64.3,68.95,413106980
2019-11-11,70.0,73.55,69.15,73.0,263947818
2019-11-13,74.4,75.3,67.1,68.2,317911123
2019-11-14,68.85,70.8,67.1,68.75,195114955
2019-11-15,69.2,70.2,68.3,68.7,129526064
2019-11-18,69.25,69.25,65.4,65.85,178150594
2019-11-19,65.0,67.25,63.05,64.15,239228500
2019-11-20,62.1,66.45,62.0,65.85,229215332
2019-11-21,66.9,66.9,63.8,64.25,133531524
2019-11-22,64.25,66.15,64.0,64.8,121791625
2019-11-25,64.95,65.5,62.3,63.75,171923335
2019-11-26,64.6,67.5,62.55,63.15,399791670
2019-11-27,68.1,69.0,65.65,68.25,254612192
2019-11-28,69.0,70.65,68.35,70.05,223021365
2019-11-29,72.0,74.0,67.55,68.3,428332393
2019-12-02,69.0,69.3,63.05,64.05,361756071
2019-12-03,64.1,65.25,59.0,59.5,297142445
2019-12-04,58.55,63.45,56.65,63.0,340845428
2019-12-05,63.0,64.0,60.85,62.1,224990595
2019-12-06,60.1,60.75,55.15,56.0,282441286
2019-12-09,56.0,58.85,53.75,56.25,314839590
2019-12-10,54.8,56.35,48.55,50.55,345518744
2019-12-11,47.25,49.4,40.75,42.8,661012673
2019-12-12,43.15,48.8,42.8,45.35,398199436
2019-12-13,45.5,47.65,45.4,46.65,201459985
2019-12-16,47.25,48.0,45.95,46.8,172273653
2019-12-17,47.4,48.2,46.85,47.6,130789036
2019-12-18,48.0,48.2,46.0,46.75,130282558
2019-12-19,46.0,51.4,44.95,49.9,307936405
2019-12-20,49.5,53.5,48.3,51.4,359647922
2019-12-23,50.75,52.3,48.7,49.65,276776855
2019-12-24,50.15,52.0,50.05,51.2,242779981
2019-12-26,51.0,51.6,48.25,48.65,216380349
2019-12-27,49.5,49.75,47.65,48.0,154956583
2019-12-30,47.9,48.95,46.65,47.35,152510288
2019-12-31,47.3,48.05,46.35,46.95,141422188
2020-01-01,46.95,47.5,46.5,46.65,102291841
2020-01-02,46.8,48.5,46.4,47.35,122242838
2020-01-03,47.35,48.25,46.85,47.1,94827592
2020-01-06,46.75,46.75,45.0,45.15,102880221
