date,open,high,low,close,volume
2020-01-10,233.43,238.9,227.53,228.21,363521
2020-01-17,230.02,233.87,223.57,230.11,1771751
2020-01-24,228.5,235.29,223.57,229.28,1778893
2020-01-31,227.38,231.38,220.84,228.11,1296321
2020-02-07,225.53,257.69,218.06,254.77,8747071
2020-02-14,256.08,274.68,244.47,259.21,6438432
2020-02-21,258.43,277.07,247.98,271.66,3645351
2020-02-28,269.26,278.73,244.08,245.44,4421128
2020-03-06,246.13,253.84,228.99,243.05,4468015
2020-03-13,224.55,241.54,189.35,221.62,5142629
2020-03-20,212.05,221.03,156.79,181.93,6840985
2020-03-27,164.02,174.9,146.01,163.14,3949272
2020-04-03,162.55,162.55,138.63,142.49,4713612
2020-04-10,148.4,149.18,142.69,145.66,2742336
2020-04-17,148.4,151.28,134.88,139.51,5167355
2020-04-24,143.47,143.52,116.42,116.96,8091072
2020-05-01,120.48,123.01,108.86,112.86,12536354
2020-05-08,111.3,112.96,94.7,104.32,12478818
2020-05-15,104.42,109.05,98.8,101.63,9755364
2020-05-22,102.71,114.42,96.56,108.52,12070553
2020-05-29,109.3,122.04,99.14,117.06,14163441
2020-06-05,124.97,139.61,120.38,135.56,19353582
2020-06-12,140.54,141.56,117.25,136.05,11306183
2020-06-19,136.1,145.08,127.11,129.95,15301688
2020-06-26,132.19,136.39,125.06,126.24,13160908
2020-07-03,125.94,130.2,120.0,120.6,6295657
2020-07-10,122.0,130.75,120.15,121.15,12651362
2020-07-17,122.2,122.5,112.5,115.15,5642575
2020-07-24,116.0,129.3,111.8,128.05,15148002
2020-07-31,128.8,130.25,121.55,124.7,5359657
2020-08-07,124.15,125.7,120.0,120.95,4744377
2020-08-14,121.0,132.8,117.0,129.25,14489771
2020-08-21,130.95,154.9,126.25,146.45,17824601
2020-08-28,153.1,153.4,143.1,143.65,11421380
2020-09-04,145.1,149.45,131.6,136.8,11187630
2020-09-11,137.3,139.8,128.6,131.55,7659845
2020-09-18,133.5,141.4,132.5,133.15,11485236
2020-09-25,134.05,134.35,120.5,128.2,8290248
2020-10-02,130.0,136.85,129.15,132.6,4570489
2020-10-09,133.4,136.45,127.75,128.7,7262165
2020-10-16,129.55,138.0,125.6,137.4,9955602
2020-10-23,138.0,178.95,138.0,164.95,81251859
2020-10-30,167.9,171.9,151.2,153.3,24074993
2020-11-06,154.65,157.5,147.05,153.1,9266089
2020-11-13,152.25,160.9,150.1,158.1,13414867
2020-11-20,158.6,162.5,154.5,159.6,7655566
2020-11-27,159.0,165.0,154.05,162.65,8148802
2020-12-04,164.4,168.0,158.35,159.75,7901185
2020-12-11,161.05,164.4,156.75,159.25,6875224
2020-12-18,159.55,167.3,158.75,160.25,10288440
2020-12-25,160.0,167.75,144.0,164.1,9054852
2021-01-01,167.0,170.35,161.1,166.5,8140228
2021-01-08,168.5,170.55,163.5,166.45,8668402
2021-01-15,168.6,182.35,165.2,176.25,15834378
2021-01-22,176.0,194.8,169.25,171.55,14660220
2021-01-29,171.65,173.2,149.0,150.1,14435148
2021-02-05,152.0,169.9,148.5,167.5,21478242
2021-02-12,170.0,172.4,162.0,166.45,21487856
2021-02-19,166.9,169.95,161.0,166.0,8277571
2021-02-26,164.8,185.0,164.7,182.9,23807574
2021-03-05,186.05,221.2,182.45,216.95,35066172
2021-03-12,218.0,223.7,214.55,218.65,9990262
2021-03-19,219.0,220.1,196.0,206.15,11971172
2021-03-26,205.9,207.85,189.5,204.05,8369634
2021-04-02,207.5,207.65,197.55,198.65,5303440
2021-04-09,198.5,198.5,185.05,189.7,11604789
2021-04-16,185.0,185.0,169.25,173.75,9884354
2021-04-23,167.0,178.4,163.1,173.5,10611964
2021-04-30,173.95,184.7,172.1,175.0,9497825
2021-05-07,175.0,184.0,171.7,176.05,9353936
2021-05-14,177.6,189.3,174.1,181.9,7491298
2021-05-21,183.0,194.2,181.5,188.5,9307488
2021-05-28,189.45,194.9,184.0,190.3,11694647
2021-06-04,190.3,208.95,185.7,204.0,22410809
2021-06-11,206.35,213.6,201.05,207.9,15237040
2021-06-18,207.85,208.85,193.8,201.6,7801284
2021-06-25,199.0,223.6,196.65,221.5,23651701
2021-07-02,223.0,224.75,212.85,214.85,11892358
2021-07-09,215.0,221.15,212.45,213.0,11341157
2021-07-16,215.0,231.65,212.25,223.55,30809227
2021-07-23,220.45,224.5,205.1,218.4,13808543
2021-07-30,215.8,234.5,213.1,224.25,29425247
2021-08-06,227.0,229.5,209.35,212.25,13424833
2021-08-13,213.1,215.4,196.85,206.6,12627987
2021-08-20,206.55,209.45,198.5,200.05,7464710
2021-08-27,202.0,203.85,189.35,202.35,8795928
2021-09-03,203.45,221.95,203.4,219.4,15861890
2021-09-10,220.5,221.3,212.55,214.4,5945009
2021-09-17,215.0,222.75,210.25,212.1,11258789
2021-09-24,210.25,229.9,198.0,223.85,26468240
2021-10-01,226.1,251.0,219.25,244.25,37068931
2021-10-08,245.9,264.0,234.45,256.65,36491587
2021-10-15,258.9,275.6,253.7,264.25,20958657
2021-10-22,264.0,276.15,243.0,252.75,21962178
2021-10-29,254.1,264.5,242.15,263.0,20972004
2021-11-05,264.65,299.9,261.1,289.8,35982556
2021-11-12,292.15,310.0,285.1,298.2,25899880
2021-11-19,299.75,301.5,277.1,284.65,15573285
2021-11-26,280.5,282.85,257.0,259.55,22985590
2021-12-03,259.4,269.7,245.95,264.5,10688672
2021-12-10,264.0,279.0,255.2,271.65,9433865
2021-12-17,274.25,293.0,263.9,269.4,40678556
2021-12-24,265.0,282.8,253.05,272.7,16187663
2021-12-31,269.0,277.0,257.15,272.25,11589843
2022-01-07,272.0,297.9,269.15,292.05,21494923
2022-01-14,293.0,312.8,290.75,308.0,21726776
2022-01-21,309.2,318.7,305.9,310.4,15419526
2022-01-28,301.55,304.7,273.15,287.75,18294494
2022-02-04,291.15,310.5,288.0,295.5,17861909
2022-02-11,295.0,305.35,284.0,287.1,15657116
2022-02-18,283.6,283.6,263.3,272.35,11656822
2022-02-25,270.0,274.2,250.0,265.2,13126272
2022-03-04,263.7,276.95,256.25,264.35,12174731
2022-03-11,259.0,288.0,252.0,279.35,12306175
2022-03-18,282.0,289.7,268.8,285.25,7134779
2022-03-25,287.0,299.9,281.2,293.85,11461383
2022-04-01,294.0,305.55,288.1,300.0,13240052
2022-04-08,301.6,322.0,295.5,308.4,21336556
2022-04-15,308.2,312.7,291.0,294.2,6694191
2022-04-22,292.0,300.8,283.0,285.05,10790823
2022-04-29,282.15,291.45,276.65,285.5,9120762
2022-05-06,284.4,288.3,261.85,270.35,6130635
2022-05-13,270.35,271.5,246.35,264.2,9676400
2022-05-20,265.8,284.0,263.35,271.25,20319140
2022-05-27,271.2,276.35,249.35,259.7,11101004
2022-06-03,262.3,282.45,261.7,271.0,12035981
2022-06-10,271.0,272.5,254.6,259.05,7394310
2022-06-17,252.5,254.7,225.2,230.15,13604709
2022-06-24,231.0,243.3,221.3,239.75,9232020
2022-07-01,244.95,244.95,234.6,242.55,6443687
2022-07-08,242.55,254.3,235.5,253.4,10723551
2022-07-15,252.5,263.25,251.35,254.65,6371072
2022-07-22,258.1,272.25,256.75,270.0,8587530
2022-07-29,270.0,272.15,263.7,268.65,6562961
2022-08-05,270.0,283.8,270.0,277.9,15740477
2022-08-12,277.9,294.85,271.5,289.9,20612892
2022-08-19,292.8,295.4,281.45,284.0,9984730
2022-08-26,282.0,308.2,275.0,305.2,16501697
2022-09-02,295.0,313.9,293.15,307.45,12271012
2022-09-09,307.95,327.6,304.8,324.95,14240496
2022-09-16,326.6,341.8,321.85,326.7,13967868
2022-09-23,326.9,347.9,321.45,335.15,11796613
2022-09-30,332.0,351.75,315.0,349.1,12385618
2022-10-07,348.0,348.25,328.5,340.2,10301051
2022-10-14,334.0,343.4,325.1,327.7,6637608
2022-10-21,327.5,339.45,324.2,331.1,5489621
