date,open,high,low,close,volume
2020-01-17,1518.85,1534.0,1488.0,1512.35,3415477
2020-01-24,1517.8,1570.75,1487.0,1565.9,4110341
2020-01-31,1555.0,1579.6,1500.0,1504.6,2567341
2020-02-07,1506.4,1528.0,1417.55,1502.7,5642460
2020-02-14,1498.0,1500.0,1429.55,1440.4,4410152
2020-02-21,1445.0,1451.75,1402.6,1423.45,2650979
2020-02-28,1419.9,1438.0,1312.05,1320.85,3536094
2020-03-06,1340.45,1356.45,1248.0,1300.95,3499170
2020-03-13,1276.75,1292.35,1020.15,1179.45,4844329
2020-03-20,1129.0,1162.35,1000.45,1127.9,5114143
2020-03-27,1034.0,1068.75,895.15,959.15,7941632
2020-04-03,939.8,985.85,924.05,962.6,4423001
2020-04-10,976.0,1029.9,941.25,999.5,6391780
2020-04-17,1015.0,1193.25,1001.45,1172.8,9666827
2020-04-24,1189.95,1244.0,1120.0,1156.6,11646673
2020-05-01,1170.1,1192.8,1107.0,1179.1,6472156
2020-05-08,1130.0,1204.0,1117.2,1153.8,8035157
2020-05-15,1162.0,1257.0,1147.2,1194.2,7885514
2020-05-22,1202.0,1240.0,1125.0,1227.1,5955027
2020-05-29,1236.0,1297.95,1236.0,1270.2,6340717
2020-06-05,1283.0,1310.0,1240.2,1297.35,6070301
2020-06-12,1315.0,1316.3,1180.0,1268.8,5649072
2020-06-19,1263.5,1284.9,1220.6,1272.0,3879994
2020-06-26,1273.0,1319.7,1245.0,1288.6,4773443
2020-07-03,1279.95,1340.0,1265.5,1314.95,7019108
2020-07-10,1317.0,1334.95,1290.6,1310.25,5167575
2020-07-17,1310.25,1359.9,1253.0,1315.85,8187635
2020-07-24,1315.85,1423.95,1314.5,1343.8,10975542
2020-07-31,1353.0,1454.9,1338.0,1425.45,6669877
2020-08-07,1423.4,1452.95,1390.0,1397.2,4272047
2020-08-14,1402.1,1434.95,1380.45,1385.3,4136110
2020-08-21,1397.0,1444.0,1372.3,1422.1,3259465
2020-08-28,1425.15,1439.0,1387.05,1396.4,2590978
