date,open,high,low,close,volume
2020-01-17,210.65,229.25,209.6,228.4,22375651
2020-01-24,229.55,232.4,219.0,229.75,20104146
2020-01-31,229.5,238.35,226.05,229.45,16106303
2020-02-07,228.0,243.6,215.6,239.5,30686127
2020-02-14,239.5,258.6,237.55,256.15,21143747
2020-02-21,256.9,261.0,245.25,258.65,10051872
2020-02-28,254.8,255.85,217.0,218.65,16448802
2020-03-06,223.0,228.65,207.5,214.75,18905877
2020-03-13,207.0,208.5,129.75,148.75,18825246
2020-03-20,141.0,142.55,118.2,137.7,27240080
2020-03-27,123.05,152.0,116.4,128.0,21712005
2020-04-03,124.0,138.95,121.0,129.05,8357384
2020-04-10,131.0,147.15,131.0,142.45,8060343
2020-04-17,142.0,150.95,136.55,143.9,10687806
2020-04-24,146.0,155.45,132.1,134.65,21618051
2020-05-01,136.4,147.45,134.1,141.4,18392829
2020-05-08,136.9,139.35,127.3,137.15,20669285
2020-05-15,137.85,145.0,133.2,141.05,12650861
2020-05-22,144.8,146.4,134.35,138.1,18510212
2020-05-29,139.0,153.6,138.35,148.35,16861962
2020-06-05,150.0,157.9,146.15,152.45,19601659
2020-06-12,155.6,165.45,141.0,152.3,33391589
2020-06-19,151.8,156.85,142.75,152.7,14391978
2020-06-26,154.5,169.2,153.0,162.15,34934520
2020-07-03,161.4,164.15,155.25,160.0,15080418
2020-07-10,161.95,170.65,158.5,159.7,19000154
2020-07-17,161.45,162.45,145.2,151.6,10815363
2020-07-24,153.15,172.0,152.1,168.75,21459478
2020-07-31,168.65,190.85,163.0,175.25,27426212
2020-08-07,175.25,195.0,171.2,192.9,26874269
2020-08-14,192.9,204.5,190.2,196.2,21116002
2020-08-21,197.4,245.4,196.05,233.35,51469025
2020-08-28,236.0,322.4,235.0,288.25,110869994
2020-09-04,290.0,306.0,270.25,285.15,53530810
2020-09-11,285.15,307.95,273.55,296.0,53307861
2020-09-18,301.8,304.0,270.0,291.55,20043024
2020-09-25,293.0,296.25,257.5,280.3,39214715
2020-10-02,283.1,311.95,282.1,308.15,28655276
2020-10-09,311.5,335.6,307.35,313.0,42544073
2020-10-16,315.0,325.85,305.35,307.0,12360439
2020-10-23,309.9,327.85,306.0,315.45,22068662
2020-10-30,318.0,347.5,303.0,339.7,32148401
2020-11-06,339.1,359.5,333.05,352.1,27277176
2020-11-13,354.0,371.65,351.85,368.6,19724948
2020-11-20,372.0,404.7,371.0,388.3,32375782
2020-11-27,390.1,415.5,383.1,398.4,28855089
2020-12-04,398.0,461.9,395.1,445.95,35647729
2020-12-11,446.0,466.35,438.05,449.8,18096076
2020-12-18,451.0,473.95,446.55,455.15,19702958
2020-12-25,454.0,479.85,409.65,473.65,26280712
2021-01-01,473.0,507.0,435.75,491.15,37584496
2021-01-08,492.0,526.6,484.25,518.0,25299211
2021-01-15,520.6,541.0,510.5,527.3,20509830
2021-01-22,528.0,552.95,502.05,526.8,24409601
2021-01-29,530.25,534.4,501.35,506.65,14482802
2021-02-05,510.5,611.7,496.9,599.0,31159788
2021-02-12,605.4,724.45,603.55,718.95,38068867
2021-02-19,725.0,831.0,707.65,781.9,79802089
2021-02-26,786.0,862.4,780.55,833.65,48566608
2021-03-05,840.75,944.9,836.45,909.9,38017360
2021-03-12,918.1,928.4,888.7,894.1,20974722
2021-03-19,898.75,905.4,840.2,889.65,20816335
2021-03-26,892.9,1093.0,883.45,988.3,99077024
2021-04-02,1004.0,1116.05,988.0,1104.65,29600540
2021-04-09,1127.0,1251.6,1098.85,1201.4,85608910
2021-04-16,1177.4,1192.0,1051.05,1159.0,45831424
2021-04-23,1100.0,1182.9,1089.0,1157.6,30110563
2021-04-30,1160.0,1213.95,1143.0,1158.7,27349881
2021-05-07,1145.1,1322.4,1122.65,1298.9,40173117
2021-05-14,1294.9,1328.5,1213.35,1220.35,19150681
2021-05-21,1230.0,1351.55,1227.45,1315.1,38381862
2021-05-28,1321.7,1342.0,1254.25,1302.0,56880569
2021-06-04,1307.05,1713.55,1292.0,1700.95,77462823
2021-06-11,1715.0,1717.2,1571.85,1601.6,50082122
2021-06-18,1441.45,1572.6,1201.2,1487.5,136910912
2021-06-25,1490.0,1582.0,1444.85,1519.45,58066936
2021-07-02,1524.9,1565.0,1411.55,1422.05,25395339
2021-07-09,1427.0,1456.6,1350.6,1431.35,35669694
2021-07-16,1442.0,1449.0,1385.2,1395.5,15434185
2021-07-23,1390.0,1434.85,1332.75,1401.65,20421127
2021-07-30,1399.8,1449.5,1378.15,1420.25,15158716
2021-08-06,1435.0,1555.0,1407.4,1536.65,26622328
2021-08-13,1546.7,1565.0,1407.0,1437.0,17361721
2021-08-20,1431.5,1496.8,1411.0,1430.1,14644364
2021-08-27,1415.05,1515.0,1361.55,1506.05,23432928
2021-09-03,1513.75,1600.85,1493.3,1565.55,17300904
2021-09-10,1572.0,1628.45,1535.05,1545.0,10540849
2021-09-17,1548.0,1557.0,1465.75,1480.25,32684410
2021-09-24,1464.9,1516.0,1381.35,1461.7,11002238
2021-10-01,1462.0,1557.9,1422.65,1458.7,14434000
2021-10-08,1471.0,1569.45,1460.1,1547.9,12362127
2021-10-15,1553.0,1656.0,1514.5,1646.35,12991684
2021-10-22,1672.95,1672.95,1537.0,1543.0,14092825
2021-10-29,1545.0,1581.15,1367.7,1423.6,16317610
2021-11-05,1436.0,1511.5,1411.2,1489.45,5192522
2021-11-12,1495.0,1719.5,1485.65,1705.2,20826330
2021-11-19,1713.75,1766.55,1640.0,1688.75,9901700
2021-11-26,1691.4,1788.9,1610.05,1669.55,15440289
2021-12-03,1655.0,1745.0,1609.85,1708.1,11252292
2021-12-10,1710.0,1788.0,1640.0,1740.4,8472057
2021-12-17,1755.0,1762.2,1640.0,1645.3,5137383
2021-12-24,1629.0,1703.95,1555.2,1698.2,6715477
2021-12-31,1694.75,1760.0,1685.0,1709.45,6996686
2022-01-07,1713.0,1744.65,1675.6,1699.1,6769249
2022-01-14,1707.55,1890.45,1699.1,1870.25,13554167
2022-01-21,1876.0,1908.5,1810.75,1828.35,8720961
2022-01-28,1822.0,1827.45,1654.5,1693.7,9373408
2022-02-04,1708.95,1787.0,1699.15,1757.3,5449237
2022-02-11,1765.0,1809.0,1677.05,1764.3,6953039
2022-02-18,1736.3,1776.0,1627.85,1736.3,7865231
2022-02-25,1738.8,1738.8,1528.8,1618.7,8991531
2022-03-04,1603.75,1678.2,1592.25,1615.0,5885669
2022-03-11,1590.0,1757.0,1539.3,1734.1,8051947
2022-03-18,1732.0,1823.6,1686.65,1819.65,5407286
2022-03-25,1836.05,1878.0,1790.0,1867.0,5994744
2022-04-01,1876.9,2049.0,1851.05,2043.65,10880571
2022-04-08,2050.0,2214.95,2032.0,2170.95,13986641
2022-04-15,2181.85,2219.0,2155.0,2199.45,5240551
2022-04-22,2179.8,2306.0,2140.1,2273.3,8535356
2022-04-29,2259.95,2420.95,2242.6,2332.0,11038929
2022-05-06,2325.0,2362.9,2200.0,2247.7,5549605
2022-05-13,2229.5,2244.2,2011.05,2054.15,7421971
2022-05-20,2082.65,2232.4,2057.65,2219.55,6532353
2022-05-27,2231.75,2245.0,1906.2,2080.15,10168360
2022-06-03,2120.0,2242.25,2102.0,2190.0,9201204
2022-06-10,2188.5,2254.7,2155.0,2203.1,7988048
2022-06-17,2172.5,2274.0,2053.1,2095.8,14004708
2022-06-24,2107.3,2177.0,2025.0,2161.45,7892550
2022-07-01,2189.0,2248.5,2138.25,2232.2,7887202
2022-07-08,2232.2,2303.6,2228.35,2293.05,5828105
2022-07-15,2293.05,2422.95,2291.05,2405.25,6325843
2022-07-22,2424.0,2514.05,2405.0,2499.4,4621793
2022-07-29,2505.0,2622.0,2500.0,2569.2,4905302
2022-08-05,2575.85,2767.65,2569.2,2698.4,6042774
2022-08-12,2700.0,2871.15,2695.65,2864.55,4707481
2022-08-19,2879.0,3258.9,2871.0,3130.2,13091352
2022-08-26,3134.0,3191.8,2927.4,3139.55,17134572
2022-09-02,3055.0,3369.4,3037.85,3355.8,13032978
2022-09-09,3374.1,3507.95,3313.0,3451.2,11630140
2022-09-16,3465.0,3866.95,3421.3,3702.2,18270254
2022-09-23,3718.95,3885.0,3571.25,3674.3,19012131
2022-09-30,3646.3,3664.75,3371.1,3455.75,28263486
2022-10-07,3440.0,3460.05,3110.2,3277.6,17996387
2022-10-14,3234.0,3338.0,3145.0,3209.5,10292192
2022-10-21,3211.0,3382.0,3136.1,3311.9,8348733
2022-10-28,3325.0,3387.95,3287.4,3323.3,3498378
2022-11-04,3339.95,3849.8,3326.1,3833.25,14890532
2022-11-11,3852.45,4048.95,3820.0,4008.85,13508524
2022-11-18,3999.0,4096.0,3863.55,4019.8,9634224
2022-11-25,4019.95,4061.85,3821.0,3901.1,11361371
2022-12-02,3899.4,3963.8,3864.05,3922.5,6779286
2022-12-09,3928.9,4094.0,3810.05,3996.8,9637466
2022-12-16,3997.0,4092.05,3944.05,3980.8,5597124
2022-12-23,3988.0,4190.0,3616.8,3642.2,14922725
2022-12-30,3653.0,3898.0,3620.0,3858.35,8405245
2023-01-06,3870.0,3874.95,3756.9,3824.25,4660498
2023-01-13,3843.0,3880.0,3555.0,3721.15,9140782
2023-01-20,3720.0,3739.95,3426.7,3456.15,12391046
2023-01-27,3443.05,3508.0,2712.0,2761.45,20943787
2023-02-03,2850.0,3073.6,1017.45,1586.8,124400899
2023-02-10,1575.0,2222.15,1435.2,1846.95,87276910
2023-02-17,1850.0,1921.7,1611.35,1722.7,45397576
2023-02-24,1650.0,1685.0,1261.6,1315.65,40584988
2023-03-03,1300.0,1905.95,1103.75,1879.5,114190950
2023-03-10,1966.7,2135.0,1820.6,1896.2,62781336
2023-03-17,1917.0,1985.0,1651.35,1876.55,45026260
2023-03-24,1837.0,1861.0,1695.25,1740.65,22805760
2023-03-31,1740.65,1825.0,1573.0,1742.1,27418145
2023-04-07,1750.45,1793.65,1671.55,1754.05,13147928
2023-04-14,1774.0,1885.0,1760.6,1870.75,15290003
2023-04-21,1870.75,1904.9,1796.05,1803.0,12086131
2023-04-28,1804.0,1944.0,1775.8,1924.95,17692624
2023-05-05,1935.0,1966.0,1785.35,1920.3,20643266
2023-05-12,1920.3,2013.75,1876.0,1964.7,20158808
2023-05-19,1959.9,1983.0,1857.75,1956.05,21506924
2023-05-26,2010.0,2759.45,1983.4,2544.35,90607541
2023-06-02,2570.0,2583.5,2425.0,2445.05,16033561
2023-06-09,2463.2,2514.0,2369.05,2451.15,17683019
2023-06-16,2460.0,2527.0,2432.6,2504.9,18114472
2023-06-23,2504.0,2521.6,2163.3,2229.9,44938884
2023-06-30,2210.05,2437.95,2174.1,2390.0,44589712
2023-07-07,2405.0,2427.6,2368.2,2380.0,11437722
2023-07-14,2392.8,2462.15,2340.0,2381.95,10019162
2023-07-21,2399.9,2510.0,2392.85,2420.0,14517502
2023-07-28,2430.0,2505.95,2412.05,2459.0,12529561
2023-08-04,2477.0,2557.5,2451.0,2536.15,15411843
2023-08-11,2550.95,2577.5,2461.35,2538.0,31854048
2023-08-18,2480.0,2664.95,2400.25,2570.95,39281849
2023-08-25,2588.0,2721.3,2487.0,2490.0,33297067
2023-09-01,2550.0,2580.2,2380.0,2450.05,28598310
2023-09-08,2454.0,2538.6,2450.05,2519.3,29843982
2023-09-15,2565.0,2630.25,2496.0,2540.05,19352565
2023-09-22,2552.0,2555.0,2458.9,2464.9,4210193
2023-09-29,2479.95,2511.0,2405.05,2413.9,6907895
2023-10-06,2418.0,2514.95,2372.0,2478.1,7519766
2023-10-13,2440.0,2538.0,2411.3,2454.55,8891470
2023-10-20,2454.55,2464.7,2382.05,2393.75,4697548
2023-10-27,2397.8,2412.35,2167.05,2261.7,6494734
2023-11-03,2260.05,2320.0,2204.2,2229.85,8012604
2023-11-10,2253.95,2298.0,2198.5,2205.1,4921282
2023-11-17,2219.7,2250.0,2195.55,2208.8,3922530
2023-11-24,2211.0,2251.95,2142.0,2225.45,7339293
2023-12-01,2301.0,2512.4,2275.0,2362.7,21310711
2023-12-08,2549.95,3154.55,2487.45,2822.15,61201687
2023-12-15,2837.05,3000.0,2805.0,2991.8,18033892
2023-12-22,2993.95,3027.75,2725.0,2808.35,11667687
2023-12-29,2817.0,2894.8,2800.1,2848.95,9356807
2024-01-05,2852.3,3199.0,2841.0,3006.6,31490967
2024-01-12,3020.0,3129.0,2952.95,3104.1,12129100
2024-01-19,3127.0,3130.0,2885.1,2915.65,11386227
