date,open,high,low,close,volume
2020-01-17,391.9,394.6,386.0,387.6,8001405
2020-01-24,387.65,389.2,375.3,384.75,8358071
2020-01-31,383.7,387.75,368.25,369.4,11324017
2020-02-07,369.8,376.0,355.5,369.55,17571649
2020-02-14,370.05,378.9,366.0,366.85,8863185
2020-02-21,366.85,374.5,358.35,370.85,7530307
2020-02-28,367.65,371.4,339.2,342.2,15042281
2020-03-06,346.1,351.9,331.25,341.4,16348304
2020-03-13,334.7,334.7,232.0,292.75,39839102
2020-03-20,273.0,283.35,241.0,256.4,38757437
2020-03-27,235.0,266.5,203.0,251.3,40729572
2020-04-03,248.0,259.6,235.05,244.8,26592391
2020-04-10,254.2,255.85,242.75,251.9,19549353
2020-04-17,252.0,279.4,247.5,268.15,21323648
2020-04-24,273.5,279.7,258.5,270.65,14135382
2020-05-01,273.3,296.0,269.5,290.1,12387602
2020-05-08,275.0,286.85,261.1,285.05,30873542
2020-05-15,285.2,312.0,262.35,309.25,26762942
2020-05-22,306.0,324.8,291.35,310.6,29182862
2020-05-29,312.4,334.15,309.6,323.8,28338415
2020-06-05,326.0,347.15,325.8,341.15,19685671
2020-06-12,343.1,351.35,327.7,345.3,15768283
2020-06-19,346.5,354.9,335.15,348.9,17038036
2020-06-26,350.0,360.0,339.6,343.2,17109416
2020-07-03,341.35,366.8,339.1,360.4,17799645
2020-07-10,365.1,366.0,332.25,334.95,18701180
2020-07-17,336.25,339.65,309.6,313.0,15627071
2020-07-24,316.0,325.35,305.35,309.4,16951419
2020-07-31,309.0,323.0,298.0,315.2,18883007
2020-08-07,311.0,330.9,308.65,326.65,19895207
2020-08-14,329.0,353.75,325.7,348.1,23450755
2020-08-21,350.85,366.2,346.8,354.35,14805152
2020-08-28,358.4,366.9,341.0,360.05,26994406
2020-09-04,365.0,378.35,341.4,353.0,43714722
2020-09-11,355.0,357.95,333.45,342.5,17646490
2020-09-18,345.0,359.8,343.45,357.85,15658648
2020-09-25,358.0,359.0,312.1,326.15,25177476
2020-10-02,327.8,354.9,327.8,353.3,13501674
2020-10-09,355.9,368.75,348.45,357.2,28429837
2020-10-16,359.1,362.85,341.25,349.95,13893303
2020-10-23,352.6,369.0,344.8,364.35,19443776
2020-10-30,366.0,373.9,341.15,359.85,32665823
2020-11-06,360.0,375.9,347.2,371.1,59487048
2020-11-13,375.0,376.0,362.7,365.5,27175361
2020-11-20,368.5,395.2,366.25,375.85,39163747
2020-11-27,375.85,416.0,370.3,411.55,65238488
