date,open,high,low,close,volume
2019-11-08,69.65,72.15,68.3,68.7,26736817
2019-11-15,68.45,68.5,59.8,60.85,62282322
2019-11-22,61.0,63.4,59.15,60.5,46840534
2019-11-29,60.5,66.65,60.25,63.6,49676681
2019-12-06,63.95,64.2,58.8,59.8,29781402
2019-12-13,59.7,61.7,58.45,61.3,28704219
2019-12-20,61.3,63.05,60.25,61.9,22379371
2019-12-27,61.7,62.15,59.8,60.25,12915544
2020-01-03,60.3,64.95,60.2,63.25,51191462
2020-01-10,63.0,63.25,58.0,61.2,45734488
2020-01-17,61.3,65.95,60.75,64.6,44602417
2020-01-24,64.6,65.2,62.25,63.55,24103889
2020-01-31,63.35,65.4,60.5,61.05,32013190
2020-02-07,60.5,62.65,58.3,60.85,38387939
2020-02-14,61.0,61.15,58.9,59.6,30455359
2020-02-21,59.3,59.45,55.25,57.65,25561111
2020-02-28,57.0,57.75,46.5,47.3,35250606
2020-03-06,49.2,50.05,42.15,44.1,41403201
2020-03-13,43.3,43.5,23.0,30.95,61135442
2020-03-20,29.2,30.3,24.0,29.05,64951677
2020-03-27,26.15,32.4,25.3,27.6,43955657
2020-04-03,27.45,28.3,25.55,26.75,26317551
2020-04-10,27.5,31.15,27.0,30.4,29055585
2020-04-17,30.6,31.3,28.85,30.9,43006861
2020-04-24,31.35,35.5,29.6,30.65,81713372
2020-05-01,31.6,32.75,29.0,31.65,47732627
2020-05-08,31.0,31.2,29.6,29.9,29735409
2020-05-15,30.0,36.35,29.05,32.35,85552981
2020-05-22,33.3,37.0,30.3,33.0,165069813
2020-05-29,33.4,38.25,33.4,36.4,134846392
2020-06-05,40.0,41.9,37.1,38.9,181932718
2020-06-12,39.1,40.0,36.1,38.0,57175061
2020-06-19,37.9,38.8,35.55,38.0,57004032
2020-06-26,38.55,39.1,35.95,36.75,82131134
2020-07-03,36.95,37.25,35.65,35.9,14918387
2020-07-10,35.9,36.5,34.7,34.8,17590434
2020-07-17,34.9,36.15,34.35,35.5,19386076
2020-07-24,35.55,36.0,34.85,35.0,11337391
2020-07-31,35.0,36.45,35.0,35.4,14669068
2020-08-07,35.1,36.9,35.1,36.65,20302208
2020-08-14,36.65,38.95,36.65,37.15,21789009
2020-08-21,37.2,39.95,36.7,39.15,32715614
2020-08-28,39.45,41.6,38.3,39.25,53314806
2020-09-04,39.5,41.15,36.7,37.6,46287223
2020-09-11,37.9,38.15,36.7,37.4,11803315
2020-09-18,37.7,37.8,36.85,37.4,10645632
2020-09-25,37.45,37.8,36.05,36.6,10546639
2020-10-02,36.9,37.55,36.65,37.05,4986429
2020-10-09,37.1,37.3,36.05,36.6,3941255
2020-10-16,36.1,36.9,35.9,36.0,5278179
2020-10-23,36.1,36.35,34.5,35.35,5266565
2020-10-30,35.35,36.1,34.85,35.75,5408718
2020-11-06,36.0,39.95,35.6,37.7,28859353
2020-11-13,38.2,38.2,35.75,36.15,11751632
2020-11-20,36.9,40.0,36.4,38.0,43056333
2020-11-27,38.45,39.3,38.05,38.5,22226206
2020-12-04,38.75,63.95,38.65,59.6,263116521
2020-12-11,60.5,61.5,44.45,44.45,192679666
2020-12-18,44.95,48.95,44.5,47.35,85555452
2020-12-25,47.35,48.65,42.75,47.9,43925082
2021-01-01,48.25,51.8,47.75,50.15,45124356
2021-01-08,50.7,53.55,49.0,53.45,48845235
2021-01-15,54.4,57.4,52.75,54.1,49000940
2021-01-22,54.2,56.3,52.6,52.85,28389102
2021-01-29,53.35,53.85,48.5,51.3,16280118
2021-02-05,52.0,54.85,51.0,52.3,28647532
2021-02-12,52.85,58.5,52.0,57.25,58542523
2021-02-19,57.55,59.1,52.8,55.85,101793539
2021-02-26,56.0,57.35,54.85,55.25,31357454
2021-03-05,55.85,74.9,55.4,74.35,156468592
2021-03-12,76.35,84.35,73.95,75.55,135160230
2021-03-19,77.0,93.0,74.1,92.2,188078132
2021-03-26,93.5,108.7,93.5,94.2,138092527
2021-04-02,95.0,95.55,81.35,89.3,81459271
2021-04-09,92.4,103.3,89.2,97.65,128922490
2021-04-16,94.4,95.0,88.3,91.75,81470729
2021-04-23,88.0,90.75,85.0,87.8,51150812
2021-04-30,88.6,99.2,87.0,94.75,86601155
2021-05-07,94.0,100.0,92.05,97.05,75057273
2021-05-14,98.0,101.0,94.0,95.8,48618037
2021-05-21,96.3,106.95,96.25,101.1,103016165
2021-05-28,101.7,103.0,90.75,92.3,84329242
2021-06-04,92.65,105.75,91.8,105.75,179203507
2021-06-11,112.55,166.9,111.25,148.3,620685798
2021-06-18,140.9,140.9,114.9,114.9,11179099
2021-06-25,109.2,132.9,109.2,116.75,42229818
2021-07-02,113.5,121.0,102.45,109.4,25375770
2021-07-09,110.0,112.1,103.2,109.55,19031100
2021-07-16,110.65,110.95,102.0,105.65,12030998
2021-07-23,105.65,107.75,92.2,100.45,19588722
2021-07-30,100.45,100.5,91.5,95.85,9751384
2021-08-06,96.5,97.85,87.0,92.55,26782458
2021-08-13,94.7,95.5,81.1,84.95,17597914
2021-08-20,84.9,84.95,74.15,77.45,15473260
2021-08-27,77.45,89.4,70.35,89.4,18384629
2021-09-03,91.3,113.25,90.0,103.15,34774315
2021-09-10,98.0,102.6,89.2,102.55,17143018
2021-09-17,100.0,102.0,95.75,100.45,16213360
2021-09-24,96.05,98.75,91.05,95.85,20214017
2021-10-01,96.0,100.8,94.4,96.95,28987327
2021-10-08,97.85,108.9,97.5,101.6,56061139
2021-10-15,103.0,112.0,101.0,112.0,32616033
2021-10-22,118.45,135.5,115.0,117.05,114428766
2021-10-29,113.75,116.4,99.0,100.5,16471481
2021-11-05,98.15,106.5,98.0,105.4,12581649
2021-11-12,106.2,113.7,103.0,108.45,28430675
2021-11-19,109.3,110.0,101.4,102.9,14094509
2021-11-26,102.9,109.7,98.65,101.25,22032114
2021-12-03,100.0,103.2,93.6,100.8,16188255
2021-12-10,100.8,107.5,99.0,104.05,20092654
2021-12-17,105.6,107.4,99.0,100.1,15571394
2021-12-24,98.8,100.95,95.1,98.65,13930525
2021-12-31,98.8,104.0,97.3,99.7,20219044
2022-01-07,100.15,103.9,98.65,100.2,26646815
2022-01-14,101.0,124.4,99.25,117.15,146709166
2022-01-21,118.0,121.0,108.0,109.95,55663383
2022-01-28,110.0,110.0,98.0,105.75,29684536
2022-02-04,106.95,112.4,105.65,108.55,29279094
2022-02-11,109.9,131.8,106.1,125.0,263134726
2022-02-18,122.0,137.7,111.0,131.6,451332267
2022-02-25,132.0,134.65,108.7,124.05,398609421
2022-03-04,122.0,127.25,117.2,119.75,168657435
2022-03-11,116.0,125.7,115.35,121.8,106485200
2022-03-18,122.55,127.65,120.5,125.1,80257757
2022-03-25,125.85,144.9,122.3,143.2,220427249
2022-04-01,146.0,203.6,145.05,203.45,746253493
2022-04-08,207.0,256.95,199.35,220.95,351588807
2022-04-15,218.95,239.9,216.1,223.25,131848222
2022-04-22,221.0,259.1,214.0,259.1,165379715
2022-04-29,263.4,312.0,262.1,280.35,170520672
2022-05-06,280.0,292.05,253.05,292.05,121098302
2022-05-13,295.65,298.0,242.55,254.65,107912907
2022-05-20,267.35,312.25,267.35,312.25,94503250
2022-05-27,321.65,343.9,286.1,328.1,139550179
2022-06-03,338.7,344.5,282.0,284.1,190754870
2022-06-10,285.0,302.8,277.1,280.1,54626406
2022-06-17,269.5,282.55,249.35,261.3,62986836
2022-06-24,265.35,266.8,238.3,264.45,49690121
2022-07-01,270.95,277.65,255.1,263.25,35925129
2022-07-08,263.9,278.6,260.0,271.55,28184267
2022-07-15,270.0,299.6,269.25,286.75,56516003
2022-07-22,289.4,297.0,285.25,291.3,24705104
2022-07-29,291.3,326.9,289.1,313.95,58196962
2022-08-05,314.65,354.0,305.55,332.05,83769564
2022-08-12,328.4,348.9,322.05,345.15,36490520
2022-08-19,349.0,418.85,349.0,411.95,103632478
2022-08-26,420.15,432.5,370.9,375.5,54086183
2022-09-02,360.05,418.85,356.75,401.25,21052906
2022-09-09,403.65,415.75,385.55,397.0,14842862
2022-09-16,402.0,402.9,383.0,387.75,13442156
2022-09-23,390.0,409.15,383.4,385.6,14593507
2022-09-30,380.0,383.0,362.0,373.5,10076236
2022-10-07,375.0,377.8,337.15,372.85,8583677
2022-10-14,366.0,370.4,329.55,331.25,8657569
2022-10-21,330.0,349.05,315.25,332.2,8511736
2022-10-28,337.0,342.0,330.0,333.3,3283804
2022-11-04,334.4,353.8,330.1,346.85,8378882
2022-11-11,348.0,378.0,342.75,360.2,11608354
2022-11-18,348.15,365.05,329.0,336.5,9314284
2022-11-25,338.0,338.0,318.5,323.95,5258465
2022-12-02,327.1,339.9,322.5,325.3,13585108
2022-12-09,326.95,331.7,311.0,316.05,10418379
2022-12-16,315.0,326.9,306.0,307.9,17991527
2022-12-23,309.0,309.9,262.2,262.2,17687895
2022-12-30,249.1,308.4,249.1,299.55,10599294
2023-01-06,303.0,304.9,277.0,283.4,8860856
2023-01-13,286.95,294.0,270.05,278.7,9853103
2023-01-20,281.0,283.25,271.5,275.05,7925711
2023-01-27,275.45,279.3,247.95,247.95,8618883
2023-02-03,235.55,235.55,191.95,191.95,19201434
2023-02-10,182.35,186.0,164.2,164.2,157599315
2023-02-17,156.0,163.0,140.8,155.15,31374738
2023-02-24,158.25,178.9,146.65,146.65,96855227
2023-03-03,142.05,169.3,132.4,169.3,39279661
2023-03-10,177.75,205.65,175.1,204.9,98278746
2023-03-17,211.7,217.35,194.15,199.95,110450103
2023-03-24,193.0,211.4,186.55,192.6,62774990
2023-03-31,195.6,195.6,166.4,191.6,37639601
2023-04-07,195.0,196.95,186.0,192.2,26810221
2023-04-14,193.4,198.3,188.1,189.15,21307121
2023-04-21,189.3,200.5,185.2,199.25,30833964
2023-04-28,199.0,224.85,194.4,224.85,41212903
2023-05-05,230.0,244.9,224.15,239.85,48134707
2023-05-12,244.0,247.8,233.1,240.85,23805285
2023-05-19,240.0,241.55,214.0,236.1,29340522
2023-05-26,244.0,272.9,243.0,258.05,39460227
2023-06-02,259.9,261.7,243.25,255.65,22325789
2023-06-09,256.7,286.0,254.6,276.2,43421860
2023-06-16,277.0,277.8,263.3,265.7,19137397
2023-06-23,266.9,268.7,241.0,242.6,17297558
2023-06-30,234.05,258.75,231.2,250.0,17826712
2023-07-07,252.25,252.25,242.9,243.6,11102689
2023-07-14,244.7,249.35,235.85,241.6,13089530
2023-07-21,245.35,254.4,241.4,242.1,14259066
2023-07-28,242.85,265.25,237.2,258.05,42357779
2023-08-04,260.0,284.0,259.65,277.5,57554713
2023-08-11,279.9,290.5,264.95,288.65,47873101
2023-08-18,283.3,321.2,275.0,304.3,119687748
2023-08-25,306.7,359.15,306.7,324.0,159034454
2023-09-01,332.0,338.85,309.45,330.25,95123806
2023-09-08,332.0,372.4,332.0,369.15,92869416
2023-09-15,373.0,409.7,366.8,379.4,118382582
2023-09-22,381.0,389.25,364.4,383.9,74730237
2023-09-29,383.9,385.55,372.45,377.45,88000145
2023-10-06,376.9,377.5,363.0,364.3,15804900
2023-10-13,352.3,358.7,339.0,341.9,18910500
2023-10-20,341.1,346.7,327.0,338.3,20983299
2023-10-27,340.6,364.85,289.35,354.15,39114929
2023-11-03,354.4,393.4,345.05,384.65,55001492
2023-11-10,388.95,409.65,380.0,399.4,100964074
2023-11-17,403.6,404.25,391.0,392.35,12042745
