date,open,high,low,close,volume
2019-12-13,54.45,60.0,52.3,53.15,14202
2019-12-20,54.95,55.1,52.1,54.75,25959
2019-12-27,58.0,58.35,52.75,54.35,103452
2020-01-03,54.05,54.95,51.3,53.4,55261
2020-01-10,52.0,54.0,51.2,52.2,14733
2020-01-17,54.5,55.85,53.05,53.5,83277
2020-01-24,53.5,56.95,52.1,54.85,21550
2020-01-31,55.4,59.9,52.5,53.85,114250
2020-02-07,54.1,59.8,51.55,56.4,85958
2020-02-14,58.0,61.0,55.1,58.25,91524
2020-02-21,58.25,59.6,55.8,57.1,10463
2020-02-28,57.0,57.1,50.0,51.0,22479
2020-03-06,54.1,54.1,46.4,48.3,19508
2020-03-13,48.35,50.0,36.85,40.55,387469
2020-03-20,39.05,43.0,31.2,38.85,28157
2020-03-27,33.0,39.95,24.5,30.7,88741
2020-04-03,28.35,32.8,28.2,30.2,26793
2020-04-10,33.15,33.2,29.55,32.75,18725
2020-04-17,35.65,36.5,31.3,35.0,26206
2020-04-24,35.5,44.75,34.4,42.05,60001
2020-05-01,41.7,42.15,39.65,40.1,16779
2020-05-08,40.35,41.8,36.5,38.4,33750
2020-05-15,38.4,39.5,37.0,38.0,55296
2020-05-22,38.0,41.0,36.1,38.3,54797
2020-05-29,38.3,40.95,37.1,39.35,12814
2020-06-05,41.3,45.8,40.0,45.65,54578
2020-06-12,46.9,58.7,45.8,50.55,255636
2020-06-19,48.1,48.1,41.55,44.7,85627
2020-06-26,46.0,47.15,42.85,44.45,34196
2020-07-03,45.8,46.5,43.1,44.05,32718
2020-07-10,45.75,49.9,43.95,44.35,72689
2020-07-17,45.1,45.15,39.7,40.4,20761
2020-07-24,41.1,43.1,40.0,40.9,21791
2020-07-31,40.0,42.0,39.0,40.4,16766
2020-08-07,40.8,42.0,39.2,41.25,34974
2020-08-14,42.75,47.6,40.45,45.5,65412
2020-08-21,47.05,47.9,43.7,46.4,59407
2020-08-28,46.8,48.8,42.1,47.25,82446
2020-09-04,47.35,49.9,42.6,45.55,130544
2020-09-11,45.0,45.55,40.2,43.4,34606
2020-09-18,43.8,44.75,42.3,43.95,22376
2020-09-25,42.95,43.6,38.25,41.2,45030
2020-10-02,41.8,44.45,40.0,43.6,32839
2020-10-09,45.45,45.45,41.85,42.3,20858
2020-10-16,41.8,43.1,40.05,40.95,13772
2020-10-23,41.65,42.55,37.95,41.45,27061
2020-10-30,41.5,42.7,39.0,40.45,17624
2020-11-06,39.9,41.35,38.1,40.3,11792
2020-11-13,41.45,46.9,39.3,44.25,91273
2020-11-20,44.65,47.0,44.3,45.55,63476
2020-11-27,45.8,63.8,45.55,59.9,529183
2020-12-04,59.4,59.95,55.1,58.05,375281
2020-12-11,56.0,58.9,54.8,56.5,29882
2020-12-18,56.65,56.65,51.45,52.6,54263
2020-12-25,54.25,54.5,48.1,51.45,48384
2021-01-01,52.95,52.95,48.9,51.25,29455
2021-01-08,52.5,52.5,49.0,51.35,48764
2021-01-15,52.1,52.1,48.25,49.1,20777
2021-01-22,49.0,50.8,45.35,47.6,41399
2021-01-29,47.9,48.15,44.5,46.2,18678
2021-02-05,47.8,48.25,45.05,46.85,26279
