date,open,high,low,close,volume
2020-01-17,2282.95,2405.0,2241.3,2338.2,713831
2020-01-24,2387.55,2387.55,2310.0,2346.95,350684
2020-01-31,2350.0,2400.1,2252.15,2397.65,340945
2020-02-07,2380.1,2558.0,2322.05,2502.5,939049
2020-02-14,2558.3,2700.0,2520.3,2649.3,1005604
2020-02-21,2650.0,2716.9,2535.0,2658.7,418620
2020-02-28,2628.0,2700.0,2561.0,2625.5,371106
2020-03-06,2645.0,2670.0,2545.85,2614.0,380184
2020-03-13,2626.6,2635.0,1911.05,2413.85,633458
2020-03-20,2428.9,2548.0,2102.6,2348.6,500871
2020-03-27,1881.3,2463.55,1881.3,2344.95,379615
2020-04-03,2320.2,2374.5,2250.0,2267.05,531775
2020-04-10,2360.0,2879.0,2292.0,2709.0,1213550
2020-04-17,2768.0,2824.0,2664.0,2678.55,723445
2020-04-24,2670.0,2764.0,2500.0,2734.45,909561
2020-05-01,2730.0,2870.0,2575.55,2599.4,699264
2020-05-08,2599.4,2730.0,2480.0,2587.95,963721
2020-05-15,2612.1,2625.5,2455.05,2473.35,721300
2020-05-22,2486.0,2524.0,2336.0,2497.9,365993
2020-05-29,2502.0,2514.0,2222.0,2262.9,763201
2020-06-05,2290.0,2510.15,2260.0,2394.55,825280
2020-06-12,2430.0,2452.95,2300.0,2355.95,1248856
2020-06-19,2368.0,2415.5,2282.85,2305.35,1138986
2020-06-26,2325.0,2418.7,2296.25,2349.35,783226
2020-07-03,2339.35,2389.0,2325.1,2350.8,589547
2020-07-10,2359.9,2465.8,2325.0,2422.35,840579
2020-07-17,2425.85,2583.0,2351.0,2497.5,1009349
2020-07-24,2517.9,2533.5,2420.05,2489.5,631162
2020-07-31,2485.0,2718.35,2415.1,2662.1,883750
2020-08-07,2700.0,3090.0,2680.35,2981.95,4632433
2020-08-14,3033.85,3069.0,2765.0,2925.15,2265523
2020-08-21,2951.0,2954.95,2826.0,2844.3,895889
2020-08-28,2873.0,2895.0,2776.75,2873.45,847078
2020-09-04,2875.0,2900.0,2688.1,2804.95,715499
2020-09-11,2814.95,2967.0,2790.0,2900.9,1064196
2020-09-18,2922.0,2940.0,2812.0,2874.85,842749
2020-09-25,2888.0,2987.9,2682.0,2802.35,1161263
2020-10-02,2881.0,2898.0,2727.25,2742.1,728368
2020-10-09,2769.0,2823.0,2705.55,2723.8,592832
2020-10-16,2743.25,2743.25,2630.0,2650.55,383408
2020-10-23,2650.1,2704.95,2591.0,2601.1,412574
2020-10-30,2619.0,2717.95,2563.65,2634.3,434264
2020-11-06,2634.3,2780.0,2616.0,2752.75,884074
2020-11-13,2786.05,2796.6,2641.05,2683.35,776155
2020-11-20,2710.0,2718.25,2656.0,2679.15,553996
2020-11-27,2688.0,2865.0,2680.1,2841.65,588627
2020-12-04,2845.0,2897.35,2777.45,2863.4,433090
2020-12-11,2865.0,2966.0,2855.8,2896.15,606204
2020-12-18,2897.0,2967.25,2881.0,2953.8,485698
2020-12-25,2953.8,2988.0,2761.1,2916.0,297039
2021-01-01,2948.0,2984.0,2886.1,2950.75,250239
2021-01-08,2984.0,3068.8,2931.0,3041.25,500586
