date,open,high,low,close,volume
2020-01-17,212.6,214.8,206.65,210.4,14807813
2020-01-24,211.4,216.9,205.7,215.95,16863921
2020-01-31,214.6,220.25,203.5,204.5,17285837
2020-02-07,204.1,212.0,194.0,209.8,20622924
2020-02-14,209.8,214.0,205.0,205.65,13575854
2020-02-21,205.35,210.25,197.75,205.4,10861071
2020-02-28,206.85,216.05,202.0,205.05,31532069
2020-03-06,208.6,216.55,195.4,205.1,18280527
2020-03-13,199.8,203.25,152.05,187.75,19450111
2020-03-20,180.0,184.05,149.4,160.4,42987282
2020-03-27,145.0,155.8,136.55,141.55,37444340
2020-04-03,140.0,158.4,137.4,153.0,16788008
2020-04-10,154.0,160.6,148.2,158.8,25892761
2020-04-17,158.95,175.5,157.25,172.95,32959667
2020-04-24,175.9,179.5,164.1,167.95,17743411
2020-05-01,170.4,179.0,165.65,171.65,26058709
2020-05-08,167.25,172.95,161.5,169.35,24451705
2020-05-15,170.15,191.0,170.15,181.8,32187542
2020-05-22,182.0,187.85,170.25,186.95,22037660
2020-05-29,187.8,194.9,185.1,191.55,21169820
2020-06-05,191.8,196.35,182.05,195.1,29636271
2020-06-12,198.95,198.95,181.65,193.7,21554334
2020-06-19,192.85,198.4,185.35,190.8,21652311
2020-06-26,191.45,198.2,185.35,188.0,21482706
2020-07-03,188.0,196.4,183.2,195.8,19767409
2020-07-10,197.75,204.35,191.1,197.2,23939243
2020-07-17,197.2,199.7,185.7,193.45,20519249
2020-07-24,195.0,208.0,194.5,200.95,26939825
2020-07-31,205.9,225.5,202.05,220.1,38334154
2020-08-07,218.5,226.25,218.5,219.55,22959609
2020-08-14,221.0,229.25,218.85,220.75,17609380
2020-08-21,221.75,231.85,218.1,225.95,16011040
2020-08-28,226.5,227.25,219.6,222.45,12897292
2020-09-04,222.5,224.1,207.0,208.5,19731379
2020-09-11,208.5,214.5,204.3,212.45,13568826
2020-09-18,214.3,223.0,209.8,220.0,20486082
2020-09-25,220.0,220.25,197.45,205.5,17589834
2020-10-02,206.6,221.95,205.55,221.2,13880677
2020-10-09,221.2,240.55,219.45,239.35,39849025
2020-10-16,238.0,250.0,233.2,248.0,53599947
