date,open,high,low,close,volume
2020-01-17,191.26,197.67,188.11,194.59,1097826
2020-01-24,194.5,207.29,192.3,203.65,1899295
2020-01-31,219.0,221.9,195.01,196.73,3613425
2020-02-07,199.01,205.5,189.82,202.8,2077964
2020-02-14,204.25,213.0,200.18,200.47,1224345
2020-02-21,201.86,216.56,197.27,211.43,2368366
2020-02-28,212.1,214.5,190.0,194.35,2209935
2020-03-06,196.5,200.6,177.5,187.22,2210035
2020-03-13,182.6,185.86,122.33,154.08,3344736
2020-03-20,149.5,149.5,103.0,130.85,4168075
2020-03-27,115.0,142.73,104.68,128.47,3378155
2020-04-03,127.8,127.8,118.8,119.74,705596
2020-04-10,122.0,137.9,121.51,133.59,850547
2020-04-17,134.9,134.9,116.6,125.86,1513466
2020-04-24,126.9,132.4,115.01,129.69,2244715
2020-05-01,129.6,151.0,122.26,142.88,3033696
2020-05-08,138.7,138.7,121.7,123.86,3088695
2020-05-15,124.5,127.0,115.56,124.71,1521815
2020-05-22,124.71,143.36,121.5,138.74,2537525
2020-05-29,140.82,154.99,135.53,151.78,2129506
2020-06-05,153.49,167.4,152.1,164.02,3688605
2020-06-12,167.28,172.0,152.48,159.92,2730545
2020-06-19,160.6,163.79,155.62,158.91,1496095
2020-06-26,159.98,169.5,155.5,156.37,4706745
2020-07-03,157.16,182.0,152.51,178.48,7110295
2020-07-10,178.01,182.8,168.5,173.39,3957565
2020-07-17,173.5,179.45,167.5,170.49,2021065
2020-07-24,172.0,187.88,172.0,184.54,4339535
2020-07-31,185.46,192.5,180.01,184.1,2234435
2020-08-07,183.58,219.78,181.84,216.71,4595495
2020-08-14,216.8,224.99,205.2,218.68,3404805
2020-08-21,220.64,242.45,220.64,233.15,3237585
2020-08-28,235.9,250.0,233.1,243.19,4525985
2020-09-04,241.2,247.0,232.61,239.54,10122195
2020-09-11,239.93,248.74,237.0,242.13,3592395
2020-09-18,245.3,284.0,242.76,270.5,11599995
2020-09-25,272.0,274.5,250.51,267.84,2495245
2020-10-02,275.0,300.82,268.2,295.44,4301636
2020-10-09,298.8,304.8,280.51,284.04,2299455
2020-10-16,286.51,287.5,266.5,274.51,2410595
2020-10-23,276.0,304.3,269.5,301.81,2619625
2020-10-30,305.0,321.5,296.27,314.43,6585935
2020-11-06,311.2,328.01,305.95,325.62,2959715
2020-11-13,329.0,331.39,319.91,330.9,2944865
2020-11-20,332.5,334.8,318.7,321.55,1606765
2020-11-27,323.8,348.96,315.51,337.89,3174595
2020-12-04,346.9,379.04,338.6,370.86,4002176
2020-12-11,385.0,391.9,365.4,367.43,5437845
2020-12-18,371.85,401.25,367.0,384.85,5715289
2020-12-25,381.0,384.93,325.13,380.5,2088494
2021-01-01,384.5,447.0,382.5,429.9,5832142
2021-01-08,432.0,483.95,430.55,481.05,7226238
2021-01-15,486.95,493.95,465.05,472.78,3884570
2021-01-22,477.0,487.0,455.05,469.13,2616010
2021-01-29,475.0,480.05,450.55,453.33,3257892
2021-02-05,455.0,478.5,445.05,463.88,1846756
2021-02-12,463.5,487.45,460.35,473.78,4528120
2021-02-19,476.25,499.45,476.25,484.48,6162760
2021-02-26,484.48,544.0,470.05,536.35,3075296
2021-03-05,562.5,680.0,525.63,670.4,6875266
2021-03-12,670.4,697.45,625.0,628.78,2872024
2021-03-19,625.0,637.0,525.05,627.3,5398382
2021-03-26,627.3,687.2,611.0,666.88,4004584
2021-04-02,681.35,724.0,648.45,663.38,1545246
2021-04-09,662.0,662.0,602.78,651.88,2396074
2021-04-16,647.5,647.83,593.28,629.2,1918590
2021-04-23,604.05,644.95,585.0,638.28,1943804
2021-04-30,644.5,671.18,626.53,651.13,2257930
2021-05-07,652.5,692.5,628.0,640.9,2393860
2021-05-14,630.0,642.73,588.85,597.6,2473016
2021-05-21,600.0,650.0,592.5,626.53,1759836
2021-05-28,625.5,685.48,613.93,648.93,1891088
2021-06-04,650.0,709.0,630.0,661.33,3518664
2021-06-11,666.2,739.3,649.0,720.08,3304386
2021-06-18,722.0,799.5,702.5,774.95,7424120
2021-06-25,762.5,822.35,755.0,809.4,4643500
2021-07-02,810.0,839.0,777.48,815.08,1385134
2021-07-09,820.5,823.98,767.5,771.85,1007212
2021-07-16,778.63,787.5,718.08,785.4,2315636
2021-07-23,799.5,832.5,737.5,811.25,1890540
2021-07-30,811.05,924.93,794.5,873.05,3919968
2021-08-06,887.5,912.48,840.0,876.08,2142096
2021-08-13,885.0,899.45,800.05,803.6,1999258
2021-08-20,805.55,837.45,790.0,803.05,998992
2021-08-27,805.0,834.0,741.43,822.98,2167928
2021-09-03,828.45,857.55,813.88,849.6,1419402
2021-09-10,855.0,950.5,840.0,939.75,2670368
2021-09-17,948.0,1044.7,916.93,945.95,3112358
2021-09-24,945.95,949.0,869.1,894.15,1238898
2021-10-01,899.85,899.9,804.1,848.85,3994369
2021-10-08,859.0,891.9,826.85,854.4,2677779
2021-10-15,858.0,885.0,843.4,850.65,1359094
2021-10-22,835.0,895.0,809.1,816.45,3058289
2021-10-29,820.0,823.8,750.1,800.1,4552117
2021-11-05,801.0,865.0,801.0,862.45,1646683
2021-11-12,870.0,923.8,861.25,920.0,9552454
2021-11-19,924.9,939.95,882.15,910.45,2292015
2021-11-26,918.0,938.65,862.5,887.1,2322432
2021-12-03,870.0,957.0,822.65,925.35,2249014
2021-12-10,928.0,991.9,900.0,985.25,2177173
2021-12-17,1008.0,1114.55,996.65,1024.15,5698741
2021-12-24,980.0,1077.0,946.55,1008.5,3224967
2021-12-31,1013.4,1015.0,980.0,999.8,1259248
2022-01-07,980.0,990.0,921.0,926.8,3017724
2022-01-14,921.05,940.0,888.95,937.0,2632790
2022-01-21,952.0,988.3,935.0,959.45,2052852
2022-01-28,940.5,964.15,800.25,810.8,4052134
2022-02-04,805.1,929.0,805.1,909.1,2785241
2022-02-11,908.3,914.15,869.0,899.0,1188516
2022-02-18,854.0,868.0,784.0,830.45,2146427
2022-02-25,819.95,845.6,770.9,835.55,1387240
2022-03-04,823.0,874.8,803.8,860.8,1277667
2022-03-11,840.1,905.0,815.0,900.1,2212832
2022-03-18,908.65,955.0,878.2,911.6,1739408
2022-03-25,918.0,967.95,895.0,900.2,1933516
2022-04-01,896.0,944.0,888.8,941.35,1579727
2022-04-08,950.0,1024.9,935.0,1004.75,2872880
2022-04-15,1012.35,1077.7,1005.05,1061.05,2211774
2022-04-22,1063.75,1100.0,1016.0,1073.3,2414217
2022-04-29,1064.7,1070.0,1000.0,1023.3,1773576
2022-05-06,1020.0,1059.2,945.5,949.95,1265496
2022-05-13,925.0,930.0,801.0,870.6,2316485
2022-05-20,880.0,931.25,865.95,918.55,2235421
2022-05-27,929.8,938.0,851.55,869.1,1838286
2022-06-03,885.0,1008.0,874.35,996.75,3676618
2022-06-10,995.0,1000.0,935.25,942.75,1733958
2022-06-17,922.0,950.0,852.0,857.1,1689945
2022-06-24,855.0,887.0,831.4,882.95,1078815
2022-07-01,890.5,895.55,816.5,846.25,1758618
2022-07-08,849.0,894.0,831.0,874.35,1276478
2022-07-15,874.35,895.0,850.05,869.7,924413
2022-07-22,881.0,938.2,873.6,907.8,1891947
2022-07-29,911.95,966.75,881.0,955.75,2158148
2022-08-05,970.0,1075.0,966.0,1029.6,3270336
2022-08-12,1029.6,1128.4,1005.4,1119.95,2140598
2022-08-19,1112.0,1146.95,1040.5,1063.25,1946205
2022-08-26,1063.25,1084.5,972.1,976.15,1972816
2022-09-02,957.9,1050.5,941.0,1035.5,3707674
2022-09-09,1040.8,1083.45,1007.05,1017.45,2034163
2022-09-16,1021.0,1113.0,997.7,1066.75,3205250
2022-09-23,1072.0,1102.35,1046.75,1083.8,1914897
2022-09-30,1077.0,1088.65,1006.55,1038.05,1955570
2022-10-07,1086.0,1177.0,1046.6,1148.2,3027853
2022-10-14,1139.0,1143.9,1080.0,1120.75,1739119
2022-10-21,1117.1,1143.75,1057.2,1077.75,1165139
2022-10-28,1100.0,1114.1,1065.05,1078.05,662260
2022-11-04,1082.0,1121.0,1066.05,1099.8,1736407
2022-11-11,1108.6,1130.0,987.95,1050.35,3278684
2022-11-18,1055.65,1106.8,1051.25,1081.7,1803887
2022-11-25,1087.15,1144.8,1064.0,1081.85,2338683
2022-12-02,1086.8,1193.0,1070.0,1185.5,3251456
2022-12-09,1189.0,1193.0,1111.1,1166.15,3899540
2022-12-16,1161.05,1179.0,1104.0,1115.1,2403788
2022-12-23,1120.7,1152.45,1018.65,1038.3,1778011
2022-12-30,1028.0,1142.0,1023.15,1092.0,1537010
2023-01-06,1093.0,1150.0,1080.0,1119.6,2174208
2023-01-13,1127.8,1137.75,1080.0,1135.0,2719415
2023-01-20,1142.5,1200.0,1085.0,1196.7,2292653
2023-01-27,1199.8,1200.0,1110.0,1139.25,1267273
2023-02-03,1133.0,1200.0,1125.0,1173.3,2242385
2023-02-10,1176.0,1217.5,1165.0,1191.7,2078922
2023-02-17,1197.8,1337.9,1185.1,1287.9,4829246
2023-02-24,1295.25,1311.9,1215.55,1222.7,2349117
2023-03-03,1227.2,1284.0,1181.0,1227.5,2669042
2023-03-10,1239.25,1252.0,1164.0,1199.15,2295214
2023-03-17,1199.0,1275.1,1171.25,1244.9,4317924
2023-03-24,1268.0,1268.0,1184.15,1208.95,1735662
2023-03-31,1216.75,1217.75,1185.6,1207.0,1323118
2023-04-07,1209.9,1214.0,1162.0,1198.1,877747
2023-04-14,1204.95,1209.8,1178.55,1189.95,1283950
2023-04-21,1196.9,1251.75,1168.0,1230.05,1906854
2023-04-28,1230.05,1238.1,1191.6,1195.05,1640430
2023-05-05,1195.4,1220.0,1188.0,1189.75,770297
2023-05-12,1191.05,1197.65,1172.35,1179.75,1406586
2023-05-19,1190.0,1191.8,1086.0,1092.7,4396067
2023-05-26,1095.0,1160.0,1047.0,1128.35,3472052
2023-06-02,1129.6,1152.0,1101.0,1135.45,2914961
2023-06-09,1145.0,1229.0,1140.75,1227.75,4030918
2023-06-16,1230.0,1352.0,1228.1,1301.45,3676985
2023-06-23,1309.8,1397.0,1275.6,1331.0,3419599
2023-06-30,1345.95,1354.0,1298.0,1300.0,1824395
2023-07-07,1362.0,1362.0,1305.9,1317.0,2199279
2023-07-14,1323.0,1361.9,1301.0,1332.7,2648427
2023-07-21,1339.95,1438.8,1332.5,1425.0,3580401
2023-07-28,1432.65,1544.9,1426.0,1539.75,4272235
2023-08-04,1466.0,1600.0,1466.0,1537.0,3082586
2023-08-11,1541.95,1586.95,1444.75,1552.7,4167658
2023-08-18,1551.0,1638.0,1544.05,1548.0,3775631
2023-08-25,1553.8,1709.0,1530.0,1703.05,4559156
2023-09-01,1704.3,1741.0,1608.15,1729.5,7328102
2023-09-08,1729.5,1800.0,1703.0,1716.45,4429042
2023-09-15,1719.95,1754.9,1590.05,1620.2,4008128
2023-09-22,1620.2,1639.95,1561.15,1578.25,1905948
2023-09-29,1578.25,1679.0,1519.1,1625.0,3697721
2023-10-06,1630.0,1657.55,1599.0,1619.3,2150397
2023-10-13,1610.0,1723.0,1554.0,1712.15,3721700
2023-10-20,1724.4,1788.35,1678.95,1709.05,3570399
2023-10-27,1725.0,1725.0,1587.45,1623.9,2640369
2023-11-03,1628.0,1637.65,1506.15,1543.3,4994232
2023-11-10,1545.95,1666.35,1538.05,1654.55,5052748
2023-11-17,1667.95,1714.9,1648.05,1683.1,5049456
2023-11-24,1694.0,1722.3,1640.15,1696.25,5115729
