date,open,high,low,close,volume
2020-01-17,1493.3,1624.0,1479.45,1618.6,4813927
2020-01-24,1620.0,1699.9,1616.5,1668.7,3889531
2020-01-31,1668.0,1713.0,1656.45,1660.2,2715729
2020-02-07,1658.1,1717.6,1616.0,1663.15,3062925
2020-02-14,1663.0,1747.7,1634.5,1704.4,6194857
2020-02-21,1727.0,1813.45,1700.1,1800.7,4498696
2020-02-28,1796.0,1813.55,1726.1,1735.8,3817701
2020-03-06,1750.0,1777.9,1673.0,1688.9,3977410
2020-03-13,1650.0,1671.75,1379.0,1513.65,3212069
2020-03-20,1431.0,1540.9,1052.35,1362.95,7953939
2020-03-27,1226.7,1336.3,1072.05,1167.0,10072664
2020-04-03,1139.0,1239.45,1047.05,1189.55,6504857
2020-04-10,1236.0,1338.4,1211.0,1279.85,4700146
2020-04-17,1300.0,1472.0,1229.8,1374.1,6301797
2020-04-24,1385.0,1465.0,1311.4,1359.5,6859577
2020-05-01,1370.1,1458.2,1370.1,1394.35,4136305
2020-05-08,1394.65,1427.15,1261.75,1314.8,5992257
2020-05-15,1320.0,1377.1,1258.0,1355.3,5780330
2020-05-22,1355.0,1364.9,1252.65,1280.0,3737298
2020-05-29,1290.0,1367.6,1286.1,1356.95,3925056
2020-06-05,1372.0,1407.0,1336.0,1359.05,3527992
2020-06-12,1368.6,1410.0,1302.2,1403.6,3991330
2020-06-19,1394.8,1440.0,1336.2,1370.7,4365420
2020-06-26,1380.0,1480.0,1371.65,1388.15,6805061
2020-07-03,1381.0,1405.55,1311.0,1379.8,4867555
2020-07-10,1384.8,1439.2,1381.6,1402.45,3623523
2020-07-17,1414.95,1507.0,1406.55,1499.2,4673023
2020-07-24,1507.8,1549.35,1465.25,1512.05,4738556
2020-07-31,1519.0,1728.0,1492.05,1674.6,6738260
2020-08-07,1670.0,1753.0,1567.1,1743.2,8999823
2020-08-14,1758.95,1798.0,1687.5,1707.35,4355416
2020-08-21,1715.0,1749.0,1665.65,1677.5,3273005
2020-08-28,1695.5,1716.5,1635.2,1661.95,2981541
2020-09-04,1670.0,1717.0,1622.0,1649.9,3877141
2020-09-11,1654.0,1688.15,1585.05,1611.8,3958974
2020-09-18,1637.9,1871.95,1590.15,1828.45,11216569
2020-09-25,1824.05,2047.0,1760.15,2027.65,14435635
2020-10-02,2035.0,2168.0,1999.1,2089.75,7833643
2020-10-09,2095.0,2314.0,2068.1,2277.1,8048944
2020-10-16,2231.0,2333.0,2175.0,2210.55,8216703
2020-10-23,2224.3,2241.0,2052.6,2075.0,5620755
2020-10-30,2079.0,2147.0,2024.15,2119.45,5303303
2020-11-06,2138.1,2168.45,2062.55,2085.9,4647998
2020-11-13,2099.8,2314.0,1986.0,2265.8,15115874
2020-11-20,2284.0,2415.0,2266.05,2349.6,7598781
2020-11-27,2374.0,2423.4,2236.35,2347.9,15419013
2020-12-04,2384.0,2508.85,2349.05,2434.65,6577415
2020-12-11,2434.65,2520.0,2345.0,2359.9,6618513
2020-12-18,2375.8,2428.0,2335.0,2387.75,5059503
2020-12-25,2385.0,2460.9,2251.0,2413.05,4128185
2021-01-01,2425.5,2430.0,2351.2,2414.85,3217381
2021-01-08,2418.1,2579.0,2385.8,2553.5,5231303
2021-01-15,2564.75,2613.7,2437.75,2592.35,4128664
2021-01-22,2599.5,2685.0,2547.05,2597.9,6026690
2021-01-29,2610.85,2749.65,2551.0,2561.25,5760310
2021-02-05,2590.0,2808.15,2528.1,2730.0,4168683
2021-02-12,2741.0,2836.6,2725.0,2748.1,3636067
2021-02-19,2777.0,3284.0,2760.45,2919.95,14422091
2021-02-26,2918.45,3173.95,2866.9,3051.0,6671363
2021-03-05,3039.05,3152.0,2870.0,2879.5,4331964
2021-03-12,2901.0,3031.0,2826.7,2976.35,3778700
2021-03-19,2998.0,3082.3,2887.25,2934.6,5817814
2021-03-26,2913.0,2993.0,2787.5,2851.7,3665414
2021-04-02,2902.5,2970.9,2843.4,2894.0,2927926
2021-04-09,2922.0,3164.15,2886.0,3132.15,5230935
2021-04-16,3119.0,3119.0,2902.3,3061.0,2821660
2021-04-23,3038.0,3334.1,3005.65,3200.05,8463599
2021-04-30,3230.35,3310.0,3152.0,3197.5,3134365
2021-05-07,3208.8,3397.0,3140.0,3310.85,4888595
2021-05-14,3315.0,3342.6,3095.35,3140.95,2843621
2021-05-21,3147.0,3272.75,3115.1,3247.75,3421056
2021-05-28,3248.0,3285.0,3140.0,3150.0,3134214
2021-06-04,3145.0,3435.0,3125.0,3380.15,3663794
2021-06-11,3380.15,3380.15,3251.0,3336.55,2908068
2021-06-18,3345.0,3360.0,3162.55,3221.5,2075548
