date,open,high,low,close,volume
2020-01-17,169.4,182.35,168.05,180.0,16432939
2020-01-24,180.0,180.2,171.95,177.5,8650613
2020-01-31,177.0,178.35,165.5,166.5,6993190
2020-02-07,167.0,170.8,159.6,164.0,29328549
2020-02-14,163.6,164.5,158.3,159.05,10174306
2020-02-21,159.3,159.3,149.75,158.0,16889183
2020-02-28,157.95,158.0,141.0,142.8,24071501
2020-03-06,145.0,145.8,131.25,135.3,24176231
2020-03-13,132.65,133.0,88.0,104.15,28928040
2020-03-20,101.7,102.3,83.65,88.85,23344087
2020-03-27,83.0,86.75,73.4,82.6,15798551
2020-04-03,79.0,83.3,76.45,78.45,17334764
2020-04-10,80.5,90.8,79.6,89.8,13513932
2020-04-17,92.7,99.5,85.05,98.2,39539019
2020-04-24,101.0,101.7,89.55,89.95,23554108
2020-05-01,91.0,103.3,89.15,96.3,35812263
2020-05-08,93.5,93.5,81.05,90.1,49192938
2020-05-15,91.2,96.5,88.0,91.7,36483889
2020-05-22,92.5,95.9,89.0,90.35,62757248
2020-05-29,91.7,100.8,90.5,97.1,39411325
2020-06-05,99.2,109.75,98.55,104.7,67819739
2020-06-12,106.85,109.5,97.5,106.65,49761237
2020-06-19,110.0,112.6,104.15,109.0,55436800
2020-06-26,110.45,114.95,107.2,111.0,52692090
2020-07-03,111.0,114.85,107.2,114.25,29143951
2020-07-10,114.8,119.6,112.75,113.2,32967157
2020-07-17,114.35,115.25,107.75,109.5,28964491
2020-07-24,110.0,113.3,107.0,109.0,30468229
2020-07-31,109.35,112.0,105.9,108.25,25481856
2020-08-07,108.9,124.95,107.55,123.55,80740051
2020-08-14,123.45,134.4,122.8,129.95,56192686
2020-08-21,131.6,132.9,126.5,131.25,38964267
2020-08-28,132.6,139.0,126.25,133.55,54561413
2020-09-04,134.25,135.5,117.85,120.95,34636892
2020-09-11,121.6,123.2,109.55,116.2,34459357
2020-09-18,116.8,135.55,116.8,130.7,53530356
2020-09-25,131.0,133.1,113.55,120.2,35824008
2020-10-02,121.5,133.35,121.0,132.85,27802966
2020-10-09,133.0,138.6,132.2,137.75,25596436
2020-10-16,137.75,138.7,124.1,128.2,20360778
2020-10-23,129.0,151.0,128.05,149.8,58627265
2020-10-30,149.45,152.65,137.75,139.9,35833792
2020-11-06,140.9,157.2,138.75,153.45,54492975
2020-11-13,154.5,165.5,152.7,164.0,35601955
2020-11-20,165.0,178.3,164.6,175.15,34737784
2020-11-27,175.2,185.5,171.6,184.45,39016382
2020-12-04,184.5,191.95,182.8,188.25,29555587
2020-12-11,189.0,194.7,180.95,193.0,51146105
2020-12-18,193.0,200.0,185.35,191.5,56871179
2020-12-25,191.2,191.2,170.35,175.4,36503124
2021-01-01,177.0,183.2,176.0,179.9,35783373
