date,open,high,low,close,volume
2020-01-17,81.85,84.75,80.6,84.0,73292534
2020-01-24,84.05,87.5,83.6,86.5,79161513
2020-01-31,85.8,87.0,81.5,81.95,56775406
2020-02-07,81.9,84.05,74.8,83.75,140674629
2020-02-14,83.55,84.45,77.9,80.25,112922003
2020-02-21,80.25,84.65,79.15,84.3,83455540
2020-02-28,83.0,86.35,69.5,69.9,176160448
2020-03-06,71.5,77.0,66.2,71.2,145905606
2020-03-13,68.05,71.35,52.0,66.7,102760138
2020-03-20,62.2,66.05,41.1,43.95,234194106
2020-03-27,40.0,51.35,33.7,43.3,358923411
2020-04-03,41.25,44.65,38.0,38.15,139089691
2020-04-10,40.0,47.8,37.3,45.65,165534696
2020-04-17,45.7,51.3,44.5,48.9,159575213
2020-04-24,49.45,49.9,43.5,44.95,120348083
2020-05-01,45.7,53.2,43.75,52.35,137267365
2020-05-08,50.05,51.45,45.8,47.05,155103037
2020-05-15,47.55,52.0,46.55,47.15,179744181
2020-05-22,47.2,47.3,42.35,43.6,167916068
2020-05-29,44.0,44.75,42.0,42.45,258174011
2020-06-05,43.85,49.1,43.5,48.35,322109349
2020-06-12,50.0,55.35,47.1,52.35,343527136
2020-06-19,52.35,54.9,49.6,54.35,173641895
2020-06-26,54.45,58.5,51.8,52.45,264782769
2020-07-03,51.65,51.85,46.65,49.1,259691693
2020-07-10,49.8,53.4,49.45,51.15,209704887
2020-07-17,51.6,52.5,48.35,51.75,140204823
2020-07-24,52.2,53.15,49.9,50.4,146575126
2020-07-31,50.9,52.0,48.0,48.65,142847162
2020-08-07,49.0,50.5,48.65,49.95,141130565
2020-08-14,50.55,65.4,50.35,61.6,526854664
2020-08-21,62.5,72.55,60.15,69.35,448567283
2020-08-28,69.35,73.6,67.8,70.5,182781132
2020-09-04,71.0,72.6,66.15,69.8,202097248
2020-09-11,70.5,71.65,64.15,68.15,152879831
2020-09-18,69.5,83.4,69.1,79.7,353701493
2020-09-25,80.1,80.95,66.85,76.3,371245055
2020-10-02,77.1,79.4,73.2,76.25,211051384
2020-10-09,76.25,78.2,74.4,75.85,167370609
2020-10-16,76.0,77.35,72.0,75.0,194652113
2020-10-23,75.75,83.5,73.5,81.8,211299879
2020-10-30,81.85,83.3,76.3,78.95,217501546
2020-11-06,79.8,86.65,78.6,85.0,166092609
2020-11-13,83.9,91.95,82.4,90.55,227054202
2020-11-20,91.2,97.8,88.6,90.8,174738467
2020-11-27,91.9,92.95,87.8,92.15,155956390
2020-12-04,93.15,97.25,91.35,94.8,114434507
2020-12-11,95.0,96.35,93.3,94.1,93596817
2020-12-18,95.0,102.1,93.8,98.25,166774836
2020-12-25,97.45,98.5,87.25,95.25,130794022
2021-01-01,95.9,99.9,93.75,99.1,84534733
2021-01-08,99.95,113.75,99.5,112.8,221615575
2021-01-15,113.5,125.5,113.15,119.6,241670822
2021-01-22,119.0,127.25,112.65,122.25,194105747
2021-01-29,123.5,124.35,109.5,110.8,128054478
2021-02-05,111.9,138.9,108.5,132.85,255519672
2021-02-12,133.1,137.05,125.9,128.25,160681522
2021-02-19,130.2,132.85,121.5,123.4,128625502
2021-02-26,123.8,131.7,120.6,128.5,121678943
2021-03-05,130.7,134.35,125.0,126.2,125875876
2021-03-12,127.9,127.95,120.75,122.05,77794468
2021-03-19,123.6,123.9,108.0,116.3,146867838
2021-03-26,116.1,116.8,107.25,114.05,108747214
2021-04-02,115.5,118.75,111.7,117.8,55376067
2021-04-09,117.4,125.6,110.8,121.2,141363935
2021-04-16,117.35,117.35,110.05,113.65,101244573
2021-04-23,109.45,114.7,106.2,111.3,119326469
2021-04-30,112.4,119.4,111.85,112.7,104250130
2021-05-07,109.7,115.05,108.3,114.25,71600378
2021-05-14,115.0,116.9,111.4,112.1,47649509
2021-05-21,113.15,127.0,111.65,125.45,142269720
2021-05-28,125.5,128.85,123.55,124.85,63552352
