date,open,high,low,close,volume
2020-01-17,1805.0,1848.0,1804.8,1830.05,3922327
2020-01-24,1838.0,1862.25,1757.1,1786.8,9689191
2020-01-31,1787.0,1824.0,1773.0,1795.65,4891739
2020-02-07,1802.0,1896.75,1747.0,1858.7,8407061
2020-02-14,1867.0,1916.7,1837.2,1877.05,4867900
2020-02-21,1879.9,1893.5,1839.05,1842.25,3485230
2020-02-28,1845.25,1853.0,1783.15,1797.95,8725100
2020-03-06,1815.1,1884.4,1767.0,1877.45,9118326
2020-03-13,1888.0,1915.9,1669.85,1797.7,16747977
2020-03-20,1777.0,1779.8,1431.2,1742.95,17223300
2020-03-27,1578.6,1665.25,1446.0,1604.15,12988195
2020-04-03,1591.15,1690.0,1517.25,1520.9,9118493
2020-04-10,1540.0,1687.8,1538.0,1651.35,6605376
2020-04-17,1646.0,1783.7,1602.85,1756.25,8314574
2020-04-24,1758.25,1845.4,1700.0,1827.55,12072291
2020-05-01,1840.0,1864.0,1741.0,1758.7,9563337
2020-05-08,1718.0,1751.0,1545.2,1578.4,23649065
2020-05-15,1583.0,1599.0,1510.0,1552.95,16665416
2020-05-22,1558.0,1625.0,1482.95,1617.9,17143279
2020-05-29,1625.0,1699.0,1595.95,1683.1,12484849
2020-06-05,1706.5,1744.0,1621.0,1638.55,15331917
2020-06-12,1657.0,1695.0,1577.5,1637.35,12067828
2020-06-19,1629.0,1650.65,1587.3,1622.5,9123398
2020-06-26,1633.0,1813.75,1624.0,1686.75,22100843
2020-07-03,1687.0,1720.0,1660.1,1695.65,10402854
2020-07-10,1708.95,1761.8,1680.05,1703.5,10006793
2020-07-17,1708.0,1742.5,1645.1,1717.9,7999894
2020-07-24,1727.0,1771.75,1682.0,1712.05,11584334
2020-07-31,1717.2,1792.65,1710.4,1715.5,14328281
2020-08-07,1729.0,1816.9,1697.5,1806.25,11750338
2020-08-14,1810.0,1837.8,1772.0,1802.55,9672490
2020-08-21,1820.0,1973.25,1801.85,1958.0,13394925
2020-08-28,1958.0,2016.85,1940.0,1958.1,14745607
2020-09-04,1977.0,1997.0,1881.25,1956.35,12238822
2020-09-11,1965.0,2069.95,1948.1,2035.95,15714130
2020-09-18,2050.0,2054.0,1994.15,2028.4,11295985
