date,open,high,low,close,volume
2020-01-17,634.05,641.36,624.49,629.61,841521
2020-01-24,634.44,634.44,605.28,621.87,884352
2020-01-31,627.13,703.13,622.91,688.13,1829838
2020-02-07,683.41,685.69,631.13,674.89,589713
2020-02-14,677.25,711.56,664.31,673.68,812483
2020-02-21,675.0,682.96,654.3,672.1,575823
2020-02-28,672.1,676.1,632.81,643.73,805847
2020-03-06,644.06,664.88,596.31,630.34,393599
2020-03-13,621.56,649.69,479.42,615.77,779968
2020-03-20,610.31,615.94,503.41,524.28,1069498
2020-03-27,502.37,568.55,419.43,511.03,915289
2020-04-03,492.19,573.75,483.83,548.66,441482
2020-04-10,567.56,567.56,535.5,545.82,261186
2020-04-17,545.63,545.82,495.03,506.45,1158068
2020-04-24,517.39,517.5,478.13,504.59,1100860
2020-05-01,516.94,549.0,500.85,528.81,1015821
2020-05-08,517.5,541.13,495.62,514.72,517402
2020-05-15,514.69,517.87,482.06,486.2,1195879
2020-05-22,488.81,489.94,433.18,472.92,1257491
2020-05-29,464.06,508.5,445.53,493.65,1310772
2020-06-05,502.88,555.75,496.13,514.27,1088771
2020-06-12,519.58,523.13,478.13,490.56,1201276
2020-06-19,492.19,520.31,477.51,509.54,2991265
2020-06-26,515.81,554.06,500.63,541.83,1760973
2020-07-03,537.19,559.69,523.38,552.12,2401404
2020-07-10,561.32,561.32,513.56,518.26,2286350
2020-07-17,524.03,555.27,511.34,545.2,926582
2020-07-24,547.88,555.19,516.46,521.1,747755
2020-07-31,523.13,544.78,514.69,542.53,524386
2020-08-07,534.38,615.38,523.13,590.03,2677077
2020-08-14,590.63,623.76,574.93,588.88,1869680
2020-08-21,599.06,702.0,582.58,696.83,2697353
2020-08-28,703.01,710.24,640.55,661.78,1304899
2020-09-04,663.75,722.76,605.25,685.32,1309605
2020-09-11,675.0,739.52,660.46,667.38,1308339
2020-09-18,678.29,716.63,628.34,633.57,2068154
2020-09-25,637.31,646.73,599.37,618.83,1142816
2020-10-02,620.3,703.07,619.51,679.5,894082
2020-10-09,680.63,682.82,618.81,630.25,1194268
2020-10-16,635.6,671.63,635.6,646.14,813645
2020-10-23,646.88,655.26,623.31,644.48,681516
2020-10-30,646.88,654.72,605.78,632.17,494492
2020-11-06,634.5,662.63,613.86,655.88,570012
2020-11-13,672.1,731.25,648.0,719.58,3964085
2020-11-20,725.06,896.23,720.73,792.62,4478621
2020-11-27,790.31,854.02,771.19,826.57,1440846
2020-12-04,826.57,860.63,796.5,852.38,1141769
2020-12-11,843.64,854.83,783.56,825.98,3341400
2020-12-18,832.16,849.38,815.63,846.56,1183757
2020-12-25,843.75,919.43,821.42,892.35,2460231
2021-01-01,899.47,1029.38,893.98,982.32,2326320
2021-01-08,990.0,1014.22,957.4,991.52,1775115
2021-01-15,998.44,1028.25,939.91,953.18,3085249
2021-01-22,939.38,971.47,904.5,934.31,2196403
2021-01-29,946.46,981.45,914.06,965.7,813036
2021-02-05,966.68,1212.19,959.06,1126.01,4549573
2021-02-12,1148.54,1175.06,1124.18,1135.46,1379450
2021-02-19,1139.06,1174.19,1130.06,1142.47,1020223
2021-02-26,1151.72,1212.19,1145.48,1196.83,1924299
2021-03-05,1209.85,1262.25,1205.24,1245.52,985388
2021-03-12,1254.38,1479.38,1252.69,1408.08,2765616
2021-03-19,1432.69,1459.13,1233.38,1253.44,4914986
2021-03-26,1254.0,1297.5,1109.25,1208.93,1944772
2021-04-02,1241.25,1271.25,1159.39,1264.01,1796726
2021-04-09,1252.5,1260.0,1163.63,1197.53,1846342
2021-04-16,1173.64,1271.25,1058.4,1258.54,4594522
2021-04-23,1214.63,1311.75,1162.5,1269.83,2052582
2021-04-30,1278.75,1295.48,1175.06,1184.36,1636243
2021-05-07,1184.36,1234.43,1168.28,1183.95,1094653
2021-05-14,1187.33,1289.55,1167.75,1260.41,1540153
2021-05-21,1273.88,1485.0,1267.5,1314.75,4234434
2021-05-28,1315.95,1439.7,1315.95,1412.4,2039205
2021-06-04,1420.43,1443.75,1382.96,1423.35,1130691
2021-06-11,1425.75,1522.5,1412.85,1451.14,2505200
2021-06-18,1459.88,1492.35,1417.5,1485.34,2098586
2021-06-25,1473.75,1517.33,1414.58,1440.04,1496443
2021-07-02,1443.75,1540.65,1437.83,1530.6,1977789
2021-07-09,1537.35,1563.9,1508.48,1525.24,918331
2021-07-16,1528.5,1600.5,1509.0,1563.53,1657586
2021-07-23,1567.5,1582.01,1481.25,1509.34,983929
2021-07-30,1515.0,1589.55,1474.73,1561.31,1938414
2021-08-06,1564.13,1720.8,1554.38,1683.94,3494063
2021-08-13,1664.25,1667.18,1462.5,1526.89,2849962
2021-08-20,1538.29,1560.0,1525.5,1546.09,1262699
2021-08-27,1555.69,1563.71,1460.7,1486.54,2347387
2021-09-03,1484.14,1620.0,1480.5,1575.23,2909607
2021-09-10,1590.3,1615.2,1534.54,1537.13,1324625
2021-09-17,1545.75,1617.75,1518.75,1590.56,2296539
2021-09-24,1579.8,1633.5,1434.75,1593.49,3140804
2021-10-01,1602.75,1671.0,1525.84,1649.85,3711338
2021-10-08,1662.11,1825.35,1648.43,1687.01,5038085
2021-10-15,1693.5,1822.5,1681.35,1753.73,1999069
2021-10-22,1777.43,1822.43,1557.64,1644.41,4014703
2021-10-29,1648.5,1671.08,1563.75,1638.49,1841689
2021-11-05,1638.75,1701.68,1638.75,1693.46,1835993
2021-11-12,1704.0,1762.5,1615.61,1721.44,3608098
2021-11-19,1725.75,1772.93,1689.0,1728.64,1950826
2021-11-26,1728.0,1732.5,1579.5,1606.05,3076999
2021-12-03,1574.36,1695.0,1545.04,1672.13,1535694
2021-12-10,1680.0,1720.84,1643.25,1707.6,1233303
2021-12-17,1724.25,1752.71,1644.71,1680.83,1891447
2021-12-24,1676.25,1676.25,1545.0,1588.91,1771250
2021-12-31,1581.75,1735.5,1569.71,1711.35,2644842
2022-01-07,1725.0,1851.0,1715.74,1827.38,3472062
2022-01-14,1827.38,1893.71,1824.75,1850.93,2828576
2022-01-21,1859.1,1893.71,1767.79,1782.71,2052734
2022-01-28,1783.5,1783.5,1531.91,1575.23,3396890
2022-02-04,1609.8,1679.48,1593.3,1635.45,2288199
2022-02-11,1620.0,1633.73,1545.0,1555.39,2374379
2022-02-18,1523.25,1528.76,1353.79,1360.69,4166324
2022-02-25,1350.0,1447.5,1315.16,1432.95,3981878
2022-03-04,1425.0,1461.83,1371.0,1386.6,2031838
2022-03-11,1361.1,1476.75,1338.79,1466.78,2712682
2022-03-18,1466.78,1574.1,1434.68,1522.46,2018664
2022-03-25,1522.46,1545.08,1440.04,1467.83,2182734
2022-04-01,1466.25,1575.0,1455.83,1485.53,2246262
2022-04-08,1505.18,1586.21,1481.74,1545.3,2649602
2022-04-15,1556.96,1612.99,1531.24,1600.28,1535194
2022-04-22,1595.25,1650.75,1536.04,1619.93,2612255
2022-04-29,1608.75,1661.25,1587.75,1615.05,1912060
2022-05-06,1607.25,1615.5,1395.0,1444.28,2187189
2022-05-13,1434.0,1441.58,1285.31,1296.71,3364132
2022-05-20,1311.75,1334.25,1239.41,1262.78,2257326
2022-05-27,1263.75,1301.25,1207.31,1266.98,1734769
2022-06-03,1290.0,1372.73,1262.66,1309.54,2563564
2022-06-10,1315.31,1315.31,1220.63,1235.96,1559793
2022-06-17,1216.5,1270.5,1201.16,1224.38,1473905
2022-06-24,1224.38,1270.84,1186.16,1251.0,1316483
2022-07-01,1265.25,1284.75,1203.9,1243.24,2485220
2022-07-08,1245.0,1302.6,1243.58,1275.53,1607192
2022-07-15,1279.65,1344.79,1262.25,1340.66,1545998
2022-07-22,1350.0,1353.75,1310.63,1314.53,1815092
2022-07-29,1322.25,1376.96,1284.86,1361.63,1620006
2022-08-05,1372.16,1501.46,1353.79,1495.65,2507627
2022-08-12,1499.96,1521.75,1449.0,1489.16,1390080
2022-08-19,1499.25,1557.75,1401.0,1540.35,2315087
2022-08-26,1536.75,1612.5,1503.75,1581.53,1715491
2022-09-02,1500.04,1743.75,1500.04,1735.84,3181104
2022-09-09,1739.81,1991.1,1716.0,1945.61,6803711
2022-09-16,1938.08,1942.88,1732.88,1754.1,6610179
2022-09-23,1762.5,1862.63,1710.19,1736.96,3727035
2022-09-30,1710.0,1728.75,1596.75,1674.34,4305856
2022-10-07,1666.5,1727.78,1638.04,1699.5,2659858
2022-10-14,1687.5,1695.0,1603.73,1612.5,2173490
2022-10-21,1606.54,1641.79,1496.89,1502.25,3551642
2022-10-28,1518.75,1521.0,1454.25,1463.66,1745393
2022-11-04,1474.76,1581.98,1472.03,1565.48,2746493
2022-11-11,1573.31,1591.13,1534.09,1546.46,1271952
2022-11-18,1496.06,1546.46,1399.88,1411.5,4883038
2022-11-25,1410.75,1435.91,1401.64,1420.5,1476938
2022-12-02,1428.0,1518.75,1405.13,1513.76,4264116
2022-12-09,1523.89,1575.0,1497.23,1546.99,3362857
2022-12-16,1539.0,1610.55,1513.5,1538.55,4123511
