date,open,high,low,close,volume
2020-01-17,4237.1,4369.45,4200.0,4351.15,33750
2020-01-24,4375.0,4614.0,4294.0,4596.45,259945
2020-01-31,4614.0,5029.0,4508.15,4913.5,217423
2020-02-07,4942.6,5029.1,4768.95,4945.1,145772
2020-02-14,4973.5,5126.15,4900.0,4968.25,55954
2020-02-21,5026.85,5324.35,4921.0,5195.95,118295
2020-02-28,5200.0,5258.0,4801.0,5143.65,146636
2020-03-06,5206.0,5445.0,4913.25,5065.85,184148
2020-03-13,5066.0,5066.0,3661.85,4418.45,203548
2020-03-20,4329.0,4374.0,3251.0,4188.95,275239
2020-03-27,3450.0,4184.15,2923.2,3997.55,153554
2020-04-03,3949.0,4050.0,3725.4,3897.85,105969
2020-04-10,3935.0,4060.0,3885.0,4046.0,170050
2020-04-17,4020.0,4778.0,3990.0,4607.35,151102
2020-04-24,4600.0,4786.95,4410.05,4599.6,200164
2020-05-01,4585.25,5050.0,4584.0,4852.45,293805
2020-05-08,4801.0,4848.0,4506.6,4670.8,125307
2020-05-15,4685.0,4745.05,4501.1,4549.85,83621
2020-05-22,4511.0,4552.0,4176.05,4273.4,348811
2020-05-29,4280.0,4655.0,4201.0,4512.55,146965
2020-06-05,4496.4,4799.0,4418.0,4633.05,178262
2020-06-12,4655.0,4744.9,4401.0,4519.65,116303
2020-06-19,4569.9,4595.0,4372.15,4468.65,188583
2020-06-26,4550.0,4640.0,4470.0,4486.0,85297
2020-07-03,4539.0,4591.35,4415.0,4537.45,86518
2020-07-10,4565.0,4799.9,4495.45,4631.75,172603
2020-07-17,4650.05,4714.0,4560.0,4630.9,77466
2020-07-24,4675.0,4949.0,4635.0,4923.0,223743
2020-07-31,4987.75,5150.0,4851.6,5053.95,258848
2020-08-07,5053.95,5285.25,5019.1,5152.55,122837
2020-08-14,5170.0,5444.85,5110.2,5221.95,124237
2020-08-21,5230.0,5870.0,5150.5,5697.5,262796
2020-08-28,5710.0,6443.45,5650.25,6219.8,450380
2020-09-04,6221.0,6399.0,5550.0,6116.5,334375
2020-09-11,6165.0,6420.1,6011.1,6290.9,266573
2020-09-18,6335.0,7019.75,6300.0,6645.6,889698
2020-09-25,6720.0,6815.5,5824.95,6089.1,234523
2020-10-02,6179.0,6251.7,5995.3,6100.1,197376
2020-10-09,6121.0,6190.0,5900.0,5909.1,135422
2020-10-16,5949.0,6100.0,5906.1,5993.9,114447
2020-10-23,5999.9,6250.0,5760.0,6116.55,200469
2020-10-30,6120.0,6158.0,5940.0,6008.6,141459
2020-11-06,5960.05,6188.0,5860.0,6150.0,87732
2020-11-13,6200.0,6451.0,6136.1,6361.0,135365
2020-11-20,6425.0,6600.0,6324.15,6539.4,72912
2020-11-27,6545.0,6594.95,6061.3,6310.35,153201
2020-12-04,6345.0,6345.0,6111.0,6145.0,81917
2020-12-11,6152.45,6225.0,6015.0,6108.45,122531
2020-12-18,6109.0,6309.0,5951.0,6290.05,227201
2020-12-25,6289.0,6700.0,6001.0,6501.8,151497
2021-01-01,6549.95,6575.0,6332.25,6371.2,89814
2021-01-08,6428.0,6744.95,6390.0,6640.55,260660
2021-01-15,6680.0,6749.0,6500.0,6589.0,254696
2021-01-22,6589.0,6639.65,6430.0,6509.75,138488
2021-01-29,6730.0,6800.0,6222.0,6372.6,164570
2021-02-05,6400.0,6660.0,6359.0,6384.0,127008
2021-02-12,6400.0,6875.0,6280.0,6844.3,203083
2021-02-19,6880.0,6950.0,6520.1,6578.2,158630
2021-02-26,6578.0,6726.6,6355.0,6565.0,109059
2021-03-05,6595.0,6749.8,6518.15,6682.0,98072
2021-03-12,6724.45,6840.0,6670.0,6784.15,61977
2021-03-19,6860.0,6860.0,6452.2,6732.5,60788
2021-03-26,6764.0,7245.0,6670.05,7019.7,204616
2021-04-02,7060.0,7457.45,6940.0,7340.0,70874
2021-04-09,7432.0,8086.0,7326.0,7972.1,167566
2021-04-16,7950.0,7950.0,7345.0,7780.6,145525
2021-04-23,7651.0,7876.9,7470.0,7838.65,233263
2021-04-30,7849.0,8610.0,7849.0,8088.7,284671
2021-05-07,8000.0,8599.0,7950.2,8312.25,125078
2021-05-14,8346.0,8395.0,8121.1,8203.3,145468
2021-05-21,8220.0,8598.9,8152.05,8562.95,97027
2021-05-28,8565.0,8801.3,8355.0,8528.85,76731
2021-06-04,8505.0,8650.0,8430.05,8603.2,269868
2021-06-11,8603.2,9140.0,8595.0,8850.0,163979
