date,open,high,low,close,volume
2022-01-28,119.3,119.3,108.05,115.38,82253
2022-02-04,118.0,120.75,115.6,115.94,120535
2022-02-11,115.94,119.44,112.15,115.84,132194
2022-02-18,116.79,118.94,110.0,114.54,131605
2022-02-25,116.49,120.3,106.71,109.54,187571
2022-03-04,109.54,110.98,99.0,99.71,190263
2022-03-11,99.75,104.69,92.01,100.32,426941
2022-03-18,101.79,106.31,98.75,105.62,145916
2022-03-25,106.0,108.5,102.63,104.03,125869
2022-04-01,104.03,108.95,102.6,106.88,161838
2022-04-08,107.7,113.9,106.6,109.16,73556
2022-04-15,109.74,111.75,106.33,107.58,36541
2022-04-22,106.98,112.0,105.37,110.2,102069
2022-04-29,112.0,113.9,108.07,111.29,80087
2022-05-06,110.6,113.5,105.5,105.84,50391
2022-05-13,110.0,114.0,101.36,104.73,79267
2022-05-20,106.18,111.01,104.5,109.24,237486
2022-05-27,111.5,113.38,108.78,113.29,73743
2022-06-03,115.0,117.88,112.0,113.36,154033
2022-06-10,114.78,123.6,111.3,114.23,55063
2022-06-17,113.9,114.18,108.26,109.08,126036
2022-06-24,110.28,116.47,106.13,115.98,137657
2022-07-01,116.98,120.8,115.23,118.05,388656
2022-07-08,119.48,124.46,116.8,122.09,449575
2022-07-15,122.09,130.8,120.23,124.84,370706
2022-07-22,126.48,128.93,124.0,127.31,527728
2022-07-29,130.0,130.0,122.65,126.4,255623
2022-08-05,128.0,137.7,126.8,129.45,464861
2022-08-12,130.9,133.0,128.25,130.7,227709
2022-08-19,132.4,139.7,130.5,131.0,231930
2022-08-26,143.9,143.9,127.15,130.8,219765
2022-09-02,137.7,137.7,128.25,133.6,233740
2022-09-09,134.95,136.0,131.2,133.45,142236
2022-09-16,134.7,139.7,130.05,131.05,220072
2022-09-23,131.0,135.25,130.05,132.5,201193
2022-09-30,134.4,134.4,124.75,128.25,247972
2022-10-07,128.2,132.0,125.5,129.2,119366
2022-10-14,129.2,129.3,126.1,126.4,174940
2022-10-21,127.35,130.5,125.5,128.15,103822
2022-10-28,129.9,135.0,128.3,133.25,195768
2022-11-04,135.0,137.0,133.0,134.05,260292
2022-11-11,134.65,137.75,131.6,131.95,206566
2022-11-18,131.95,138.8,128.6,129.35,288427
2022-11-25,130.55,131.25,128.2,130.8,250744
2022-12-02,131.95,135.4,116.3,132.05,304666
2022-12-09,134.0,134.0,129.0,129.95,329547
2022-12-16,130.7,132.8,128.6,129.1,214213
2022-12-23,130.9,132.8,123.5,123.8,338790
2022-12-30,123.8,128.27,123.55,127.93,161618
2023-01-06,127.31,129.28,126.25,127.67,148362
2023-01-13,127.11,130.29,127.11,129.76,164879
2023-01-20,130.29,130.29,128.1,128.33,137361
2023-01-27,129.74,134.33,128.11,131.61,358559
2023-02-03,131.01,136.43,129.24,135.5,541517
2023-02-10,135.0,136.27,132.05,133.9,151243
2023-02-17,133.0,137.6,131.75,133.41,129615
2023-02-24,133.05,134.42,130.09,130.34,128735
2023-03-03,130.0,131.7,127.25,129.28,231631
2023-03-10,130.91,132.91,127.51,128.82,185658
2023-03-17,129.93,129.94,123.29,124.06,369555
2023-03-24,124.06,126.55,121.41,122.57,221777
2023-03-31,123.23,126.0,120.2,123.4,183532
2023-04-07,123.89,126.39,123.89,125.69,202097
2023-04-14,126.89,130.87,125.72,130.42,298958
2023-04-21,130.99,132.0,129.13,130.41,325833
2023-04-28,134.3,134.3,129.64,132.97,221952
2023-05-05,132.98,135.75,129.9,134.63,228571
2023-05-12,135.79,141.15,134.64,140.36,472496
2023-05-19,139.16,144.89,137.54,140.88,354810
2023-05-26,141.43,143.07,139.61,142.46,218432
2023-06-02,143.99,145.3,139.75,145.12,219674
2023-06-09,145.98,150.87,145.29,147.83,358851
2023-06-16,148.98,149.88,147.3,148.85,248119
2023-06-23,149.99,150.08,146.72,147.5,227500
2023-06-30,147.83,153.5,146.79,153.5,291895
2023-07-07,153.07,160.5,151.85,156.84,433163
2023-07-14,158.0,160.0,155.37,157.5,400081
2023-07-21,157.89,162.15,156.24,158.18,285822
2023-07-28,158.18,162.0,156.68,157.56,355833
2023-08-04,157.69,160.33,154.83,157.0,435653
2023-08-11,156.97,157.96,155.2,156.95,201678
2023-08-18,157.39,160.35,154.0,156.42,175512
2023-08-25,156.74,162.15,155.05,157.18,147700
2023-09-01,157.45,161.89,156.34,161.87,379212
2023-09-08,162.0,167.1,161.12,163.93,414376
2023-09-15,164.5,167.99,161.91,166.89,563351
2023-09-22,166.96,169.15,163.79,165.24,426399
2023-09-29,167.0,169.0,161.53,164.89,336634
2023-10-06,165.99,165.99,159.8,163.03,337840
2023-10-13,162.83,166.99,160.34,166.83,275506
2023-10-20,167.79,169.33,166.22,167.77,241887
2023-10-27,162.8,168.0,161.7,164.6,283988
2023-11-03,164.0,165.95,160.62,163.0,241323
2023-11-10,165.7,166.38,163.27,165.74,186863
2023-11-17,168.0,172.27,165.18,171.43,302563
2023-11-24,173.5,175.7,170.1,173.0,259916
2023-12-01,174.47,179.99,173.01,177.75,346114
2023-12-08,181.34,186.11,178.3,180.82,446092
2023-12-15,181.87,184.84,176.9,184.0,440498
2023-12-22,183.94,184.76,175.82,181.2,623856
2023-12-29,181.99,189.75,180.76,188.5,500067
2024-01-05,194.5,194.5,184.37,187.49,568245
2024-01-12,190.0,191.87,185.85,189.89,425804
2024-01-19,190.84,193.1,184.52,188.5,443703
