date,open,high,low,close,volume
2020-01-17,304.9,364.0,301.5,345.9,2319767
2020-01-24,346.4,346.6,309.3,312.3,733220
2020-01-31,309.1,315.95,291.55,294.95,737739
2020-02-07,294.0,297.4,246.35,270.45,1497675
2020-02-14,270.5,281.95,252.05,263.0,837264
2020-02-21,273.35,276.95,249.05,261.95,376904
2020-02-28,259.9,259.9,216.2,218.85,394622
2020-03-06,226.0,229.5,182.95,184.7,672378
2020-03-13,180.35,180.35,129.3,146.0,553456
2020-03-20,135.0,144.05,109.45,114.75,368877
2020-03-27,104.1,109.5,88.5,107.2,277950
2020-04-03,112.55,130.25,105.1,130.25,145946
2020-04-10,136.75,150.7,132.15,150.7,29305
2020-04-17,158.2,158.2,133.05,147.0,239830
2020-04-24,151.8,151.8,133.0,134.1,143000
2020-05-01,138.8,144.0,133.0,142.75,91111
2020-05-08,137.35,146.0,132.1,133.6,231324
2020-05-15,135.8,135.8,125.0,131.8,88615
2020-05-22,133.0,138.2,119.35,138.15,127938
2020-05-29,144.4,148.55,136.95,140.85,201233
2020-06-05,141.25,173.0,140.5,173.0,355492
2020-06-12,190.25,208.8,165.8,201.75,1040414
2020-06-19,201.0,202.8,185.05,199.6,355955
2020-06-26,202.4,206.45,183.3,188.25,522009
2020-07-03,189.0,195.0,186.0,187.95,223872
2020-07-10,188.65,197.3,182.85,183.3,343896
2020-07-17,182.0,185.45,171.15,177.8,415541
2020-07-24,176.0,183.0,169.5,172.45,183115
2020-07-31,171.2,176.0,164.3,167.15,166678
2020-08-07,169.5,176.9,160.5,172.0,365384
2020-08-14,175.65,202.0,172.45,184.4,791719
2020-08-21,186.5,201.85,182.7,196.9,731609
2020-08-28,198.5,210.4,194.6,199.1,659066
2020-09-04,200.6,202.4,182.6,191.25,336530
2020-09-11,191.3,194.4,185.35,189.2,124504
2020-09-18,190.1,204.0,189.1,192.25,320390
2020-09-25,192.05,193.3,170.95,179.7,160681
2020-10-02,180.65,183.5,177.0,178.05,123740
2020-10-09,179.75,186.7,176.9,180.95,155364
2020-10-16,183.0,194.0,167.0,187.5,299024
