date,open,high,low,close,volume
2020-01-17,3106.0,3150.0,3074.0,3118.1,1546765
2020-01-24,3130.0,3144.65,3051.1,3074.15,1316905
2020-01-31,3069.8,3239.95,3041.1,3180.05,4334351
2020-02-07,3173.6,3315.15,3106.6,3134.85,4560582
2020-02-14,3138.0,3205.0,3091.7,3146.4,1655281
2020-02-21,3152.55,3159.45,3033.5,3065.5,1083739
2020-02-28,3077.0,3084.65,2850.45,2890.0,2815066
2020-03-06,2920.0,2944.5,2620.0,2735.05,4739050
2020-03-13,2675.0,2690.0,2040.0,2357.1,3031462
2020-03-20,2315.0,2389.0,2032.35,2242.3,3945113
2020-03-27,2052.0,2389.0,1788.65,2053.45,4541831
2020-04-03,2016.0,2095.8,1930.3,2033.75,2787658
2020-04-10,2065.0,2524.95,2065.0,2435.95,3699687
2020-04-17,2430.15,2483.6,2264.5,2379.15,3276363
2020-04-24,2410.0,2472.0,2295.0,2445.35,3691329
2020-05-01,2470.0,2654.0,2431.35,2623.3,3419549
2020-05-08,2550.0,2554.95,2361.3,2419.05,2894908
2020-05-15,2430.0,2774.0,2428.0,2663.6,5759265
2020-05-22,2650.0,2724.2,2461.0,2553.75,7571647
2020-05-29,2580.0,2741.0,2450.0,2710.5,4395194
2020-06-05,2730.0,2876.5,2725.45,2776.3,4475474
2020-06-12,2800.0,2814.6,2610.25,2782.15,3591488
2020-06-19,2774.0,2786.95,2646.15,2674.35,3237880
2020-06-26,2690.0,2979.9,2659.55,2867.6,7149593
2020-07-03,2825.0,2960.0,2815.0,2932.4,4107643
2020-07-10,2942.05,2974.0,2811.6,2894.7,6032143
2020-07-17,2898.9,3000.0,2847.0,2995.0,3212191
2020-07-24,3001.0,3057.0,2906.55,2985.5,5252981
2020-07-31,2990.0,3149.0,2934.05,3004.95,3599905
2020-08-07,2990.0,3075.0,2910.0,3001.7,3999403
2020-08-14,3001.7,3060.0,2971.0,2987.55,2633011
2020-08-21,3014.0,3159.0,2992.0,3053.15,4314939
2020-08-28,3062.9,3138.0,2991.7,3014.15,4631866
2020-09-04,3025.0,3029.0,2840.0,2883.2,7774229
2020-09-11,2898.35,2941.95,2830.05,2916.35,3653243
2020-09-18,2922.0,3070.0,2895.0,3050.95,5308333
2020-09-25,3045.95,3047.6,2912.8,2957.4,3715790
2020-10-02,2976.9,3113.95,2870.0,2985.4,7929205
2020-10-09,3016.4,3110.8,2930.05,3059.8,5417985
2020-10-16,3051.0,3130.0,2996.2,3044.75,3536933
2020-10-23,3070.0,3095.5,2957.0,3082.25,5398824
2020-10-30,3097.95,3113.75,2853.05,2886.9,6588225
2020-11-06,2918.0,3000.0,2822.45,2977.4,3985352
2020-11-13,2990.0,3048.0,2967.0,3040.75,3200862
2020-11-20,3034.0,3085.0,2996.45,3058.55,2665054
2020-11-27,3068.0,3249.0,3030.6,3173.55,6384706
2020-12-04,3175.1,3371.2,3161.0,3311.4,4812383
2020-12-11,3311.4,3384.75,3267.8,3327.65,2783241
2020-12-18,3327.65,3363.0,3252.0,3347.55,3829217
2020-12-25,3352.5,3423.55,3172.0,3374.75,4007269
2021-01-01,3388.0,3494.0,3374.0,3481.25,2691061
2021-01-08,3490.0,3544.6,3428.25,3529.15,3007677
2021-01-15,3531.0,3658.65,3521.0,3580.3,3594503
2021-01-22,3552.0,4130.0,3505.0,4089.5,11807631
2021-01-29,4150.0,4236.65,3990.0,4005.8,7098420
2021-02-05,4064.0,4361.4,3975.05,4231.25,4486652
2021-02-12,4231.45,4258.5,4100.1,4136.05,3232947
2021-02-19,4152.2,4205.0,3977.2,4001.1,2362897
2021-02-26,4010.0,4040.0,3773.05,3798.7,3316427
2021-03-05,3798.7,3985.0,3751.0,3852.85,3404130
2021-03-12,3848.0,3879.0,3734.8,3746.4,3008818
2021-03-19,3775.0,3775.0,3555.8,3650.05,5073654
2021-03-26,3650.2,3709.95,3497.0,3600.05,3091039
2021-04-02,3604.25,3764.3,3581.35,3740.0,2304049
2021-04-09,3700.05,3740.0,3576.05,3651.3,2470830
