date,open,high,low,close,volume
2020-01-17,944.6,974.03,940.53,971.5,7200396
2020-01-24,972.5,976.44,948.01,963.38,8034875
2020-01-31,959.0,995.0,941.0,944.14,15478755
2020-02-07,944.26,970.9,882.0,962.33,24196494
2020-02-14,960.5,984.1,953.1,969.05,8035015
2020-02-21,969.98,982.76,941.6,970.97,8299366
2020-02-28,968.0,968.0,882.51,905.08,13422985
2020-03-06,930.0,930.0,840.0,860.32,20285625
2020-03-13,843.9,845.0,652.43,774.2,19577346
2020-03-20,745.0,756.65,544.27,623.31,31294635
2020-03-27,564.0,589.04,416.03,489.06,53550295
2020-04-03,470.0,487.96,443.0,451.08,33871786
2020-04-10,462.0,495.0,432.91,482.03,31080167
2020-04-17,484.4,513.6,446.94,499.97,39743566
2020-04-24,508.58,509.0,436.5,438.98,40801395
2020-05-01,443.02,517.5,428.8,510.44,52422526
2020-05-08,492.2,493.99,454.2,460.1,40234455
2020-05-15,468.73,505.0,445.55,472.33,34908695
2020-05-22,472.46,474.27,408.7,431.56,56216165
2020-05-29,436.0,442.9,398.53,440.49,67161996
2020-06-05,450.0,552.98,447.68,523.64,107250505
2020-06-12,536.0,552.4,490.0,528.6,64349175
2020-06-19,528.1,597.03,498.07,589.98,86442475
2020-06-26,596.9,645.5,587.0,594.63,93493605
2020-07-03,583.2,626.7,575.13,614.94,60735205
2020-07-10,621.7,668.0,616.1,648.38,71714605
2020-07-17,657.4,659.24,606.5,636.16,43212975
2020-07-24,640.0,671.0,622.5,627.03,70420345
2020-07-31,627.9,642.5,612.0,620.59,36186255
2020-08-07,622.3,650.0,606.0,646.72,32734355
2020-08-14,651.0,657.0,619.0,624.67,22339115
2020-08-21,630.0,642.5,620.1,628.24,20043455
2020-08-28,631.39,670.0,629.42,654.56,32878515
2020-09-04,660.45,667.0,613.5,627.72,33699195
2020-09-11,632.4,634.93,598.16,612.84,28171855
2020-09-18,615.8,624.0,586.25,588.85,26880425
2020-09-25,589.6,590.99,540.0,580.33,30746645
2020-10-02,586.17,610.48,582.0,605.36,23631926
2020-10-09,609.0,616.95,582.0,591.52,31735695
