date,open,high,low,close,volume
2019-11-08,3738.25,3903.95,3700.0,3777.1,86759
2019-11-15,3792.0,3792.0,3695.0,3720.05,108415
2019-11-22,3720.05,3794.25,3676.0,3691.3,151046
2019-11-29,3712.95,3729.0,3552.0,3564.35,141340
2019-12-06,3565.0,3565.0,3405.1,3411.8,131841
2019-12-13,3406.05,3432.95,3272.8,3315.35,162659
2019-12-20,3320.05,3344.15,3250.0,3287.6,341260
2019-12-27,3277.0,3520.0,3255.05,3439.1,96011
2020-01-03,3454.6,3589.85,3358.0,3467.55,197396
2020-01-10,3460.0,3480.85,3300.0,3386.45,184575
2020-01-17,3400.0,3426.0,3360.0,3386.4,202415
2020-01-24,3402.5,3405.0,3328.0,3338.95,146403
2020-01-31,3330.0,3500.0,3260.0,3454.3,290234
2020-02-07,3459.95,3950.0,3437.05,3783.0,1166370
2020-02-14,3786.05,3939.75,3726.0,3756.55,387477
2020-02-21,3766.0,3805.5,3660.0,3680.3,158005
2020-02-28,3691.6,3750.0,3350.8,3386.65,160116
2020-03-06,3460.0,3460.0,3121.7,3156.75,158116
2020-03-13,3148.0,3148.0,2474.9,2954.45,492802
2020-03-20,2890.0,2923.9,2140.0,2281.4,1113618
2020-03-27,2100.0,2198.9,1460.15,1900.0,850989
2020-04-03,1810.0,1930.0,1700.0,1924.6,172916
2020-04-10,1980.0,2110.9,1925.0,2085.4,81491
2020-04-17,2090.0,2154.95,1910.0,2110.1,137881
2020-04-24,2147.0,2147.0,1875.05,1881.7,131934
2020-05-01,1929.9,2084.95,1845.0,2037.8,190231
2020-05-08,2000.0,2000.0,1873.0,1876.95,124694
2020-05-15,1894.95,2020.0,1875.0,1925.25,128836
2020-05-22,1934.9,2025.0,1850.35,1993.55,494468
2020-05-29,2000.0,2030.4,1950.0,2000.6,102664
2020-06-05,2010.6,2493.8,2010.6,2440.05,354824
2020-06-12,2539.0,2583.1,2215.0,2349.4,399755
2020-06-19,2385.0,2569.95,2280.0,2527.25,343030
2020-06-26,2578.65,3005.0,2569.45,2705.05,505919
2020-07-03,2723.0,2770.0,2525.25,2546.5,294615
2020-07-10,2565.0,2897.95,2565.0,2732.75,555819
2020-07-17,2765.0,2765.0,2552.1,2638.8,414888
2020-07-24,2660.0,2787.0,2622.0,2674.9,255316
2020-07-31,2689.7,2750.0,2602.55,2656.1,359662
2020-08-07,2650.0,2717.15,2545.1,2701.05,173683
2020-08-14,2733.0,2762.95,2552.3,2598.85,141246
2020-08-21,2618.95,2693.0,2600.0,2648.7,236156
2020-08-28,2680.0,2880.0,2625.05,2782.15,525579
2020-09-04,2790.0,2815.15,2585.0,2590.5,144632
2020-09-11,2590.0,2630.0,2385.1,2461.15,225005
2020-09-18,2467.0,2620.05,2456.95,2587.5,142246
2020-09-25,2608.0,2615.0,2390.45,2441.0,152227
2020-10-02,2467.0,2520.0,2401.0,2449.5,100210
2020-10-09,2471.0,2478.95,2369.0,2398.7,116974
2020-10-16,2424.4,2424.4,2341.4,2354.05,444688
2020-10-23,2388.9,2388.9,2248.0,2261.65,312806
2020-10-30,2270.0,2326.5,2212.65,2306.7,275502
2020-11-06,2326.0,2449.0,2299.15,2426.9,153790
2020-11-13,2445.0,2731.0,2411.45,2691.25,508817
2020-11-20,2715.0,3026.1,2653.0,3008.8,818802
2020-11-27,3100.0,3348.85,2883.0,3063.75,1451375
2020-12-04,3115.5,3175.0,3060.0,3138.05,283619
2020-12-11,3154.0,3199.0,3022.0,3062.25,637769
2020-12-18,3090.0,3170.9,3025.25,3081.9,272697
2020-12-25,3011.1,3189.0,2850.2,3073.05,261944
2021-01-01,3110.0,3147.0,3008.9,3119.15,173264
2021-01-08,3139.95,3152.5,3050.0,3131.3,161813
2021-01-15,3135.0,3257.45,3124.0,3201.05,316787
2021-01-22,3207.9,3299.6,3120.05,3283.45,568319
