date,open,high,low,close,volume
2020-01-17,4168.0,4242.0,4146.0,4231.75,3215419
2020-01-24,4229.0,4252.95,4085.0,4194.5,4563876
2020-01-31,4174.0,4485.0,4150.15,4365.9,11731033
2020-02-07,4350.0,4686.9,4203.3,4654.3,9287501
2020-02-14,4660.0,4815.0,4640.0,4781.75,4623429
2020-02-21,4781.75,4923.4,4701.6,4880.45,4251787
2020-02-28,4840.0,4876.0,4311.75,4465.85,9190324
2020-03-06,4600.0,4617.95,4036.5,4225.85,11880243
2020-03-13,4070.0,4127.5,3281.05,3952.55,16461965
2020-03-20,3833.45,3833.45,2484.7,2951.9,25578074
2020-03-27,2656.75,3040.0,2104.65,2542.3,29594801
2020-04-03,2390.05,2414.4,2100.0,2207.5,31322634
2020-04-10,2245.0,2566.15,2081.5,2551.85,27466927
2020-04-17,2520.0,2520.0,2122.0,2308.15,34955241
2020-04-24,2325.0,2345.5,1970.05,1976.25,39489274
2020-05-01,2000.0,2418.95,1915.65,2318.1,53196504
2020-05-08,2200.0,2202.2,1952.35,2024.15,46720358
2020-05-15,2070.0,2258.95,1977.1,2086.45,49767327
2020-05-22,2090.0,2093.45,1865.25,1895.3,62628536
2020-05-29,1918.0,1983.0,1783.0,1953.65,46619171
2020-06-05,1997.05,2496.85,1997.05,2390.35,93230344
2020-06-12,2505.0,2547.7,2199.0,2450.15,63172964
2020-06-19,2420.0,2714.55,2285.0,2698.6,65977894
2020-06-26,2740.0,3125.0,2728.0,2903.5,78792340
2020-07-03,2834.0,3016.0,2770.0,2931.5,54185930
2020-07-10,2970.0,3419.65,2955.0,3314.15,88349148
2020-07-17,3360.0,3378.0,3102.3,3301.3,54946899
2020-07-24,3344.95,3519.5,3193.6,3251.85,68943206
2020-07-31,3263.0,3329.0,3152.2,3251.3,37115839
2020-08-07,3244.0,3481.45,3142.85,3464.3,36452993
2020-08-14,3494.0,3556.85,3306.2,3331.1,28559176
2020-08-21,3350.0,3465.0,3312.4,3389.3,19880873
2020-08-28,3403.0,3707.0,3401.05,3670.8,31587689
2020-09-04,3715.0,3749.85,3465.0,3596.8,27012151
2020-09-11,3607.0,3629.0,3392.45,3544.4,23047834
2020-09-18,3557.0,3575.05,3420.0,3474.8,18883293
2020-09-25,3462.8,3467.0,3006.9,3138.95,24293457
2020-10-02,3178.0,3460.0,3162.75,3442.8,19217845
2020-10-09,3465.0,3519.0,3285.3,3317.9,25683381
2020-10-16,3350.0,3382.35,3170.1,3231.35,22631221
2020-10-23,3255.1,3356.8,3101.35,3316.9,25286317
2020-10-30,3330.0,3489.9,3236.65,3309.0,22284449
2020-11-06,3325.55,3827.3,3274.65,3780.75,25181930
2020-11-13,3810.0,4429.55,3786.05,4376.05,41146497
2020-11-20,4398.7,4785.0,4345.0,4715.85,30451957
2020-11-27,4769.0,4960.0,4640.0,4908.8,35023660
2020-12-04,4951.2,4958.0,4785.0,4875.35,14228619
2020-12-11,4870.0,4924.95,4775.0,4843.85,12648174
2020-12-18,4857.5,5303.15,4848.0,5252.5,17980523
2020-12-25,5228.0,5234.7,4826.35,5184.9,15081365
2021-01-01,5184.9,5372.5,5167.5,5280.15,12079710
2021-01-08,5324.0,5324.0,4990.3,5082.0,15926213
2021-01-15,5108.0,5110.95,4826.25,4883.6,14751939
2021-01-22,4870.0,5225.0,4686.0,4972.55,21925063
2021-01-29,5049.0,5163.0,4707.1,4734.55,14204040
2021-02-05,4775.0,5627.0,4666.5,5538.55,21049297
2021-02-12,5542.0,5665.0,5382.6,5577.45,11355099
2021-02-19,5605.35,5822.2,5425.0,5497.95,12699891
2021-02-26,5480.0,5619.95,5221.0,5243.55,11326983
2021-03-05,5315.0,5573.35,5195.0,5444.9,10800103
2021-03-12,5469.0,5670.0,5311.0,5557.85,8229397
2021-03-19,5571.05,5585.65,5190.05,5453.25,10340893
2021-03-26,5446.5,5497.0,5103.15,5183.05,10212652
2021-04-02,5234.85,5288.5,5122.95,5272.15,5838287
2021-04-09,5259.0,5259.0,4845.0,4872.3,12520802
2021-04-16,4740.0,4774.9,4400.0,4616.6,12712135
2021-04-23,4450.0,4759.8,4362.0,4667.8,12110413
2021-04-30,4690.0,5525.0,4690.0,5451.9,25506612
2021-05-07,5316.3,5749.95,5291.25,5493.8,17322802
2021-05-14,5575.0,5575.0,5267.0,5330.35,6678596
2021-05-21,5350.0,5722.9,5315.05,5631.75,11154822
2021-05-28,5634.0,5794.8,5582.0,5616.0,9123446
2021-06-04,5620.0,6010.0,5560.0,5993.45,11336069
2021-06-11,5800.0,6230.0,5627.3,6120.0,15157632
2021-06-18,6069.7,6249.0,5920.0,6087.05,10217453
2021-06-25,6000.0,6189.0,5987.1,6075.8,6094006
2021-07-02,6100.0,6137.65,5940.0,5997.75,5295258
2021-07-09,6029.0,6342.8,6006.05,6136.15,8878489
2021-07-16,6175.0,6225.0,6097.2,6125.45,4589646
2021-07-23,6088.0,6244.0,5868.0,6180.9,7131339
2021-07-30,6150.0,6430.0,6130.0,6228.1,6840311
2021-08-06,6270.0,6477.45,6170.0,6224.3,5332592
2021-08-13,6225.0,6269.95,6057.0,6156.55,3866651
2021-08-20,6149.0,6732.7,6103.85,6661.1,7344573
2021-08-27,6740.0,7054.0,6697.0,6966.6,8041491
2021-09-03,6995.95,7674.5,6980.0,7523.4,8742234
2021-09-10,7550.0,7615.0,7380.0,7430.65,3292776
2021-09-17,7430.65,7679.95,7330.5,7428.8,6231204
2021-09-24,7360.0,7999.0,7320.75,7793.4,7815973
2021-10-01,7849.0,7860.0,7425.05,7522.75,5597401
2021-10-08,7588.0,7885.0,7560.15,7732.2,5583487
2021-10-15,7773.9,8010.0,7750.0,7862.9,4195384
2021-10-22,8050.0,8050.0,7575.0,7710.2,5359823
2021-10-29,7750.0,7919.95,7313.05,7400.2,8463173
2021-11-05,7430.0,7569.0,7220.0,7525.1,2486596
2021-11-12,7543.9,7754.4,7410.0,7579.1,3297053
2021-11-19,7583.35,7697.7,7440.0,7484.95,2418668
2021-11-26,7492.0,7514.5,6775.0,6807.05,6526780
2021-12-03,6767.0,7233.8,6678.3,7069.25,6488237
2021-12-10,7069.25,7468.1,6938.1,7452.5,5096647
2021-12-17,7470.0,7477.0,6831.0,6901.1,7841437
2021-12-24,6850.0,6993.5,6492.6,6852.0,7189981
2021-12-31,6751.0,6999.0,6654.05,6977.3,3736102
2022-01-07,6975.0,7785.0,6975.0,7659.35,7513731
2022-01-14,7686.0,7869.0,7571.0,7832.2,4321385
2022-01-21,7819.5,8045.0,7305.85,7373.75,11090948
2022-01-28,7350.0,7350.0,6708.1,6867.25,8257066
2022-02-04,6979.9,7287.05,6886.0,7158.4,5637583
2022-02-11,7165.0,7240.0,6881.0,7011.6,5993381
2022-02-18,6810.0,7224.95,6744.05,7030.1,5236760
2022-02-25,7000.0,7117.35,6592.45,6969.4,6213945
2022-03-04,6860.0,7025.0,6500.0,6537.9,6519408
2022-03-11,6350.0,6794.0,5912.9,6628.0,11365834
2022-03-18,6601.0,7056.9,6500.0,6994.4,6050390
2022-03-25,7000.0,7104.0,6767.0,6973.5,4898654
2022-04-01,6990.0,7449.0,6870.0,7408.1,5429701
2022-04-08,7449.0,7590.9,7260.0,7366.6,4489111
2022-04-15,7345.05,7384.0,7220.0,7328.45,2075423
2022-04-22,7265.5,7443.3,6960.0,7110.75,5190843
2022-04-29,7000.0,7262.95,6580.0,6671.8,9518340
2022-05-06,6550.0,6667.8,5975.0,6000.3,7438749
2022-05-13,5961.0,6135.25,5500.0,5515.75,9574279
2022-05-20,5575.0,5956.7,5488.0,5769.6,6635454
2022-05-27,5825.0,6077.0,5653.4,5993.5,5805039
2022-06-03,6088.0,6169.2,5949.2,6028.2,5048344
2022-06-10,6008.2,6054.0,5652.4,5667.5,6358350
2022-06-17,5525.05,5614.95,5220.0,5419.55,9594894
2022-06-24,5428.0,5616.65,5343.0,5587.75,5426951
2022-07-01,5700.0,5725.0,5335.05,5614.4,4964655
2022-07-08,5612.9,5986.9,5541.0,5873.2,6379752
2022-07-15,5850.0,5979.0,5784.0,5915.2,3886496
2022-07-22,5969.9,6325.0,5931.35,6258.25,5050872
2022-07-29,6240.0,7260.0,6185.0,7209.1,12791370
2022-08-05,7251.05,7385.0,7182.2,7304.7,5402145
2022-08-12,7300.0,7398.0,7105.0,7309.4,4927490
2022-08-19,7339.0,7638.0,7271.0,7301.7,5084177
2022-08-26,7261.0,7279.8,7025.1,7062.1,5215407
2022-09-02,6881.0,7335.0,6861.35,7190.35,5096337
2022-09-09,7190.7,7324.0,7070.0,7180.9,3712608
2022-09-16,7216.85,7560.0,7187.85,7274.1,5614920
2022-09-23,7275.0,7778.0,7190.95,7507.15,7193649
2022-09-30,7437.0,7460.0,7026.8,7335.75,6472192
2022-10-07,7337.0,7599.0,7144.6,7345.15,4512717
2022-10-14,7265.0,7352.5,7114.7,7272.5,3573448
2022-10-21,7254.95,7490.0,7153.05,7192.75,5562374
2022-10-28,7310.0,7310.0,6931.0,7006.85,3618485
2022-11-04,7094.0,7240.0,7046.0,7212.0,3721777
2022-11-11,7248.1,7250.65,6964.55,7051.45,3653307
2022-11-18,7054.9,7107.0,6750.0,6791.5,4972117
2022-11-25,6747.0,6839.85,6610.35,6747.5,4537794
2022-12-02,6729.0,6832.8,6647.0,6675.75,5188719
2022-12-09,6674.55,6735.0,6490.0,6517.45,5099964
2022-12-16,6508.1,6714.0,6392.0,6596.9,4474622
2022-12-23,6600.1,6705.0,6340.05,6374.6,3733230
2022-12-30,6374.65,6719.9,6300.0,6575.2,4109567
2023-01-06,6565.0,6660.0,5941.6,5980.4,10026896
2023-01-13,6020.0,6078.0,5857.0,5977.8,6215253
2023-01-20,6000.0,6072.2,5837.2,5860.4,3902857
2023-01-27,5881.0,5935.0,5680.0,5760.7,3913398
2023-02-03,5770.05,6066.2,5645.0,6014.25,10591750
2023-02-10,6004.95,6527.6,5955.6,6435.5,7578164
2023-02-17,6434.95,6524.75,6297.05,6416.7,3534718
2023-02-24,6425.0,6443.55,6122.65,6236.25,3266470
2023-03-03,6215.0,6246.6,6070.05,6100.05,3411989
2023-03-10,6140.0,6183.0,5781.0,5874.15,3662515
2023-03-17,5869.0,5947.5,5665.0,5732.35,4777389
2023-03-24,5739.0,5900.0,5485.7,5649.25,6417461
2023-03-31,5698.0,5725.0,5522.7,5619.4,4442939
2023-04-07,5655.0,5959.0,5632.2,5932.2,4918737
2023-04-14,5944.95,5969.9,5786.0,5904.45,3595781
2023-04-21,5998.0,5998.0,5828.0,5937.9,2947711
2023-04-28,5940.0,6296.0,5877.0,6280.1,7330178
2023-05-05,6330.0,6448.0,6155.95,6389.85,4064686
2023-05-12,6394.45,6739.85,6388.0,6714.4,6670398
2023-05-19,6714.4,6849.0,6662.0,6784.2,4444546
2023-05-26,6784.2,6920.0,6729.75,6904.5,2988257
2023-06-02,6940.2,7100.0,6901.8,7023.9,4924513
