date,open,high,low,close,volume
2020-01-17,192.4,194.9,187.85,192.0,5232368
2020-01-24,192.8,192.8,175.9,176.9,3419182
2020-01-31,177.05,179.8,165.3,166.2,3788361
2020-02-07,165.85,170.9,152.25,169.65,6414932
2020-02-14,169.0,175.75,156.2,169.4,6830591
2020-02-21,174.1,177.4,160.85,164.65,3510950
2020-02-28,162.2,163.5,137.0,142.8,3842207
2020-03-06,144.15,147.95,124.0,132.8,4152309
2020-03-13,126.9,128.6,86.15,115.6,6765451
2020-03-20,111.7,111.7,84.0,89.4,6208736
2020-03-27,85.0,90.2,68.95,90.2,2582053
2020-04-03,93.7,114.7,89.95,114.7,3339311
2020-04-10,120.4,132.7,117.0,123.0,2370695
2020-04-17,120.95,120.95,103.5,107.85,2889115
2020-04-24,108.6,108.6,97.45,98.35,3447325
2020-05-01,99.25,102.35,98.0,99.15,2009892
2020-05-08,98.8,101.5,92.5,95.65,2043675
2020-05-15,96.0,98.25,90.5,90.9,2855253
2020-05-22,91.5,93.9,83.65,93.9,3602601
2020-05-29,97.0,101.65,92.5,99.75,3053725
2020-06-05,100.25,129.7,100.25,123.95,9606846
2020-06-12,131.0,141.7,122.4,134.05,18347925
2020-06-19,134.0,138.6,124.15,130.6,10439692
2020-06-26,131.65,141.0,127.15,131.3,12332541
2020-07-03,132.0,137.7,126.45,131.65,9145183
2020-07-10,131.8,142.0,126.25,128.7,15750697
2020-07-17,129.75,131.0,123.0,124.25,9996713
2020-07-24,125.4,133.4,124.2,126.2,9414078
2020-07-31,126.95,130.2,124.0,125.5,4270746
2020-08-07,126.9,132.35,125.05,130.2,7448536
2020-08-14,132.5,148.8,131.15,142.2,19128884
2020-08-21,143.0,159.65,142.0,158.35,17695027
2020-08-28,160.3,165.4,153.55,155.4,10098143
2020-09-04,155.4,162.45,143.0,154.6,6918445
2020-09-11,154.45,155.4,141.6,147.05,4319179
2020-09-18,149.9,161.9,148.2,160.4,7709352
2020-09-25,159.9,160.45,140.0,146.05,5038887
2020-10-02,147.35,156.5,146.95,152.15,2764978
2020-10-09,152.55,163.8,148.35,157.95,5065887
2020-10-16,160.0,161.65,147.5,152.6,3017910
2020-10-23,152.7,164.85,152.55,159.1,4503157
2020-10-30,160.4,169.8,157.1,160.4,7305821
2020-11-06,159.2,160.0,147.7,149.7,4794936
2020-11-13,152.25,153.1,147.8,149.3,4838696
2020-11-20,150.2,155.6,148.5,151.95,3597187
2020-11-27,154.0,167.0,153.35,164.6,7993655
2020-12-04,167.4,174.65,163.1,166.45,7776009
2020-12-11,167.5,174.15,159.15,172.7,9069309
2020-12-18,173.45,185.8,172.95,173.9,13460888
2020-12-25,175.0,179.6,155.55,175.3,4845580
2021-01-01,175.3,176.9,167.65,171.5,3599949
2021-01-08,171.55,178.0,168.75,172.0,6032102
2021-01-15,173.8,187.9,172.0,181.15,10461787
2021-01-22,179.35,185.3,172.4,178.55,4176389
2021-01-29,179.95,181.3,169.45,171.25,1705298
2021-02-05,171.25,182.75,157.05,159.85,9893301
2021-02-12,162.0,164.9,157.0,158.25,3742736
2021-02-19,159.85,179.0,157.0,169.7,8214317
2021-02-26,169.7,183.3,165.7,177.1,7132098
2021-03-05,177.25,224.8,175.95,201.5,32876426
2021-03-12,204.35,227.0,202.25,220.1,16278646
2021-03-19,221.25,221.25,190.15,202.25,9241443
2021-03-26,202.2,222.4,198.1,212.6,13365898
2021-04-02,213.0,219.2,204.0,214.1,6302268
2021-04-09,212.2,248.45,197.0,234.3,17128150
2021-04-16,234.55,272.0,219.25,256.75,25481573
