date,open,high,low,close,volume
2020-01-17,495.8,526.0,473.8,481.0,21415587
2020-01-24,482.0,487.5,470.3,481.85,7489965
2020-01-31,478.4,484.4,435.0,450.35,8987036
2020-02-07,448.75,452.75,421.0,442.7,16075700
2020-02-14,444.7,481.2,437.15,452.55,15352246
2020-02-21,452.9,456.55,409.0,415.95,12063638
2020-02-28,414.7,425.95,370.0,383.5,38326321
2020-03-06,395.8,424.9,385.0,403.85,26315756
2020-03-13,394.4,402.0,271.0,327.55,24535132
2020-03-20,322.45,322.9,185.7,231.6,74953657
2020-03-27,208.45,269.5,152.2,249.55,84316417
2020-04-03,225.05,248.9,180.0,181.55,49992038
2020-04-10,198.0,209.05,164.3,192.25,95749707
2020-04-17,184.0,226.65,173.5,216.3,91616339
2020-04-24,223.0,229.7,183.6,198.45,71901704
2020-05-01,203.0,266.45,200.45,262.35,71380579
2020-05-08,245.0,263.9,222.15,240.0,69173013
2020-05-15,246.95,257.25,229.0,243.7,63383915
2020-05-22,243.7,244.6,195.4,202.95,77981074
2020-05-29,204.25,230.9,201.0,218.15,50885853
2020-06-05,225.0,261.4,223.0,247.7,72693237
2020-06-12,257.6,289.2,248.55,283.5,115911200
2020-06-19,278.0,294.7,260.05,290.6,77966573
2020-06-26,295.0,367.8,294.55,337.95,128979015
2020-07-03,333.0,355.75,313.4,347.15,78775054
2020-07-10,351.7,402.0,349.0,373.95,98920520
2020-07-17,378.0,382.75,330.55,352.8,73258346
2020-07-24,356.0,358.8,338.0,341.35,42939157
2020-07-31,345.0,348.7,327.3,345.1,41226920
2020-08-07,320.85,320.85,295.1,307.5,223901714
2020-08-14,309.65,311.9,285.1,288.2,95685058
2020-08-21,292.3,297.9,283.0,292.1,77978947
2020-08-28,295.2,327.0,291.1,320.05,118844056
2020-09-04,325.45,328.35,298.1,314.45,88484431
2020-09-11,309.75,314.5,295.65,311.8,46107044
2020-09-18,312.5,318.4,294.15,298.75,54810006
2020-09-25,298.0,298.0,251.4,265.0,51713966
2020-10-02,269.15,287.0,267.2,285.75,29976194
2020-10-09,290.0,330.0,288.6,325.45,70308305
2020-10-16,327.4,332.35,301.2,313.0,41035921
2020-10-23,318.35,326.95,306.0,307.75,40896254
2020-10-30,309.0,309.65,279.0,289.45,38565447
2020-11-06,294.0,332.5,294.0,330.9,58814361
2020-11-13,333.65,354.0,330.0,344.25,68081906
2020-11-20,350.0,366.3,339.0,349.9,52675675
2020-11-27,358.0,374.95,352.0,367.0,60751645
2020-12-04,371.0,396.0,365.8,393.4,32571497
2020-12-11,395.0,430.7,394.0,423.2,79011754
2020-12-18,425.3,429.25,404.05,408.2,37259304
2020-12-25,404.95,409.0,367.5,398.15,38701407
2021-01-01,402.0,419.25,395.7,400.2,36006276
2021-01-08,404.0,424.0,390.4,419.4,60208135
2021-01-15,424.9,424.9,362.25,368.55,76505040
2021-01-22,367.6,372.55,311.85,314.1,109679563
2021-01-29,320.0,320.0,297.0,309.45,65540641
2021-02-05,310.0,357.0,304.9,329.55,89034525
2021-02-12,331.0,341.95,321.25,337.5,42323901
2021-02-19,341.55,353.8,335.0,337.25,42838306
2021-02-26,336.8,350.75,322.65,345.25,38120876
2021-03-05,349.0,362.65,336.25,346.35,44010618
2021-03-12,351.0,360.0,345.5,349.2,23143831
2021-03-19,348.95,350.0,330.0,346.05,36766494
2021-03-26,346.05,371.0,343.3,345.6,49689159
2021-04-02,350.2,354.95,335.0,352.3,19178539
2021-04-09,348.7,364.8,328.15,358.95,28109149
2021-04-16,349.9,349.9,317.45,322.65,39156402
2021-04-23,306.15,317.7,301.7,313.45,33477982
2021-04-30,318.0,339.95,310.55,329.75,36678151
2021-05-07,324.9,330.0,291.25,297.35,75548024
2021-05-14,285.0,304.9,280.0,280.55,67802091
2021-05-21,284.5,301.5,278.7,299.65,43215917
2021-05-28,301.7,306.7,290.15,306.0,35737990
2021-06-04,304.9,318.95,300.0,314.85,33316611
2021-06-11,315.0,325.2,313.15,319.4,24130031
2021-06-18,319.45,326.75,309.5,316.65,22254433
2021-06-25,322.05,346.65,319.9,333.0,46349925
2021-07-02,335.0,354.35,320.65,321.65,22366934
2021-07-09,324.55,326.2,306.4,316.75,26694221
2021-07-16,320.5,322.75,306.95,309.15,27350596
2021-07-23,308.0,312.5,300.2,305.05,17734341
2021-07-30,305.05,306.8,290.55,291.25,22570214
2021-08-06,294.9,310.95,294.25,303.85,44798231
2021-08-13,302.5,305.1,290.0,293.55,19601914
2021-08-20,293.5,301.9,275.05,278.15,20905147
2021-08-27,280.0,280.45,259.25,276.1,45425158
2021-09-03,279.0,289.0,277.7,285.7,24776592
2021-09-10,286.0,288.45,280.05,283.6,10358759
2021-09-17,284.8,301.35,280.0,287.25,27113021
2021-09-24,285.0,291.75,274.45,282.1,18912912
2021-10-01,284.5,290.9,279.2,289.0,23748129
2021-10-08,291.5,348.3,291.0,345.8,71714957
2021-10-15,335.0,338.9,319.2,323.4,27489576
2021-10-22,329.0,337.5,310.45,323.25,31159449
2021-10-29,327.5,327.5,290.45,291.45,57848823
2021-11-05,279.0,313.35,272.5,299.5,71055380
2021-11-12,299.5,318.5,292.15,310.9,43646524
2021-11-19,311.0,318.9,303.25,305.45,15534076
2021-11-26,306.0,316.7,278.05,282.65,36169097
2021-12-03,284.0,285.0,266.85,277.3,45013773
2021-12-10,277.95,286.0,270.7,280.05,22230047
2021-12-17,283.0,289.0,265.65,267.05,20134849
2021-12-24,264.0,264.0,243.4,255.05,28872540
2021-12-31,243.4,259.0,229.55,252.7,44638165
2022-01-07,252.7,275.9,249.2,271.05,71332166
2022-01-14,271.05,300.15,268.0,296.55,40022965
2022-01-21,298.0,308.75,287.35,295.5,45670814
2022-01-28,299.9,327.5,295.5,316.95,67365683
