date,open,high,low,close,volume
2020-01-17,97.4,99.0,95.1,97.35,79698168
2020-01-24,97.85,97.85,93.5,95.6,92569818
2020-01-31,93.25,94.2,92.0,92.7,123730256
2020-02-07,92.7,93.25,85.4,92.05,134545432
2020-02-14,91.85,92.3,86.1,86.45,69703080
2020-02-21,85.3,86.35,78.2,82.25,84552822
2020-02-28,80.9,82.1,73.3,76.3,103390211
2020-03-06,77.5,78.35,68.75,71.75,139103960
2020-03-13,69.7,72.6,46.5,65.35,134760303
2020-03-20,62.0,69.6,60.2,63.25,160854029
2020-03-27,57.5,61.5,51.7,54.35,130977671
2020-04-03,52.1,56.2,48.5,48.7,77755900
2020-04-10,50.25,51.9,47.3,50.9,78708404
2020-04-17,50.9,52.35,48.25,50.2,88707476
2020-04-24,51.0,53.2,46.1,46.35,133196465
2020-05-01,47.25,51.25,46.55,49.2,102770002
2020-05-08,48.0,48.0,41.0,41.1,118977137
2020-05-15,41.85,45.15,39.35,41.6,152177995
2020-05-22,41.5,41.7,36.0,37.45,212927483
2020-05-29,37.85,39.95,36.7,38.95,161945989
2020-06-05,39.7,47.0,39.4,46.5,347421157
2020-06-12,48.0,49.0,41.85,45.45,288189851
2020-06-19,45.2,47.5,43.65,47.05,217057319
2020-06-26,47.55,54.8,47.4,51.85,365243150
2020-07-03,51.5,52.4,48.2,50.75,189359636
2020-07-10,51.0,54.1,49.7,51.6,235936994
2020-07-17,52.0,52.45,46.9,49.4,143615947
2020-07-24,49.45,50.3,47.7,48.6,132225237
2020-07-31,48.6,48.65,45.45,46.8,135186343
2020-08-07,46.45,48.85,45.9,48.35,133658617
2020-08-14,48.95,49.9,45.8,46.1,200775374
2020-08-21,46.7,48.85,45.65,48.35,133655735
2020-08-28,48.7,52.2,47.5,51.6,241350880
2020-09-04,53.5,53.95,45.75,45.9,189272037
2020-09-11,46.0,46.5,43.8,45.95,107572048
2020-09-18,46.15,46.7,44.9,45.05,64957906
2020-09-25,45.3,45.3,39.5,41.55,117739343
2020-10-02,42.1,43.6,40.3,41.95,106853394
2020-10-09,42.1,44.45,40.8,44.3,121779742
2020-10-16,44.4,45.55,39.9,40.3,114504772
2020-10-23,41.0,43.85,40.55,43.15,166851605
2020-10-30,43.05,43.75,41.05,41.7,158705096
2020-11-06,42.1,46.55,41.85,45.8,192724277
2020-11-13,46.35,48.9,44.4,46.55,161884295
2020-11-20,46.7,49.9,46.7,47.55,119913515
2020-11-27,47.85,52.5,46.0,51.35,264469722
2020-12-04,51.55,59.75,51.15,59.05,281468784
2020-12-11,59.2,68.25,58.5,65.45,455379797
2020-12-18,66.35,68.1,62.0,63.1,194474759
2020-12-25,62.25,63.5,56.2,60.85,174978175
2021-01-01,61.5,64.8,60.75,64.5,167682541
2021-01-08,65.1,67.7,64.3,65.55,170387173
2021-01-15,66.0,77.9,63.1,75.15,366367160
2021-01-22,75.45,80.8,72.05,73.35,255905270
2021-01-29,74.6,76.15,64.5,68.05,352297428
2021-02-05,68.95,89.0,67.7,82.8,443481619
2021-02-12,83.5,85.1,76.85,78.35,258837186
2021-02-19,79.1,99.85,78.6,91.2,635242779
2021-02-26,91.4,93.75,85.0,85.2,324325042
2021-03-05,85.4,87.8,79.5,80.65,309017732
2021-03-12,82.0,83.5,76.6,77.35,175632395
2021-03-19,77.95,79.95,69.55,73.7,313260539
2021-03-26,73.8,75.85,68.0,70.75,255715571
2021-04-02,71.9,76.0,70.85,75.65,176525066
2021-04-09,75.1,77.4,70.8,74.0,211727768
2021-04-16,72.0,72.0,63.25,67.35,213774278
2021-04-23,65.0,65.8,61.75,62.95,177833328
2021-04-30,63.5,69.75,63.2,66.75,230387552
2021-05-07,65.95,73.0,64.35,70.55,293309546
2021-05-14,71.35,79.95,70.7,74.0,322012764
2021-05-21,74.8,81.15,73.8,80.8,375960256
2021-05-28,82.3,84.6,79.8,83.85,439408231
2021-06-04,83.0,83.5,78.6,81.85,320086483
2021-06-11,82.6,86.25,80.2,84.45,293298061
2021-06-18,84.0,87.0,77.05,80.2,292999784
2021-06-25,78.3,84.2,77.4,83.5,229933481
2021-07-02,84.25,88.9,84.2,85.2,296516637
2021-07-09,85.9,87.2,82.4,83.65,169149206
2021-07-16,84.4,85.15,81.4,81.7,161945587
2021-07-23,81.4,81.6,78.4,79.85,104605824
2021-07-30,79.8,81.5,76.9,80.3,134772878
2021-08-06,80.95,84.6,80.3,83.4,217123995
2021-08-13,85.25,85.4,77.5,80.95,190219671
2021-08-20,80.85,81.75,73.6,74.15,112959199
2021-08-27,75.3,76.5,72.5,74.55,114513627
2021-09-03,74.95,80.3,74.75,79.2,115137121
2021-09-10,79.6,80.5,76.7,79.15,72113349
2021-09-17,78.75,86.65,78.0,82.3,208387865
2021-09-24,81.4,82.15,76.9,77.85,118906615
2021-10-01,78.15,83.7,77.8,82.45,179070924
2021-10-08,82.95,88.9,82.0,88.1,209273943
2021-10-15,89.7,90.2,86.3,88.75,196240937
2021-10-22,90.5,97.4,86.9,94.55,479699617
2021-10-29,95.5,103.75,93.0,97.5,500334494
2021-11-05,98.4,104.35,97.25,102.6,172638070
2021-11-12,103.0,108.0,99.25,101.35,311204869
2021-11-19,102.0,102.45,95.5,96.25,124295372
2021-11-26,96.5,96.9,88.0,88.85,200552489
2021-12-03,88.1,90.6,85.05,88.6,144369015
2021-12-10,89.2,94.7,86.75,94.2,131721324
2021-12-17,95.0,95.3,84.65,84.9,106101272
2021-12-24,83.7,83.75,78.55,79.45,147487765
2021-12-31,78.5,82.3,77.05,81.95,109103492
2022-01-07,81.6,88.55,81.6,87.6,153642550
2022-01-14,88.1,94.65,87.7,93.6,136430851
2022-01-21,93.15,97.5,91.5,92.7,162890821
2022-01-28,92.3,106.5,90.7,103.3,273298615
2022-02-04,103.95,111.9,102.4,106.55,295541318
2022-02-11,108.8,118.8,108.25,113.55,428398849
2022-02-18,109.0,111.25,104.05,105.35,219291766
2022-02-25,105.35,108.95,99.05,106.8,286025776
2022-03-04,104.5,108.0,100.05,100.55,177765985
2022-03-11,98.1,105.45,91.0,104.4,320208092
2022-03-18,104.95,109.8,103.55,107.95,152989200
2022-03-25,107.9,109.15,103.5,108.5,151579353
2022-04-01,108.95,116.4,107.3,116.0,238568782
2022-04-08,116.2,122.6,114.5,120.3,166163717
2022-04-15,120.75,122.7,117.1,119.45,59877080
2022-04-22,118.7,118.7,111.2,111.45,130345770
2022-04-29,110.35,117.35,109.05,112.9,112557258
2022-05-06,111.4,115.25,102.0,104.95,97792288
2022-05-13,103.95,105.1,94.0,95.0,118490141
2022-05-20,96.0,102.85,94.5,99.45,122711176
2022-05-27,99.95,101.0,92.55,98.65,127629190
2022-06-03,99.8,105.85,99.65,102.15,124476698
2022-06-10,102.0,105.45,99.2,105.1,108857798
2022-06-17,102.2,102.95,94.1,95.05,102880897
2022-06-24,95.6,100.35,89.85,99.95,135813593
2022-07-01,101.1,102.3,95.6,96.95,104165450
2022-07-08,97.0,106.3,96.95,105.6,152687144
2022-07-15,104.9,110.5,103.3,104.05,128013607
2022-07-22,105.1,116.45,104.25,116.1,144194835
2022-07-29,115.7,119.85,114.25,116.25,118960591
2022-08-05,117.5,123.55,113.35,117.9,202344967
2022-08-12,117.9,124.35,116.5,123.15,84408223
2022-08-19,124.0,127.0,119.55,120.35,114153283
2022-08-26,120.0,129.55,117.0,128.3,146974808
2022-09-02,124.05,134.7,122.15,131.15,102049979
2022-09-09,131.25,141.7,131.25,138.05,116575150
2022-09-16,139.0,141.85,134.7,137.25,82495810
2022-09-23,136.8,143.45,131.7,132.5,141069814
2022-09-30,130.0,133.65,124.0,132.4,146580951
2022-10-07,131.9,135.9,126.9,135.3,81824703
2022-10-14,132.45,134.45,129.1,130.45,82773240
2022-10-21,130.55,144.9,129.6,143.55,147164539
2022-10-28,144.7,151.6,142.5,147.0,94709825
2022-11-04,148.0,151.8,143.6,144.55,103141882
2022-11-11,159.0,168.8,152.0,161.75,291889345
2022-11-18,162.25,165.7,159.9,163.1,109704392
2022-11-25,162.7,172.7,161.2,167.85,133428773
2022-12-02,168.45,174.25,164.45,171.2,110211473
2022-12-09,172.3,197.2,170.3,188.6,275187351
2022-12-16,188.5,194.85,181.0,182.0,161833083
2022-12-23,182.65,186.7,168.1,169.05,120545986
2022-12-30,169.05,188.4,167.1,185.7,138503627
2023-01-06,186.6,189.9,181.2,183.25,96643984
2023-01-13,184.3,187.7,177.15,184.9,81714960
2023-01-20,185.5,188.0,176.0,179.35,89944419
2023-01-27,180.45,182.1,156.1,157.25,117157877
2023-02-03,158.1,169.9,146.5,163.6,295110838
2023-02-10,165.5,173.85,163.6,169.3,146657316
2023-02-17,169.5,171.35,163.7,166.8,93893673
2023-02-24,167.0,168.4,153.15,154.6,126009083
2023-03-03,154.5,173.75,153.6,172.9,285474823
2023-03-10,173.55,176.4,166.05,167.8,67682415
2023-03-17,167.0,170.0,155.6,160.05,111796255
2023-03-24,158.7,168.25,155.7,159.8,118049921
2023-03-31,159.5,169.8,158.5,169.2,148442854
2023-04-07,169.1,170.25,165.1,166.9,78717928
2023-04-14,167.5,173.9,165.35,171.4,76367054
2023-04-21,171.0,179.15,170.7,176.45,96371426
2023-04-28,176.5,188.5,176.25,187.75,91640773
2023-05-05,189.0,189.35,180.55,183.4,75158675
2023-05-12,184.1,185.25,172.8,178.75,99663090
2023-05-19,178.9,190.0,177.3,181.9,158708007
2023-05-26,182.0,185.1,179.3,183.55,69536850
2023-06-02,185.0,187.15,182.1,186.75,57258523
2023-06-09,187.3,189.15,184.1,184.85,50658809
2023-06-16,184.9,188.7,182.65,187.8,57524995
2023-06-23,188.7,198.5,188.4,192.1,114971866
2023-06-30,191.95,192.45,186.4,190.1,61614319
2023-07-07,191.6,210.45,190.05,208.6,122407604
2023-07-14,209.75,210.8,195.05,198.3,94993106
2023-07-21,198.5,202.55,196.2,197.35,105999018
2023-07-28,197.9,202.85,195.65,201.3,87765737
2023-08-04,202.0,203.75,189.75,190.05,104269267
2023-08-11,189.0,196.45,187.8,192.6,118010621
2023-08-18,192.6,192.6,185.85,191.35,76541530
2023-08-25,192.35,194.95,188.85,189.55,66524674
2023-09-01,190.25,192.8,186.3,190.6,64669215
2023-09-08,191.15,200.0,190.2,197.8,72844867
2023-09-15,198.7,213.2,197.85,210.8,128857213
2023-09-22,209.9,219.65,206.45,215.35,125422088
2023-09-29,216.3,219.45,209.75,213.95,85494476
2023-10-06,213.5,218.2,210.0,215.3,60803164
2023-10-13,212.4,215.3,201.2,203.5,109510195
2023-10-20,201.45,208.65,201.2,202.3,78466931
2023-10-27,202.3,203.75,187.85,196.85,75288295
2023-11-03,197.15,204.25,194.6,203.8,62356909
2023-11-10,200.0,201.7,190.65,194.85,134242529
2023-11-17,196.0,200.0,193.4,196.8,64175651
2023-11-24,197.5,198.7,192.75,193.1,45825551
2023-12-01,193.05,203.85,192.75,201.85,63481207
2023-12-08,205.15,215.7,205.15,212.0,126731210
2023-12-15,213.0,226.4,212.9,224.7,110787731
2023-12-22,224.45,229.5,215.1,223.6,83226820
2023-12-29,222.9,235.95,222.9,231.1,83215236
2024-01-05,232.45,240.1,227.25,234.65,76658647
2024-01-12,231.5,232.25,219.45,229.9,83445294
2024-01-19,230.7,234.25,222.0,230.65,86425331
