date,open,high,low,close,volume
2020-01-17,2.83,2.83,2.45,2.71,2083435
2020-01-24,2.83,2.83,2.5,2.5,2365189
2020-01-31,2.38,2.59,2.18,2.59,2716301
2020-02-07,2.71,2.71,2.21,2.42,6016452
2020-02-14,2.4,2.54,2.11,2.14,4623443
2020-02-21,2.23,2.54,2.23,2.45,2771591
2020-02-28,2.57,2.57,2.18,2.18,4505615
2020-03-06,2.21,2.28,1.94,1.94,5619379
2020-03-13,1.92,2.11,1.8,2.09,5241744
2020-03-20,2.11,2.11,1.68,1.68,2726397
2020-03-27,1.61,1.63,1.39,1.61,3749773
2020-04-03,1.68,1.68,1.42,1.61,3091649
2020-04-10,1.68,1.92,1.58,1.92,1484820
2020-04-17,2.11,2.21,1.92,2.02,4260994
2020-04-24,2.16,2.33,1.85,2.23,9716409
2020-05-01,2.4,2.81,2.23,2.45,10712363
2020-05-08,2.33,2.54,2.23,2.28,12393789
2020-05-15,2.35,2.4,2.02,2.4,8084786
2020-05-22,2.52,3.02,2.35,3.02,11028127
2020-05-29,3.17,3.31,2.74,3.31,26809630
2020-06-05,3.46,4.15,3.46,4.15,5264455
2020-06-12,4.34,5.23,4.34,5.23,4117450
2020-06-19,5.47,6.0,5.02,5.02,23024266
2020-06-26,4.78,5.16,4.34,4.75,29613424
2020-07-03,4.54,4.54,3.91,4.08,17315481
2020-07-10,3.89,4.42,3.7,3.82,14714714
2020-07-17,3.65,3.65,3.02,3.31,4845518
2020-07-24,3.46,3.79,3.22,3.22,14021656
2020-07-31,3.22,3.22,2.88,2.9,14400899
2020-08-07,2.95,3.48,2.9,3.26,14618338
2020-08-14,3.34,3.91,3.26,3.65,15017597
2020-08-21,3.65,3.79,3.34,3.5,12639115
2020-08-28,3.62,4.37,3.6,4.37,25883859
2020-09-04,4.58,4.58,3.6,3.67,32846721
2020-09-11,3.72,4.06,3.65,3.82,24903704
2020-09-18,3.72,3.79,3.41,3.5,26240601
2020-09-25,3.5,3.58,3.1,3.1,27852700
2020-10-02,3.07,3.07,2.57,2.57,8876646
2020-10-09,2.45,2.78,2.45,2.66,62295696
2020-10-16,2.66,2.71,2.4,2.54,25883427
2020-10-23,2.62,2.78,2.5,2.52,19269165
2020-10-30,2.5,2.64,2.4,2.47,14680090
2020-11-06,2.52,2.59,2.45,2.52,16186818
2020-11-13,2.54,2.62,2.47,2.54,24232236
2020-11-20,2.59,2.76,2.45,2.59,32438207
2020-11-27,2.66,2.66,2.26,2.35,50242410
2020-12-04,2.4,2.45,2.33,2.38,40112912
2020-12-11,2.57,2.62,2.38,2.4,86720893
2020-12-18,2.42,2.54,2.28,2.54,70287209
2020-12-25,2.78,3.34,2.5,3.34,92596068
2021-01-01,3.48,4.18,3.43,4.18,6110051
2021-01-08,4.37,4.58,3.72,3.72,149828389
2021-01-15,3.77,3.94,3.38,3.91,65195731
2021-01-22,3.86,3.98,3.38,3.38,43093639
2021-01-29,3.38,3.5,3.19,3.41,34966544
2021-02-05,3.46,3.55,3.26,3.46,34768953
2021-02-12,3.58,3.96,3.36,3.72,67666443
2021-02-19,3.91,3.96,3.53,3.74,41362797
2021-02-26,3.82,4.03,3.41,3.65,34455329
2021-03-05,3.67,5.02,3.62,4.97,98791871
2021-03-12,5.14,5.18,4.1,4.13,45352007
2021-03-19,4.22,4.75,4.15,4.32,42751662
2021-03-26,4.51,4.51,3.74,3.77,25434779
2021-04-02,3.86,4.13,3.77,3.91,14501271
2021-04-09,4.1,4.1,3.82,3.84,37202285
2021-04-16,3.79,3.86,3.62,3.84,19701108
2021-04-23,3.7,3.82,3.6,3.67,21417505
2021-04-30,3.7,3.84,3.6,3.67,23298742
2021-05-07,3.65,3.91,3.48,3.91,32098947
2021-05-14,4.06,4.3,3.96,4.08,45553919
2021-05-21,4.15,4.22,3.89,3.98,33245511
2021-05-28,4.08,4.13,3.89,4.01,28614170
2021-06-04,4.03,4.82,3.98,4.82,32184714
2021-06-11,5.3,7.06,5.09,6.38,56315320
2021-06-18,6.07,7.32,5.78,7.32,120350311
2021-06-25,7.39,9.29,7.27,9.29,10896341
2021-07-02,9.36,11.81,8.83,11.81,62011753
2021-07-09,12.38,15.0,11.83,15.0,37002831
2021-07-16,15.74,19.08,15.74,19.08,11892620
2021-07-23,20.02,23.11,20.02,23.11,1958327
2021-07-30,24.26,26.74,21.86,21.86,16067864
2021-08-06,20.78,22.94,18.72,18.72,39159721
2021-08-13,17.78,19.75,16.9,19.75,31756564
2021-08-20,20.74,20.74,16.98,18.48,16116782
2021-08-27,18.81,21.3,16.71,21.3,12723331
2021-09-03,22.35,24.12,21.3,21.3,23863546
2021-09-10,21.3,23.16,20.73,21.57,9465700
2021-09-17,20.97,24.87,20.52,24.87,16605538
2021-09-24,26.1,31.59,25.2,28.8,27501938
2021-10-01,29.7,36.69,29.1,36.69,9298928
2021-10-08,38.52,46.77,36.6,46.77,17810458
2021-10-15,49.08,54.06,46.53,46.53,16712185
2021-10-22,44.22,51.27,41.22,41.73,73073818
2021-10-29,42.0,46.68,37.86,43.59,41909517
2021-11-05,43.59,47.58,42.39,45.21,22907120
2021-11-12,46.8,57.63,45.18,53.85,64809246
2021-11-19,56.52,64.83,55.23,64.83,52677854
2021-11-26,65.94,82.71,62.82,82.68,75152754
2021-12-03,80.46,86.1,71.25,75.6,48890647
2021-12-10,79.38,96.42,79.38,96.42,8320443
2021-12-17,101.22,121.38,96.45,117.66,38133863
2021-12-24,113.4,122.88,101.46,113.1,16642595
2021-12-31,113.1,117.3,104.4,107.49,16762853
2022-01-07,107.49,110.85,88.14,102.24,17597980
2022-01-14,107.34,115.5,102.09,109.71,15340993
2022-01-21,115.17,115.17,103.8,106.17,23024889
2022-01-28,106.2,110.07,95.85,108.57,9545132
2022-02-04,113.97,113.97,99.6,103.56,19690924
2022-02-11,108.0,108.0,85.95,94.8,14917289
2022-02-18,90.06,93.84,76.98,85.08,15461092
2022-02-25,89.31,89.31,70.59,70.83,15860769
2022-03-04,67.29,73.5,61.68,61.68,10287073
2022-03-11,58.62,58.62,52.95,58.35,12166323
2022-03-18,58.8,70.85,58.35,70.85,26513716
2022-03-25,73.4,90.3,72.3,90.3,8294659
2022-04-01,94.2,103.5,82.05,102.15,28610757
2022-04-08,105.0,108.75,94.85,103.5,14528138
2022-04-15,101.95,102.4,93.15,95.7,6904676
2022-04-22,94.1,94.75,86.45,87.5,9956336
2022-04-29,83.15,87.0,76.0,84.0,10338086
2022-05-06,83.6,83.6,68.7,68.75,9670184
2022-05-13,65.35,72.0,61.1,63.1,8789125
2022-05-20,66.0,66.0,56.1,56.15,11580535
2022-05-27,56.15,67.9,56.15,64.35,12889343
2022-06-03,61.55,69.8,55.1,55.1,33191843
2022-06-10,52.8,57.65,49.75,56.55,43691015
2022-06-17,53.85,55.0,44.8,44.8,22761152
2022-06-24,43.5,44.5,34.8,34.8,25825004
2022-07-01,34.45,36.5,29.9,32.9,45845404
2022-07-08,34.5,41.85,34.5,41.85,13994233
2022-07-15,42.7,50.7,41.85,43.7,22358311
2022-07-22,45.85,55.65,45.85,55.65,34100182
2022-07-29,56.45,57.8,44.75,49.4,52287053
2022-08-05,50.0,51.4,40.45,40.45,41555644
2022-08-12,39.5,41.75,35.4,36.7,91855313
2022-08-19,38.5,44.3,34.95,44.3,83045789
2022-08-26,46.0,48.8,41.55,44.95,95507736
2022-09-02,43.0,44.45,39.55,43.0,81337930
2022-09-09,43.9,44.1,38.7,41.1,74418210
2022-09-16,41.2,42.15,37.8,38.0,49723653
2022-09-23,38.25,39.9,33.55,36.5,76035344
2022-09-30,35.25,35.7,31.45,33.75,60972321
2022-10-07,33.8,38.1,33.35,36.7,48174402
2022-10-14,36.95,43.65,35.95,40.05,139142143
2022-10-21,38.5,40.4,34.1,35.6,75083386
2022-10-28,36.9,38.2,34.45,34.65,32740372
2022-11-04,34.85,35.1,32.25,33.75,78279609
2022-11-11,34.0,37.9,32.7,36.95,69858542
2022-11-18,40.7,41.5,34.65,35.45,87147645
2022-11-25,35.15,37.85,34.15,37.35,86955318
2022-12-02,37.0,37.45,35.05,35.8,50362289
2022-12-09,36.0,37.0,31.95,32.4,138567530
2022-12-16,33.3,35.25,32.05,33.15,97970260
2022-12-23,33.25,35.95,27.7,28.05,192917346
2022-12-30,28.1,31.0,26.25,29.4,259591112
2023-01-06,29.5,30.25,28.15,28.5,113013275
2023-01-13,28.8,31.05,26.55,29.25,126081760
2023-01-20,29.0,29.85,27.75,27.9,69006751
2023-01-27,28.05,28.15,25.6,26.1,31265211
2023-02-03,26.1,28.95,23.8,27.4,175825850
2023-02-10,29.4,29.4,25.05,25.25,140716770
2023-02-17,25.0,27.9,23.4,24.7,269344543
2023-02-24,24.7,25.6,22.95,23.35,171175319
2023-03-03,23.35,23.5,21.05,22.1,120192073
2023-03-10,22.2,22.55,21.1,21.2,82723266
2023-03-17,21.1,21.4,16.9,17.6,241313463
2023-03-24,17.7,21.2,17.55,18.85,152986955
2023-03-31,18.85,19.1,12.0,14.6,305014873
2023-04-07,15.7,18.5,15.6,18.5,52789782
2023-04-14,19.4,19.4,15.45,15.45,182231127
2023-04-21,14.7,14.7,12.05,12.05,35279767
2023-04-28,11.45,11.45,9.35,9.35,52196529
2023-05-05,9.45,11.25,9.35,11.25,182624134
2023-05-12,11.75,14.2,11.55,14.2,102589828
2023-05-19,14.9,17.15,14.8,14.8,86731285
2023-05-26,14.15,16.85,14.1,16.2,117463025
